# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.664074003979989295e-11
3.520080321285140368e+00 1.632224074336072302e-11
3.540160642570281180e+00 1.604507414223812849e-11
3.560240963855421548e+00 1.580686508545691242e-11
3.580321285140562360e+00 1.560483634177715413e-11
3.600401606425702727e+00 1.543584572739194043e-11
3.620481927710843539e+00 1.529643668569365555e-11
3.640562248995983907e+00 1.518289976761463476e-11
3.660642570281124719e+00 1.509134208479929507e-11
3.680722891566265087e+00 1.501776162827992274e-11
3.700803212851405455e+00 1.495812335163307748e-11
3.720883534136546267e+00 1.490843408735669061e-11
3.740963855421686635e+00 1.486481366794663258e-11
3.761044176706827447e+00 1.482356002397961083e-11
3.781124497991967814e+00 1.478120649446876096e-11
3.801204819277108626e+00 1.473457007561325056e-11
3.821285140562248994e+00 1.468078982242252217e-11
3.841365461847389362e+00 1.461735507845991173e-11
3.861445783132530174e+00 1.454212362312980553e-11
3.881526104417670542e+00 1.445333018098756289e-11
3.901606425702811354e+00 1.434958602738813685e-11
3.921686746987951722e+00 1.422987064959031962e-11
3.941767068273092534e+00 1.409351658837717936e-11
3.961847389558232901e+00 1.394018870410741688e-11
3.981927710843373269e+00 1.376985919944927300e-11
4.002008032128514081e+00 1.358277980870672894e-11
4.022088353413654893e+00 1.337945265094443894e-11
4.042168674698794817e+00 1.316060135748252179e-11
4.062248995983935629e+00 1.292714423043837911e-11
4.082329317269076441e+00 1.268017135817793451e-11
4.102409638554217253e+00 1.242092777413840495e-11
4.122489959839357176e+00 1.215080484131339416e-11
4.142570281124497988e+00 1.187134199801498718e-11
4.162650602409638800e+00 1.158424072211702993e-11
4.182730923694778724e+00 1.129139197723404716e-11
4.202811244979919536e+00 1.099491743926732419e-11
4.222891566265060348e+00 1.069722345989189984e-11
4.242971887550201160e+00 1.040106506745417513e-11
4.263052208835341084e+00 1.010961547342850517e-11
4.283132530120481896e+00 9.826534750358425730e-12
4.303212851405622708e+00 9.556029827120577995e-12
4.323293172690762631e+00 9.302896971718571827e-12
4.343373493975903443e+00 9.072537730798104260e-12
4.363453815261044255e+00 8.870940025036277785e-12
4.383534136546185067e+00 8.704617810391599893e-12
4.403614457831324991e+00 8.580505333125042439e-12
4.423694779116465803e+00 8.505805335827210396e-12
4.443775100401606615e+00 8.487794315402499818e-12
4.463855421686746539e+00 8.533591729529566695e-12
4.483935742971887350e+00 8.649903512403968830e-12
4.504016064257028162e+00 8.842753036744598506e-12
4.524096385542168974e+00 9.117214458643400281e-12
4.544176706827309786e+00 9.477164016573494419e-12
4.564257028112449710e+00 9.925064255959954805e-12
4.584337349397590522e+00 1.046179436860567869e-11
4.604417670682730446e+00 1.108653703665657187e-11
4.624497991967871258e+00 1.179672860930736432e-11
4.644578313253012070e+00 1.258807543415365821e-11
4.664658634538152882e+00 1.345463505859122192e-11
4.684738955823293693e+00 1.438895714746894252e-11
4.704819277108433617e+00 1.538227562997103606e-11
4.724899598393574429e+00 1.642474102523308634e-11
4.744979919678714353e+00 1.750568025358365209e-11
4.765060240963855165e+00 1.861387057858477465e-11
4.785140562248995977e+00 1.973781461460813858e-11
4.805220883534136789e+00 2.086600446670200471e-11
4.825301204819277601e+00 2.198716487349448178e-11
4.845381526104417524e+00 2.309046748999427430e-11
4.865461847389558336e+00 2.416571095015125104e-11
4.885542168674698260e+00 2.520346387121462880e-11
4.905622489959839072e+00 2.619517031244696909e-11
4.925702811244979884e+00 2.713321922974050477e-11
4.945783132530120696e+00 2.801098107420520593e-11
4.965863453815261508e+00 2.882281581665088134e-11
4.985943775100401432e+00 2.956405733808629579e-11
5.006024096385542244e+00 3.023097934544682322e-11
5.026104417670682167e+00 3.082074781758757422e-11
5.046184738955822979e+00 3.133136454305421377e-11
5.066265060240963791e+00 3.176160566936734506e-11
5.086345381526104603e+00 3.211095843240798342e-11
5.106425702811245415e+00 3.237955845329865182e-11
5.126506024096385339e+00 3.256812924385554858e-11
5.146586345381526151e+00 3.267792489823308866e-11
5.166666666666666963e+00 3.271067639847688146e-11
5.186746987951806886e+00 3.266854153998915826e-11
5.206827309236947698e+00 3.255405819041371674e-11
5.226907630522088510e+00 3.237010042263727108e-11
5.246987951807229322e+00 3.211983699266609155e-11
5.267068273092369246e+00 3.180669164508257221e-11
5.287148594377510058e+00 3.143430480017026209e-11
5.307228915662650870e+00 3.100649628588034510e-11
5.327309236947790794e+00 3.052722890513891442e-11
5.347389558232931606e+00 3.000057275837268585e-11
5.367469879518072418e+00 2.943067036010973969e-11
5.387550200803213230e+00 2.882170268842963449e-11
5.407630522088353153e+00 2.817785638176412808e-11
5.427710843373493965e+00 2.750329234700682855e-11
5.447791164658634777e+00 2.680211606647482605e-11
5.467871485943774701e+00 2.607834989121199701e-11
5.487951807228915513e+00 2.533590758791930772e-11
5.508032128514056325e+00 2.457857137062170145e-11
5.528112449799197137e+00 2.380997160046717558e-11
5.548192771084337949e+00 2.303356928212790253e-11
5.568273092369477872e+00 2.225264142708799410e-11
5.588353413654618684e+00 2.147026929607841584e-11
5.608433734939758608e+00 2.068932947784509736e-11
5.628514056224899420e+00 1.991248771143725224e-11
5.648594377510040232e+00 1.914219531577513427e-11
5.668674698795181044e+00 1.838068805429658309e-11
5.688755020080321856e+00 1.762998723439087133e-11
5.708835341365461780e+00 1.689190282107295839e-11
5.728915662650602592e+00 1.616803833157193874e-11
5.748995983935742515e+00 1.545979727159654685e-11
5.769076305220883327e+00 1.476839087422175587e-11
5.789156626506024139e+00 1.409484690774642819e-11
5.809236947791164951e+00 1.344001932858698465e-11
5.829317269076305763e+00 1.280459856839808551e-11
5.849397590361445687e+00 1.218912226028482219e-11
5.869477911646586499e+00 1.159398622640164644e-11
5.889558232931726423e+00 1.101945556771377902e-11
5.909638554216867234e+00 1.046567571561209887e-11
5.929718875502008046e+00 9.932683323908963657e-12
5.949799196787148858e+00 9.420416898073778867e-12
5.969879518072289670e+00 8.928727076066564976e-12
5.989959839357429594e+00 8.457386491543239210e-12
6.010040160642570406e+00 8.006099165364219405e-12
6.030120481927710330e+00 7.574509385128917726e-12
6.050200803212851142e+00 7.162210044823961404e-12
6.070281124497991954e+00 6.768750427606749492e-12
6.090361445783132766e+00 6.393643424268730904e-12
6.110441767068273577e+00 6.036372188093372950e-12
6.130522088353413501e+00 5.696396233714293715e-12
6.150602409638554313e+00 5.373156993280508944e-12
6.170682730923694237e+00 5.066082847847758226e-12
6.190763052208835049e+00 4.774593655540151852e-12
6.210843373493975861e+00 4.498104800772994964e-12
6.230923694779116673e+00 4.236030790796449365e-12
6.251004016064257485e+00 3.987788427113986288e-12
6.271084337349397408e+00 3.752799580042230159e-12
6.291164658634538220e+00 3.530493594899206396e-12
6.311244979919678144e+00 3.320309358117847986e-12
6.331325301204818956e+00 3.121697051053572262e-12
6.351405622489959768e+00 2.934119618457051648e-12
6.371485943775100580e+00 2.757053977572479323e-12
6.391566265060241392e+00 2.589991992651516762e-12
6.411646586345381316e+00 2.432441238386772342e-12
6.431726907630522128e+00 2.283925574405620862e-12
6.451807228915662051e+00 2.143985551557633087e-12
6.471887550200802863e+00 2.012178669303847356e-12
6.491967871485943675e+00 1.888079502097009767e-12
6.512048192771084487e+00 1.771279711245689792e-12
6.532128514056225299e+00 1.661387957397648359e-12
6.552208835341365223e+00 1.558029727469353868e-12
6.572289156626506035e+00 1.460847088597886894e-12
6.592369477911645959e+00 1.369498380504811288e-12
6.612449799196786770e+00 1.283657856542364907e-12
6.632530120481927582e+00 1.203015282643583812e-12
6.652610441767068394e+00 1.127275502419668734e-12
6.672690763052209206e+00 1.056157975740568438e-12
6.692771084337350018e+00 9.893962972965159605e-13
6.712851405622489942e+00 9.267377008675689099e-13
6.732931726907629866e+00 8.679425543223218182e-13
6.753012048192770678e+00 8.127838497231580346e-13
6.773092369477911490e+00 7.610466923302712852e-13
6.793172690763052302e+00 7.125277917670123302e-13
6.813253012048193114e+00 6.670349581313641115e-13
6.833333333333333925e+00 6.243866054089229025e-13
6.853413654618473849e+00 5.844112641583059362e-13
6.873493975903614661e+00 5.469471050969013935e-13
6.893574297188754585e+00 5.118414749101088443e-13
6.913654618473895397e+00 4.789504453373466178e-13
6.933734939759036209e+00 4.481383763503630784e-13
6.953815261044177021e+00 4.192774940305710142e-13
6.973895582329317833e+00 3.922474835698652670e-13
6.993975903614457756e+00 3.669350976609054879e-13
7.014056224899598568e+00 3.432337804059238340e-13
7.034136546184738492e+00 3.210433067555586675e-13
7.054216867469879304e+00 3.002694373889157328e-13
7.074297188755020116e+00 2.808235888613329575e-13
7.094377510040160928e+00 2.626225187752615584e-13
7.114457831325301740e+00 2.455880256709223250e-13
7.134538152610441664e+00 2.296466632853903493e-13
7.154618473895582476e+00 2.147294687902954756e-13
7.174698795180722399e+00 2.007717045882277861e-13
7.194779116465863211e+00 1.877126132250969965e-13
7.214859437751004023e+00 1.754951849592851208e-13
7.234939759036144835e+00 1.640659375174504152e-13
7.255020080321285647e+00 1.533747075606723480e-13
7.275100401606425571e+00 1.433744533824849768e-13
7.295180722891566383e+00 1.340210683616792985e-13
7.315261044176706307e+00 1.252732046970206676e-13
7.335341365461847118e+00 1.170921069577096232e-13
7.355421686746987930e+00 1.094414549921671115e-13
7.375502008032128742e+00 1.022872157480835634e-13
7.395582329317269554e+00 9.559750356840144988e-14
7.415662650602409478e+00 8.934244854064924392e-14
7.435742971887550290e+00 8.349407249060235826e-14
7.455823293172690214e+00 7.802617222538882355e-14
7.475903614457831026e+00 7.291420964568334017e-14
7.495983935742971838e+00 6.813520836141859766e-14
7.516064257028112650e+00 6.366765646030441580e-14
7.536144578313252573e+00 5.949141509331338299e-14
7.556224899598393385e+00 5.558763255603320023e-14
7.576305220883534197e+00 5.193866355934335684e-14
7.596385542168675009e+00 4.852799339715982078e-14
7.616465863453814933e+00 4.534016673297319063e-14
7.636546184738955745e+00 4.236072074051614385e-14
7.656626506024096557e+00 3.957612234711976098e-14
7.676706827309237369e+00 3.697370934111190611e-14
7.696787148594377292e+00 3.454163511697233235e-14
7.716867469879518104e+00 3.226881684385802464e-14
7.736947791164658916e+00 3.014488685455519882e-14
7.757028112449798840e+00 2.816014706288378082e-14
7.777108433734939652e+00 2.630552622809092150e-14
7.797188755020080464e+00 2.457253989481363708e-14
7.817269076305221276e+00 2.295325284677610127e-14
7.837349397590361200e+00 2.144024392152874772e-14
7.857429718875502012e+00 2.002657304223417969e-14
7.877510040160642824e+00 1.870575033077903785e-14
7.897590361445782747e+00 1.747170717434652950e-14
7.917670682730923559e+00 1.631876912504172766e-14
7.937751004016064371e+00 1.524163051922996746e-14
7.957831325301205183e+00 1.423533070994177969e-14
7.977911646586345107e+00 1.329523181203575907e-14
7.997991967871485919e+00 1.241699786580148663e-14
8.018072289156627619e+00 1.159657533034844976e-14
8.038152610441766655e+00 1.083017482347396332e-14
8.058232931726907466e+00 1.011425402975104485e-14
8.078313253012048278e+00 9.445501703340891251e-15
8.098393574297189090e+00 8.820822696520612947e-15
8.118473895582329902e+00 8.237323949150861038e-15
8.138554216867468938e+00 7.692301378291094297e-15
8.158634538152611526e+00 7.183227610922487838e-15
8.178714859437750562e+00 6.707740506270585443e-15
8.198795180722891374e+00 6.263632417538820178e-15
8.218875502008032186e+00 5.848840145992119370e-15
8.238955823293172998e+00 5.461435543262528203e-15
8.259036144578313809e+00 5.099616720511818894e-15
8.279116465863452845e+00 4.761699825677897442e-15
8.299196787148595433e+00 4.446111352467889549e-15
8.319277108433734469e+00 4.151380947048685822e-15
8.339357429718875281e+00 3.876134680531397296e-15
8.359437751004016093e+00 3.619088757364010666e-15
8.379518072289156905e+00 3.379043631635438341e-15
8.399598393574297717e+00 3.154878505070071333e-15
8.419678714859436752e+00 2.945546182155707383e-15
8.439759036144579341e+00 2.750068259408626136e-15
8.459839357429718376e+00 2.567530627243808761e-15
8.479919678714859188e+00 2.397079264289388601e-15
8.500000000000000000e+00 2.237916305272358330e-15
