# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.115638284705005393e-10
3.520080321285140368e+00 1.069762849626612573e-10
3.540160642570281180e+00 1.026344150726670490e-10
3.560240963855421548e+00 9.853759551385500498e-11
3.580321285140562360e+00 9.468379663854685298e-11
3.600401606425702727e+00 9.106946679820097695e-11
3.620481927710843539e+00 8.768946114929545265e-11
3.640562248995983907e+00 8.453702049137357440e-11
3.660642570281124719e+00 8.160380273470156687e-11
3.680722891566265087e+00 7.887996663495050380e-11
3.700803212851405455e+00 7.635430471702109599e-11
3.720883534136546267e+00 7.401442001015846655e-11
3.740963855421686635e+00 7.184693944384894774e-11
3.761044176706827447e+00 6.983775555663276686e-11
3.781124497991967814e+00 6.797228753439995158e-11
3.801204819277108626e+00 6.623575245606295375e-11
3.821285140562248994e+00 6.461343788257438803e-11
3.841365461847389362e+00 6.309096746442237204e-11
3.861445783132530174e+00 6.165455195225596788e-11
3.881526104417670542e+00 6.029121878694124652e-11
3.901606425702811354e+00 5.898901426535216775e-11
3.921686746987951722e+00 5.773717311136786462e-11
3.941767068273092534e+00 5.652625114714459842e-11
3.961847389558232901e+00 5.534821770024308457e-11
3.981927710843373269e+00 5.419650544754763714e-11
4.002008032128514081e+00 5.306601662779175493e-11
4.022088353413654893e+00 5.195308596817972219e-11
4.042168674698794817e+00 5.085540225220423566e-11
4.062248995983935629e+00 4.977189215617631359e-11
4.082329317269076441e+00 4.870257172188114250e-11
4.102409638554217253e+00 4.764837251086678064e-11
4.122489959839357176e+00 4.661095098862175666e-11
4.142570281124497988e+00 4.559249089703349874e-11
4.162650602409638800e+00 4.459550917614750268e-11
4.182730923694778724e+00 4.362267628278903794e-11
4.202811244979919536e+00 4.267666142574636495e-11
4.222891566265060348e+00 4.176001221358704291e-11
4.242971887550201160e+00 4.087507643926251540e-11
4.263052208835341084e+00 4.002397119916803022e-11
4.283132530120481896e+00 3.920860132374559264e-11
4.303212851405622708e+00 3.843072532785230726e-11
4.323293172690762631e+00 3.769206301286116225e-11
4.343373493975903443e+00 3.699443479953996546e-11
4.363453815261044255e+00 3.633991923751906360e-11
4.383534136546185067e+00 3.573101234296635418e-11
4.403614457831324991e+00 3.517077084738401271e-11
4.423694779116465803e+00 3.466292139073737962e-11
4.443775100401606615e+00 3.421191930913452672e-11
4.463855421686746539e+00 3.382294391778864418e-11
4.483935742971887350e+00 3.350182185026101161e-11
4.504016064257028162e+00 3.325487568934858438e-11
4.524096385542168974e+00 3.308870129043023976e-11
4.544176706827309786e+00 3.300988326742374510e-11
4.564257028112449710e+00 3.302466350495244015e-11
4.584337349397590522e+00 3.313858177433650518e-11
4.604417670682730446e+00 3.335611019431386862e-11
4.624497991967871258e+00 3.368030418696369957e-11
4.644578313253012070e+00 3.411249171314667829e-11
4.664658634538152882e+00 3.465202007870694696e-11
4.684738955823293693e+00 3.529607577304783838e-11
4.704819277108433617e+00 3.603958802496737442e-11
4.724899598393574429e+00 3.687522147680271868e-11
