# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 7.565514881766537711e-11
3.520080321285140368e+00 7.350830892223195520e-11
3.540160642570281180e+00 7.141923506129157768e-11
3.560240963855421548e+00 6.938647970654258429e-11
3.580321285140562360e+00 6.740862814534739446e-11
3.600401606425702727e+00 6.548429782043957711e-11
3.620481927710843539e+00 6.361213768278764159e-11
3.640562248995983907e+00 6.179082755722444861e-11
3.660642570281124719e+00 6.001907752046582214e-11
3.680722891566265087e+00 5.829562729115881020e-11
3.700803212851405455e+00 5.661924563161544864e-11
3.720883534136546267e+00 5.498872976090347554e-11
3.740963855421686635e+00 5.340290477897901512e-11
3.761044176706827447e+00 5.186062310156175272e-11
3.781124497991967814e+00 5.036076390546692008e-11
3.801204819277108626e+00 4.890223258412033268e-11
3.821285140562248994e+00 4.748396021299781740e-11
3.841365461847389362e+00 4.610490302474065636e-11
3.861445783132530174e+00 4.476404189371208909e-11
3.881526104417670542e+00 4.346038182977068753e-11
3.901606425702811354e+00 4.219295148104715911e-11
3.921686746987951722e+00 4.096080264552240311e-11
3.941767068273092534e+00 3.976300979121348650e-11
3.961847389558232901e+00 3.859866958478496475e-11
3.981927710843373269e+00 3.746690042841035991e-11
4.002008032128514081e+00 3.636684200471918061e-11
4.022088353413654893e+00 3.529765482967089779e-11
4.042168674698794817e+00 3.425851981320634399e-11
4.062248995983935629e+00 3.324863782753316261e-11
4.082329317269076441e+00 3.226722928291017271e-11
4.102409638554217253e+00 3.131353371079949628e-11
4.122489959839357176e+00 3.038680935426361793e-11
4.142570281124497988e+00 2.948633276548824369e-11
4.162650602409638800e+00 2.861139841031856249e-11
4.182730923694778724e+00 2.776131827969938321e-11
4.202811244979919536e+00 2.693542150791579495e-11
4.222891566265060348e+00 2.613305399753433604e-11
4.242971887550201160e+00 2.535357805094806932e-11
4.263052208835341084e+00 2.459637200843315206e-11
4.283132530120481896e+00 2.386082989262694476e-11
4.303212851405622708e+00 2.314636105934147681e-11
4.323293172690762631e+00 2.245238985462754130e-11
