# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 2.879891461723221461e-12
3.520080321285140368e+00 2.783433779019970290e-12
3.540160642570281180e+00 2.690843298304986321e-12
3.560240963855421548e+00 2.601848766404292449e-12
3.580321285140562360e+00 2.516205771230833827e-12
3.600401606425702727e+00 2.433695332157700214e-12
3.620481927710843539e+00 2.354121987492866785e-12
3.640562248995983907e+00 2.277311552740886591e-12
3.660642570281124719e+00 2.203108709979426742e-12
3.680722891566265087e+00 2.131374568673270967e-12
3.700803212851405455e+00 2.061984313798588875e-12
3.720883534136546267e+00 1.994825030464806530e-12
3.740963855421686635e+00 1.929793767360155175e-12
3.761044176706827447e+00 1.866795876124548129e-12
3.781124497991967814e+00 1.805743641711439049e-12
3.801204819277108626e+00 1.746555201253863473e-12
3.821285140562248994e+00 1.689153737100658429e-12
3.841365461847389362e+00 1.633466924773753125e-12
3.861445783132530174e+00 1.579426620020669512e-12
3.881526104417670542e+00 1.526968782498526755e-12
3.901606425702811354e+00 1.476033658555381864e-12
3.921686746987951722e+00 1.426566283277247544e-12
3.941767068273092534e+00 1.378517412470329528e-12
3.961847389558232901e+00 1.331845056412868145e-12
3.981927710843373269e+00 1.286516853745062096e-12
4.002008032128514081e+00 1.242513586625782350e-12
4.022088353413654893e+00 1.199834184263287441e-12
4.042168674698794817e+00 1.158502575215148378e-12
4.062248995983935629e+00 1.118576712698157605e-12
4.082329317269076441e+00 1.080159996953712427e-12
4.102409638554217253e+00 1.043415145517099959e-12
4.122489959839357176e+00 1.008580316016609648e-12
4.142570281124497988e+00 9.759869781551187213e-13
4.162650602409638800e+00 9.460786851471859169e-13
4.182730923694778724e+00 9.194295442992666981e-13
4.202811244979919536e+00 8.967608734625305511e-13
4.222891566265060348e+00 8.789542993412543064e-13
4.242971887550201160e+00 8.670594465783295598e-13
4.263052208835341084e+00 8.622944155508986511e-13
4.283132530120481896e+00 8.660374700191900722e-13
4.303212851405622708e+00 8.798087534681028974e-13
4.323293172690762631e+00 9.052414062048187850e-13
4.343373493975903443e+00 9.440421268337979238e-13
4.363453815261044255e+00 9.979419595391219504e-13
4.383534136546185067e+00 1.068638830947242919e-12
4.403614457831324991e+00 1.157734042369654942e-12
4.423694779116465803e+00 1.266665483853238675e-12
4.443775100401606615e+00 1.396640724822029757e-12
4.463855421686746539e+00 1.548573316701932137e-12
4.483935742971887350e+00 1.723025599049547125e-12
4.504016064257028162e+00 1.920161035560953301e-12
4.524096385542168974e+00 2.139708642047755804e-12
4.544176706827309786e+00 2.380941443154936825e-12
4.564257028112449710e+00 2.642670157967353348e-12
4.584337349397590522e+00 2.923252522761788539e-12
4.604417670682730446e+00 3.220617868973723926e-12
4.624497991967871258e+00 3.532305838823768013e-12
4.644578313253012070e+00 3.855517484628496098e-12
4.664658634538152882e+00 4.187176494138784715e-12
4.684738955823293693e+00 4.523997934186816641e-12
4.704819277108433617e+00 4.862561716507596375e-12
4.724899598393574429e+00 5.199387958932915034e-12
4.744979919678714353e+00 5.531011528241677148e-12
4.765060240963855165e+00 5.854053286099728182e-12
4.785140562248995977e+00 6.165285890002107782e-12
4.805220883534136789e+00 6.461692397810091711e-12
4.825301204819277601e+00 6.740516358200540106e-12
4.845381526104417524e+00 6.999302512929331890e-12
4.865461847389558336e+00 7.235927666509222563e-12
4.885542168674698260e+00 7.448621675380507100e-12
4.905622489959839072e+00 7.635978857454064667e-12
4.925702811244979884e+00 7.796960414488228128e-12
4.945783132530120696e+00 7.930888689198227642e-12
4.965863453815261508e+00 8.037434245418683647e-12
4.985943775100401432e+00 8.116596865532461670e-12
5.006024096385542244e+00 8.168681609801761486e-12
5.026104417670682167e+00 8.194271084049329037e-12
5.046184738955822979e+00 8.194195023272118571e-12
5.066265060240963791e+00 8.169498227601217727e-12
5.086345381526104603e+00 8.121407791842388589e-12
5.106425702811245415e+00 8.051300458445670858e-12
5.126506024096385339e+00 7.960670803189894707e-12
5.146586345381526151e+00 7.851100839200945082e-12
5.166666666666666963e+00 7.724231503177578935e-12
5.186746987951806886e+00 7.581736371840599293e-12
5.206827309236947698e+00 7.425297849599596365e-12
5.226907630522088510e+00 7.256585972263509202e-12
5.246987951807229322e+00 7.077239887504146181e-12
5.267068273092369246e+00 6.888852001220820455e-12
5.287148594377510058e+00 6.692954719887184893e-12
5.307228915662650870e+00 6.491009671891117236e-12
5.327309236947790794e+00 6.284399254981829870e-12
5.347389558232931606e+00 6.074420331176730165e-12
5.367469879518072418e+00 5.862279873682386775e-12
5.387550200803213230e+00 5.649092361321900397e-12
5.407630522088353153e+00 5.435878713410038948e-12
5.427710843373493965e+00 5.223566560796624447e-12
5.447791164658634777e+00 5.012991655807197026e-12
5.467871485943774701e+00 4.804900234044227606e-12
5.487951807228915513e+00 4.599952153582778164e-12
5.508032128514056325e+00 4.398724651226676860e-12
5.528112449799197137e+00 4.201716570527720826e-12
5.548192771084337949e+00 4.009352931666264458e-12
5.568273092369477872e+00 3.821989728604358131e-12
5.588353413654618684e+00 3.639918853806072716e-12
5.608433734939758608e+00 3.463373065011429154e-12
5.628514056224899420e+00 3.292530921860103614e-12
5.648594377510040232e+00 3.127521632463436314e-12
5.668674698795181044e+00 2.968429761241737492e-12
5.688755020080321856e+00 2.815299759448256266e-12
5.708835341365461780e+00 2.668140288792174603e-12
5.728915662650602592e+00 2.526928316479817002e-12
5.748995983935742515e+00 2.391612966864149415e-12
5.769076305220883327e+00 2.262119120789314193e-12
5.789156626506024139e+00 2.138350758712221338e-12
5.809236947791164951e+00 2.020194047852737290e-12
5.829317269076305763e+00 1.907520177048520900e-12
5.849397590361445687e+00 1.800187945748180231e-12
5.869477911646586499e+00 1.698046115744796088e-12
5.889558232931726423e+00 1.600935535904430285e-12
5.909638554216867234e+00 1.508691051349833861e-12
5.929718875502008046e+00 1.421143209382931801e-12
5.949799196787148858e+00 1.338119774928389937e-12
5.969879518072289670e+00 1.259447068508684167e-12
5.989959839357429594e+00 1.184951139765295464e-12
6.010040160642570406e+00 1.114458789363459989e-12
6.030120481927710330e+00 1.047798451796245068e-12
6.050200803212851142e+00 9.848009511695254925e-13
6.070281124497991954e+00 9.253001415309823752e-13
6.090361445783132766e+00 8.691334427265811088e-13
6.110441767068273577e+00 8.161422821477782343e-13
6.130522088353413501e+00 7.661724520882673947e-13
6.150602409638554313e+00 7.190743917744598472e-13
6.170682730923694237e+00 6.747034024803911222e-13
6.190763052208835049e+00 6.329198034942033428e-13
6.210843373493975861e+00 5.935890360772274833e-13
6.230923694779116673e+00 5.565817219529795661e-13
6.251004016064257485e+00 5.217736822865481961e-13
6.271084337349397408e+00 4.890459225674039817e-13
6.291164658634538220e+00 4.582845882926072142e-13
6.311244979919678144e+00 4.293808958637203020e-13
6.331325301204818956e+00 4.022310426596918819e-13
6.351405622489959768e+00 3.767360998295716007e-13
6.371485943775100580e+00 3.528018909622503832e-13
6.391566265060241392e+00 3.303388594348134603e-13
6.411646586345381316e+00 3.092619269151256092e-13
6.431726907630522128e+00 2.894903451966775070e-13
6.451807228915662051e+00 2.709475432729789331e-13
6.471887550200802863e+00 2.535609713132438318e-13
6.491967871485943675e+00 2.372619429792875929e-13
6.512048192771084487e+00 2.219854773236585187e-13
6.532128514056225299e+00 2.076701413296080797e-13
6.552208835341365223e+00 1.942578939928916794e-13
6.572289156626506035e+00 1.816939327021246568e-13
6.592369477911645959e+00 1.699265425470497871e-13
6.612449799196786770e+00 1.589069490711849544e-13
6.632530120481927582e+00 1.485891748856958767e-13
6.652610441767068394e+00 1.389299004736512095e-13
6.672690763052209206e+00 1.298883294370386669e-13
6.692771084337350018e+00 1.214260583719043050e-13
6.712851405622489942e+00 1.135069514987945798e-13
6.732931726907629866e+00 1.060970201254049693e-13
6.753012048192770678e+00 9.916430697515091112e-14
6.773092369477911490e+00 9.267877537850114421e-14
6.793172690763052302e+00 8.661220329266712821e-14
6.813253012048193114e+00 8.093808208899268455e-14
6.833333333333333925e+00 7.563152002554542983e-14
6.853413654618473849e+00 7.066915030447272310e-14
6.873493975903614661e+00 6.602904359916660229e-14
6.893574297188754585e+00 6.169062492477236361e-14
6.913654618473895397e+00 5.763459471667275742e-14
6.933734939759036209e+00 5.384285397497526027e-14
6.953815261044177021e+00 5.029843332837543300e-14
6.973895582329317833e+00 4.698542586783490685e-14
6.993975903614457756e+00 4.388892359902112556e-14
7.014056224899598568e+00 4.099495736221125397e-14
7.034136546184738492e+00 3.829044006916841264e-14
7.054216867469879304e+00 3.576311310817821733e-14
7.074297188755020116e+00 3.340149577085596032e-14
7.094377510040160928e+00 3.119483755734555633e-14
7.114457831325301740e+00 2.913307322003860696e-14
7.134538152610441664e+00 2.720678040982902133e-14
7.154618473895582476e+00 2.540713979310627683e-14
7.174698795180722399e+00 2.372589751210340184e-14
7.194779116465863211e+00 2.215532986578138670e-14
7.214859437751004023e+00 2.068821009310705189e-14
7.234939759036144835e+00 1.931777714530264671e-14
7.255020080321285647e+00 1.803770633838650578e-14
7.275100401606425571e+00 1.684208178204030176e-14
7.295180722891566383e+00 1.572537048550584215e-14
7.315261044176706307e+00 1.468239804580919780e-14
7.335341365461847118e+00 1.370832582810834389e-14
7.355421686746987930e+00 1.279862955235455293e-14
7.375502008032128742e+00 1.194907920472475208e-14
7.395582329317269554e+00 1.115572019642238852e-14
7.415662650602409478e+00 1.041485569644306855e-14
7.435742971887550290e+00 9.723030068757446781e-15
7.455823293172690214e+00 9.077013348073365544e-15
7.475903614457831026e+00 8.473786691898271286e-15
7.495983935742971838e+00 7.910528750035614512e-15
7.516064257028112650e+00 7.384602895909628805e-15
7.536144578313252573e+00 6.893545267229596459e-15
7.556224899598393385e+00 6.435053566474620511e-15
7.576305220883534197e+00 6.006976574509612768e-15
7.596385542168675009e+00 5.607304333333211287e-15
7.616465863453814933e+00 5.234158956515502011e-15
7.636546184738955745e+00 4.885786028309101876e-15
7.656626506024096557e+00 4.560546554717939777e-15
7.676706827309237369e+00 4.256909431986694999e-15
7.696787148594377292e+00 3.973444400036873854e-15
7.716867469879518104e+00 3.708815450325769790e-15
7.736947791164658916e+00 3.461774659448331615e-15
7.757028112449798840e+00 3.231156421542493731e-15
7.777108433734939652e+00 3.015872054202134110e-15
7.797188755020080464e+00 2.814904754151559564e-15
7.817269076305221276e+00 2.627304880396358649e-15
7.837349397590361200e+00 2.452185543942464241e-15
7.857429718875502012e+00 2.288718484471550875e-15
7.877510040160642824e+00 2.136130215581499965e-15
7.897590361445782747e+00 1.993698421348805343e-15
7.917670682730923559e+00 1.860748588049928319e-15
7.937751004016064371e+00 1.736650855894068298e-15
7.957831325301205183e+00 1.620817076573880365e-15
7.977911646586345107e+00 1.512698063337448289e-15
7.997991967871485919e+00 1.411781021126697145e-15
8.018072289156627619e+00 1.317587145118136555e-15
8.038152610441766655e+00 1.229669376743778644e-15
8.058232931726907466e+00 1.147610306966433485e-15
8.078313253012048278e+00 1.071020217237069068e-15
8.098393574297189090e+00 9.995352491742440056e-16
8.118473895582329902e+00 9.328156945805027287e-16
8.138554216867468938e+00 8.705443979490643345e-16
8.158634538152611526e+00 8.124252641189878490e-16
8.178714859437750562e+00 7.581818642102506258e-16
8.198795180722891374e+00 7.075561334131062117e-16
8.218875502008032186e+00 6.603071546218061730e-16
8.238955823293172998e+00 6.162100222912247116e-16
8.259036144578313809e+00 5.750547812594719250e-16
8.279116465863452845e+00 5.366454356204592049e-16
8.299196787148595433e+00 5.007990230496828651e-16
8.319277108433734469e+00 4.673447502854327031e-16
8.339357429718875281e+00 4.361231857471690573e-16
8.359437751004016093e+00 4.069855055348709685e-16
8.379518072289156905e+00 3.797927892978405240e-16
8.399598393574297717e+00 3.544153626908233774e-16
8.419678714859436752e+00 3.307321833496442685e-16
8.439759036144579341e+00 3.086302675191340175e-16
8.459839357429718376e+00 2.880041546537908763e-16
8.479919678714859188e+00 2.687554074869574583e-16
8.500000000000000000e+00 2.507921452285670111e-16
