# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 2.465333064049104379e-11
3.520080321285140368e+00 2.412575421531427309e-11
3.540160642570281180e+00 2.360976356038122391e-11
3.560240963855421548e+00 2.310495906471291412e-11
3.580321285140562360e+00 2.261154787663775551e-11
3.600401606425702727e+00 2.213032146729799631e-11
3.620481927710843539e+00 2.166260904234739489e-11
3.640562248995983907e+00 2.121020725236762556e-11
3.660642570281124719e+00 2.077528798247246820e-11
3.680722891566265087e+00 2.036028737103811503e-11
3.700803212851405455e+00 1.996778048518544549e-11
3.720883534136546267e+00 1.960034713905092745e-11
3.740963855421686635e+00 1.926043507356147784e-11
3.761044176706827447e+00 1.895022705179396415e-11
3.781124497991967814e+00 1.867151833381576324e-11
3.801204819277108626e+00 1.842561049638211291e-11
3.821285140562248994e+00 1.821322671430736102e-11
3.841365461847389362e+00 1.803445251107633573e-11
3.861445783132530174e+00 1.788870472258698834e-11
3.881526104417670542e+00 1.777473010699346371e-11
3.901606425702811354e+00 1.769063376834760094e-11
3.921686746987951722e+00 1.763393640919338451e-11
3.941767068273092534e+00 1.760165842337988543e-11
3.961847389558232901e+00 1.759042799238041191e-11
3.981927710843373269e+00 1.759660964518683502e-11
4.002008032128514081e+00 1.761644916974970618e-11
4.022088353413654893e+00 1.764623032409196835e-11
4.042168674698794817e+00 1.768243851634861681e-11
4.062248995983935629e+00 1.772192656379963467e-11
4.082329317269076441e+00 1.776207787821123163e-11
4.102409638554217253e+00 1.780096302657602003e-11
4.122489959839357176e+00 1.783748660554695022e-11
4.142570281124497988e+00 1.787152268545616687e-11
4.162650602409638800e+00 1.790403856051786411e-11
4.182730923694778724e+00 1.793720791435988337e-11
4.202811244979919536e+00 1.797451542940813779e-11
4.222891566265060348e+00 1.802085497975796181e-11
4.242971887550201160e+00 1.808262256955888006e-11
4.263052208835341084e+00 1.816780299428187037e-11
4.283132530120481896e+00 1.828604592201389747e-11
4.303212851405622708e+00 1.844872308479108037e-11
4.323293172690762631e+00 1.866895413600552647e-11
4.343373493975903443e+00 1.896158522086375590e-11
4.363453815261044255e+00 1.934310220470258186e-11
4.383534136546185067e+00 1.983146048030304023e-11
4.403614457831324991e+00 2.044581575990721105e-11
4.423694779116465803e+00 2.120614534253981942e-11
4.443775100401606615e+00 2.213275674655847511e-11
4.463855421686746539e+00 2.324568967024661094e-11
4.483935742971887350e+00 2.456402707584317111e-11
4.504016064257028162e+00 2.610514072305430600e-11
4.524096385542168974e+00 2.788390464342378672e-11
4.544176706827309786e+00 2.991191592371272936e-11
4.564257028112449710e+00 3.219676508744823814e-11
4.584337349397590522e+00 3.474139799204808036e-11
4.604417670682730446e+00 3.754360751291409758e-11
4.624497991967871258e+00 4.059568671721419277e-11
4.644578313253012070e+00 4.388426636160539921e-11
4.664658634538152882e+00 4.739034918579503278e-11
4.684738955823293693e+00 5.108954250647969899e-11
4.704819277108433617e+00 5.495247991826612708e-11
4.724899598393574429e+00 5.894541325592029402e-11
4.744979919678714353e+00 6.303094798186768942e-11
4.765060240963855165e+00 6.716888925360970889e-11
4.785140562248995977e+00 7.131716230846855791e-11
4.805220883534136789e+00 7.543276949065807177e-11
4.825301204819277601e+00 7.947274708012096020e-11
4.845381526104417524e+00 8.339508777357870636e-11
4.865461847389558336e+00 8.715959883654219033e-11
4.885542168674698260e+00 9.072867116582612034e-11
4.905622489959839072e+00 9.406794034432371835e-11
4.925702811244979884e+00 9.714682682835187291e-11
4.945783132530120696e+00 9.993894832791385258e-11
4.965863453815261508e+00 1.024224029323588608e-10
4.985943775100401432e+00 1.045799263817950716e-10
5.006024096385542244e+00 1.063989309452933106e-10
5.026104417670682167e+00 1.078714365660780148e-10
5.046184738955822979e+00 1.089939072571550622e-10
5.066265060240963791e+00 1.097670072128099811e-10
5.086345381526104603e+00 1.101952918140155101e-10
5.106425702811245415e+00 1.102868487464597054e-10
5.126506024096385339e+00 1.100529039309705436e-10
5.146586345381526151e+00 1.095074060055345301e-10
5.166666666666666963e+00 1.086666018119771690e-10
5.186746987951806886e+00 1.075486138372367896e-10
5.206827309236947698e+00 1.061730289360646294e-10
5.226907630522088510e+00 1.045605060020645718e-10
5.246987951807229322e+00 1.027324086254335336e-10
5.267068273092369246e+00 1.007104672317823005e-10
5.287148594377510058e+00 9.851647377601479908e-11
5.307228915662650870e+00 9.617201079457162717e-11
5.327309236947790794e+00 9.369821551334002333e-11
5.347389558232931606e+00 9.111557877277655375e-11
5.367469879518072418e+00 8.844377776432360662e-11
5.387550200803213230e+00 8.570154096529124597e-11
5.407630522088353153e+00 8.290654320115353819e-11
5.427710843373493965e+00 8.007532844001902483e-11
5.447791164658634777e+00 7.722325771769933478e-11
5.467871485943774701e+00 7.436447948653232986e-11
5.487951807228915513e+00 7.151191966033661240e-11
5.508032128514056325e+00 6.867728867574003758e-11
5.528112449799197137e+00 6.587110299195458086e-11
5.548192771084337949e+00 6.310271859361803615e-11
5.568273092369477872e+00 6.038037423287363614e-11
5.588353413654618684e+00 5.771124233732336191e-11
5.608433734939758608e+00 5.510148571135622414e-11
5.628514056224899420e+00 5.255631836259034790e-11
5.648594377510040232e+00 5.008006898717131819e-11
5.668674698795181044e+00 4.767624584303558490e-11
5.688755020080321856e+00 4.534760192572800442e-11
5.708835341365461780e+00 4.309619953462011800e-11
5.728915662650602592e+00 4.092347347690656275e-11
5.748995983935742515e+00 3.883029230172094992e-11
5.769076305220883327e+00 3.681701708680091374e-11
5.789156626506024139e+00 3.488355741549304618e-11
5.809236947791164951e+00 3.302942428296180654e-11
5.829317269076305763e+00 3.125377975797530186e-11
5.849397590361445687e+00 2.955548330144432791e-11
5.869477911646586499e+00 2.793313470597913050e-11
5.889558232931726423e+00 2.638511367314286618e-11
5.909638554216867234e+00 2.490961608787619068e-11
5.929718875502008046e+00 2.350468708380823115e-11
5.949799196787148858e+00 2.216825101985427780e-11
5.969879518072289670e+00 2.089813850861154309e-11
5.989959839357429594e+00 1.969211065149164309e-11
6.010040160642570406e+00 1.854788064510991774e-11
6.030120481927710330e+00 1.746313292894627049e-11
6.050200803212851142e+00 1.643554004637841192e-11
6.070281124497991954e+00 1.546277739048550504e-11
6.090361445783132766e+00 1.454253600305703585e-11
6.110441767068273577e+00 1.367253359050013133e-11
6.130522088353413501e+00 1.285052391422191810e-11
6.150602409638554313e+00 1.207430470592629536e-11
6.170682730923694237e+00 1.134172425040746712e-11
6.190763052208835049e+00 1.065068677009422916e-11
6.210843373493975861e+00 9.999156737015660822e-12
6.230923694779116673e+00 9.385162229185796472e-12
6.251004016064257485e+00 8.806797439789617893e-12
6.271084337349397408e+00 8.262224439101115558e-12
6.291164658634538220e+00 7.749674280866482115e-12
6.311244979919678144e+00 7.267447537006922695e-12
