# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.014559429209751403e-10
3.520080321285140368e+00 1.005861679535317815e-10
3.540160642570281180e+00 9.972685963296999507e-11
3.560240963855421548e+00 9.888611584314428744e-11
3.580321285140562360e+00 9.807256412564133948e-11
3.600401606425702727e+00 9.729478617853092574e-11
3.620481927710843539e+00 9.656075296102369121e-11
3.640562248995983907e+00 9.587730135396389209e-11
3.660642570281124719e+00 9.524967940696885102e-11
3.680722891566265087e+00 9.468118177602584378e-11
3.700803212851405455e+00 9.417289051452467854e-11
3.720883534136546267e+00 9.372352946225729871e-11
3.740963855421686635e+00 9.332943360595869747e-11
3.761044176706827447e+00 9.298462843025351826e-11
3.781124497991967814e+00 9.268100881880269180e-11
3.801204819277108626e+00 9.240860277331802460e-11
3.821285140562248994e+00 9.215590225173568950e-11
3.841365461847389362e+00 9.191024184052047606e-11
3.861445783132530174e+00 9.165820573661218179e-11
3.881526104417670542e+00 9.138604452250408995e-11
3.901606425702811354e+00 9.108008532790922050e-11
3.921686746987951722e+00 9.072712200589170941e-11
3.941767068273092534e+00 9.031477570445855212e-11
3.961847389558232901e+00 8.983182044533086015e-11
3.981927710843373269e+00 8.926847273859719688e-11
4.002008032128514081e+00 8.861664850849561098e-11
4.022088353413654893e+00 8.787019425519705628e-11
4.042168674698794817e+00 8.702510195150993455e-11
4.062248995983935629e+00 8.607971818834281550e-11
4.082329317269076441e+00 8.503495712719736061e-11
4.102409638554217253e+00 8.389452364969038842e-11
4.122489959839357176e+00 8.266514773713946368e-11
4.142570281124497988e+00 8.135682392973454122e-11
4.162650602409638800e+00 7.998304142683761249e-11
4.182730923694778724e+00 7.856098203430415853e-11
4.202811244979919536e+00 7.711165597775695049e-11
4.222891566265060348e+00 7.565994084654607838e-11
4.242971887550201160e+00 7.423448770319844990e-11
4.263052208835341084e+00 7.286746141433528981e-11
4.283132530120481896e+00 7.159408974697490254e-11
4.303212851405622708e+00 7.045200736177045387e-11
4.323293172690762631e+00 6.948039559053619850e-11
4.343373493975903443e+00 6.871893541947984067e-11
4.363453815261044255e+00 6.820660773904888905e-11
4.383534136546185067e+00 6.798038992573807659e-11
4.403614457831324991e+00 6.807390960277278580e-11
4.423694779116465803e+00 6.851612374240502110e-11
4.443775100401606615e+00 6.933009336328579877e-11
4.463855421686746539e+00 7.053192073586206793e-11
4.483935742971887350e+00 7.212990758141252684e-11
4.504016064257028162e+00 7.412398006326145025e-11
4.524096385542168974e+00 7.650541061345598895e-11
4.544176706827309786e+00 7.925684922200192814e-11
4.564257028112449710e+00 8.235265920309427804e-11
4.584337349397590522e+00 8.575953601656705768e-11
4.604417670682730446e+00 8.943737362095249730e-11
4.624497991967871258e+00 9.334033192253844729e-11
4.644578313253012070e+00 9.741805166899868697e-11
4.664658634538152882e+00 1.016169597679927146e-10
4.684738955823293693e+00 1.058816083169228502e-10
4.704819277108433617e+00 1.101559941687304841e-10
4.724899598393574429e+00 1.143848119968915933e-10
4.744979919678714353e+00 1.185146018174674956e-10
4.765060240963855165e+00 1.224947610041053850e-10
4.785140562248995977e+00 1.262784002598369818e-10
4.805220883534136789e+00 1.298230321478114526e-10
4.825301204819277601e+00 1.330910891216799527e-10
4.845381526104417524e+00 1.360502751722907567e-10
4.865461847389558336e+00 1.386737610055972121e-10
4.885542168674698260e+00 1.409402370077017053e-10
4.905622489959839072e+00 1.428338411710470956e-10
4.925702811244979884e+00 1.443439807721234316e-10
4.945783132530120696e+00 1.454650670855367488e-10
4.965863453815261508e+00 1.461961820035348040e-10
4.985943775100401432e+00 1.465406943245742651e-10
5.006024096385542244e+00 1.465058418902730285e-10
5.026104417670682167e+00 1.461022938759718775e-10
5.046184738955822979e+00 1.453437055350132587e-10
5.066265060240963791e+00 1.442462756864296480e-10
5.086345381526104603e+00 1.428283153127509693e-10
5.106425702811245415e+00 1.411098338616583455e-10
5.126506024096385339e+00 1.391121482589658455e-10
5.146586345381526151e+00 1.368575182568915455e-10
5.166666666666666963e+00 1.343688105611907039e-10
5.186746987951806886e+00 1.316691931930610748e-10
5.206827309236947698e+00 1.287818607297108266e-10
5.226907630522088510e+00 1.257297904106284665e-10
5.246987951807229322e+00 1.225355285735297371e-10
5.267068273092369246e+00 1.192210064741427984e-10
5.287148594377510058e+00 1.158073842287261676e-10
5.307228915662650870e+00 1.123149213812515526e-10
5.327309236947790794e+00 1.087628724247966372e-10
5.347389558232931606e+00 1.051694054876395497e-10
5.367469879518072418e+00 1.015515423197097779e-10
5.387550200803213230e+00 9.792511767713027900e-11
5.407630522088353153e+00 9.430475619573826124e-11
5.427710843373493965e+00 9.070386486389132948e-11
5.447791164658634777e+00 8.713463924658446296e-11
5.467871485943774701e+00 8.360808167344987754e-11
5.487951807228915513e+00 8.013402967953853263e-11
5.508032128514056325e+00 7.672119307704205602e-11
5.528112449799197137e+00 7.337719813566567987e-11
5.548192771084337949e+00 7.010863745671572852e-11
5.568273092369477872e+00 6.692112423873025983e-11
5.588353413654618684e+00 6.381934974845339858e-11
5.608433734939758608e+00 6.080714292807475212e-11
5.628514056224899420e+00 5.788753118604546600e-11
5.648594377510040232e+00 5.506280153280893644e-11
5.668674698795181044e+00 5.233456133298258115e-11
5.688755020080321856e+00 4.970379805072948969e-11
5.708835341365461780e+00 4.717093746427775804e-11
5.728915662650602592e+00 4.473589991806270399e-11
5.748995983935742515e+00 4.239815426626597953e-11
5.769076305220883327e+00 4.015676923928768908e-11
5.789156626506024139e+00 3.801046203480091163e-11
5.809236947791164951e+00 3.595764399751039450e-11
5.829317269076305763e+00 3.399646330675658836e-11
5.849397590361445687e+00 3.212484463893308407e-11
5.869477911646586499e+00 3.034052581269279748e-11
5.889558232931726423e+00 2.864109145953600217e-11
5.909638554216867234e+00 2.702400379107048364e-11
5.929718875502008046e+00 2.548663055752915539e-11
5.949799196787148858e+00 2.402627031052150368e-11
5.969879518072289670e+00 2.264017509701758391e-11
5.989959839357429594e+00 2.132557072170839347e-11
6.010040160642570406e+00 2.007967472164807241e-11
6.030120481927710330e+00 1.889971220092215705e-11
6.050200803212851142e+00 1.778292967442687476e-11
6.070281124497991954e+00 1.672660706909534273e-11
6.090361445783132766e+00 1.572806802841759254e-11
6.110441767068273577e+00 1.478468866221179674e-11
6.130522088353413501e+00 1.389390487859823363e-11
6.150602409638554313e+00 1.305321842926766741e-11
6.170682730923694237e+00 1.226020179264832248e-11
6.190763052208835049e+00 1.151250201265247469e-11
6.210843373493975861e+00 1.080784360349892732e-11
6.230923694779116673e+00 1.014403062379432882e-11
6.251004016064257485e+00 9.518948015740799542e-12
6.271084337349397408e+00 8.930562298110036068e-12
6.291164658634538220e+00 8.376921694566742892e-12
6.311244979919678144e+00 7.856155772097621043e-12
