# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 1.513087543010146278e-10
3.520080321285140368e+00 1.508413638344723238e-10
3.540160642570281180e+00 1.505586193312221480e-10
3.560240963855421548e+00 1.504485599911278971e-10
3.580321285140562360e+00 1.505021537969324458e-10
3.600401606425702727e+00 1.507135811655510569e-10
3.620481927710843539e+00 1.510802664472028891e-10
3.640562248995983907e+00 1.516026472182811585e-10
3.660642570281124719e+00 1.522836911665244930e-10
3.680722891566265087e+00 1.531281896209201544e-10
3.700803212851405455e+00 1.541418737174030298e-10
3.720883534136546267e+00 1.553304123654034945e-10
3.740963855421686635e+00 1.566983595552037065e-10
3.761044176706827447e+00 1.582481215885758063e-10
3.781124497991967814e+00 1.599790125111346475e-10
3.801204819277108626e+00 1.618864588344700966e-10
3.821285140562248994e+00 1.639614034008312624e-10
3.841365461847389362e+00 1.661899440636600430e-10
3.861445783132530174e+00 1.685532269637161463e-10
3.881526104417670542e+00 1.710275978120743093e-10
3.901606425702811354e+00 1.735849988973707000e-10
3.921686746987951722e+00 1.761935855036149147e-10
3.941767068273092534e+00 1.788185238390482922e-10
3.961847389558232901e+00 1.814229239903863390e-10
3.981927710843373269e+00 1.839688561515924773e-10
4.002008032128514081e+00 1.864183965262453707e-10
4.022088353413654893e+00 1.887346507487062073e-10
4.042168674698794817e+00 1.908827071003475901e-10
4.062248995983935629e+00 1.928304787368337999e-10
4.082329317269076441e+00 1.945494029849230702e-10
4.102409638554217253e+00 1.960149758198948958e-10
4.122489959839357176e+00 1.972071101678088729e-10
4.142570281124497988e+00 1.981103169764363097e-10
4.162650602409638800e+00 1.987137174184058398e-10
4.182730923694778724e+00 1.990109025960961377e-10
4.202811244979919536e+00 1.989996633231291402e-10
4.222891566265060348e+00 1.986816167412319536e-10
4.242971887550201160e+00 1.980617586424440973e-10
4.263052208835341084e+00 1.971479705110133545e-10
4.283132530120481896e+00 1.959505087144971986e-10
4.303212851405622708e+00 1.944815002947679278e-10
4.323293172690762631e+00 1.927544658308064738e-10
4.343373493975903443e+00 1.907838852806684560e-10
4.363453815261044255e+00 1.885848179596912422e-10
4.383534136546185067e+00 1.861725832328880874e-10
4.403614457831324991e+00 1.835625043846235868e-10
4.423694779116465803e+00 1.807697146931553452e-10
