# log10(T) rate(cm^3/s)
# Total Recomb Rates
3.500000000000000000e+00 3.019887803552482390e-11
3.520080321285140368e+00 2.963068866400416824e-11
3.540160642570281180e+00 2.910073085479125167e-11
3.560240963855421548e+00 2.860714724442516271e-11
3.580321285140562360e+00 2.814793535437772077e-11
3.600401606425702727e+00 2.772100843068751167e-11
3.620481927710843539e+00 2.732426311691001884e-11
3.640562248995983907e+00 2.695564893487839236e-11
3.660642570281124719e+00 2.661323417086597028e-11
3.680722891566265087e+00 2.629526287155228094e-11
3.700803212851405455e+00 2.600019825597783761e-11
3.720883534136546267e+00 2.572674890861755973e-11
3.740963855421686635e+00 2.547387555314332506e-11
3.761044176706827447e+00 2.524077790199882198e-11
3.781124497991967814e+00 2.502686290117785825e-11
3.801204819277108626e+00 2.483169750738233561e-11
3.821285140562248994e+00 2.465495082064670772e-11
3.841365461847389362e+00 2.449633184181878625e-11
3.861445783132530174e+00 2.435553024341482834e-11
3.881526104417670542e+00 2.423216826529131203e-11
3.901606425702811354e+00 2.412577211949813711e-11
3.921686746987951722e+00 2.403577107079107976e-11
3.941767068273092534e+00 2.396153162329563485e-11
3.961847389558232901e+00 2.390243297920362450e-11
3.981927710843373269e+00 2.385798815246199237e-11
4.002008032128514081e+00 2.382801285259496090e-11
4.022088353413654893e+00 2.381284155619060701e-11
4.042168674698794817e+00 2.381358712822972839e-11
4.062248995983935629e+00 2.383243702620795883e-11
4.082329317269076441e+00 2.387297561160208960e-11
4.102409638554217253e+00 2.394051851823978386e-11
4.122489959839357176e+00 2.404244153183668488e-11
4.142570281124497988e+00 2.418848322002470429e-11
4.162650602409638800e+00 2.439099788967763593e-11
4.182730923694778724e+00 2.466513368453379943e-11
4.202811244979919536e+00 2.502891017101297483e-11
4.222891566265060348e+00 2.550317099982423789e-11
4.242971887550201160e+00 2.611139051700599547e-11
4.263052208835341084e+00 2.687931872565694487e-11
4.283132530120481896e+00 2.783445674226311302e-11
4.303212851405622708e+00 2.900536455037148782e-11
4.323293172690762631e+00 3.042081384766002207e-11
4.343373493975903443e+00 3.210881028206569777e-11
4.363453815261044255e+00 3.409552038530488068e-11
4.383534136546185067e+00 3.640414799380559517e-11
4.403614457831324991e+00 3.905381193190115439e-11
4.423694779116465803e+00 4.205848045506135155e-11
4.443775100401606615e+00 4.542601794451124503e-11
4.463855421686746539e+00 4.915739549583217331e-11
4.483935742971887350e+00 5.324610960459105936e-11
4.504016064257028162e+00 5.767784270229231789e-11
4.524096385542168974e+00 6.243038667255619405e-11
4.544176706827309786e+00 6.747383667505881999e-11
4.564257028112449710e+00 7.277104866844168866e-11
4.584337349397590522e+00 7.827834094503301346e-11
4.604417670682730446e+00 8.394640862152049259e-11
4.624497991967871258e+00 8.972141101921776605e-11
4.644578313253012070e+00 9.554618562555662785e-11
4.664658634538152882e+00 1.013615390196717792e-10
4.684738955823293693e+00 1.071075647051674219e-10
4.704819277108433617e+00 1.127249399644551004e-10
4.724899598393574429e+00 1.181561582266562000e-10
4.744979919678714353e+00 1.233466595255252233e-10
4.765060240963855165e+00 1.282458288724245150e-10
4.785140562248995977e+00 1.328078402419773920e-10
4.805220883534136789e+00 1.369923318650059970e-10
4.825301204819277601e+00 1.407649062129064818e-10
4.845381526104417524e+00 1.440974550932253583e-10
4.865461847389558336e+00 1.469683164041219524e-10
4.885542168674698260e+00 1.493622741542273560e-10
4.905622489959839072e+00 1.512704172680854236e-10
4.925702811244979884e+00 1.526898754638036111e-10
4.945783132530120696e+00 1.536234521667733222e-10
4.965863453815261508e+00 1.540791751143265144e-10
4.985943775100401432e+00 1.540697851444143252e-10
5.006024096385542244e+00 1.536121827970319272e-10
5.026104417670682167e+00 1.527268509455933296e-10
5.046184738955822979e+00 1.514372698677623418e-10
5.066265060240963791e+00 1.497693391007212627e-10
5.086345381526104603e+00 1.477508182271267364e-10
5.106425702811245415e+00 1.454107965081323062e-10
5.126506024096385339e+00 1.427791991013650451e-10
5.146586345381526151e+00 1.398863355373213057e-10
5.166666666666666963e+00 1.367624942221414020e-10
5.186746987951806886e+00 1.334375850179679674e-10
5.206827309236947698e+00 1.299408304421571117e-10
5.226907630522088510e+00 1.263005047328146071e-10
5.246987951807229322e+00 1.225437189536612183e-10
5.267068273092369246e+00 1.186962494548408864e-10
5.287148594377510058e+00 1.147824063631332029e-10
5.307228915662650870e+00 1.108249383367702550e-10
5.327309236947790794e+00 1.068449695743525953e-10
5.347389558232931606e+00 1.028619649973856675e-10
5.367469879518072418e+00 9.889371961001277148e-11
5.387550200803213230e+00 9.495636825129940686e-11
5.407630522088353153e+00 9.106441226491970747e-11
5.427710843373493965e+00 8.723075998611770383e-11
5.447791164658634777e+00 8.346677835409302554e-11
5.467871485943774701e+00 7.978235336928319358e-11
5.487951807228915513e+00 7.618595750340225202e-11
5.508032128514056325e+00 7.268472251535878945e-11
5.528112449799197137e+00 6.928451641498384855e-11
5.548192771084337949e+00 6.599002354262199362e-11
5.568273092369477872e+00 6.280482689645254235e-11
5.588353413654618684e+00 5.973149194687666969e-11
5.608433734939758608e+00 5.677165123847539967e-11
5.628514056224899420e+00 5.392608910736295029e-11
5.648594377510040232e+00 5.119482584848598675e-11
5.668674698795181044e+00 4.857720066608832023e-11
5.688755020080321856e+00 4.607195274196192427e-11
5.708835341365461780e+00 4.367729976845048162e-11
5.728915662650602592e+00 4.139101332181598275e-11
5.748995983935742515e+00 3.921049049899303842e-11
5.769076305220883327e+00 3.713282130681021882e-11
5.789156626506024139e+00 3.515485137523704155e-11
5.809236947791164951e+00 3.327323966134597067e-11
5.829317269076305763e+00 3.148451091381287622e-11
5.849397590361445687e+00 2.978510277389874711e-11
5.869477911646586499e+00 2.817140749311102941e-11
5.889558232931726423e+00 2.663980834580599277e-11
5.909638554216867234e+00 2.518671090331283931e-11
5.929718875502008046e+00 2.380856941212571598e-11
5.949799196787148858e+00 2.250190858064798980e-11
5.969879518072289670e+00 2.126334112616005133e-11
5.989959839357429594e+00 2.008958146618288167e-11
6.010040160642570406e+00 1.897745595698418831e-11
6.030120481927710330e+00 1.792391008789116450e-11
6.050200803212851142e+00 1.692601303495465482e-11
6.070281124497991954e+00 1.598095996319438962e-11
6.090361445783132766e+00 1.508607244503704472e-11
6.110441767068273577e+00 1.423879733551865035e-11
6.130522088353413501e+00 1.343670441410366371e-11
6.150602409638554313e+00 1.267748307015213392e-11
6.170682730923694237e+00 1.195893827550304713e-11
6.190763052208835049e+00 1.127898605446203672e-11
6.210843373493975861e+00 1.063564862958641704e-11
6.230923694779116673e+00 1.002704939171696658e-11
6.251004016064257485e+00 9.451407815192319375e-12
6.271084337349397408e+00 8.907034414385252847e-12
6.291164658634538220e+00 8.392325815764569314e-12
6.311244979919678144e+00 7.905760000628738076e-12
6.331325301204818956e+00 7.445891757396194343e-12
6.351405622489959768e+00 7.011348368723769403e-12
6.371485943775100580e+00 6.600825547552034215e-12
6.391566265060241392e+00 6.213083627214786682e-12
6.411646586345381316e+00 5.846944003745732723e-12
6.431726907630522128e+00 5.501285823217049642e-12
6.451807228915662051e+00 5.175042903103883559e-12
6.471887550200802863e+00 4.867200874050455425e-12
6.491967871485943675e+00 4.576794526802889134e-12
6.512048192771084487e+00 4.302905348272613460e-12
6.532128514056225299e+00 4.044659230531485408e-12
6.552208835341365223e+00 3.801224336862774784e-12
6.572289156626506035e+00 3.571809109672986459e-12
6.592369477911645959e+00 3.355660405999862576e-12
6.612449799196786770e+00 3.152061747442103900e-12
6.632530120481927582e+00 2.960331672515722091e-12
6.652610441767068394e+00 2.779822180652121699e-12
6.672690763052209206e+00 2.609917258252107956e-12
6.692771084337350018e+00 2.450031478364392609e-12
6.712851405622489942e+00 2.299608666644711414e-12
6.732931726907629866e+00 2.158120627256778179e-12
6.753012048192770678e+00 2.025065923290403107e-12
6.773092369477911490e+00 1.899968707090805961e-12
6.793172690763052302e+00 1.782377596616715530e-12
6.813253012048193114e+00 1.671864594575848291e-12
6.833333333333333925e+00 1.568024047629356640e-12
6.853413654618473849e+00 1.470471643418296569e-12
6.873493975903614661e+00 1.378843443551836907e-12
6.893574297188754585e+00 1.292794951016496746e-12
6.913654618473895397e+00 1.212000210725301572e-12
6.933734939759036209e+00 1.136150942133421603e-12
6.953815261044177021e+00 1.064955703008891167e-12
6.973895582329317833e+00 9.981390835708180806e-13
6.993975903614457756e+00 9.354409302985918772e-13
7.014056224899598568e+00 8.766155987798698620e-13
7.034136546184738492e+00 8.214312350074650735e-13
7.054216867469879304e+00 7.696690845598737235e-13
7.074297188755020116e+00 7.211228291113006757e-13
7.094377510040160928e+00 6.755979497174355239e-13
7.114457831325301740e+00 6.329111163162306859e-13
7.134538152610441664e+00 5.928896028705237049e-13
7.154618473895582476e+00 5.553707275636808118e-13
7.174698795180722399e+00 5.202013174421049686e-13
7.194779116465863211e+00 4.872371968805913950e-13
7.214859437751004023e+00 4.563426992294205697e-13
7.234939759036144835e+00 4.273902009861486550e-13
7.255020080321285647e+00 4.002596778212291978e-13
7.275100401606425571e+00 3.748382817749931308e-13
7.295180722891566383e+00 3.510199389345306738e-13
7.315261044176706307e+00 3.287049668927691890e-13
7.335341365461847118e+00 3.077997112884930154e-13
7.355421686746987930e+00 2.882162007253311070e-13
7.375502008032128742e+00 2.698718193695398812e-13
7.395582329317269554e+00 2.526889965308185817e-13
7.415662650602409478e+00 2.365949125370672871e-13
7.435742971887550290e+00 2.215212202228472550e-13
7.455823293172690214e+00 2.074037813621039671e-13
7.475903614457831026e+00 1.941824173882037015e-13
7.495983935742971838e+00 1.818006737584175553e-13
7.516064257028112650e+00 1.702055973353071504e-13
