# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 3.233039999999999746e-33
3.520000000000000018e+00 4.528939999999999820e-32
3.540000000000000036e+00 5.636819999999999981e-31
3.560000000000000053e+00 6.266860000000000182e-30
3.580000000000000071e+00 6.255399999999999552e-29
3.600000000000000089e+00 5.633339999999999975e-28
3.620000000000000107e+00 4.598350000000000228e-27
3.640000000000000124e+00 3.417360000000000040e-26
3.660000000000000142e+00 2.322060000000000019e-25
3.680000000000000160e+00 1.448470000000000041e-24
3.700000000000000178e+00 8.326789999999999447e-24
3.720000000000000195e+00 4.427699999999999898e-23
3.740000000000000213e+00 2.185449999999999985e-22
3.759999999999999787e+00 1.004679999999999978e-21
3.779999999999999805e+00 4.315560000000000343e-21
3.799999999999999822e+00 1.737360000000000120e-20
3.819999999999999840e+00 6.574760000000000087e-20
3.839999999999999858e+00 2.345279999999999896e-19
3.859999999999999876e+00 7.907149999999999560e-19
3.879999999999999893e+00 2.526029999999999878e-18
3.899999999999999911e+00 7.665209999999999598e-18
3.919999999999999929e+00 2.214520000000000139e-17
3.939999999999999947e+00 6.104809999999999797e-17
3.959999999999999964e+00 1.609230000000000119e-16
3.979999999999999982e+00 4.064419999999999886e-16
4.000000000000000000e+00 9.854869999999999147e-16
4.019999999999999574e+00 2.298170000000000029e-15
4.040000000000000036e+00 5.163480000000000039e-15
4.059999999999999609e+00 1.119640000000000026e-14
4.080000000000000071e+00 2.346779999999999846e-14
4.099999999999999645e+00 4.762110000000000067e-14
4.120000000000000107e+00 9.369169999999999951e-14
4.139999999999999680e+00 1.789680000000000004e-13
4.160000000000000142e+00 3.323519999999999858e-13
4.179999999999999716e+00 6.007970000000000097e-13
4.200000000000000178e+00 1.058520000000000017e-12
4.219999999999999751e+00 1.819740000000000080e-12
4.240000000000000213e+00 3.055869999999999983e-12
4.259999999999999787e+00 5.016650000000000035e-12
4.280000000000000249e+00 7.926670000000000595e-12
4.299999999999999822e+00 1.231830000000000013e-11
4.320000000000000284e+00 1.883000000000000115e-11
4.339999999999999858e+00 2.831790000000000155e-11
4.360000000000000320e+00 4.190830000000000147e-11
4.379999999999999893e+00 6.105079999999999508e-11
4.400000000000000355e+00 8.758059999999999378e-11
4.419999999999999929e+00 1.237700000000000027e-10
4.440000000000000391e+00 1.723909999999999944e-10
4.459999999999999964e+00 2.367520000000000009e-10
4.480000000000000426e+00 3.207609999999999949e-10
4.500000000000000000e+00 4.289200000000000036e-10
4.519999999999999574e+00 5.663770000000000388e-10
4.540000000000000036e+00 7.388849999999999770e-10
4.559999999999999609e+00 9.528119999999999560e-10
4.580000000000000071e+00 1.215079999999999903e-09
4.599999999999999645e+00 1.533119999999999975e-09
4.620000000000000107e+00 1.914790000000000168e-09
4.639999999999999680e+00 2.368259999999999843e-09
4.660000000000000142e+00 2.901970000000000061e-09
4.679999999999999716e+00 3.524439999999999877e-09
4.700000000000000178e+00 4.244170000000000245e-09
4.719999999999999751e+00 5.069500000000000330e-09
4.740000000000000213e+00 6.008590000000000238e-09
4.769999999999999574e+00 7.069070000000000281e-09
4.790000000000000036e+00 8.258090000000000793e-09
4.809999999999999609e+00 9.582180000000000508e-09
4.830000000000000071e+00 1.104710000000000004e-08
4.849999999999999645e+00 1.265789999999999948e-08
4.870000000000000107e+00 1.441830000000000014e-08
4.889999999999999680e+00 1.633149999999999970e-08
4.910000000000000142e+00 1.839949999999999876e-08
4.929999999999999716e+00 2.062310000000000088e-08
4.950000000000000178e+00 2.300209999999999856e-08
4.969999999999999751e+00 2.553529999999999970e-08
4.990000000000000213e+00 2.822039999999999904e-08
5.009999999999999787e+00 3.105379999999999713e-08
5.030000000000000249e+00 3.403110000000000090e-08
5.049999999999999822e+00 3.714690000000000290e-08
5.070000000000000284e+00 4.039499999999999875e-08
5.089999999999999858e+00 4.376799999999999858e-08
5.110000000000000320e+00 4.725799999999999873e-08
5.129999999999999893e+00 5.085629999999999860e-08
5.150000000000000355e+00 5.455380000000000242e-08
5.169999999999999929e+00 5.834049999999999887e-08
5.190000000000000391e+00 6.220629999999999766e-08
5.209999999999999964e+00 6.614049999999999592e-08
5.230000000000000426e+00 7.013240000000000403e-08
5.250000000000000000e+00 7.417079999999999868e-08
5.269999999999999574e+00 7.824469999999999389e-08
5.290000000000000036e+00 8.234319999999999582e-08
5.309999999999999609e+00 8.645509999999999441e-08
5.330000000000000071e+00 9.056940000000000366e-08
5.349999999999999645e+00 9.467550000000000626e-08
5.370000000000000107e+00 9.876320000000000653e-08
5.389999999999999680e+00 1.028220000000000058e-07
5.410000000000000142e+00 1.068429999999999992e-07
5.429999999999999716e+00 1.108160000000000044e-07
5.450000000000000178e+00 1.147319999999999980e-07
5.469999999999999751e+00 1.185839999999999983e-07
5.490000000000000213e+00 1.223619999999999941e-07
5.509999999999999787e+00 1.260610000000000063e-07
5.530000000000000249e+00 1.296729999999999992e-07
5.549999999999999822e+00 1.331909999999999914e-07
5.570000000000000284e+00 1.366110000000000048e-07
5.589999999999999858e+00 1.399260000000000050e-07
5.610000000000000320e+00 1.431319999999999876e-07
5.629999999999999893e+00 1.462250000000000008e-07
5.650000000000000355e+00 1.492009999999999872e-07
5.669999999999999929e+00 1.520579999999999975e-07
5.690000000000000391e+00 1.547909999999999995e-07
5.709999999999999964e+00 1.573999999999999933e-07
5.730000000000000426e+00 1.598830000000000030e-07
5.750000000000000000e+00 1.622369999999999988e-07
5.769999999999999574e+00 1.644620000000000072e-07
5.790000000000000036e+00 1.665580000000000016e-07
5.809999999999999609e+00 1.685250000000000085e-07
5.830000000000000071e+00 1.703620000000000004e-07
5.849999999999999645e+00 1.720690000000000038e-07
5.870000000000000107e+00 1.736489999999999954e-07
5.889999999999999680e+00 1.751020000000000019e-07
5.910000000000000142e+00 1.764279999999999967e-07
5.929999999999999716e+00 1.776300000000000097e-07
5.950000000000000178e+00 1.787099999999999902e-07
5.969999999999999751e+00 1.796679999999999913e-07
5.990000000000000213e+00 1.805089999999999920e-07
6.009999999999999787e+00 1.812329999999999924e-07
6.030000000000000249e+00 1.818429999999999959e-07
6.049999999999999822e+00 1.823410000000000047e-07
