# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 2.802599999999999909e-45
4.040000000000000036e+00 9.248570000000000938e-44
4.059999999999999609e+00 3.393940000000000110e-42
4.080000000000000071e+00 1.053649999999999970e-40
4.099999999999999645e+00 2.803280000000000053e-39
4.120000000000000107e+00 6.437860000000000492e-38
4.139999999999999680e+00 1.284609999999999949e-36
4.160000000000000142e+00 2.241210000000000027e-35
4.179999999999999716e+00 3.439889999999999819e-34
4.200000000000000178e+00 4.671899999999999765e-33
4.219999999999999751e+00 5.645560000000000357e-32
4.240000000000000213e+00 6.101660000000000233e-31
4.259999999999999787e+00 5.928400000000000309e-30
4.280000000000000249e+00 5.203339999999999658e-29
4.299999999999999822e+00 4.144140000000000153e-28
4.320000000000000284e+00 3.008460000000000067e-27
4.339999999999999858e+00 1.998899999999999919e-26
4.360000000000000320e+00 1.220520000000000043e-25
4.379999999999999893e+00 6.874379999999999950e-25
4.400000000000000355e+00 3.584870000000000237e-24
4.419999999999999929e+00 1.736760000000000042e-23
4.440000000000000391e+00 7.843609999999999584e-23
4.459999999999999964e+00 3.312409999999999954e-22
4.480000000000000426e+00 1.312119999999999951e-21
4.500000000000000000e+00 4.889099999999999854e-21
4.519999999999999574e+00 1.718450000000000089e-20
4.540000000000000036e+00 5.712460000000000205e-20
4.559999999999999609e+00 1.800540000000000041e-19
4.580000000000000071e+00 5.393820000000000200e-19
4.599999999999999645e+00 1.539310000000000093e-18
4.620000000000000107e+00 4.193899999999999694e-18
4.639999999999999680e+00 1.093189999999999959e-17
4.660000000000000142e+00 2.731729999999999869e-17
4.679999999999999716e+00 6.556349999999999784e-17
4.700000000000000178e+00 1.514090000000000115e-16
4.719999999999999751e+00 3.370309999999999934e-16
4.740000000000000213e+00 7.243490000000000089e-16
4.769999999999999574e+00 1.505450000000000037e-15
4.790000000000000036e+00 3.030220000000000160e-15
4.809999999999999609e+00 5.915740000000000158e-15
4.830000000000000071e+00 1.121700000000000063e-14
4.849999999999999645e+00 2.068439999999999982e-14
4.870000000000000107e+00 3.714049999999999835e-14
4.889999999999999680e+00 6.501619999999999967e-14
4.910000000000000142e+00 1.110880000000000033e-13
4.929999999999999716e+00 1.854609999999999960e-13
4.950000000000000178e+00 3.011459999999999974e-13
4.969999999999999751e+00 4.729299999999999851e-13
4.990000000000000213e+00 7.305979999999999935e-13
5.009999999999999787e+00 1.110379999999999960e-12
5.030000000000000249e+00 1.660529999999999994e-12
5.049999999999999822e+00 2.444079999999999820e-12
5.070000000000000284e+00 3.541660000000000077e-12
5.089999999999999858e+00 5.054529999999999870e-12
5.110000000000000320e+00 7.107320000000000052e-12
5.129999999999999893e+00 9.850770000000000444e-12
5.150000000000000355e+00 1.346430000000000029e-11
5.169999999999999929e+00 1.815669999999999997e-11
5.190000000000000391e+00 2.416900000000000011e-11
5.209999999999999964e+00 3.177259999999999893e-11
5.230000000000000426e+00 4.126999999999999681e-11
5.250000000000000000e+00 5.299219999999999951e-11
5.269999999999999574e+00 6.729720000000000207e-11
5.290000000000000036e+00 8.456520000000000644e-11
5.309999999999999609e+00 1.051950000000000048e-10
5.330000000000000071e+00 1.295959999999999886e-10
5.349999999999999645e+00 1.581859999999999902e-10
5.370000000000000107e+00 1.913869999999999978e-10
5.389999999999999680e+00 2.296110000000000046e-10
5.410000000000000142e+00 2.732550000000000040e-10
5.429999999999999716e+00 3.227019999999999988e-10
5.450000000000000178e+00 3.783090000000000013e-10
5.469999999999999751e+00 4.404020000000000163e-10
5.490000000000000213e+00 5.092649999999999986e-10
5.509999999999999787e+00 5.851469999999999647e-10
5.530000000000000249e+00 6.682549999999999842e-10
5.549999999999999822e+00 7.587420000000000254e-10
5.570000000000000284e+00 8.567149999999999724e-10
5.589999999999999858e+00 9.622319999999999090e-10
5.610000000000000320e+00 1.075299999999999999e-09
5.629999999999999893e+00 1.195880000000000010e-09
5.650000000000000355e+00 1.323870000000000103e-09
5.669999999999999929e+00 1.459150000000000074e-09
5.690000000000000391e+00 1.601520000000000070e-09
5.709999999999999964e+00 1.750780000000000028e-09
5.730000000000000426e+00 1.906649999999999821e-09
5.750000000000000000e+00 2.068859999999999823e-09
5.769999999999999574e+00 2.237079999999999889e-09
5.790000000000000036e+00 2.410949999999999827e-09
5.809999999999999609e+00 2.590130000000000030e-09
5.830000000000000071e+00 2.774210000000000080e-09
5.849999999999999645e+00 2.962800000000000150e-09
5.870000000000000107e+00 3.155489999999999823e-09
5.889999999999999680e+00 3.351839999999999873e-09
5.910000000000000142e+00 3.551439999999999887e-09
5.929999999999999716e+00 3.753860000000000104e-09
5.950000000000000178e+00 3.958660000000000059e-09
5.969999999999999751e+00 4.165399999999999699e-09
5.990000000000000213e+00 4.373679999999999728e-09
6.009999999999999787e+00 4.583059999999999681e-09
6.030000000000000249e+00 4.793099999999999920e-09
6.049999999999999822e+00 5.003420000000000078e-09
6.070000000000000284e+00 5.213600000000000277e-09
6.089999999999999858e+00 5.423250000000000272e-09
6.110000000000000320e+00 5.631969999999999940e-09
6.129999999999999893e+00 5.839400000000000329e-09
6.150000000000000355e+00 6.045160000000000247e-09
6.169999999999999929e+00 6.248899999999999793e-09
6.190000000000000391e+00 6.450260000000000016e-09
6.209999999999999964e+00 6.648929999999999703e-09
6.230000000000000426e+00 6.844580000000000367e-09
6.250000000000000000e+00 7.036909999999999846e-09
6.269999999999999574e+00 7.225620000000000118e-09
6.290000000000000036e+00 7.410429999999999607e-09
6.309999999999999609e+00 7.591080000000000632e-09
6.330000000000000071e+00 7.767310000000000550e-09
6.349999999999999645e+00 7.938880000000000610e-09
6.370000000000000107e+00 8.105580000000000045e-09
6.389999999999999680e+00 8.267199999999999741e-09
6.410000000000000142e+00 8.423540000000000465e-09
6.429999999999999716e+00 8.574429999999999310e-09
6.450000000000000178e+00 8.719699999999999988e-09
6.469999999999999751e+00 8.859209999999999230e-09
6.490000000000000213e+00 8.992820000000000385e-09
6.509999999999999787e+00 9.120419999999999820e-09
6.530000000000000249e+00 9.241900000000000521e-09
6.549999999999999822e+00 9.357180000000000148e-09
6.570000000000000284e+00 9.466179999999999668e-09
6.589999999999999858e+00 9.568849999999999687e-09
6.610000000000000320e+00 9.665150000000000688e-09
6.629999999999999893e+00 9.755049999999999726e-09
6.650000000000000355e+00 9.838520000000000473e-09
6.669999999999999929e+00 9.915579999999999378e-09
6.690000000000000391e+00 9.986249999999999507e-09
6.709999999999999964e+00 1.005049999999999957e-08
6.730000000000000426e+00 1.010850000000000082e-08
6.750000000000000000e+00 1.016010000000000010e-08
6.769999999999999574e+00 1.020560000000000041e-08
6.790000000000000036e+00 1.024489999999999964e-08
6.809999999999999609e+00 1.027809999999999990e-08
6.830000000000000071e+00 1.030529999999999997e-08
6.849999999999999645e+00 1.032670000000000075e-08
6.870000000000000107e+00 1.034230000000000057e-08
6.889999999999999680e+00 1.035230000000000033e-08
6.910000000000000142e+00 1.035680000000000047e-08
6.929999999999999716e+00 1.035589999999999978e-08
6.950000000000000178e+00 1.034980000000000080e-08
6.969999999999999751e+00 1.033850000000000023e-08
6.990000000000000213e+00 1.032239999999999984e-08
7.009999999999999787e+00 1.030139999999999919e-08
7.030000000000000249e+00 1.027579999999999961e-08
7.049999999999999822e+00 1.024569999999999989e-08
7.070000000000000284e+00 1.021120000000000047e-08
7.089999999999999858e+00 1.017259999999999939e-08
7.110000000000000320e+00 1.013000000000000038e-08
7.129999999999999893e+00 1.008359999999999938e-08
7.150000000000000355e+00 1.003339999999999970e-08
7.169999999999999929e+00 9.979740000000000529e-09
7.190000000000000391e+00 9.922679999999999488e-09
7.209999999999999964e+00 9.862399999999999361e-09
7.230000000000000426e+00 9.799040000000000109e-09
7.259999999999999787e+00 9.732759999999999796e-09
7.280000000000000249e+00 9.663709999999999916e-09
7.299999999999999822e+00 9.592020000000000549e-09
7.320000000000000284e+00 9.517849999999999760e-09
7.339999999999999858e+00 9.441309999999999526e-09
7.360000000000000320e+00 9.362559999999999565e-09
7.379999999999999893e+00 9.281720000000000080e-09
7.400000000000000355e+00 9.198909999999999618e-09
7.419999999999999929e+00 9.114259999999999916e-09
7.440000000000000391e+00 9.027889999999999520e-09
7.459999999999999964e+00 8.939900000000000530e-09
7.480000000000000426e+00 8.850419999999999718e-09
7.500000000000000000e+00 8.759549999999999183e-09
7.519999999999999574e+00 8.667410000000000782e-09
7.540000000000000036e+00 8.574070000000000357e-09
7.559999999999999609e+00 8.479659999999999646e-09
7.580000000000000071e+00 8.384249999999999456e-09
7.599999999999999645e+00 8.287940000000000230e-09
7.620000000000000107e+00 8.190830000000000758e-09
7.639999999999999680e+00 8.092990000000000195e-09
7.660000000000000142e+00 7.994499999999999225e-09
7.679999999999999716e+00 7.895459999999999947e-09
7.700000000000000178e+00 7.795920000000000103e-09
7.719999999999999751e+00 7.695980000000000136e-09
7.740000000000000213e+00 7.595699999999999320e-09
7.759999999999999787e+00 7.495150000000000117e-09
7.780000000000000249e+00 7.394400000000000025e-09
7.799999999999999822e+00 7.293509999999999974e-09
7.820000000000000284e+00 7.192549999999999942e-09
7.839999999999999858e+00 7.091580000000000031e-09
7.860000000000000320e+00 6.990660000000000342e-09
7.879999999999999893e+00 6.889840000000000270e-09
7.900000000000000355e+00 6.789189999999999796e-09
7.919999999999999929e+00 6.688740000000000210e-09
7.940000000000000391e+00 6.588569999999999717e-09
7.959999999999999964e+00 6.488699999999999730e-09
7.980000000000000426e+00 6.389210000000000108e-09
8.000000000000000000e+00 6.290119999999999781e-09
8.019999999999999574e+00 6.191489999999999678e-09
8.039999999999999147e+00 6.093350000000000263e-09
8.060000000000000497e+00 5.995750000000000104e-09
8.080000000000000071e+00 5.898730000000000371e-09
8.099999999999999645e+00 5.802319999999999873e-09
8.119999999999999218e+00 5.706559999999999782e-09
8.140000000000000568e+00 5.611489999999999613e-09
8.160000000000000142e+00 5.517129999999999951e-09
8.179999999999999716e+00 5.423520000000000313e-09
8.199999999999999289e+00 5.330690000000000335e-09
8.220000000000000639e+00 5.238669999999999654e-09
8.240000000000000213e+00 5.147479999999999682e-09
8.259999999999999787e+00 5.057140000000000178e-09
8.279999999999999361e+00 4.967689999999999831e-09
8.300000000000000711e+00 4.879130000000000293e-09
8.320000000000000284e+00 4.791490000000000377e-09
8.339999999999999858e+00 4.704789999999999839e-09
8.359999999999999432e+00 4.619050000000000091e-09
8.380000000000000782e+00 4.534280000000000187e-09
8.400000000000000355e+00 4.450499999999999883e-09
8.419999999999999929e+00 4.367719999999999885e-09
8.439999999999999503e+00 4.285959999999999952e-09
8.460000000000000853e+00 4.205210000000000205e-09
8.480000000000000426e+00 4.125500000000000281e-09
8.500000000000000000e+00 4.046820000000000300e-09
