# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 2.662469999999999851e-44
4.139999999999999680e+00 1.010339999999999993e-42
4.160000000000000142e+00 3.220740000000000159e-41
4.179999999999999716e+00 8.795040000000000232e-40
4.200000000000000178e+00 2.070630000000000100e-38
4.219999999999999751e+00 4.230960000000000415e-37
4.240000000000000213e+00 7.550729999999999841e-36
4.259999999999999787e+00 1.184259999999999938e-34
4.280000000000000249e+00 1.641980000000000018e-33
4.299999999999999822e+00 2.023569999999999988e-32
4.320000000000000284e+00 2.228759999999999899e-31
4.339999999999999858e+00 2.204769999999999883e-30
4.360000000000000320e+00 1.968630000000000140e-29
4.379999999999999893e+00 1.593809999999999889e-28
4.400000000000000355e+00 1.175280000000000055e-27
4.419999999999999929e+00 7.926390000000000271e-27
4.440000000000000391e+00 4.909409999999999742e-26
4.459999999999999964e+00 2.803070000000000062e-25
4.480000000000000426e+00 1.480890000000000004e-24
4.500000000000000000e+00 7.264169999999999829e-24
4.519999999999999574e+00 3.319790000000000289e-23
4.540000000000000036e+00 1.417940000000000103e-22
4.559999999999999609e+00 5.677820000000000157e-22
4.580000000000000071e+00 2.137569999999999908e-21
4.599999999999999645e+00 7.587730000000000213e-21
4.620000000000000107e+00 2.546159999999999850e-20
4.639999999999999680e+00 8.097569999999999680e-20
4.660000000000000142e+00 2.446730000000000230e-19
4.679999999999999716e+00 7.039999999999999710e-19
4.700000000000000178e+00 1.933139999999999869e-18
4.719999999999999751e+00 5.076750000000000354e-18
4.740000000000000213e+00 1.277690000000000017e-17
4.769999999999999574e+00 3.087500000000000250e-17
4.790000000000000036e+00 7.176599999999999854e-17
4.809999999999999609e+00 1.607439999999999945e-16
4.830000000000000071e+00 3.475250000000000116e-16
4.849999999999999645e+00 7.263770000000000292e-16
4.870000000000000107e+00 1.470000000000000024e-15
4.889999999999999680e+00 2.884650000000000045e-15
4.910000000000000142e+00 5.496680000000000011e-15
4.929999999999999716e+00 1.018379999999999954e-14
4.950000000000000178e+00 1.836809999999999963e-14
4.969999999999999751e+00 3.229239999999999753e-14
4.990000000000000213e+00 5.540180000000000027e-14
5.009999999999999787e+00 9.285440000000000620e-14
5.030000000000000249e+00 1.518219999999999967e-13
5.049999999999999822e+00 2.384130000000000061e-13
5.070000000000000284e+00 3.685659999999999767e-13
5.089999999999999858e+00 5.608739999999999989e-13
5.110000000000000320e+00 8.402520000000000228e-13
5.129999999999999893e+00 1.239360000000000083e-12
5.150000000000000355e+00 1.800160000000000076e-12
5.169999999999999929e+00 2.575570000000000101e-12
5.190000000000000391e+00 3.631049999999999962e-12
5.209999999999999964e+00 5.045779999999999933e-12
5.230000000000000426e+00 6.914529999999999619e-12
5.250000000000000000e+00 9.347929999999999327e-12
5.269999999999999574e+00 1.247349999999999931e-11
5.290000000000000036e+00 1.643610000000000102e-11
5.309999999999999609e+00 2.139629999999999840e-11
5.330000000000000071e+00 2.753099999999999972e-11
5.349999999999999645e+00 3.503160000000000029e-11
5.370000000000000107e+00 4.410130000000000233e-11
5.389999999999999680e+00 5.495399999999999707e-11
5.410000000000000142e+00 6.780959999999999815e-11
5.429999999999999716e+00 8.289400000000000605e-11
5.450000000000000178e+00 1.004329999999999958e-10
5.469999999999999751e+00 1.206490000000000091e-10
5.490000000000000213e+00 1.437610000000000116e-10
5.509999999999999787e+00 1.699779999999999997e-10
5.530000000000000249e+00 1.994970000000000091e-10
5.549999999999999822e+00 2.324989999999999899e-10
5.570000000000000284e+00 2.691499999999999960e-10
5.589999999999999858e+00 3.095939999999999961e-10
5.610000000000000320e+00 3.539589999999999768e-10
5.629999999999999893e+00 4.023459999999999773e-10
5.650000000000000355e+00 4.548350000000000118e-10
5.669999999999999929e+00 5.114860000000000264e-10
5.690000000000000391e+00 5.723320000000000456e-10
5.709999999999999964e+00 6.373859999999999742e-10
5.730000000000000426e+00 7.066350000000000109e-10
5.750000000000000000e+00 7.800520000000000273e-10
5.769999999999999574e+00 8.575839999999999825e-10
5.790000000000000036e+00 9.391589999999999826e-10
5.809999999999999609e+00 1.024689999999999902e-09
5.830000000000000071e+00 1.114079999999999941e-09
5.849999999999999645e+00 1.207190000000000047e-09
5.870000000000000107e+00 1.303900000000000016e-09
5.889999999999999680e+00 1.404049999999999923e-09
5.910000000000000142e+00 1.507500000000000016e-09
5.929999999999999716e+00 1.614059999999999904e-09
5.950000000000000178e+00 1.723549999999999906e-09
5.969999999999999751e+00 1.835789999999999923e-09
5.990000000000000213e+00 1.950569999999999810e-09
6.009999999999999787e+00 2.067689999999999919e-09
6.030000000000000249e+00 2.186930000000000016e-09
6.049999999999999822e+00 2.308069999999999868e-09
6.070000000000000284e+00 2.430890000000000071e-09
6.089999999999999858e+00 2.555169999999999977e-09
6.110000000000000320e+00 2.680649999999999837e-09
6.129999999999999893e+00 2.807109999999999832e-09
6.150000000000000355e+00 2.934309999999999972e-09
6.169999999999999929e+00 3.062009999999999852e-09
6.190000000000000391e+00 3.189960000000000015e-09
6.209999999999999964e+00 3.317929999999999936e-09
6.230000000000000426e+00 3.445670000000000158e-09
6.250000000000000000e+00 3.572950000000000157e-09
6.269999999999999574e+00 3.699529999999999942e-09
6.290000000000000036e+00 3.825189999999999692e-09
6.309999999999999609e+00 3.949680000000000365e-09
6.330000000000000071e+00 4.072790000000000367e-09
6.349999999999999645e+00 4.194309999999999757e-09
6.370000000000000107e+00 4.314009999999999664e-09
6.389999999999999680e+00 4.431709999999999785e-09
6.410000000000000142e+00 4.547190000000000300e-09
6.429999999999999716e+00 4.660270000000000079e-09
6.450000000000000178e+00 4.770780000000000352e-09
6.469999999999999751e+00 4.878539999999999988e-09
6.490000000000000213e+00 4.983390000000000097e-09
6.509999999999999787e+00 5.085180000000000011e-09
6.530000000000000249e+00 5.183769999999999771e-09
6.549999999999999822e+00 5.279020000000000243e-09
6.570000000000000284e+00 5.370820000000000278e-09
6.589999999999999858e+00 5.459049999999999672e-09
6.610000000000000320e+00 5.543620000000000343e-09
6.629999999999999893e+00 5.624440000000000070e-09
6.650000000000000355e+00 5.701419999999999943e-09
6.669999999999999929e+00 5.774519999999999618e-09
6.690000000000000391e+00 5.843660000000000064e-09
6.709999999999999964e+00 5.908800000000000110e-09
6.730000000000000426e+00 5.969919999999999998e-09
6.750000000000000000e+00 6.026980000000000212e-09
6.769999999999999574e+00 6.079979999999999926e-09
6.790000000000000036e+00 6.128910000000000087e-09
6.809999999999999609e+00 6.173769999999999868e-09
6.830000000000000071e+00 6.214579999999999854e-09
6.849999999999999645e+00 6.251369999999999682e-09
6.870000000000000107e+00 6.284159999999999938e-09
6.889999999999999680e+00 6.313000000000000017e-09
6.910000000000000142e+00 6.337930000000000260e-09
6.929999999999999716e+00 6.359009999999999944e-09
6.950000000000000178e+00 6.376299999999999994e-09
6.969999999999999751e+00 6.389870000000000393e-09
6.990000000000000213e+00 6.399779999999999587e-09
7.009999999999999787e+00 6.406119999999999794e-09
7.030000000000000249e+00 6.408970000000000048e-09
7.049999999999999822e+00 6.408420000000000086e-09
7.070000000000000284e+00 6.404539999999999889e-09
7.089999999999999858e+00 6.397439999999999779e-09
7.110000000000000320e+00 6.387210000000000322e-09
7.129999999999999893e+00 6.373950000000000308e-09
7.150000000000000355e+00 6.357750000000000302e-09
7.169999999999999929e+00 6.338719999999999800e-09
7.190000000000000391e+00 6.316950000000000194e-09
7.209999999999999964e+00 6.292550000000000154e-09
7.230000000000000426e+00 6.265620000000000124e-09
7.259999999999999787e+00 6.236249999999999842e-09
7.280000000000000249e+00 6.204560000000000337e-09
7.299999999999999822e+00 6.170639999999999693e-09
7.320000000000000284e+00 6.134580000000000130e-09
7.339999999999999858e+00 6.096500000000000196e-09
7.360000000000000320e+00 6.056479999999999749e-09
7.379999999999999893e+00 6.014610000000000182e-09
7.400000000000000355e+00 5.971000000000000164e-09
7.419999999999999929e+00 5.925740000000000260e-09
7.440000000000000391e+00 5.878910000000000330e-09
7.459999999999999964e+00 5.830600000000000111e-09
7.480000000000000426e+00 5.780890000000000290e-09
7.500000000000000000e+00 5.729890000000000362e-09
7.519999999999999574e+00 5.677649999999999724e-09
7.540000000000000036e+00 5.624269999999999646e-09
7.559999999999999609e+00 5.569820000000000108e-09
7.580000000000000071e+00 5.514370000000000263e-09
7.599999999999999645e+00 5.457999999999999971e-09
7.620000000000000107e+00 5.400780000000000038e-09
7.639999999999999680e+00 5.342779999999999618e-09
7.660000000000000142e+00 5.284059999999999639e-09
7.679999999999999716e+00 5.224690000000000080e-09
7.700000000000000178e+00 5.164730000000000217e-09
7.719999999999999751e+00 5.104230000000000271e-09
7.740000000000000213e+00 5.043270000000000101e-09
7.759999999999999787e+00 4.981880000000000171e-09
7.780000000000000249e+00 4.920140000000000341e-09
7.799999999999999822e+00 4.858080000000000247e-09
7.820000000000000284e+00 4.795769999999999870e-09
7.839999999999999858e+00 4.733239999999999673e-09
7.860000000000000320e+00 4.670539999999999880e-09
7.879999999999999893e+00 4.607729999999999762e-09
7.900000000000000355e+00 4.544839999999999786e-09
7.919999999999999929e+00 4.481910000000000294e-09
7.940000000000000391e+00 4.418989999999999854e-09
7.959999999999999964e+00 4.356109999999999757e-09
7.980000000000000426e+00 4.293310000000000346e-09
8.000000000000000000e+00 4.230630000000000310e-09
8.019999999999999574e+00 4.168090000000000234e-09
8.039999999999999147e+00 4.105729999999999635e-09
8.060000000000000497e+00 4.043589999999999682e-09
8.080000000000000071e+00 3.981700000000000012e-09
8.099999999999999645e+00 3.920069999999999678e-09
8.119999999999999218e+00 3.858739999999999850e-09
8.140000000000000568e+00 3.797730000000000285e-09
8.160000000000000142e+00 3.737069999999999793e-09
8.179999999999999716e+00 3.676790000000000080e-09
8.199999999999999289e+00 3.616889999999999904e-09
8.220000000000000639e+00 3.557419999999999902e-09
8.240000000000000213e+00 3.498380000000000073e-09
8.259999999999999787e+00 3.439790000000000175e-09
8.279999999999999361e+00 3.381679999999999845e-09
8.300000000000000711e+00 3.324049999999999911e-09
8.320000000000000284e+00 3.266930000000000009e-09
8.339999999999999858e+00 3.210320000000000139e-09
8.359999999999999432e+00 3.154259999999999818e-09
8.380000000000000782e+00 3.098730000000000114e-09
8.400000000000000355e+00 3.043770000000000130e-09
8.419999999999999929e+00 2.989379999999999866e-09
8.439999999999999503e+00 2.935570000000000028e-09
8.460000000000000853e+00 2.882340000000000202e-09
8.480000000000000426e+00 2.829720000000000026e-09
8.500000000000000000e+00 2.777700000000000034e-09
