# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 2.522340000000000043e-44
4.280000000000000249e+00 8.996339999999999741e-43
4.299999999999999822e+00 2.786200000000000200e-41
4.320000000000000284e+00 7.402719999999999824e-40
4.339999999999999858e+00 1.697629999999999933e-38
4.360000000000000320e+00 3.382999999999999838e-37
4.379999999999999893e+00 5.894829999999999810e-36
4.400000000000000355e+00 9.037379999999999502e-35
4.419999999999999929e+00 1.225939999999999915e-33
4.440000000000000391e+00 1.479820000000000030e-32
4.459999999999999964e+00 1.597729999999999891e-31
4.480000000000000426e+00 1.550900000000000049e-30
4.500000000000000000e+00 1.359860000000000137e-29
4.519999999999999574e+00 1.082120000000000094e-28
4.540000000000000036e+00 7.848549999999999899e-28
4.559999999999999609e+00 5.210729999999999914e-27
4.580000000000000071e+00 3.179019999999999893e-26
4.599999999999999645e+00 1.789260000000000012e-25
4.620000000000000107e+00 9.323570000000000427e-25
4.639999999999999680e+00 4.513929999999999975e-24
4.660000000000000142e+00 2.037250000000000045e-23
4.679999999999999716e+00 8.598399999999999752e-23
4.700000000000000178e+00 3.403870000000000213e-22
4.719999999999999751e+00 1.267599999999999917e-21
4.740000000000000213e+00 4.453030000000000053e-21
4.769999999999999574e+00 1.479539999999999977e-20
4.790000000000000036e+00 4.660999999999999937e-20
4.809999999999999609e+00 1.395620000000000022e-19
4.830000000000000071e+00 3.981080000000000178e-19
4.849999999999999645e+00 1.084220000000000036e-18
4.870000000000000107e+00 2.824989999999999865e-18
4.889999999999999680e+00 7.056309999999999703e-18
4.910000000000000142e+00 1.692930000000000128e-17
4.929999999999999716e+00 3.908229999999999734e-17
4.950000000000000178e+00 8.696609999999999826e-17
4.969999999999999751e+00 1.868439999999999897e-16
4.990000000000000213e+00 3.882050000000000140e-16
5.009999999999999787e+00 7.811590000000000386e-16
5.030000000000000249e+00 1.524609999999999939e-15
5.049999999999999822e+00 2.890019999999999972e-15
5.070000000000000284e+00 5.327880000000000108e-15
5.089999999999999858e+00 9.564299999999999633e-15
5.110000000000000320e+00 1.673900000000000004e-14
5.129999999999999893e+00 2.859379999999999853e-14
5.150000000000000355e+00 4.772720000000000135e-14
5.169999999999999929e+00 7.717569999999999699e-14
5.190000000000000391e+00 1.198549999999999977e-13
5.209999999999999964e+00 1.836880000000000045e-13
5.230000000000000426e+00 2.777230000000000173e-13
5.250000000000000000e+00 4.140790000000000171e-13
5.269999999999999574e+00 6.086689999999999988e-13
5.290000000000000036e+00 8.820270000000000140e-13
5.309999999999999609e+00 1.260030000000000034e-12
5.330000000000000071e+00 1.774639999999999999e-12
5.349999999999999645e+00 2.464830000000000111e-12
5.370000000000000107e+00 3.376999999999999848e-12
5.389999999999999680e+00 4.565570000000000306e-12
5.410000000000000142e+00 6.093230000000000281e-12
5.429999999999999716e+00 8.031209999999999259e-12
5.450000000000000178e+00 1.045920000000000051e-11
5.469999999999999751e+00 1.346489999999999930e-11
5.490000000000000213e+00 1.714380000000000133e-11
5.509999999999999787e+00 2.159810000000000023e-11
5.530000000000000249e+00 2.693660000000000136e-11
5.549999999999999822e+00 3.327309999999999804e-11
5.570000000000000284e+00 4.072529999999999894e-11
5.589999999999999858e+00 4.941390000000000294e-11
5.610000000000000320e+00 5.946250000000000275e-11
5.629999999999999893e+00 7.099450000000000491e-11
5.650000000000000355e+00 8.413140000000000480e-11
5.669999999999999929e+00 9.899480000000000385e-11
5.690000000000000391e+00 1.157039999999999941e-10
5.709999999999999964e+00 1.343749999999999883e-10
5.730000000000000426e+00 1.551150000000000118e-10
5.750000000000000000e+00 1.780300000000000046e-10
5.769999999999999574e+00 2.032180000000000059e-10
5.790000000000000036e+00 2.307699999999999951e-10
5.809999999999999609e+00 2.607669999999999950e-10
5.830000000000000071e+00 2.932870000000000027e-10
5.849999999999999645e+00 3.283909999999999985e-10
5.870000000000000107e+00 3.661329999999999805e-10
5.889999999999999680e+00 4.065570000000000158e-10
5.910000000000000142e+00 4.496979999999999912e-10
5.929999999999999716e+00 4.955740000000000094e-10
5.950000000000000178e+00 5.441929999999999839e-10
5.969999999999999751e+00 5.955509999999999838e-10
5.990000000000000213e+00 6.496339999999999923e-10
6.009999999999999787e+00 7.064070000000000195e-10
6.030000000000000249e+00 7.658259999999999981e-10
6.049999999999999822e+00 8.278359999999999731e-10
6.070000000000000284e+00 8.923669999999999646e-10
6.089999999999999858e+00 9.593340000000000706e-10
6.110000000000000320e+00 1.028640000000000079e-09
6.129999999999999893e+00 1.100169999999999935e-09
6.150000000000000355e+00 1.173819999999999985e-09
6.169999999999999929e+00 1.249439999999999978e-09
6.190000000000000391e+00 1.326889999999999954e-09
6.209999999999999964e+00 1.406029999999999952e-09
6.230000000000000426e+00 1.486689999999999961e-09
6.250000000000000000e+00 1.568699999999999970e-09
6.269999999999999574e+00 1.651889999999999969e-09
6.290000000000000036e+00 1.736080000000000068e-09
6.309999999999999609e+00 1.821080000000000085e-09
6.330000000000000071e+00 1.906700000000000043e-09
6.349999999999999645e+00 1.992750000000000175e-09
6.370000000000000107e+00 2.079050000000000177e-09
6.389999999999999680e+00 2.165390000000000109e-09
6.410000000000000142e+00 2.251599999999999959e-09
6.429999999999999716e+00 2.337470000000000201e-09
6.450000000000000178e+00 2.422820000000000118e-09
6.469999999999999751e+00 2.507480000000000113e-09
6.490000000000000213e+00 2.591250000000000125e-09
6.509999999999999787e+00 2.673970000000000021e-09
6.530000000000000249e+00 2.755470000000000205e-09
6.549999999999999822e+00 2.835600000000000010e-09
6.570000000000000284e+00 2.914189999999999839e-09
6.589999999999999858e+00 2.991110000000000024e-09
6.610000000000000320e+00 3.066209999999999899e-09
6.629999999999999893e+00 3.139359999999999797e-09
6.650000000000000355e+00 3.210439999999999928e-09
6.669999999999999929e+00 3.279349999999999848e-09
6.690000000000000391e+00 3.345980000000000061e-09
6.709999999999999964e+00 3.410230000000000124e-09
6.730000000000000426e+00 3.472020000000000176e-09
6.750000000000000000e+00 3.531279999999999825e-09
6.769999999999999574e+00 3.587930000000000037e-09
6.790000000000000036e+00 3.641930000000000058e-09
6.809999999999999609e+00 3.693220000000000198e-09
6.830000000000000071e+00 3.741760000000000115e-09
6.849999999999999645e+00 3.787519999999999759e-09
6.870000000000000107e+00 3.830480000000000198e-09
6.889999999999999680e+00 3.870620000000000020e-09
6.910000000000000142e+00 3.907940000000000052e-09
6.929999999999999716e+00 3.942429999999999589e-09
6.950000000000000178e+00 3.974110000000000042e-09
6.969999999999999751e+00 4.002969999999999878e-09
6.990000000000000213e+00 4.029050000000000268e-09
7.009999999999999787e+00 4.052370000000000142e-09
7.030000000000000249e+00 4.072950000000000085e-09
7.049999999999999822e+00 4.090840000000000320e-09
7.070000000000000284e+00 4.106080000000000363e-09
7.089999999999999858e+00 4.118699999999999850e-09
7.110000000000000320e+00 4.128749999999999830e-09
7.129999999999999893e+00 4.136300000000000285e-09
7.150000000000000355e+00 4.141389999999999903e-09
7.169999999999999929e+00 4.144079999999999611e-09
7.190000000000000391e+00 4.144419999999999633e-09
7.209999999999999964e+00 4.142499999999999705e-09
7.230000000000000426e+00 4.138360000000000173e-09
7.259999999999999787e+00 4.132080000000000066e-09
7.280000000000000249e+00 4.123709999999999608e-09
7.299999999999999822e+00 4.113340000000000191e-09
7.320000000000000284e+00 4.101030000000000261e-09
7.339999999999999858e+00 4.086849999999999799e-09
7.360000000000000320e+00 4.070869999999999613e-09
7.379999999999999893e+00 4.053159999999999681e-09
7.400000000000000355e+00 4.033789999999999985e-09
7.419999999999999929e+00 4.012840000000000383e-09
7.440000000000000391e+00 3.990360000000000270e-09
7.459999999999999964e+00 3.966440000000000212e-09
7.480000000000000426e+00 3.941140000000000310e-09
7.500000000000000000e+00 3.914529999999999716e-09
7.519999999999999574e+00 3.886670000000000187e-09
7.540000000000000036e+00 3.857639999999999926e-09
7.559999999999999609e+00 3.827499999999999863e-09
7.580000000000000071e+00 3.796310000000000097e-09
7.599999999999999645e+00 3.764129999999999905e-09
7.620000000000000107e+00 3.731030000000000091e-09
7.639999999999999680e+00 3.697069999999999931e-09
7.660000000000000142e+00 3.662300000000000061e-09
7.679999999999999716e+00 3.626780000000000167e-09
7.700000000000000178e+00 3.590569999999999937e-09
7.719999999999999751e+00 3.553720000000000008e-09
7.740000000000000213e+00 3.516280000000000187e-09
7.759999999999999787e+00 3.478299999999999869e-09
7.780000000000000249e+00 3.439839999999999983e-09
7.799999999999999822e+00 3.400930000000000166e-09
7.820000000000000284e+00 3.361630000000000105e-09
7.839999999999999858e+00 3.321980000000000144e-09
7.860000000000000320e+00 3.282009999999999919e-09
7.879999999999999893e+00 3.241779999999999945e-09
7.900000000000000355e+00 3.201319999999999860e-09
7.919999999999999929e+00 3.160660000000000126e-09
7.940000000000000391e+00 3.119839999999999847e-09
7.959999999999999964e+00 3.078900000000000194e-09
7.980000000000000426e+00 3.037860000000000095e-09
8.000000000000000000e+00 2.996770000000000189e-09
8.019999999999999574e+00 2.955639999999999939e-09
8.039999999999999147e+00 2.914510000000000103e-09
8.060000000000000497e+00 2.873400000000000024e-09
8.080000000000000071e+00 2.832340000000000168e-09
8.099999999999999645e+00 2.791349999999999879e-09
8.119999999999999218e+00 2.750460000000000033e-09
8.140000000000000568e+00 2.709689999999999977e-09
8.160000000000000142e+00 2.669050000000000001e-09
8.179999999999999716e+00 2.628570000000000157e-09
8.199999999999999289e+00 2.588259999999999911e-09
8.220000000000000639e+00 2.548150000000000139e-09
8.240000000000000213e+00 2.508249999999999895e-09
8.259999999999999787e+00 2.468569999999999883e-09
8.279999999999999361e+00 2.429140000000000154e-09
8.300000000000000711e+00 2.389950000000000003e-09
8.320000000000000284e+00 2.351029999999999894e-09
8.339999999999999858e+00 2.312390000000000118e-09
8.359999999999999432e+00 2.274040000000000142e-09
8.380000000000000782e+00 2.235989999999999844e-09
8.400000000000000355e+00 2.198259999999999810e-09
8.419999999999999929e+00 2.160850000000000040e-09
8.439999999999999503e+00 2.123760000000000119e-09
8.460000000000000853e+00 2.087020000000000099e-09
8.480000000000000426e+00 2.050620000000000101e-09
8.500000000000000000e+00 2.014579999999999882e-09
