# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 1.261170000000000021e-44
4.339999999999999858e+00 4.638299999999999779e-43
4.360000000000000320e+00 1.418250000000000001e-41
4.379999999999999893e+00 3.717129999999999868e-40
4.400000000000000355e+00 8.415019999999999960e-39
4.419999999999999929e+00 1.656170000000000032e-37
4.440000000000000391e+00 2.852130000000000163e-36
4.459999999999999964e+00 4.323269999999999998e-35
4.480000000000000426e+00 5.802090000000000162e-34
4.500000000000000000e+00 6.931560000000000389e-33
4.519999999999999574e+00 7.411060000000000150e-32
4.540000000000000036e+00 7.126260000000000062e-31
4.559999999999999609e+00 6.193089999999999944e-30
4.580000000000000071e+00 4.885989999999999916e-29
4.599999999999999645e+00 3.515130000000000030e-28
4.620000000000000107e+00 2.315480000000000033e-27
4.639999999999999680e+00 1.402170000000000114e-26
4.660000000000000142e+00 7.836000000000000084e-26
4.679999999999999716e+00 4.055779999999999849e-25
4.700000000000000178e+00 1.950879999999999840e-24
4.719999999999999751e+00 8.750230000000000379e-24
4.740000000000000213e+00 3.671349999999999918e-23
4.769999999999999574e+00 1.445250000000000017e-22
4.790000000000000036e+00 5.353180000000000224e-22
4.809999999999999609e+00 1.870859999999999842e-21
4.830000000000000071e+00 6.185590000000000170e-21
4.849999999999999645e+00 1.939580000000000054e-20
4.870000000000000107e+00 5.781650000000000258e-20
4.889999999999999680e+00 1.642159999999999993e-19
4.910000000000000142e+00 4.454099999999999857e-19
4.929999999999999716e+00 1.156049999999999908e-18
4.950000000000000178e+00 2.876889999999999951e-18
4.969999999999999751e+00 6.877510000000000315e-18
4.990000000000000213e+00 1.582339999999999856e-17
5.009999999999999787e+00 3.509650000000000118e-17
5.030000000000000249e+00 7.517219999999999510e-17
5.049999999999999822e+00 1.557220000000000039e-16
5.070000000000000284e+00 3.124750000000000140e-16
5.089999999999999858e+00 6.082219999999999858e-16
5.110000000000000320e+00 1.150009999999999926e-15
5.129999999999999893e+00 2.114920000000000059e-15
5.150000000000000355e+00 3.787899999999999882e-15
5.169999999999999929e+00 6.614919999999999817e-15
5.190000000000000391e+00 1.127680000000000054e-14
5.209999999999999964e+00 1.878650000000000028e-14
5.230000000000000426e+00 3.038049999999999737e-14
5.250000000000000000e+00 4.762940000000000201e-14
5.269999999999999574e+00 7.346119999999999550e-14
5.290000000000000036e+00 1.114839999999999948e-13
5.309999999999999609e+00 1.665110000000000111e-13
5.330000000000000071e+00 2.448309999999999995e-13
5.349999999999999645e+00 3.545210000000000097e-13
5.370000000000000107e+00 5.057760000000000049e-13
5.389999999999999680e+00 7.112199999999999724e-13
5.410000000000000142e+00 9.862880000000000884e-13
5.429999999999999716e+00 1.349509999999999972e-12
5.450000000000000178e+00 1.822890000000000122e-12
5.469999999999999751e+00 2.432160000000000009e-12
5.490000000000000213e+00 3.207069999999999985e-12
5.509999999999999787e+00 4.181599999999999873e-12
5.530000000000000249e+00 5.394209999999999893e-12
5.549999999999999822e+00 6.887910000000000283e-12
5.570000000000000284e+00 8.710259999999999682e-12
5.589999999999999858e+00 1.091359999999999986e-11
5.610000000000000320e+00 1.355479999999999956e-11
5.629999999999999893e+00 1.669500000000000025e-11
5.650000000000000355e+00 2.039979999999999957e-11
5.669999999999999929e+00 2.473809999999999856e-11
5.690000000000000391e+00 2.978189999999999773e-11
5.709999999999999964e+00 3.560700000000000045e-11
5.730000000000000426e+00 4.229070000000000033e-11
5.750000000000000000e+00 4.991240000000000127e-11
5.769999999999999574e+00 5.855219999999999763e-11
5.790000000000000036e+00 6.828989999999999803e-11
5.809999999999999609e+00 7.920480000000000033e-11
5.830000000000000071e+00 9.137499999999999465e-11
5.849999999999999645e+00 1.048749999999999997e-10
5.870000000000000107e+00 1.197769999999999990e-10
5.889999999999999680e+00 1.361499999999999900e-10
5.910000000000000142e+00 1.540560000000000003e-10
5.929999999999999716e+00 1.735520000000000020e-10
5.950000000000000178e+00 1.946889999999999933e-10
5.969999999999999751e+00 2.175130000000000067e-10
5.990000000000000213e+00 2.420580000000000238e-10
6.009999999999999787e+00 2.683550000000000003e-10
6.030000000000000249e+00 2.964220000000000130e-10
6.049999999999999822e+00 3.262710000000000100e-10
6.070000000000000284e+00 3.579029999999999996e-10
6.089999999999999858e+00 3.913119999999999821e-10
6.110000000000000320e+00 4.264779999999999928e-10
6.129999999999999893e+00 4.633760000000000240e-10
6.150000000000000355e+00 5.019699999999999737e-10
6.169999999999999929e+00 5.422129999999999556e-10
6.190000000000000391e+00 5.840499999999999632e-10
6.209999999999999964e+00 6.274169999999999645e-10
6.230000000000000426e+00 6.722419999999999622e-10
6.250000000000000000e+00 7.184439999999999853e-10
6.269999999999999574e+00 7.659339999999999940e-10
6.290000000000000036e+00 8.146170000000000005e-10
6.309999999999999609e+00 8.643919999999999656e-10
6.330000000000000071e+00 9.151520000000000054e-10
6.349999999999999645e+00 9.667820000000000639e-10
6.370000000000000107e+00 1.019169999999999904e-09
6.389999999999999680e+00 1.072189999999999996e-09
6.410000000000000142e+00 1.125719999999999914e-09
6.429999999999999716e+00 1.179629999999999989e-09
6.450000000000000178e+00 1.233809999999999899e-09
6.469999999999999751e+00 1.288120000000000097e-09
6.490000000000000213e+00 1.342430000000000089e-09
6.509999999999999787e+00 1.396620000000000084e-09
6.530000000000000249e+00 1.450570000000000089e-09
6.549999999999999822e+00 1.504150000000000022e-09
6.570000000000000284e+00 1.557230000000000008e-09
6.589999999999999858e+00 1.609720000000000103e-09
6.610000000000000320e+00 1.661490000000000019e-09
6.629999999999999893e+00 1.712430000000000052e-09
6.650000000000000355e+00 1.762430000000000086e-09
6.669999999999999929e+00 1.811419999999999934e-09
6.690000000000000391e+00 1.859269999999999929e-09
6.709999999999999964e+00 1.905919999999999970e-09
6.730000000000000426e+00 1.951279999999999904e-09
6.750000000000000000e+00 1.995269999999999873e-09
6.769999999999999574e+00 2.037830000000000189e-09
6.790000000000000036e+00 2.078890000000000045e-09
6.809999999999999609e+00 2.118390000000000168e-09
6.830000000000000071e+00 2.156289999999999799e-09
6.849999999999999645e+00 2.192539999999999958e-09
6.870000000000000107e+00 2.227099999999999888e-09
6.889999999999999680e+00 2.259939999999999953e-09
6.910000000000000142e+00 2.291049999999999859e-09
6.929999999999999716e+00 2.320390000000000090e-09
6.950000000000000178e+00 2.347949999999999941e-09
6.969999999999999751e+00 2.373729999999999826e-09
6.990000000000000213e+00 2.397730000000000156e-09
7.009999999999999787e+00 2.419929999999999935e-09
7.030000000000000249e+00 2.440350000000000160e-09
7.049999999999999822e+00 2.458999999999999884e-09
7.070000000000000284e+00 2.475900000000000105e-09
7.089999999999999858e+00 2.491049999999999995e-09
7.110000000000000320e+00 2.504489999999999899e-09
7.129999999999999893e+00 2.516230000000000109e-09
7.150000000000000355e+00 2.526299999999999848e-09
7.169999999999999929e+00 2.534739999999999872e-09
7.190000000000000391e+00 2.541569999999999941e-09
7.209999999999999964e+00 2.546829999999999983e-09
7.230000000000000426e+00 2.550559999999999927e-09
7.259999999999999787e+00 2.552779999999999947e-09
7.280000000000000249e+00 2.553550000000000141e-09
7.299999999999999822e+00 2.552900000000000149e-09
7.320000000000000284e+00 2.550869999999999898e-09
7.339999999999999858e+00 2.547510000000000026e-09
7.360000000000000320e+00 2.542850000000000168e-09
7.379999999999999893e+00 2.536950000000000013e-09
7.400000000000000355e+00 2.529830000000000145e-09
7.419999999999999929e+00 2.521560000000000131e-09
7.440000000000000391e+00 2.512170000000000022e-09
7.459999999999999964e+00 2.501710000000000039e-09
7.480000000000000426e+00 2.490209999999999820e-09
7.500000000000000000e+00 2.477729999999999880e-09
7.519999999999999574e+00 2.464310000000000148e-09
7.540000000000000036e+00 2.449990000000000139e-09
7.559999999999999609e+00 2.434810000000000198e-09
7.580000000000000071e+00 2.418820000000000132e-09
7.599999999999999645e+00 2.402049999999999992e-09
7.620000000000000107e+00 2.384550000000000001e-09
7.639999999999999680e+00 2.366360000000000088e-09
7.660000000000000142e+00 2.347520000000000182e-09
7.679999999999999716e+00 2.328069999999999799e-09
7.700000000000000178e+00 2.308039999999999818e-09
7.719999999999999751e+00 2.287470000000000167e-09
7.740000000000000213e+00 2.266399999999999949e-09
7.759999999999999787e+00 2.244860000000000042e-09
7.780000000000000249e+00 2.222889999999999962e-09
7.799999999999999822e+00 2.200520000000000172e-09
7.820000000000000284e+00 2.177779999999999897e-09
7.839999999999999858e+00 2.154709999999999893e-09
7.860000000000000320e+00 2.131320000000000039e-09
7.879999999999999893e+00 2.107670000000000023e-09
7.900000000000000355e+00 2.083759999999999844e-09
7.919999999999999929e+00 2.059629999999999845e-09
7.940000000000000391e+00 2.035300000000000199e-09
7.959999999999999964e+00 2.010800000000000129e-09
7.980000000000000426e+00 1.986160000000000098e-09
8.000000000000000000e+00 1.961389999999999986e-09
8.019999999999999574e+00 1.936519999999999843e-09
8.039999999999999147e+00 1.911559999999999963e-09
8.060000000000000497e+00 1.886539999999999981e-09
8.080000000000000071e+00 1.861480000000000069e-09
8.099999999999999645e+00 1.836389999999999901e-09
8.119999999999999218e+00 1.811299999999999939e-09
8.140000000000000568e+00 1.786209999999999977e-09
8.160000000000000142e+00 1.761139999999999980e-09
8.179999999999999716e+00 1.736109999999999912e-09
8.199999999999999289e+00 1.711139999999999945e-09
8.220000000000000639e+00 1.686219999999999994e-09
8.240000000000000213e+00 1.661389999999999988e-09
8.259999999999999787e+00 1.636640000000000048e-09
8.279999999999999361e+00 1.611989999999999931e-09
8.300000000000000711e+00 1.587449999999999931e-09
8.320000000000000284e+00 1.563020000000000047e-09
8.339999999999999858e+00 1.538729999999999917e-09
8.359999999999999432e+00 1.514570000000000075e-09
8.380000000000000782e+00 1.490560000000000072e-09
8.400000000000000355e+00 1.466699999999999909e-09
8.419999999999999929e+00 1.443000000000000083e-09
8.439999999999999503e+00 1.419459999999999977e-09
8.460000000000000853e+00 1.396099999999999966e-09
8.480000000000000426e+00 1.372920000000000052e-09
8.500000000000000000e+00 1.349920000000000029e-09
