# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 1.401299999999999954e-45
4.910000000000000142e+00 3.503250000000000197e-44
4.929999999999999716e+00 1.179890000000000037e-42
4.950000000000000178e+00 3.440470000000000133e-41
4.969999999999999751e+00 8.619879999999999640e-40
4.990000000000000213e+00 1.869239999999999942e-38
5.009999999999999787e+00 3.530810000000000157e-37
5.030000000000000249e+00 5.846610000000000108e-36
5.049999999999999822e+00 8.536500000000000249e-35
5.070000000000000284e+00 1.105420000000000032e-33
5.089999999999999858e+00 1.276270000000000091e-32
5.110000000000000320e+00 1.320789999999999955e-31
5.129999999999999893e+00 1.231109999999999987e-30
5.150000000000000355e+00 1.038559999999999934e-29
5.169999999999999929e+00 7.964450000000000158e-29
5.190000000000000391e+00 5.576659999999999783e-28
5.209999999999999964e+00 3.579659999999999891e-27
5.230000000000000426e+00 2.114910000000000135e-26
5.250000000000000000e+00 1.154310000000000111e-25
5.269999999999999574e+00 5.841230000000000166e-25
5.290000000000000036e+00 2.750040000000000038e-24
5.309999999999999609e+00 1.208440000000000068e-23
5.330000000000000071e+00 4.971680000000000176e-23
5.349999999999999645e+00 1.920779999999999936e-22
5.370000000000000107e+00 6.988739999999999656e-22
5.389999999999999680e+00 2.401200000000000005e-21
5.410000000000000142e+00 7.810510000000000546e-21
5.429999999999999716e+00 2.411230000000000075e-20
5.450000000000000178e+00 7.081759999999999825e-20
5.469999999999999751e+00 1.983159999999999998e-19
5.490000000000000213e+00 5.306510000000000355e-19
5.509999999999999787e+00 1.359570000000000077e-18
5.530000000000000249e+00 3.341910000000000039e-18
5.549999999999999822e+00 7.895750000000000530e-18
5.570000000000000284e+00 1.796239999999999927e-17
5.589999999999999858e+00 3.941480000000000077e-17
5.610000000000000320e+00 8.355949999999999976e-17
5.629999999999999893e+00 1.714110000000000010e-16
5.650000000000000355e+00 3.407459999999999955e-16
5.669999999999999929e+00 6.573459999999999533e-16
5.690000000000000391e+00 1.232320000000000074e-15
5.709999999999999964e+00 2.247889999999999930e-15
5.730000000000000426e+00 3.994629999999999989e-15
5.750000000000000000e+00 6.923900000000000353e-15
5.769999999999999574e+00 1.171899999999999972e-14
5.790000000000000036e+00 1.938889999999999918e-14
5.809999999999999609e+00 3.104570000000000195e-14
5.830000000000000071e+00 4.856349999999999800e-14
5.849999999999999645e+00 7.466940000000000594e-14
5.870000000000000107e+00 1.128799999999999946e-13
5.889999999999999680e+00 1.678389999999999980e-13
5.910000000000000142e+00 2.455480000000000055e-13
5.929999999999999716e+00 3.536209999999999833e-13
5.950000000000000178e+00 5.015119999999999940e-13
5.969999999999999751e+00 7.007939999999999722e-13
5.990000000000000213e+00 9.653549999999999796e-13
6.009999999999999787e+00 1.311540000000000084e-12
6.030000000000000249e+00 1.758350000000000076e-12
6.049999999999999822e+00 2.327429999999999909e-12
6.070000000000000284e+00 3.043130000000000181e-12
6.089999999999999858e+00 3.932360000000000018e-12
6.110000000000000320e+00 5.024390000000000162e-12
6.129999999999999893e+00 6.350750000000000177e-12
6.150000000000000355e+00 7.944730000000000621e-12
6.169999999999999929e+00 9.840980000000000341e-12
6.190000000000000391e+00 1.207510000000000052e-11
6.209999999999999964e+00 1.468310000000000072e-11
6.230000000000000426e+00 1.770099999999999980e-11
6.250000000000000000e+00 2.116380000000000076e-11
6.269999999999999574e+00 2.510529999999999886e-11
6.290000000000000036e+00 2.955749999999999719e-11
6.309999999999999609e+00 3.454990000000000003e-11
6.330000000000000071e+00 4.010920000000000119e-11
6.349999999999999645e+00 4.625809999999999895e-11
6.370000000000000107e+00 5.301609999999999904e-11
6.389999999999999680e+00 6.039859999999999913e-11
6.410000000000000142e+00 6.841590000000000618e-11
6.429999999999999716e+00 7.707420000000000615e-11
6.450000000000000178e+00 8.637490000000000589e-11
6.469999999999999751e+00 9.631430000000000209e-11
6.490000000000000213e+00 1.068840000000000054e-10
6.509999999999999787e+00 1.180709999999999948e-10
6.530000000000000249e+00 1.298570000000000046e-10
6.549999999999999822e+00 1.422210000000000096e-10
6.570000000000000284e+00 1.551360000000000110e-10
6.589999999999999858e+00 1.685729999999999927e-10
6.610000000000000320e+00 1.824969999999999903e-10
6.629999999999999893e+00 1.968729999999999880e-10
6.650000000000000355e+00 2.116589999999999874e-10
6.669999999999999929e+00 2.268159999999999900e-10
6.690000000000000391e+00 2.422980000000000147e-10
6.709999999999999964e+00 2.580620000000000028e-10
6.730000000000000426e+00 2.740590000000000252e-10
6.750000000000000000e+00 2.902429999999999975e-10
6.769999999999999574e+00 3.065669999999999816e-10
6.790000000000000036e+00 3.229829999999999795e-10
6.809999999999999609e+00 3.394440000000000016e-10
6.830000000000000071e+00 3.559030000000000065e-10
6.849999999999999645e+00 3.723150000000000218e-10
6.870000000000000107e+00 3.886369999999999888e-10
6.889999999999999680e+00 4.048249999999999953e-10
6.910000000000000142e+00 4.208390000000000085e-10
6.929999999999999716e+00 4.366400000000000039e-10
6.950000000000000178e+00 4.521919999999999828e-10
6.969999999999999751e+00 4.674590000000000501e-10
6.990000000000000213e+00 4.824089999999999830e-10
7.009999999999999787e+00 4.970139999999999548e-10
7.030000000000000249e+00 5.112440000000000184e-10
7.049999999999999822e+00 5.250759999999999764e-10
7.070000000000000284e+00 5.384870000000000452e-10
7.089999999999999858e+00 5.514550000000000360e-10
7.110000000000000320e+00 5.639650000000000269e-10
7.129999999999999893e+00 5.759979999999999583e-10
7.150000000000000355e+00 5.875430000000000462e-10
7.169999999999999929e+00 5.985889999999999892e-10
7.190000000000000391e+00 6.091239999999999947e-10
7.209999999999999964e+00 6.191430000000000198e-10
7.230000000000000426e+00 6.286400000000000129e-10
7.259999999999999787e+00 6.376100000000000347e-10
7.280000000000000249e+00 6.460509999999999645e-10
7.299999999999999822e+00 6.539640000000000177e-10
7.320000000000000284e+00 6.613479999999999790e-10
7.339999999999999858e+00 6.682049999999999688e-10
7.360000000000000320e+00 6.745390000000000216e-10
7.379999999999999893e+00 6.803539999999999648e-10
7.400000000000000355e+00 6.856550000000000482e-10
7.419999999999999929e+00 6.904480000000000129e-10
7.440000000000000391e+00 6.947410000000000310e-10
7.459999999999999964e+00 6.985409999999999559e-10
7.480000000000000426e+00 7.018569999999999680e-10
7.500000000000000000e+00 7.046980000000000412e-10
7.519999999999999574e+00 7.070739999999999511e-10
7.540000000000000036e+00 7.089949999999999903e-10
7.559999999999999609e+00 7.104720000000000463e-10
7.580000000000000071e+00 7.115149999999999981e-10
7.599999999999999645e+00 7.121369999999999573e-10
7.620000000000000107e+00 7.123490000000000182e-10
7.639999999999999680e+00 7.121629999999999736e-10
7.660000000000000142e+00 7.115920000000000383e-10
7.679999999999999716e+00 7.106480000000000052e-10
7.700000000000000178e+00 7.093429999999999771e-10
7.719999999999999751e+00 7.076899999999999622e-10
7.740000000000000213e+00 7.057019999999999687e-10
7.759999999999999787e+00 7.033920000000000046e-10
7.780000000000000249e+00 7.007729999999999746e-10
7.799999999999999822e+00 6.978569999999999818e-10
7.820000000000000284e+00 6.946570000000000342e-10
7.839999999999999858e+00 6.911860000000000366e-10
7.860000000000000320e+00 6.874559999999999885e-10
7.879999999999999893e+00 6.834800000000000014e-10
7.900000000000000355e+00 6.792689999999999629e-10
7.919999999999999929e+00 6.748369999999999931e-10
7.940000000000000391e+00 6.701949999999999795e-10
7.959999999999999964e+00 6.653540000000000166e-10
7.980000000000000426e+00 6.603260000000000005e-10
8.000000000000000000e+00 6.551220000000000255e-10
8.019999999999999574e+00 6.497529999999999792e-10
8.039999999999999147e+00 6.442299999999999560e-10
8.060000000000000497e+00 6.385620000000000330e-10
8.080000000000000071e+00 6.327599999999999946e-10
8.099999999999999645e+00 6.268330000000000211e-10
8.119999999999999218e+00 6.207909999999999917e-10
8.140000000000000568e+00 6.146419999999999750e-10
8.160000000000000142e+00 6.083950000000000482e-10
8.179999999999999716e+00 6.020579999999999697e-10
8.199999999999999289e+00 5.956390000000000149e-10
8.220000000000000639e+00 5.891460000000000457e-10
8.240000000000000213e+00 5.825870000000000273e-10
8.259999999999999787e+00 5.759670000000000026e-10
8.279999999999999361e+00 5.692940000000000402e-10
8.300000000000000711e+00 5.625739999999999848e-10
8.320000000000000284e+00 5.558119999999999828e-10
8.339999999999999858e+00 5.490149999999999906e-10
8.359999999999999432e+00 5.421880000000000513e-10
8.380000000000000782e+00 5.353360000000000009e-10
8.400000000000000355e+00 5.284639999999999858e-10
8.419999999999999929e+00 5.215760000000000402e-10
8.439999999999999503e+00 5.146780000000000088e-10
8.460000000000000853e+00 5.077720000000000122e-10
8.480000000000000426e+00 5.008639999999999984e-10
8.500000000000000000e+00 4.939559999999999846e-10
