# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.969999999999999751e+00 0.000000000000000000e+00
4.990000000000000213e+00 0.000000000000000000e+00
5.009999999999999787e+00 7.006489999999999517e-45
5.030000000000000249e+00 2.480300000000000112e-43
5.049999999999999822e+00 7.466120000000000480e-42
5.070000000000000284e+00 1.931759999999999944e-40
5.089999999999999858e+00 4.318989999999999791e-39
5.110000000000000320e+00 8.400850000000000512e-38
5.129999999999999893e+00 1.430370000000000038e-36
5.150000000000000355e+00 2.145010000000000060e-35
5.169999999999999929e+00 2.849039999999999983e-34
5.190000000000000391e+00 3.370510000000000277e-33
5.209999999999999964e+00 3.569779999999999850e-32
5.230000000000000426e+00 3.402100000000000097e-31
5.250000000000000000e+00 2.931240000000000111e-30
5.269999999999999574e+00 2.293739999999999988e-29
5.290000000000000036e+00 1.637339999999999978e-28
5.309999999999999609e+00 1.070580000000000066e-27
5.330000000000000071e+00 6.437099999999999900e-27
5.349999999999999645e+00 3.572810000000000266e-26
5.370000000000000107e+00 1.837269999999999904e-25
5.389999999999999680e+00 8.783230000000000102e-25
5.410000000000000142e+00 3.916260000000000097e-24
5.429999999999999716e+00 1.633840000000000003e-23
5.450000000000000178e+00 6.397090000000000484e-23
5.469999999999999751e+00 2.357369999999999807e-22
5.490000000000000213e+00 8.198240000000000033e-22
5.509999999999999787e+00 2.697789999999999855e-21
5.530000000000000249e+00 8.421470000000000394e-21
5.549999999999999822e+00 2.499679999999999918e-20
5.570000000000000284e+00 7.070859999999999512e-20
5.589999999999999858e+00 1.910339999999999978e-19
5.610000000000000320e+00 4.939799999999999707e-19
5.629999999999999893e+00 1.224949999999999980e-18
5.650000000000000355e+00 2.918439999999999934e-18
5.669999999999999929e+00 6.692720000000000084e-18
5.690000000000000391e+00 1.479879999999999863e-17
5.709999999999999964e+00 3.160359999999999722e-17
5.730000000000000426e+00 6.528320000000000096e-17
5.750000000000000000e+00 1.306429999999999912e-16
5.769999999999999574e+00 2.536389999999999983e-16
5.790000000000000036e+00 4.783820000000000295e-16
5.809999999999999609e+00 8.776810000000000124e-16
5.830000000000000071e+00 1.568370000000000082e-15
5.849999999999999645e+00 2.732899999999999896e-15
5.870000000000000107e+00 4.648889999999999698e-15
5.889999999999999680e+00 7.728660000000000437e-15
5.910000000000000142e+00 1.247699999999999981e-14
5.929999999999999716e+00 1.959970000000000016e-14
5.950000000000000178e+00 3.025850000000000052e-14
5.969999999999999751e+00 4.592210000000000205e-14
5.990000000000000213e+00 6.853969999999999471e-14
6.009999999999999787e+00 1.006400000000000008e-13
6.030000000000000249e+00 1.454429999999999993e-13
6.049999999999999822e+00 2.069719999999999939e-13
6.070000000000000284e+00 2.901680000000000213e-13
6.089999999999999858e+00 4.009700000000000070e-13
6.110000000000000320e+00 5.464239999999999949e-13
6.129999999999999893e+00 7.347259999999999533e-13
6.150000000000000355e+00 9.752720000000000877e-13
6.169999999999999929e+00 1.278650000000000009e-12
6.190000000000000391e+00 1.656620000000000064e-12
6.209999999999999964e+00 2.122040000000000114e-12
6.230000000000000426e+00 2.688770000000000063e-12
6.250000000000000000e+00 3.371550000000000108e-12
6.269999999999999574e+00 4.185709999999999943e-12
6.290000000000000036e+00 5.147180000000000288e-12
6.309999999999999609e+00 6.272059999999999833e-12
6.330000000000000071e+00 7.576520000000000517e-12
6.349999999999999645e+00 9.076389999999999456e-12
6.370000000000000107e+00 1.078700000000000079e-11
6.389999999999999680e+00 1.272319999999999975e-11
6.410000000000000142e+00 1.489819999999999967e-11
6.429999999999999716e+00 1.732460000000000072e-11
6.450000000000000178e+00 2.001319999999999958e-11
6.469999999999999751e+00 2.297320000000000151e-11
6.490000000000000213e+00 2.621190000000000062e-11
6.509999999999999787e+00 2.973480000000000210e-11
6.530000000000000249e+00 3.354550000000000322e-11
6.549999999999999822e+00 3.764489999999999684e-11
6.570000000000000284e+00 4.203229999999999893e-11
6.589999999999999858e+00 4.670459999999999710e-11
6.610000000000000320e+00 5.165670000000000061e-11
6.629999999999999893e+00 5.688140000000000196e-11
6.650000000000000355e+00 6.236929999999999679e-11
6.669999999999999929e+00 6.810940000000000057e-11
6.690000000000000391e+00 7.408889999999999786e-11
6.709999999999999964e+00 8.029330000000000644e-11
6.730000000000000426e+00 8.670649999999999935e-11
6.750000000000000000e+00 9.331140000000000567e-11
6.769999999999999574e+00 1.000900000000000002e-10
6.790000000000000036e+00 1.070229999999999958e-10
6.809999999999999609e+00 1.140889999999999950e-10
6.830000000000000071e+00 1.212700000000000114e-10
6.849999999999999645e+00 1.285440000000000113e-10
6.870000000000000107e+00 1.358889999999999999e-10
6.889999999999999680e+00 1.432859999999999951e-10
6.910000000000000142e+00 1.507120000000000065e-10
6.929999999999999716e+00 1.581480000000000002e-10
6.950000000000000178e+00 1.655730000000000030e-10
6.969999999999999751e+00 1.729669999999999984e-10
6.990000000000000213e+00 1.803120000000000128e-10
7.009999999999999787e+00 1.875899999999999953e-10
7.030000000000000249e+00 1.947819999999999897e-10
7.049999999999999822e+00 2.018740000000000052e-10
7.070000000000000284e+00 2.088479999999999906e-10
7.089999999999999858e+00 2.156909999999999896e-10
7.110000000000000320e+00 2.223890000000000113e-10
7.129999999999999893e+00 2.289300000000000046e-10
7.150000000000000355e+00 2.353020000000000215e-10
7.169999999999999929e+00 2.414960000000000106e-10
7.190000000000000391e+00 2.475009999999999811e-10
7.209999999999999964e+00 2.533090000000000193e-10
7.230000000000000426e+00 2.589130000000000136e-10
7.259999999999999787e+00 2.643070000000000159e-10
7.280000000000000249e+00 2.694849999999999747e-10
7.299999999999999822e+00 2.744420000000000021e-10
7.320000000000000284e+00 2.791750000000000208e-10
7.339999999999999858e+00 2.836810000000000050e-10
7.360000000000000320e+00 2.879569999999999808e-10
7.379999999999999893e+00 2.920009999999999825e-10
7.400000000000000355e+00 2.958140000000000189e-10
7.419999999999999929e+00 2.993949999999999779e-10
7.440000000000000391e+00 3.027430000000000060e-10
7.459999999999999964e+00 3.058600000000000171e-10
7.480000000000000426e+00 3.087470000000000196e-10
7.500000000000000000e+00 3.114050000000000222e-10
7.519999999999999574e+00 3.138369999999999989e-10
7.540000000000000036e+00 3.160459999999999755e-10
7.559999999999999609e+00 3.180340000000000207e-10
7.580000000000000071e+00 3.198040000000000053e-10
7.599999999999999645e+00 3.213600000000000152e-10
7.620000000000000107e+00 3.227059999999999814e-10
7.639999999999999680e+00 3.238449999999999813e-10
7.660000000000000142e+00 3.247830000000000147e-10
7.679999999999999716e+00 3.255230000000000039e-10
7.700000000000000178e+00 3.260699999999999917e-10
7.719999999999999751e+00 3.264290000000000212e-10
7.740000000000000213e+00 3.266049999999999801e-10
7.759999999999999787e+00 3.266020000000000060e-10
7.780000000000000249e+00 3.264270000000000040e-10
7.799999999999999822e+00 3.260840000000000084e-10
7.820000000000000284e+00 3.255790000000000190e-10
7.839999999999999858e+00 3.249169999999999751e-10
7.860000000000000320e+00 3.241039999999999801e-10
7.879999999999999893e+00 3.231450000000000251e-10
7.900000000000000355e+00 3.220449999999999979e-10
7.919999999999999929e+00 3.208110000000000102e-10
7.940000000000000391e+00 3.194469999999999930e-10
7.959999999999999964e+00 3.179600000000000063e-10
7.980000000000000426e+00 3.163539999999999810e-10
8.000000000000000000e+00 3.146359999999999772e-10
8.019999999999999574e+00 3.128099999999999776e-10
8.039999999999999147e+00 3.108810000000000248e-10
8.060000000000000497e+00 3.088560000000000241e-10
8.080000000000000071e+00 3.067380000000000010e-10
8.099999999999999645e+00 3.045340000000000156e-10
8.119999999999999218e+00 3.022469999999999903e-10
8.140000000000000568e+00 2.998839999999999852e-10
8.160000000000000142e+00 2.974470000000000173e-10
8.179999999999999716e+00 2.949429999999999916e-10
8.199999999999999289e+00 2.923739999999999770e-10
8.220000000000000639e+00 2.897460000000000249e-10
8.240000000000000213e+00 2.870630000000000147e-10
8.259999999999999787e+00 2.843289999999999805e-10
8.279999999999999361e+00 2.815469999999999998e-10
8.300000000000000711e+00 2.787199999999999950e-10
8.320000000000000284e+00 2.758540000000000175e-10
8.339999999999999858e+00 2.729500000000000242e-10
8.359999999999999432e+00 2.700130000000000063e-10
8.380000000000000782e+00 2.670449999999999810e-10
8.400000000000000355e+00 2.640490000000000257e-10
8.419999999999999929e+00 2.610290000000000196e-10
8.439999999999999503e+00 2.579860000000000229e-10
8.460000000000000853e+00 2.549230000000000098e-10
8.480000000000000426e+00 2.518440000000000146e-10
8.500000000000000000e+00 2.487489999999999855e-10
