# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 3.222990000000000082e-44
3.560000000000000053e+00 1.320019999999999946e-42
3.580000000000000071e+00 4.550860000000000060e-41
3.600000000000000089e+00 1.338720000000000011e-39
3.620000000000000107e+00 3.383569999999999762e-38
3.640000000000000124e+00 7.398390000000000345e-37
3.660000000000000142e+00 1.408689999999999931e-35
3.680000000000000160e+00 2.350319999999999831e-34
3.700000000000000178e+00 3.456720000000000181e-33
3.720000000000000195e+00 4.507130000000000226e-32
3.740000000000000213e+00 5.238410000000000140e-31
3.759999999999999787e+00 5.455310000000000001e-30
3.779999999999999805e+00 5.115760000000000195e-29
3.799999999999999822e+00 4.340320000000000259e-28
3.819999999999999840e+00 3.346949999999999770e-27
3.839999999999999858e+00 2.355739999999999903e-26
3.859999999999999876e+00 1.519789999999999940e-25
3.879999999999999893e+00 9.021799999999999619e-25
3.899999999999999911e+00 4.946699999999999861e-24
3.919999999999999929e+00 2.514190000000000072e-23
3.939999999999999947e+00 1.188589999999999976e-22
3.959999999999999964e+00 5.243700000000000291e-22
3.979999999999999982e+00 2.165560000000000062e-21
4.000000000000000000e+00 8.397009999999999674e-21
4.019999999999999574e+00 3.065819999999999713e-20
4.040000000000000036e+00 1.056810000000000012e-19
4.059999999999999609e+00 3.448499999999999889e-19
4.080000000000000071e+00 1.067820000000000070e-18
4.099999999999999645e+00 3.145120000000000179e-18
4.120000000000000107e+00 8.831720000000000026e-18
4.139999999999999680e+00 2.369439999999999928e-17
4.160000000000000142e+00 6.085910000000000614e-17
4.179999999999999716e+00 1.499500000000000010e-16
4.200000000000000178e+00 3.550859999999999978e-16
4.219999999999999751e+00 8.095809999999999510e-16
4.240000000000000213e+00 1.780160000000000117e-15
4.259999999999999787e+00 3.781379999999999926e-15
4.280000000000000249e+00 7.771730000000000563e-15
4.299999999999999822e+00 1.547730000000000086e-14
4.320000000000000284e+00 2.991000000000000205e-14
4.339999999999999858e+00 5.616370000000000029e-14
4.360000000000000320e+00 1.026100000000000040e-13
4.379999999999999893e+00 1.826200000000000084e-13
4.400000000000000355e+00 3.169939999999999819e-13
4.419999999999999929e+00 5.372559999999999879e-13
4.440000000000000391e+00 8.900559999999999588e-13
4.459999999999999964e+00 1.429209999999999925e-12
4.480000000000000426e+00 2.240009999999999863e-12
4.500000000000000000e+00 3.450180000000000148e-12
4.519999999999999574e+00 5.224029999999999905e-12
4.540000000000000036e+00 7.778669999999999206e-12
4.559999999999999609e+00 1.139509999999999938e-11
4.580000000000000071e+00 1.643039999999999994e-11
4.599999999999999645e+00 2.332919999999999878e-11
4.620000000000000107e+00 3.263509999999999854e-11
4.639999999999999680e+00 4.500280000000000046e-11
4.660000000000000142e+00 6.120389999999999531e-11
4.679999999999999716e+00 8.213620000000000377e-11
4.700000000000000178e+00 1.088260000000000050e-10
4.719999999999999751e+00 1.424260000000000105e-10
4.740000000000000213e+00 1.842179999999999940e-10
4.769999999999999574e+00 2.355999999999999929e-10
4.790000000000000036e+00 2.980709999999999936e-10
4.809999999999999609e+00 3.732269999999999872e-10
4.830000000000000071e+00 4.627370000000000224e-10
4.849999999999999645e+00 5.683099999999999741e-10
4.870000000000000107e+00 6.916859999999999832e-10
4.889999999999999680e+00 8.346069999999999490e-10
4.910000000000000142e+00 9.987819999999999534e-10
4.929999999999999716e+00 1.185860000000000080e-09
4.950000000000000178e+00 1.397419999999999916e-09
4.969999999999999751e+00 1.634900000000000010e-09
4.990000000000000213e+00 1.899639999999999863e-09
5.009999999999999787e+00 2.192789999999999828e-09
5.030000000000000249e+00 2.515340000000000125e-09
5.049999999999999822e+00 2.868070000000000002e-09
5.070000000000000284e+00 3.251570000000000177e-09
5.089999999999999858e+00 3.666169999999999966e-09
5.110000000000000320e+00 4.112009999999999741e-09
5.129999999999999893e+00 4.588989999999999887e-09
5.150000000000000355e+00 5.096780000000000261e-09
5.169999999999999929e+00 5.634779999999999850e-09
5.190000000000000391e+00 6.202240000000000287e-09
5.209999999999999964e+00 6.798139999999999853e-09
5.230000000000000426e+00 7.421279999999999833e-09
5.250000000000000000e+00 8.070239999999999213e-09
5.269999999999999574e+00 8.743480000000000086e-09
5.290000000000000036e+00 9.439290000000000809e-09
5.309999999999999609e+00 1.015579999999999920e-08
5.330000000000000071e+00 1.089089999999999927e-08
5.349999999999999645e+00 1.164270000000000075e-08
5.370000000000000107e+00 1.240890000000000003e-08
5.389999999999999680e+00 1.318739999999999936e-08
5.410000000000000142e+00 1.397569999999999921e-08
5.429999999999999716e+00 1.477170000000000018e-08
5.450000000000000178e+00 1.557309999999999868e-08
5.469999999999999751e+00 1.637749999999999892e-08
5.490000000000000213e+00 1.718260000000000061e-08
5.509999999999999787e+00 1.798640000000000150e-08
5.530000000000000249e+00 1.878650000000000083e-08
5.549999999999999822e+00 1.958099999999999845e-08
5.570000000000000284e+00 2.036770000000000112e-08
5.589999999999999858e+00 2.114480000000000085e-08
5.610000000000000320e+00 2.191040000000000077e-08
5.629999999999999893e+00 2.266280000000000160e-08
5.650000000000000355e+00 2.340030000000000076e-08
5.669999999999999929e+00 2.412139999999999986e-08
5.690000000000000391e+00 2.482490000000000017e-08
5.709999999999999964e+00 2.550929999999999999e-08
5.730000000000000426e+00 2.617340000000000063e-08
5.750000000000000000e+00 2.681639999999999851e-08
5.769999999999999574e+00 2.743710000000000155e-08
5.790000000000000036e+00 2.803479999999999836e-08
5.809999999999999609e+00 2.860869999999999862e-08
5.830000000000000071e+00 2.915840000000000056e-08
5.849999999999999645e+00 2.968310000000000062e-08
5.870000000000000107e+00 3.018259999999999791e-08
5.889999999999999680e+00 3.065659999999999937e-08
5.910000000000000142e+00 3.110470000000000323e-08
5.929999999999999716e+00 3.152690000000000287e-08
5.950000000000000178e+00 3.192309999999999950e-08
5.969999999999999751e+00 3.229329999999999973e-08
5.990000000000000213e+00 3.263749999999999695e-08
6.009999999999999787e+00 3.295600000000000076e-08
6.030000000000000249e+00 3.324889999999999672e-08
6.049999999999999822e+00 3.351650000000000105e-08
6.070000000000000284e+00 3.375909999999999688e-08
6.089999999999999858e+00 3.397709999999999923e-08
6.110000000000000320e+00 3.417079999999999785e-08
6.129999999999999893e+00 3.434060000000000113e-08
6.150000000000000355e+00 3.448710000000000181e-08
6.169999999999999929e+00 3.461070000000000167e-08
6.190000000000000391e+00 3.471200000000000007e-08
6.209999999999999964e+00 3.479139999999999878e-08
6.230000000000000426e+00 3.484960000000000258e-08
6.250000000000000000e+00 3.488719999999999756e-08
6.269999999999999574e+00 3.490469999999999756e-08
6.290000000000000036e+00 3.490270000000000191e-08
6.309999999999999609e+00 3.488190000000000214e-08
6.330000000000000071e+00 3.484289999999999762e-08
6.349999999999999645e+00 3.478630000000000094e-08
6.370000000000000107e+00 3.471279999999999701e-08
6.389999999999999680e+00 3.462289999999999963e-08
6.410000000000000142e+00 3.451739999999999911e-08
6.429999999999999716e+00 3.439690000000000144e-08
6.450000000000000178e+00 3.426190000000000056e-08
6.469999999999999751e+00 3.411320000000000003e-08
6.490000000000000213e+00 3.395139999999999920e-08
6.509999999999999787e+00 3.377699999999999865e-08
6.530000000000000249e+00 3.359059999999999772e-08
6.549999999999999822e+00 3.339299999999999997e-08
6.570000000000000284e+00 3.318460000000000057e-08
6.589999999999999858e+00 3.296599999999999886e-08
6.610000000000000320e+00 3.273780000000000083e-08
6.629999999999999893e+00 3.250059999999999921e-08
6.650000000000000355e+00 3.225480000000000240e-08
6.669999999999999929e+00 3.200100000000000313e-08
6.690000000000000391e+00 3.173960000000000318e-08
6.709999999999999964e+00 3.147130000000000071e-08
6.730000000000000426e+00 3.119639999999999869e-08
6.750000000000000000e+00 3.091539999999999769e-08
6.769999999999999574e+00 3.062869999999999950e-08
6.790000000000000036e+00 3.033679999999999806e-08
6.809999999999999609e+00 3.004000000000000297e-08
6.830000000000000071e+00 2.973880000000000157e-08
6.849999999999999645e+00 2.943340000000000136e-08
6.870000000000000107e+00 2.912439999999999840e-08
6.889999999999999680e+00 2.881190000000000139e-08
6.910000000000000142e+00 2.849640000000000098e-08
6.929999999999999716e+00 2.817810000000000137e-08
6.950000000000000178e+00 2.785729999999999892e-08
6.969999999999999751e+00 2.753429999999999993e-08
6.990000000000000213e+00 2.720929999999999867e-08
7.009999999999999787e+00 2.688270000000000024e-08
7.030000000000000249e+00 2.655460000000000010e-08
7.049999999999999822e+00 2.622530000000000124e-08
7.070000000000000284e+00 2.589489999999999916e-08
7.089999999999999858e+00 2.556370000000000014e-08
7.110000000000000320e+00 2.523189999999999845e-08
7.129999999999999893e+00 2.489970000000000160e-08
7.150000000000000355e+00 2.456719999999999846e-08
7.169999999999999929e+00 2.423459999999999984e-08
7.190000000000000391e+00 2.390210000000000000e-08
7.209999999999999964e+00 2.356989999999999985e-08
7.230000000000000426e+00 2.323790000000000058e-08
7.259999999999999787e+00 2.290659999999999946e-08
7.280000000000000249e+00 2.257579999999999891e-08
7.299999999999999822e+00 2.224590000000000070e-08
7.320000000000000284e+00 2.191690000000000152e-08
7.339999999999999858e+00 2.158890000000000017e-08
7.360000000000000320e+00 2.126210000000000085e-08
7.379999999999999893e+00 2.093659999999999902e-08
7.400000000000000355e+00 2.061250000000000011e-08
7.419999999999999929e+00 2.028999999999999838e-08
7.440000000000000391e+00 1.996910000000000045e-08
7.459999999999999964e+00 1.964989999999999849e-08
7.480000000000000426e+00 1.933260000000000001e-08
7.500000000000000000e+00 1.901730000000000049e-08
7.519999999999999574e+00 1.870399999999999993e-08
7.540000000000000036e+00 1.839289999999999922e-08
7.559999999999999609e+00 1.808399999999999835e-08
7.580000000000000071e+00 1.777750000000000153e-08
7.599999999999999645e+00 1.747350000000000092e-08
7.620000000000000107e+00 1.717199999999999984e-08
7.639999999999999680e+00 1.687310000000000039e-08
7.660000000000000142e+00 1.657690000000000135e-08
7.679999999999999716e+00 1.628350000000000152e-08
7.700000000000000178e+00 1.599290000000000089e-08
7.719999999999999751e+00 1.570530000000000035e-08
7.740000000000000213e+00 1.542069999999999991e-08
7.759999999999999787e+00 1.513909999999999955e-08
7.780000000000000249e+00 1.486070000000000018e-08
7.799999999999999822e+00 1.458539999999999970e-08
7.820000000000000284e+00 1.431340000000000064e-08
7.839999999999999858e+00 1.404469999999999969e-08
7.860000000000000320e+00 1.377930000000000018e-08
7.879999999999999893e+00 1.351720000000000043e-08
7.900000000000000355e+00 1.325859999999999969e-08
7.919999999999999929e+00 1.300340000000000082e-08
7.940000000000000391e+00 1.275160000000000051e-08
7.959999999999999964e+00 1.250339999999999965e-08
7.980000000000000426e+00 1.225869999999999945e-08
8.000000000000000000e+00 1.201749999999999991e-08
8.019999999999999574e+00 1.177979999999999938e-08
8.039999999999999147e+00 1.154569999999999995e-08
8.060000000000000497e+00 1.131519999999999997e-08
8.080000000000000071e+00 1.108820000000000065e-08
8.099999999999999645e+00 1.086480000000000078e-08
8.119999999999999218e+00 1.064489999999999992e-08
8.140000000000000568e+00 1.042860000000000016e-08
8.160000000000000142e+00 1.021589999999999985e-08
8.179999999999999716e+00 1.000659999999999975e-08
8.199999999999999289e+00 9.800889999999999229e-09
8.220000000000000639e+00 9.598649999999999729e-09
8.240000000000000213e+00 9.399899999999999355e-09
8.259999999999999787e+00 9.204590000000000368e-09
8.279999999999999361e+00 9.012719999999999458e-09
8.300000000000000711e+00 8.824230000000000660e-09
8.320000000000000284e+00 8.639130000000000544e-09
8.339999999999999858e+00 8.457359999999999837e-09
8.359999999999999432e+00 8.278910000000000314e-09
8.380000000000000782e+00 8.103729999999999270e-09
8.400000000000000355e+00 7.931810000000000137e-09
8.419999999999999929e+00 7.763090000000000331e-09
8.439999999999999503e+00 7.597540000000000215e-09
8.460000000000000853e+00 7.435130000000000152e-09
8.480000000000000426e+00 7.275809999999999921e-09
8.500000000000000000e+00 7.119549999999999884e-09
