# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 1.401299999999999954e-45
3.979999999999999982e+00 5.465059999999999630e-44
4.000000000000000000e+00 1.891750000000000106e-42
4.019999999999999574e+00 5.584030000000000416e-41
4.040000000000000036e+00 1.416359999999999939e-39
4.059999999999999609e+00 3.107630000000000135e-38
4.080000000000000071e+00 5.936190000000000116e-37
4.099999999999999645e+00 9.934660000000000096e-36
4.120000000000000107e+00 1.465529999999999980e-34
4.139999999999999680e+00 1.916340000000000001e-33
4.160000000000000142e+00 2.233239999999999977e-32
4.179999999999999716e+00 2.331649999999999925e-31
4.200000000000000178e+00 2.191980000000000042e-30
4.219999999999999751e+00 1.864210000000000091e-29
4.240000000000000213e+00 1.440700000000000056e-28
4.259999999999999787e+00 1.016209999999999976e-27
4.280000000000000249e+00 6.569520000000000568e-27
4.299999999999999822e+00 3.907430000000000108e-26
4.320000000000000284e+00 2.146519999999999947e-25
4.339999999999999858e+00 1.092910000000000056e-24
4.360000000000000320e+00 5.175669999999999773e-24
4.379999999999999893e+00 2.287010000000000073e-23
4.400000000000000355e+00 9.459809999999999747e-23
4.419999999999999929e+00 3.673450000000000122e-22
4.440000000000000391e+00 1.343109999999999919e-21
4.459999999999999964e+00 4.636080000000000165e-21
4.480000000000000426e+00 1.514760000000000024e-20
4.500000000000000000e+00 4.696189999999999945e-20
4.519999999999999574e+00 1.384869999999999906e-19
4.540000000000000036e+00 3.893080000000000146e-19
4.559999999999999609e+00 1.045589999999999919e-18
4.580000000000000071e+00 2.688330000000000162e-18
4.599999999999999645e+00 6.630369999999999795e-18
4.620000000000000107e+00 1.571530000000000142e-17
4.639999999999999680e+00 3.586149999999999981e-17
4.660000000000000142e+00 7.892319999999999925e-17
4.679999999999999716e+00 1.677859999999999914e-16
4.700000000000000178e+00 3.451069999999999988e-16
4.719999999999999751e+00 6.877870000000000273e-16
4.740000000000000213e+00 1.330090000000000083e-15
4.769999999999999574e+00 2.499309999999999980e-15
4.790000000000000036e+00 4.569090000000000256e-15
4.809999999999999609e+00 8.136799999999999216e-15
4.830000000000000071e+00 1.413229999999999971e-14
4.849999999999999645e+00 2.396579999999999985e-14
4.870000000000000107e+00 3.972430000000000220e-14
4.889999999999999680e+00 6.353579999999999873e-14
4.910000000000000142e+00 9.907479999999999502e-14
4.929999999999999716e+00 1.522679999999999980e-13
4.950000000000000178e+00 2.305759999999999760e-13
4.969999999999999751e+00 3.439829999999999793e-13
4.990000000000000213e+00 5.055729999999999501e-13
5.009999999999999787e+00 7.321109999999999690e-13
5.030000000000000249e+00 1.044749999999999966e-12
5.049999999999999822e+00 1.469590000000000001e-12
5.070000000000000284e+00 2.038320000000000144e-12
5.089999999999999858e+00 2.788689999999999904e-12
5.110000000000000320e+00 3.765039999999999879e-12
5.129999999999999893e+00 5.018479999999999837e-12
5.150000000000000355e+00 6.607069999999999634e-12
5.169999999999999929e+00 8.595770000000000642e-12
5.190000000000000391e+00 1.105620000000000049e-11
5.209999999999999964e+00 1.406619999999999998e-11
5.230000000000000426e+00 1.770939999999999884e-11
5.250000000000000000e+00 2.207370000000000115e-11
5.269999999999999574e+00 2.725180000000000147e-11
5.290000000000000036e+00 3.333829999999999902e-11
5.309999999999999609e+00 4.043010000000000238e-11
5.330000000000000071e+00 4.862379999999999886e-11
5.349999999999999645e+00 5.801509999999999904e-11
5.370000000000000107e+00 6.869800000000000151e-11
5.389999999999999680e+00 8.076240000000000330e-11
5.410000000000000142e+00 9.429289999999999861e-11
5.429999999999999716e+00 1.093680000000000017e-10
5.450000000000000178e+00 1.260610000000000106e-10
5.469999999999999751e+00 1.444339999999999946e-10
5.490000000000000213e+00 1.645409999999999905e-10
5.509999999999999787e+00 1.864259999999999878e-10
5.530000000000000249e+00 2.101250000000000111e-10
5.549999999999999822e+00 2.356580000000000252e-10
5.570000000000000284e+00 2.630369999999999779e-10
5.589999999999999858e+00 2.922619999999999985e-10
5.610000000000000320e+00 3.233209999999999840e-10
5.629999999999999893e+00 3.561920000000000041e-10
5.650000000000000355e+00 3.908380000000000001e-10
5.669999999999999929e+00 4.272139999999999994e-10
5.690000000000000391e+00 4.652660000000000041e-10
5.709999999999999964e+00 5.049280000000000166e-10
5.730000000000000426e+00 5.461240000000000055e-10
5.750000000000000000e+00 5.887739999999999564e-10
5.769999999999999574e+00 6.327880000000000280e-10
5.790000000000000036e+00 6.780679999999999998e-10
5.809999999999999609e+00 7.245130000000000395e-10
5.830000000000000071e+00 7.720209999999999958e-10
5.849999999999999645e+00 8.204809999999999505e-10
5.870000000000000107e+00 8.697809999999999767e-10
5.889999999999999680e+00 9.198099999999999494e-10
5.910000000000000142e+00 9.704570000000000538e-10
5.929999999999999716e+00 1.021609999999999949e-09
5.950000000000000178e+00 1.073149999999999960e-09
5.969999999999999751e+00 1.124979999999999976e-09
5.990000000000000213e+00 1.176980000000000003e-09
6.009999999999999787e+00 1.229060000000000096e-09
6.030000000000000249e+00 1.281109999999999932e-09
6.049999999999999822e+00 1.333030000000000100e-09
6.070000000000000284e+00 1.384739999999999914e-09
6.089999999999999858e+00 1.436150000000000050e-09
6.110000000000000320e+00 1.487160000000000063e-09
6.129999999999999893e+00 1.537699999999999974e-09
6.150000000000000355e+00 1.587700000000000008e-09
6.169999999999999929e+00 1.637080000000000100e-09
6.190000000000000391e+00 1.685770000000000063e-09
6.209999999999999964e+00 1.733710000000000003e-09
6.230000000000000426e+00 1.780840000000000025e-09
6.250000000000000000e+00 1.827109999999999908e-09
6.269999999999999574e+00 1.872450000000000084e-09
6.290000000000000036e+00 1.916829999999999883e-09
6.309999999999999609e+00 1.960190000000000031e-09
6.330000000000000071e+00 2.002500000000000064e-09
6.349999999999999645e+00 2.043699999999999881e-09
6.370000000000000107e+00 2.083770000000000136e-09
6.389999999999999680e+00 2.122670000000000074e-09
6.410000000000000142e+00 2.160360000000000179e-09
6.429999999999999716e+00 2.196819999999999865e-09
6.450000000000000178e+00 2.232019999999999909e-09
6.469999999999999751e+00 2.265929999999999846e-09
6.490000000000000213e+00 2.298529999999999920e-09
6.509999999999999787e+00 2.329790000000000079e-09
6.530000000000000249e+00 2.359709999999999909e-09
6.549999999999999822e+00 2.388260000000000188e-09
6.570000000000000284e+00 2.415429999999999795e-09
6.589999999999999858e+00 2.441199999999999800e-09
6.610000000000000320e+00 2.465570000000000203e-09
6.629999999999999893e+00 2.488529999999999884e-09
6.650000000000000355e+00 2.510070000000000205e-09
6.669999999999999929e+00 2.530189999999999924e-09
6.690000000000000391e+00 2.548889999999999870e-09
6.709999999999999964e+00 2.566179999999999921e-09
6.730000000000000426e+00 2.582039999999999905e-09
6.750000000000000000e+00 2.596499999999999874e-09
6.769999999999999574e+00 2.609559999999999827e-09
6.790000000000000036e+00 2.621230000000000057e-09
6.809999999999999609e+00 2.631520000000000028e-09
6.830000000000000071e+00 2.640440000000000035e-09
6.849999999999999645e+00 2.648030000000000005e-09
6.870000000000000107e+00 2.654280000000000061e-09
6.889999999999999680e+00 2.659219999999999840e-09
6.910000000000000142e+00 2.662879999999999804e-09
6.929999999999999716e+00 2.665269999999999834e-09
6.950000000000000178e+00 2.666419999999999980e-09
6.969999999999999751e+00 2.666359999999999879e-09
6.990000000000000213e+00 2.665110000000000116e-09
7.009999999999999787e+00 2.662699999999999914e-09
7.030000000000000249e+00 2.659170000000000031e-09
7.049999999999999822e+00 2.654529999999999931e-09
7.070000000000000284e+00 2.648819999999999958e-09
7.089999999999999858e+00 2.642070000000000162e-09
7.110000000000000320e+00 2.634310000000000181e-09
7.129999999999999893e+00 2.625579999999999943e-09
7.150000000000000355e+00 2.615900000000000035e-09
7.169999999999999929e+00 2.605300000000000092e-09
7.190000000000000391e+00 2.593820000000000045e-09
7.209999999999999964e+00 2.581489999999999944e-09
7.230000000000000426e+00 2.568329999999999960e-09
7.259999999999999787e+00 2.554389999999999903e-09
7.280000000000000249e+00 2.539689999999999943e-09
7.299999999999999822e+00 2.524249999999999839e-09
7.320000000000000284e+00 2.508119999999999813e-09
7.339999999999999858e+00 2.491320000000000037e-09
7.360000000000000320e+00 2.473869999999999854e-09
7.379999999999999893e+00 2.455819999999999901e-09
7.400000000000000355e+00 2.437180000000000056e-09
7.419999999999999929e+00 2.417979999999999957e-09
7.440000000000000391e+00 2.398250000000000068e-09
7.459999999999999964e+00 2.378020000000000025e-09
7.480000000000000426e+00 2.357310000000000000e-09
7.500000000000000000e+00 2.336150000000000044e-09
7.519999999999999574e+00 2.314559999999999915e-09
7.540000000000000036e+00 2.292560000000000198e-09
7.559999999999999609e+00 2.270189999999999995e-09
7.580000000000000071e+00 2.247460000000000012e-09
7.599999999999999645e+00 2.224399999999999887e-09
7.620000000000000107e+00 2.201030000000000205e-09
7.639999999999999680e+00 2.177369999999999896e-09
7.660000000000000142e+00 2.153449999999999838e-09
7.679999999999999716e+00 2.129279999999999910e-09
7.700000000000000178e+00 2.104890000000000163e-09
7.719999999999999751e+00 2.080290000000000061e-09
7.740000000000000213e+00 2.055510000000000070e-09
7.759999999999999787e+00 2.030569999999999948e-09
7.780000000000000249e+00 2.005479999999999986e-09
7.799999999999999822e+00 1.980269999999999821e-09
7.820000000000000284e+00 1.954950000000000161e-09
7.839999999999999858e+00 1.929539999999999936e-09
7.860000000000000320e+00 1.904049999999999851e-09
7.879999999999999893e+00 1.878519999999999837e-09
7.900000000000000355e+00 1.852950000000000100e-09
7.919999999999999929e+00 1.827349999999999899e-09
7.940000000000000391e+00 1.801749999999999904e-09
7.959999999999999964e+00 1.776159999999999996e-09
7.980000000000000426e+00 1.750599999999999931e-09
8.000000000000000000e+00 1.725080000000000003e-09
8.019999999999999574e+00 1.699600000000000004e-09
8.039999999999999147e+00 1.674200000000000071e-09
8.060000000000000497e+00 1.648869999999999911e-09
8.080000000000000071e+00 1.623639999999999989e-09
8.099999999999999645e+00 1.598510000000000098e-09
8.119999999999999218e+00 1.573499999999999995e-09
8.140000000000000568e+00 1.548619999999999973e-09
8.160000000000000142e+00 1.523870000000000033e-09
8.179999999999999716e+00 1.499269999999999932e-09
8.199999999999999289e+00 1.474829999999999962e-09
8.220000000000000639e+00 1.450549999999999918e-09
8.240000000000000213e+00 1.426449999999999970e-09
8.259999999999999787e+00 1.402529999999999912e-09
8.279999999999999361e+00 1.378800000000000036e-09
8.300000000000000711e+00 1.355270000000000015e-09
8.320000000000000284e+00 1.331940000000000055e-09
8.339999999999999858e+00 1.308829999999999915e-09
8.359999999999999432e+00 1.285929999999999922e-09
8.380000000000000782e+00 1.263260000000000040e-09
8.400000000000000355e+00 1.240809999999999978e-09
8.419999999999999929e+00 1.218599999999999907e-09
8.439999999999999503e+00 1.196619999999999948e-09
8.460000000000000853e+00 1.174879999999999980e-09
8.480000000000000426e+00 1.153390000000000088e-09
8.500000000000000000e+00 1.132150000000000066e-09
