# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 8.407790000000000094e-45
4.790000000000000036e+00 2.718520000000000097e-43
4.809999999999999609e+00 8.071480000000000310e-42
4.830000000000000071e+00 2.056269999999999979e-40
4.849999999999999645e+00 4.530640000000000198e-39
4.870000000000000107e+00 8.689120000000000394e-38
4.889999999999999680e+00 1.459770000000000050e-36
4.910000000000000142e+00 2.161280000000000086e-35
4.929999999999999716e+00 2.835969999999999915e-34
4.950000000000000178e+00 3.315960000000000109e-33
4.969999999999999751e+00 3.473100000000000188e-32
4.990000000000000213e+00 3.274989999999999789e-31
5.009999999999999787e+00 2.793189999999999944e-30
5.030000000000000249e+00 2.164750000000000103e-29
5.049999999999999822e+00 1.530960000000000098e-28
5.070000000000000284e+00 9.922209999999999361e-28
5.089999999999999858e+00 5.915799999999999804e-27
5.110000000000000320e+00 3.257270000000000016e-26
5.129999999999999893e+00 1.662099999999999932e-25
5.150000000000000355e+00 7.887650000000000121e-25
5.169999999999999929e+00 3.492369999999999672e-24
5.190000000000000391e+00 1.447320000000000127e-23
5.209999999999999964e+00 5.630529999999999863e-23
5.230000000000000426e+00 2.062260000000000013e-22
5.250000000000000000e+00 7.130240000000000148e-22
5.269999999999999574e+00 2.333320000000000072e-21
5.290000000000000036e+00 7.245130000000000347e-21
5.309999999999999609e+00 2.139630000000000038e-20
5.330000000000000071e+00 6.023159999999999783e-20
5.349999999999999645e+00 1.619769999999999952e-19
5.370000000000000107e+00 4.169979999999999901e-19
5.389999999999999680e+00 1.029699999999999998e-18
5.410000000000000142e+00 2.443410000000000159e-18
5.429999999999999716e+00 5.581840000000000337e-18
5.450000000000000178e+00 1.229730000000000004e-17
5.469999999999999751e+00 2.616949999999999930e-17
5.490000000000000213e+00 5.387750000000000009e-17
5.509999999999999787e+00 1.074740000000000061e-16
5.530000000000000249e+00 2.080220000000000106e-16
5.549999999999999822e+00 3.912100000000000007e-16
5.570000000000000284e+00 7.157540000000000142e-16
5.589999999999999858e+00 1.275610000000000034e-15
5.610000000000000320e+00 2.217130000000000195e-15
5.629999999999999893e+00 3.762439999999999661e-15
5.650000000000000355e+00 6.240510000000000109e-15
5.669999999999999929e+00 1.003869999999999961e-14
5.690000000000000391e+00 1.576180000000000144e-14
5.709999999999999964e+00 2.434690000000000125e-14
5.730000000000000426e+00 3.700269999999999994e-14
5.750000000000000000e+00 5.534329999999999981e-14
5.769999999999999574e+00 8.147800000000000381e-14
5.790000000000000036e+00 1.181120000000000070e-13
5.809999999999999609e+00 1.686520000000000118e-13
5.830000000000000071e+00 2.373120000000000191e-13
5.849999999999999645e+00 3.291960000000000142e-13
5.870000000000000107e+00 4.504209999999999848e-13
5.889999999999999680e+00 6.081499999999999885e-13
5.910000000000000142e+00 8.106940000000000391e-13
5.929999999999999716e+00 1.067509999999999962e-12
5.950000000000000178e+00 1.389190000000000061e-12
5.969999999999999751e+00 1.787490000000000091e-12
5.990000000000000213e+00 2.275239999999999906e-12
6.009999999999999787e+00 2.866270000000000064e-12
6.030000000000000249e+00 3.575210000000000071e-12
6.049999999999999822e+00 4.417499999999999706e-12
6.070000000000000284e+00 5.409109999999999759e-12
6.089999999999999858e+00 6.566350000000000187e-12
6.110000000000000320e+00 7.905649999999999539e-12
6.129999999999999893e+00 9.443440000000000401e-12
6.150000000000000355e+00 1.119590000000000079e-11
6.169999999999999929e+00 1.317859999999999960e-11
6.190000000000000391e+00 1.540619999999999871e-11
6.209999999999999964e+00 1.789289999999999942e-11
6.230000000000000426e+00 2.065129999999999865e-11
6.250000000000000000e+00 2.369269999999999900e-11
6.269999999999999574e+00 2.702719999999999857e-11
6.290000000000000036e+00 3.066280000000000138e-11
6.309999999999999609e+00 3.460630000000000048e-11
6.330000000000000071e+00 3.886199999999999980e-11
6.349999999999999645e+00 4.343250000000000098e-11
6.370000000000000107e+00 4.831840000000000139e-11
6.389999999999999680e+00 5.351859999999999937e-11
6.410000000000000142e+00 5.902940000000000452e-11
6.429999999999999716e+00 6.484539999999999509e-11
6.450000000000000178e+00 7.095950000000000193e-11
6.469999999999999751e+00 7.736239999999999436e-11
6.490000000000000213e+00 8.404280000000000213e-11
6.509999999999999787e+00 9.098810000000000243e-11
6.530000000000000249e+00 9.818450000000000355e-11
6.549999999999999822e+00 1.056159999999999975e-10
6.570000000000000284e+00 1.132649999999999961e-10
6.589999999999999858e+00 1.211150000000000000e-10
6.610000000000000320e+00 1.291449999999999971e-10
6.629999999999999893e+00 1.373369999999999880e-10
6.650000000000000355e+00 1.456689999999999909e-10
6.669999999999999929e+00 1.541209999999999892e-10
6.690000000000000391e+00 1.626710000000000011e-10
6.709999999999999964e+00 1.712980000000000013e-10
6.730000000000000426e+00 1.799800000000000082e-10
6.750000000000000000e+00 1.886959999999999965e-10
6.769999999999999574e+00 1.974240000000000102e-10
6.790000000000000036e+00 2.061440000000000070e-10
6.809999999999999609e+00 2.148349999999999876e-10
6.830000000000000071e+00 2.234769999999999873e-10
6.849999999999999645e+00 2.320509999999999982e-10
6.870000000000000107e+00 2.405380000000000125e-10
6.889999999999999680e+00 2.489210000000000134e-10
6.910000000000000142e+00 2.571830000000000103e-10
6.929999999999999716e+00 2.653080000000000210e-10
6.950000000000000178e+00 2.732800000000000117e-10
6.969999999999999751e+00 2.810850000000000173e-10
6.990000000000000213e+00 2.887099999999999781e-10
7.009999999999999787e+00 2.961440000000000064e-10
7.030000000000000249e+00 3.033729999999999821e-10
7.049999999999999822e+00 3.103889999999999918e-10
7.070000000000000284e+00 3.171809999999999928e-10
7.089999999999999858e+00 3.237410000000000197e-10
7.110000000000000320e+00 3.300620000000000127e-10
7.129999999999999893e+00 3.361360000000000064e-10
7.150000000000000355e+00 3.419590000000000182e-10
7.169999999999999929e+00 3.475249999999999967e-10
7.190000000000000391e+00 3.528290000000000024e-10
7.209999999999999964e+00 3.578690000000000181e-10
7.230000000000000426e+00 3.626420000000000181e-10
7.259999999999999787e+00 3.671469999999999937e-10
7.280000000000000249e+00 3.713810000000000227e-10
7.299999999999999822e+00 3.753450000000000103e-10
7.320000000000000284e+00 3.790379999999999995e-10
7.339999999999999858e+00 3.824620000000000075e-10
7.360000000000000320e+00 3.856179999999999912e-10
7.379999999999999893e+00 3.885080000000000195e-10
7.400000000000000355e+00 3.911350000000000147e-10
7.419999999999999929e+00 3.934999999999999853e-10
7.440000000000000391e+00 3.956079999999999743e-10
7.459999999999999964e+00 3.974630000000000160e-10
7.480000000000000426e+00 3.990679999999999810e-10
7.500000000000000000e+00 4.004290000000000242e-10
7.519999999999999574e+00 4.015500000000000247e-10
7.540000000000000036e+00 4.024360000000000256e-10
7.559999999999999609e+00 4.030929999999999748e-10
7.580000000000000071e+00 4.035269999999999756e-10
7.599999999999999645e+00 4.037439999999999760e-10
7.620000000000000107e+00 4.037490000000000189e-10
7.639999999999999680e+00 4.035500000000000178e-10
7.660000000000000142e+00 4.031520000000000157e-10
7.679999999999999716e+00 4.025620000000000208e-10
7.700000000000000178e+00 4.017869999999999899e-10
7.719999999999999751e+00 4.008339999999999829e-10
7.740000000000000213e+00 3.997079999999999912e-10
7.759999999999999787e+00 3.984169999999999798e-10
7.780000000000000249e+00 3.969680000000000089e-10
7.799999999999999822e+00 3.953660000000000180e-10
7.820000000000000284e+00 3.936190000000000239e-10
7.839999999999999858e+00 3.917329999999999748e-10
7.860000000000000320e+00 3.897149999999999824e-10
7.879999999999999893e+00 3.875699999999999862e-10
7.900000000000000355e+00 3.853039999999999859e-10
7.919999999999999929e+00 3.829249999999999986e-10
7.940000000000000391e+00 3.804359999999999982e-10
7.959999999999999964e+00 3.778450000000000016e-10
7.980000000000000426e+00 3.751559999999999916e-10
8.000000000000000000e+00 3.723750000000000195e-10
8.019999999999999574e+00 3.695070000000000249e-10
8.039999999999999147e+00 3.665559999999999903e-10
8.060000000000000497e+00 3.635280000000000189e-10
8.080000000000000071e+00 3.604269999999999900e-10
8.099999999999999645e+00 3.572559999999999810e-10
8.119999999999999218e+00 3.540220000000000003e-10
8.140000000000000568e+00 3.507270000000000132e-10
8.160000000000000142e+00 3.473739999999999939e-10
8.179999999999999716e+00 3.439689999999999937e-10
8.199999999999999289e+00 3.405139999999999782e-10
8.220000000000000639e+00 3.370120000000000249e-10
8.240000000000000213e+00 3.334680000000000214e-10
8.259999999999999787e+00 3.298829999999999764e-10
8.279999999999999361e+00 3.262609999999999759e-10
8.300000000000000711e+00 3.226039999999999853e-10
8.320000000000000284e+00 3.189149999999999787e-10
8.339999999999999858e+00 3.151969999999999818e-10
8.359999999999999432e+00 3.114530000000000204e-10
8.380000000000000782e+00 3.076839999999999996e-10
8.400000000000000355e+00 3.038940000000000054e-10
8.419999999999999929e+00 3.000829999999999862e-10
8.439999999999999503e+00 2.962559999999999849e-10
8.460000000000000853e+00 2.924140000000000099e-10
8.480000000000000426e+00 2.885580000000000183e-10
8.500000000000000000e+00 2.846919999999999926e-10
