# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 1.396699999999999868e-26
3.520000000000000018e+00 1.025650000000000035e-25
3.540000000000000036e+00 6.890019999999999832e-25
3.560000000000000053e+00 4.251279999999999938e-24
3.580000000000000071e+00 2.418600000000000095e-23
3.600000000000000089e+00 1.273349999999999905e-22
3.620000000000000107e+00 6.225679999999999961e-22
3.640000000000000124e+00 2.836209999999999814e-21
3.660000000000000142e+00 1.207779999999999930e-20
3.680000000000000160e+00 4.822360000000000219e-20
3.700000000000000178e+00 1.810569999999999931e-19
3.720000000000000195e+00 6.410120000000000139e-19
3.740000000000000213e+00 2.145659999999999952e-18
3.759999999999999787e+00 6.807730000000000368e-18
3.779999999999999805e+00 2.052290000000000040e-17
3.799999999999999822e+00 5.892110000000000305e-17
3.819999999999999840e+00 1.614619999999999995e-16
3.839999999999999858e+00 4.231879999999999949e-16
3.859999999999999876e+00 1.063040000000000013e-15
3.879999999999999893e+00 2.564130000000000114e-15
3.899999999999999911e+00 5.949860000000000010e-15
3.919999999999999929e+00 1.330490000000000050e-14
3.939999999999999947e+00 2.871949999999999819e-14
3.959999999999999964e+00 5.993730000000000149e-14
3.979999999999999982e+00 1.211250000000000014e-13
4.000000000000000000e+00 2.373659999999999904e-13
4.019999999999999574e+00 4.517089999999999789e-13
4.040000000000000036e+00 8.358329999999999989e-13
4.059999999999999609e+00 1.505789999999999989e-12
4.080000000000000071e+00 2.644270000000000000e-12
4.099999999999999645e+00 4.531599999999999795e-12
4.120000000000000107e+00 7.587270000000000648e-12
4.139999999999999680e+00 1.239250000000000076e-11
4.160000000000000142e+00 1.956020000000000060e-11
4.179999999999999716e+00 3.033390000000000265e-11
4.200000000000000178e+00 4.623449999999999813e-11
4.219999999999999751e+00 6.928519999999999562e-11
4.240000000000000213e+00 1.021230000000000050e-10
4.259999999999999787e+00 1.481180000000000101e-10
4.280000000000000249e+00 2.114999999999999934e-10
4.299999999999999822e+00 2.974600000000000254e-10
4.320000000000000284e+00 4.122839999999999796e-10
4.339999999999999858e+00 5.634179999999999873e-10
4.360000000000000320e+00 7.595659999999999597e-10
4.379999999999999893e+00 1.010689999999999950e-09
4.400000000000000355e+00 1.328069999999999944e-09
4.419999999999999929e+00 1.724209999999999984e-09
4.440000000000000391e+00 2.212800000000000051e-09
4.459999999999999964e+00 2.808569999999999949e-09
4.480000000000000426e+00 3.527199999999999979e-09
4.500000000000000000e+00 4.385000000000000057e-09
4.519999999999999574e+00 5.398819999999999768e-09
4.540000000000000036e+00 6.585650000000000311e-09
4.559999999999999609e+00 7.962520000000000748e-09
4.580000000000000071e+00 9.545970000000000279e-09
4.599999999999999645e+00 1.135210000000000012e-08
4.620000000000000107e+00 1.339580000000000041e-08
4.639999999999999680e+00 1.569110000000000013e-08
4.660000000000000142e+00 1.825030000000000097e-08
4.679999999999999716e+00 2.108410000000000084e-08
4.700000000000000178e+00 2.420120000000000035e-08
4.719999999999999751e+00 2.760839999999999991e-08
4.740000000000000213e+00 3.131040000000000222e-08
4.769999999999999574e+00 3.530929999999999841e-08
4.790000000000000036e+00 3.960479999999999873e-08
4.809999999999999609e+00 4.419459999999999791e-08
4.830000000000000071e+00 4.907409999999999869e-08
4.849999999999999645e+00 5.423570000000000039e-08
4.870000000000000107e+00 5.967029999999999401e-08
4.889999999999999680e+00 6.536629999999999419e-08
4.910000000000000142e+00 7.131040000000000306e-08
4.929999999999999716e+00 7.748730000000000062e-08
4.950000000000000178e+00 8.387999999999999407e-08
4.969999999999999751e+00 9.047009999999999429e-08
4.990000000000000213e+00 9.723830000000000324e-08
5.009999999999999787e+00 1.041640000000000055e-07
5.030000000000000249e+00 1.112250000000000050e-07
5.049999999999999822e+00 1.183990000000000003e-07
5.070000000000000284e+00 1.256650000000000072e-07
5.089999999999999858e+00 1.329980000000000108e-07
5.110000000000000320e+00 1.403779999999999882e-07
5.129999999999999893e+00 1.477789999999999894e-07
5.150000000000000355e+00 1.551809999999999918e-07
5.169999999999999929e+00 1.625609999999999956e-07
5.190000000000000391e+00 1.698980000000000037e-07
5.209999999999999964e+00 1.771709999999999921e-07
5.230000000000000426e+00 1.843599999999999912e-07
5.250000000000000000e+00 1.914470000000000069e-07
