# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 1.961820000000000061e-44
4.000000000000000000e+00 7.707139999999999557e-43
4.019999999999999574e+00 2.632480000000000035e-41
4.040000000000000036e+00 7.675509999999999288e-40
4.059999999999999609e+00 1.923770000000000125e-38
4.080000000000000071e+00 4.172629999999999643e-37
4.099999999999999645e+00 7.883839999999999707e-36
4.120000000000000107e+00 1.305820000000000027e-34
4.139999999999999680e+00 1.907199999999999969e-33
4.160000000000000142e+00 2.470119999999999784e-32
4.179999999999999716e+00 2.852549999999999836e-31
4.200000000000000178e+00 2.952679999999999915e-30
4.219999999999999751e+00 2.752939999999999723e-29
4.240000000000000213e+00 2.322709999999999835e-28
4.259999999999999787e+00 1.781550000000000015e-27
4.280000000000000249e+00 1.247659999999999979e-26
4.299999999999999822e+00 8.010060000000000215e-26
4.320000000000000284e+00 4.733249999999999685e-25
4.339999999999999858e+00 2.583799999999999847e-24
4.360000000000000320e+00 1.307739999999999952e-23
4.379999999999999893e+00 6.157469999999999528e-23
4.400000000000000355e+00 2.706129999999999988e-22
4.419999999999999929e+00 1.113480000000000093e-21
4.440000000000000391e+00 4.302550000000000159e-21
4.459999999999999964e+00 1.565620000000000008e-20
4.480000000000000426e+00 5.379779999999999763e-20
4.500000000000000000e+00 1.750099999999999888e-19
4.519999999999999574e+00 5.403539999999999522e-19
4.540000000000000036e+00 1.587130000000000005e-18
4.559999999999999609e+00 4.444990000000000104e-18
4.580000000000000071e+00 1.189489999999999978e-17
4.599999999999999645e+00 3.047899999999999937e-17
4.620000000000000107e+00 7.492379999999999879e-17
4.639999999999999680e+00 1.770289999999999969e-16
4.660000000000000142e+00 4.027690000000000175e-16
4.679999999999999716e+00 8.838749999999999903e-16
4.700000000000000178e+00 1.873910000000000112e-15
4.719999999999999751e+00 3.844269999999999652e-15
4.740000000000000213e+00 7.642580000000000427e-15
4.769999999999999574e+00 1.474470000000000153e-14
4.790000000000000036e+00 2.764280000000000024e-14
4.809999999999999609e+00 5.042550000000000183e-14
4.830000000000000071e+00 8.961530000000000135e-14
4.849999999999999645e+00 1.553399999999999975e-13
4.870000000000000107e+00 2.629289999999999998e-13
4.889999999999999680e+00 4.350309999999999868e-13
4.910000000000000142e+00 6.958299999999999744e-13
4.929999999999999716e+00 1.087259999999999953e-12
4.950000000000000178e+00 1.670880000000000045e-12
4.969999999999999751e+00 2.525880000000000138e-12
4.990000000000000213e+00 3.757080000000000385e-12
5.009999999999999787e+00 5.500250000000000116e-12
5.030000000000000249e+00 7.928030000000000500e-12
5.049999999999999822e+00 1.125559999999999982e-11
5.070000000000000284e+00 1.574659999999999916e-11
5.089999999999999858e+00 2.171799999999999935e-11
5.110000000000000320e+00 2.954430000000000286e-11
5.129999999999999893e+00 3.966140000000000223e-11
5.150000000000000355e+00 5.256749999999999709e-11
5.169999999999999929e+00 6.882280000000000195e-11
5.190000000000000391e+00 8.905020000000000440e-11
5.209999999999999964e+00 1.139279999999999968e-10
5.230000000000000426e+00 1.441880000000000040e-10
5.250000000000000000e+00 1.806049999999999931e-10
5.269999999999999574e+00 2.239899999999999937e-10
5.290000000000000036e+00 2.751790000000000172e-10
5.309999999999999609e+00 3.350210000000000056e-10
5.330000000000000071e+00 4.043640000000000214e-10
5.349999999999999645e+00 4.840469999999999726e-10
5.370000000000000107e+00 5.748820000000000007e-10
5.389999999999999680e+00 6.776390000000000419e-10
5.410000000000000142e+00 7.930379999999999657e-10
5.429999999999999716e+00 9.217370000000000400e-10
5.450000000000000178e+00 1.064329999999999984e-09
5.469999999999999751e+00 1.221290000000000029e-09
5.490000000000000213e+00 1.393050000000000065e-09
5.509999999999999787e+00 1.579909999999999976e-09
5.530000000000000249e+00 1.782070000000000030e-09
5.549999999999999822e+00 1.999630000000000052e-09
5.570000000000000284e+00 2.232580000000000163e-09
5.589999999999999858e+00 2.480790000000000074e-09
5.610000000000000320e+00 2.744030000000000087e-09
5.629999999999999893e+00 3.021979999999999939e-09
5.650000000000000355e+00 3.314169999999999940e-09
5.669999999999999929e+00 3.620069999999999887e-09
5.690000000000000391e+00 3.939069999999999716e-09
5.709999999999999964e+00 4.270449999999999868e-09
5.730000000000000426e+00 4.613409999999999685e-09
5.750000000000000000e+00 4.967089999999999646e-09
5.769999999999999574e+00 5.330599999999999769e-09
5.790000000000000036e+00 5.702939999999999747e-09
5.809999999999999609e+00 6.083119999999999979e-09
5.830000000000000071e+00 6.470120000000000400e-09
5.849999999999999645e+00 6.862860000000000018e-09
5.870000000000000107e+00 7.260280000000000079e-09
5.889999999999999680e+00 7.661299999999999590e-09
5.910000000000000142e+00 8.064869999999999676e-09
5.929999999999999716e+00 8.469929999999999929e-09
5.950000000000000178e+00 8.875439999999999700e-09
5.969999999999999751e+00 9.280399999999999510e-09
5.990000000000000213e+00 9.683839999999999514e-09
6.009999999999999787e+00 1.008479999999999975e-08
6.030000000000000249e+00 1.048249999999999973e-08
6.049999999999999822e+00 1.087590000000000046e-08
6.070000000000000284e+00 1.126430000000000049e-08
6.089999999999999858e+00 1.164700000000000000e-08
6.110000000000000320e+00 1.202320000000000042e-08
6.129999999999999893e+00 1.239230000000000073e-08
6.150000000000000355e+00 1.275369999999999991e-08
6.169999999999999929e+00 1.310680000000000028e-08
6.190000000000000391e+00 1.345120000000000004e-08
6.209999999999999964e+00 1.378629999999999984e-08
6.230000000000000426e+00 1.411169999999999957e-08
6.250000000000000000e+00 1.442719999999999998e-08
6.269999999999999574e+00 1.473230000000000050e-08
6.290000000000000036e+00 1.502679999999999861e-08
6.309999999999999609e+00 1.531040000000000123e-08
6.330000000000000071e+00 1.558289999999999920e-08
6.349999999999999645e+00 1.584410000000000157e-08
6.370000000000000107e+00 1.609389999999999961e-08
6.389999999999999680e+00 1.633220000000000115e-08
6.410000000000000142e+00 1.655879999999999869e-08
6.429999999999999716e+00 1.677369999999999885e-08
6.450000000000000178e+00 1.697690000000000162e-08
6.469999999999999751e+00 1.716830000000000160e-08
6.490000000000000213e+00 1.734789999999999879e-08
6.509999999999999787e+00 1.751579999999999860e-08
6.530000000000000249e+00 1.767200000000000101e-08
6.549999999999999822e+00 1.781649999999999943e-08
6.570000000000000284e+00 1.794950000000000135e-08
6.589999999999999858e+00 1.807090000000000136e-08
6.610000000000000320e+00 1.818110000000000125e-08
6.629999999999999893e+00 1.827990000000000012e-08
6.650000000000000355e+00 1.836769999999999976e-08
6.669999999999999929e+00 1.844450000000000015e-08
6.690000000000000391e+00 1.851049999999999889e-08
6.709999999999999964e+00 1.856590000000000017e-08
6.730000000000000426e+00 1.861090000000000157e-08
6.750000000000000000e+00 1.864570000000000066e-08
6.769999999999999574e+00 1.867039999999999955e-08
6.790000000000000036e+00 1.868540000000000002e-08
6.809999999999999609e+00 1.869080000000000084e-08
6.830000000000000071e+00 1.868679999999999962e-08
6.849999999999999645e+00 1.867380000000000142e-08
6.870000000000000107e+00 1.865200000000000052e-08
6.889999999999999680e+00 1.862160000000000113e-08
6.910000000000000142e+00 1.858289999999999959e-08
6.929999999999999716e+00 1.853610000000000013e-08
6.950000000000000178e+00 1.848160000000000120e-08
6.969999999999999751e+00 1.841950000000000159e-08
6.990000000000000213e+00 1.835029999999999856e-08
7.009999999999999787e+00 1.827410000000000083e-08
7.030000000000000249e+00 1.819120000000000145e-08
7.049999999999999822e+00 1.810190000000000012e-08
7.070000000000000284e+00 1.800649999999999981e-08
7.089999999999999858e+00 1.790520000000000141e-08
7.110000000000000320e+00 1.779830000000000129e-08
7.129999999999999893e+00 1.768609999999999913e-08
7.150000000000000355e+00 1.756879999999999914e-08
7.169999999999999929e+00 1.744670000000000097e-08
7.190000000000000391e+00 1.731999999999999892e-08
7.209999999999999964e+00 1.718899999999999927e-08
7.230000000000000426e+00 1.705389999999999960e-08
7.259999999999999787e+00 1.691490000000000080e-08
7.280000000000000249e+00 1.677220000000000046e-08
7.299999999999999822e+00 1.662620000000000034e-08
7.320000000000000284e+00 1.647690000000000046e-08
7.339999999999999858e+00 1.632449999999999838e-08
7.360000000000000320e+00 1.616939999999999919e-08
7.379999999999999893e+00 1.601159999999999959e-08
7.400000000000000355e+00 1.585139999999999926e-08
7.419999999999999929e+00 1.568890000000000028e-08
7.440000000000000391e+00 1.552430000000000025e-08
7.459999999999999964e+00 1.535770000000000126e-08
7.480000000000000426e+00 1.518930000000000089e-08
7.500000000000000000e+00 1.501930000000000003e-08
7.519999999999999574e+00 1.484780000000000078e-08
7.540000000000000036e+00 1.467490000000000027e-08
7.559999999999999609e+00 1.450079999999999939e-08
7.580000000000000071e+00 1.432560000000000024e-08
7.599999999999999645e+00 1.414950000000000041e-08
7.620000000000000107e+00 1.397249999999999988e-08
7.639999999999999680e+00 1.379470000000000076e-08
7.660000000000000142e+00 1.361630000000000064e-08
7.679999999999999716e+00 1.343750000000000038e-08
7.700000000000000178e+00 1.325819999999999957e-08
7.719999999999999751e+00 1.307860000000000072e-08
7.740000000000000213e+00 1.289889999999999978e-08
7.759999999999999787e+00 1.271899999999999961e-08
7.780000000000000249e+00 1.253919999999999988e-08
7.799999999999999822e+00 1.235940000000000015e-08
7.820000000000000284e+00 1.217979999999999965e-08
7.839999999999999858e+00 1.200050000000000049e-08
7.860000000000000320e+00 1.182159999999999979e-08
7.879999999999999893e+00 1.164309999999999922e-08
7.900000000000000355e+00 1.146519999999999966e-08
7.919999999999999929e+00 1.128789999999999945e-08
7.940000000000000391e+00 1.111130000000000070e-08
7.959999999999999964e+00 1.093550000000000055e-08
7.980000000000000426e+00 1.076050000000000063e-08
8.000000000000000000e+00 1.058639999999999976e-08
8.019999999999999574e+00 1.041340000000000046e-08
8.039999999999999147e+00 1.024140000000000064e-08
8.060000000000000497e+00 1.007050000000000074e-08
8.080000000000000071e+00 9.900850000000000608e-09
8.099999999999999645e+00 9.732440000000000360e-09
8.119999999999999218e+00 9.565370000000000439e-09
8.140000000000000568e+00 9.399660000000000605e-09
8.160000000000000142e+00 9.235380000000000010e-09
8.179999999999999716e+00 9.072579999999999704e-09
8.199999999999999289e+00 8.911310000000000735e-09
8.220000000000000639e+00 8.751619999999999191e-09
8.240000000000000213e+00 8.593549999999999550e-09
8.259999999999999787e+00 8.437139999999999673e-09
8.279999999999999361e+00 8.282430000000000732e-09
8.300000000000000711e+00 8.129439999999999174e-09
8.320000000000000284e+00 7.978229999999999239e-09
8.339999999999999858e+00 7.828799999999999270e-09
8.359999999999999432e+00 7.681200000000000317e-09
8.380000000000000782e+00 7.535440000000000605e-09
8.400000000000000355e+00 7.391559999999999650e-09
8.419999999999999929e+00 7.249559999999999934e-09
8.439999999999999503e+00 7.109480000000000145e-09
8.460000000000000853e+00 6.971310000000000404e-09
8.480000000000000426e+00 6.835069999999999642e-09
8.500000000000000000e+00 6.700770000000000219e-09
