# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 1.541429999999999888e-44
4.099999999999999645e+00 6.319860000000000272e-43
4.120000000000000107e+00 2.131659999999999886e-41
4.139999999999999680e+00 6.141720000000000379e-40
4.160000000000000142e+00 1.521679999999999897e-38
4.179999999999999716e+00 3.264530000000000108e-37
4.200000000000000178e+00 6.104390000000000110e-36
4.219999999999999751e+00 1.001040000000000089e-34
4.240000000000000213e+00 1.448090000000000030e-33
4.259999999999999787e+00 1.858510000000000012e-32
4.280000000000000249e+00 2.127810000000000179e-31
4.299999999999999822e+00 2.184189999999999991e-30
4.320000000000000284e+00 2.020349999999999968e-29
4.339999999999999858e+00 1.691780000000000107e-28
4.360000000000000320e+00 1.288340000000000044e-27
4.379999999999999893e+00 8.960139999999999927e-27
4.400000000000000355e+00 5.714970000000000496e-26
4.419999999999999929e+00 3.355729999999999857e-25
4.440000000000000391e+00 1.820939999999999822e-24
4.459999999999999964e+00 9.163379999999999714e-24
4.480000000000000426e+00 4.291159999999999715e-23
4.500000000000000000e+00 1.876019999999999952e-22
4.519999999999999574e+00 7.681009999999999685e-22
4.540000000000000036e+00 2.953780000000000145e-21
4.559999999999999609e+00 1.069979999999999936e-20
4.580000000000000071e+00 3.660619999999999742e-20
4.599999999999999645e+00 1.185949999999999985e-19
4.620000000000000107e+00 3.647119999999999896e-19
4.639999999999999680e+00 1.067190000000000058e-18
4.660000000000000142e+00 2.978059999999999852e-18
4.679999999999999716e+00 7.942139999999999249e-18
4.700000000000000178e+00 2.028320000000000005e-17
4.719999999999999751e+00 4.970410000000000040e-17
4.740000000000000213e+00 1.170899999999999956e-16
4.769999999999999574e+00 2.656379999999999789e-16
4.790000000000000036e+00 5.813379999999999615e-16
4.809999999999999609e+00 1.229279999999999930e-15
4.830000000000000071e+00 2.515609999999999870e-15
4.849999999999999645e+00 4.989230000000000018e-15
4.870000000000000107e+00 9.603619999999999649e-15
4.889999999999999680e+00 1.796550000000000054e-14
4.910000000000000142e+00 3.270499999999999797e-14
4.929999999999999716e+00 5.800780000000000199e-14
4.950000000000000178e+00 1.003600000000000010e-13
4.969999999999999751e+00 1.695639999999999982e-13
4.990000000000000213e+00 2.800730000000000022e-13
5.009999999999999787e+00 4.464659999999999779e-13
5.030000000000000249e+00 6.963709999999999617e-13
5.049999999999999822e+00 1.068300000000000002e-12
5.070000000000000284e+00 1.612289999999999989e-12
5.089999999999999858e+00 2.394289999999999888e-12
5.110000000000000320e+00 3.499730000000000073e-12
5.129999999999999893e+00 5.036799999999999702e-12
5.150000000000000355e+00 7.140529999999999665e-12
5.169999999999999929e+00 9.975359999999999209e-12
5.190000000000000391e+00 1.373930000000000064e-11
5.209999999999999964e+00 1.866529999999999964e-11
5.230000000000000426e+00 2.502440000000000149e-11
5.250000000000000000e+00 3.312520000000000106e-11
5.269999999999999574e+00 4.331449999999999684e-11
5.290000000000000036e+00 5.597689999999999749e-11
5.309999999999999609e+00 7.153059999999999492e-11
5.330000000000000071e+00 9.042440000000000313e-11
5.349999999999999645e+00 1.131330000000000011e-10
5.370000000000000107e+00 1.401540000000000105e-10
5.389999999999999680e+00 1.719970000000000007e-10
5.410000000000000142e+00 2.091760000000000126e-10
5.429999999999999716e+00 2.522060000000000181e-10
5.450000000000000178e+00 3.015949999999999806e-10
5.469999999999999751e+00 3.578279999999999766e-10
5.490000000000000213e+00 4.213650000000000230e-10
5.509999999999999787e+00 4.926379999999999484e-10
5.530000000000000249e+00 5.720390000000000137e-10
5.549999999999999822e+00 6.599019999999999821e-10
5.570000000000000284e+00 7.565199999999999890e-10
5.589999999999999858e+00 8.621240000000000516e-10
5.610000000000000320e+00 9.768849999999999824e-10
5.629999999999999893e+00 1.100910000000000079e-09
5.650000000000000355e+00 1.234240000000000072e-09
5.669999999999999929e+00 1.376839999999999973e-09
5.690000000000000391e+00 1.528629999999999921e-09
5.709999999999999964e+00 1.689449999999999992e-09
5.730000000000000426e+00 1.859070000000000075e-09
5.750000000000000000e+00 2.037209999999999834e-09
5.769999999999999574e+00 2.223549999999999833e-09
5.790000000000000036e+00 2.417669999999999986e-09
5.809999999999999609e+00 2.619140000000000119e-09
5.830000000000000071e+00 2.827479999999999835e-09
5.849999999999999645e+00 3.042179999999999932e-09
5.870000000000000107e+00 3.262669999999999860e-09
5.889999999999999680e+00 3.488370000000000021e-09
5.910000000000000142e+00 3.718699999999999990e-09
5.929999999999999716e+00 3.953050000000000117e-09
5.950000000000000178e+00 4.190780000000000287e-09
5.969999999999999751e+00 4.431280000000000025e-09
5.990000000000000213e+00 4.673930000000000216e-09
6.009999999999999787e+00 4.918110000000000091e-09
6.030000000000000249e+00 5.163210000000000413e-09
6.049999999999999822e+00 5.408649999999999929e-09
6.070000000000000284e+00 5.653869999999999626e-09
6.089999999999999858e+00 5.898289999999999905e-09
6.110000000000000320e+00 6.141400000000000320e-09
6.129999999999999893e+00 6.382679999999999718e-09
6.150000000000000355e+00 6.621659999999999652e-09
6.169999999999999929e+00 6.857889999999999776e-09
6.190000000000000391e+00 7.090919999999999746e-09
6.209999999999999964e+00 7.320370000000000023e-09
6.230000000000000426e+00 7.545860000000000245e-09
6.250000000000000000e+00 7.767040000000000509e-09
6.269999999999999574e+00 7.983580000000000673e-09
6.290000000000000036e+00 8.195189999999999283e-09
6.309999999999999609e+00 8.401599999999999608e-09
6.330000000000000071e+00 8.602549999999999829e-09
6.349999999999999645e+00 8.797809999999999421e-09
6.370000000000000107e+00 8.987180000000000805e-09
6.389999999999999680e+00 9.170469999999999663e-09
6.410000000000000142e+00 9.347509999999999705e-09
6.429999999999999716e+00 9.518159999999999317e-09
6.450000000000000178e+00 9.682280000000000194e-09
6.469999999999999751e+00 9.839750000000000478e-09
6.490000000000000213e+00 9.990469999999999726e-09
6.509999999999999787e+00 1.013440000000000008e-08
6.530000000000000249e+00 1.027139999999999991e-08
6.549999999999999822e+00 1.040140000000000008e-08
6.570000000000000284e+00 1.052440000000000059e-08
6.589999999999999858e+00 1.064050000000000022e-08
6.610000000000000320e+00 1.074939999999999930e-08
6.629999999999999893e+00 1.085130000000000036e-08
6.650000000000000355e+00 1.094620000000000011e-08
6.669999999999999929e+00 1.103399999999999974e-08
6.690000000000000391e+00 1.111490000000000015e-08
6.709999999999999964e+00 1.118879999999999925e-08
6.730000000000000426e+00 1.125570000000000033e-08
6.750000000000000000e+00 1.131589999999999977e-08
6.769999999999999574e+00 1.136919999999999999e-08
6.790000000000000036e+00 1.141590000000000067e-08
6.809999999999999609e+00 1.145589999999999970e-08
6.830000000000000071e+00 1.148939999999999964e-08
6.849999999999999645e+00 1.151659999999999971e-08
6.870000000000000107e+00 1.153739999999999947e-08
6.889999999999999680e+00 1.155210000000000026e-08
6.910000000000000142e+00 1.156079999999999920e-08
6.929999999999999716e+00 1.156349999999999962e-08
6.950000000000000178e+00 1.156049999999999953e-08
6.969999999999999751e+00 1.155189999999999937e-08
6.990000000000000213e+00 1.153790000000000004e-08
7.009999999999999787e+00 1.151849999999999988e-08
7.030000000000000249e+00 1.149400000000000022e-08
7.049999999999999822e+00 1.146460000000000030e-08
7.070000000000000284e+00 1.143030000000000012e-08
7.089999999999999858e+00 1.139130000000000056e-08
7.110000000000000320e+00 1.134789999999999966e-08
7.129999999999999893e+00 1.130019999999999950e-08
7.150000000000000355e+00 1.124839999999999933e-08
7.169999999999999929e+00 1.119259999999999959e-08
7.190000000000000391e+00 1.113290000000000071e-08
7.209999999999999964e+00 1.106969999999999952e-08
7.230000000000000426e+00 1.100299999999999933e-08
7.259999999999999787e+00 1.093290000000000058e-08
7.280000000000000249e+00 1.085969999999999963e-08
7.299999999999999822e+00 1.078360000000000069e-08
7.320000000000000284e+00 1.070450000000000000e-08
7.339999999999999858e+00 1.062279999999999934e-08
7.360000000000000320e+00 1.053860000000000081e-08
7.379999999999999893e+00 1.045189999999999944e-08
7.400000000000000355e+00 1.036299999999999989e-08
7.419999999999999929e+00 1.027190000000000048e-08
7.440000000000000391e+00 1.017889999999999925e-08
7.459999999999999964e+00 1.008390000000000072e-08
7.480000000000000426e+00 9.987219999999999350e-09
7.500000000000000000e+00 9.888879999999999873e-09
7.519999999999999574e+00 9.789030000000000471e-09
7.540000000000000036e+00 9.687760000000000055e-09
7.559999999999999609e+00 9.585170000000000723e-09
7.580000000000000071e+00 9.481379999999999368e-09
7.599999999999999645e+00 9.376489999999999743e-09
7.620000000000000107e+00 9.270569999999999348e-09
7.639999999999999680e+00 9.163740000000000039e-09
7.660000000000000142e+00 9.056069999999999313e-09
7.679999999999999716e+00 8.947659999999999271e-09
7.700000000000000178e+00 8.838580000000000719e-09
7.719999999999999751e+00 8.728909999999999380e-09
7.740000000000000213e+00 8.618729999999999250e-09
7.759999999999999787e+00 8.508129999999999239e-09
7.780000000000000249e+00 8.397160000000000396e-09
7.799999999999999822e+00 8.285909999999999979e-09
7.820000000000000284e+00 8.174430000000000691e-09
7.839999999999999858e+00 8.062799999999999909e-09
7.860000000000000320e+00 7.951090000000000095e-09
7.879999999999999893e+00 7.839350000000000645e-09
7.900000000000000355e+00 7.727650000000000710e-09
7.919999999999999929e+00 7.616039999999999686e-09
7.940000000000000391e+00 7.504590000000000035e-09
7.959999999999999964e+00 7.393350000000000324e-09
7.980000000000000426e+00 7.282389999999999706e-09
8.000000000000000000e+00 7.171740000000000300e-09
8.019999999999999574e+00 7.061469999999999604e-09
8.039999999999999147e+00 6.951619999999999617e-09
8.060000000000000497e+00 6.842239999999999732e-09
8.080000000000000071e+00 6.733399999999999930e-09
8.099999999999999645e+00 6.625119999999999969e-09
8.119999999999999218e+00 6.517450000000000071e-09
8.140000000000000568e+00 6.410439999999999630e-09
8.160000000000000142e+00 6.304129999999999819e-09
8.179999999999999716e+00 6.198550000000000272e-09
8.199999999999999289e+00 6.093750000000000386e-09
8.220000000000000639e+00 5.989769999999999676e-09
8.240000000000000213e+00 5.886630000000000382e-09
8.259999999999999787e+00 5.784370000000000365e-09
8.279999999999999361e+00 5.683029999999999968e-09
8.300000000000000711e+00 5.582629999999999777e-09
8.320000000000000284e+00 5.483200000000000256e-09
8.339999999999999858e+00 5.384760000000000335e-09
8.359999999999999432e+00 5.287339999999999652e-09
8.380000000000000782e+00 5.190980000000000204e-09
8.400000000000000355e+00 5.095680000000000337e-09
8.419999999999999929e+00 5.001459999999999808e-09
8.439999999999999503e+00 4.908349999999999909e-09
8.460000000000000853e+00 4.816349999999999813e-09
8.480000000000000426e+00 4.725489999999999984e-09
8.500000000000000000e+00 4.635780000000000301e-09
