# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 7.006489999999999517e-45
4.280000000000000249e+00 2.550359999999999976e-43
4.299999999999999822e+00 8.584350000000000476e-42
4.320000000000000284e+00 2.466189999999999874e-40
4.339999999999999858e+00 6.093770000000000295e-39
4.360000000000000320e+00 1.304039999999999930e-37
4.379999999999999893e+00 2.432240000000000012e-36
4.400000000000000355e+00 3.979129999999999929e-35
4.419999999999999929e+00 5.743199999999999733e-34
4.440000000000000391e+00 7.355549999999999343e-33
4.459999999999999964e+00 8.403649999999999515e-32
4.480000000000000426e+00 8.609880000000000098e-31
4.500000000000000000e+00 7.948709999999999743e-30
4.519999999999999574e+00 6.644400000000000117e-29
4.540000000000000036e+00 5.051059999999999582e-28
4.559999999999999609e+00 3.507340000000000190e-27
4.580000000000000071e+00 2.233479999999999992e-26
4.599999999999999645e+00 1.309569999999999929e-25
4.620000000000000107e+00 7.095870000000000214e-25
4.639999999999999680e+00 3.565949999999999959e-24
4.660000000000000142e+00 1.667749999999999934e-23
4.679999999999999716e+00 7.282350000000000531e-23
4.700000000000000178e+00 2.978019999999999874e-22
4.719999999999999751e+00 1.143929999999999951e-21
4.740000000000000213e+00 4.139320000000000022e-21
4.769999999999999574e+00 1.414740000000000089e-20
4.790000000000000036e+00 4.578760000000000149e-20
4.809999999999999609e+00 1.406780000000000036e-19
4.830000000000000071e+00 4.112849999999999844e-19
4.849999999999999645e+00 1.146730000000000022e-18
4.870000000000000107e+00 3.055630000000000126e-18
4.889999999999999680e+00 7.797649999999999488e-18
4.910000000000000142e+00 1.909429999999999862e-17
4.929999999999999716e+00 4.494949999999999952e-17
4.950000000000000178e+00 1.019039999999999964e-16
4.969999999999999751e+00 2.228689999999999933e-16
4.990000000000000213e+00 4.709910000000000047e-16
5.009999999999999787e+00 9.632510000000000401e-16
5.030000000000000249e+00 1.909359999999999929e-15
5.049999999999999822e+00 3.673290000000000175e-15
5.070000000000000284e+00 6.868199999999999862e-15
5.089999999999999858e+00 1.249680000000000064e-14
5.110000000000000320e+00 2.215479999999999941e-14
5.129999999999999893e+00 3.831320000000000102e-14
5.150000000000000355e+00 6.470529999999999693e-14
5.169999999999999929e+00 1.068309999999999943e-13
5.190000000000000391e+00 1.700290000000000119e-13
5.209999999999999964e+00 2.648470000000000124e-13
5.230000000000000426e+00 4.058370000000000003e-13
5.250000000000000000e+00 6.118419999999999894e-13
5.269999999999999574e+00 9.077659999999999914e-13
5.290000000000000036e+00 1.325750000000000081e-12
5.309999999999999609e+00 1.906550000000000191e-12
5.330000000000000071e+00 2.700789999999999844e-12
5.349999999999999645e+00 3.770369999999999817e-12
5.370000000000000107e+00 5.189450000000000269e-12
5.389999999999999680e+00 7.045399999999999848e-12
5.410000000000000142e+00 9.439270000000000430e-12
5.429999999999999716e+00 1.248639999999999979e-11
5.450000000000000178e+00 1.631630000000000147e-11
5.469999999999999751e+00 2.107199999999999907e-11
5.490000000000000213e+00 2.690850000000000071e-11
5.509999999999999787e+00 3.399299999999999702e-11
5.530000000000000249e+00 4.250130000000000268e-11
5.549999999999999822e+00 5.261700000000000168e-11
5.570000000000000284e+00 6.452860000000000193e-11
5.589999999999999858e+00 7.842659999999999623e-11
5.610000000000000320e+00 9.450250000000000531e-11
5.629999999999999893e+00 1.129429999999999997e-10
5.650000000000000355e+00 1.339299999999999966e-10
5.669999999999999929e+00 1.576370000000000110e-10
5.690000000000000391e+00 1.842280000000000022e-10
5.709999999999999964e+00 2.138529999999999904e-10
5.730000000000000426e+00 2.466449999999999791e-10
5.750000000000000000e+00 2.827259999999999809e-10
5.769999999999999574e+00 3.221970000000000093e-10
5.790000000000000036e+00 3.651399999999999923e-10
5.809999999999999609e+00 4.116200000000000220e-10
5.830000000000000071e+00 4.616810000000000107e-10
5.849999999999999645e+00 5.153489999999999747e-10
5.870000000000000107e+00 5.726259999999999828e-10
5.889999999999999680e+00 6.335010000000000440e-10
5.910000000000000142e+00 6.979389999999999615e-10
5.929999999999999716e+00 7.658880000000000129e-10
5.950000000000000178e+00 8.372749999999999857e-10
5.969999999999999751e+00 9.120139999999999693e-10
5.990000000000000213e+00 9.900039999999999243e-10
6.009999999999999787e+00 1.071119999999999916e-09
6.030000000000000249e+00 1.155229999999999949e-09
6.049999999999999822e+00 1.242190000000000029e-09
6.070000000000000284e+00 1.331840000000000025e-09
6.089999999999999858e+00 1.423989999999999960e-09
6.110000000000000320e+00 1.518470000000000031e-09
6.129999999999999893e+00 1.615090000000000055e-09
6.150000000000000355e+00 1.713640000000000092e-09
6.169999999999999929e+00 1.813909999999999995e-09
6.190000000000000391e+00 1.915680000000000151e-09
6.209999999999999964e+00 2.018740000000000000e-09
6.230000000000000426e+00 2.122870000000000136e-09
6.250000000000000000e+00 2.227819999999999861e-09
6.269999999999999574e+00 2.333380000000000063e-09
6.290000000000000036e+00 2.439309999999999924e-09
6.309999999999999609e+00 2.545390000000000037e-09
6.330000000000000071e+00 2.651389999999999878e-09
6.349999999999999645e+00 2.757080000000000161e-09
6.370000000000000107e+00 2.862239999999999827e-09
6.389999999999999680e+00 2.966670000000000055e-09
6.410000000000000142e+00 3.070139999999999905e-09
6.429999999999999716e+00 3.172450000000000145e-09
6.450000000000000178e+00 3.273420000000000055e-09
6.469999999999999751e+00 3.372849999999999990e-09
6.490000000000000213e+00 3.470550000000000180e-09
6.509999999999999787e+00 3.566360000000000080e-09
6.530000000000000249e+00 3.660119999999999971e-09
6.549999999999999822e+00 3.751660000000000257e-09
6.570000000000000284e+00 3.840849999999999615e-09
6.589999999999999858e+00 3.927550000000000153e-09
6.610000000000000320e+00 4.011630000000000136e-09
6.629999999999999893e+00 4.092989999999999946e-09
6.650000000000000355e+00 4.171510000000000208e-09
6.669999999999999929e+00 4.247100000000000357e-09
6.690000000000000391e+00 4.319669999999999829e-09
6.709999999999999964e+00 4.389160000000000175e-09
6.730000000000000426e+00 4.455489999999999883e-09
6.750000000000000000e+00 4.518610000000000385e-09
6.769999999999999574e+00 4.578469999999999804e-09
6.790000000000000036e+00 4.635040000000000157e-09
6.809999999999999609e+00 4.688280000000000275e-09
6.830000000000000071e+00 4.738180000000000279e-09
6.849999999999999645e+00 4.784720000000000410e-09
6.870000000000000107e+00 4.827909999999999720e-09
6.889999999999999680e+00 4.867739999999999984e-09
6.910000000000000142e+00 4.904230000000000134e-09
6.929999999999999716e+00 4.937399999999999928e-09
6.950000000000000178e+00 4.967279999999999829e-09
6.969999999999999751e+00 4.993889999999999595e-09
6.990000000000000213e+00 5.017270000000000398e-09
7.009999999999999787e+00 5.037479999999999855e-09
7.030000000000000249e+00 5.054559999999999966e-09
7.049999999999999822e+00 5.068560000000000124e-09
7.070000000000000284e+00 5.079550000000000311e-09
7.089999999999999858e+00 5.087589999999999799e-09
7.110000000000000320e+00 5.092740000000000345e-09
7.129999999999999893e+00 5.095080000000000153e-09
7.150000000000000355e+00 5.094670000000000151e-09
7.169999999999999929e+00 5.091600000000000078e-09
7.190000000000000391e+00 5.085939999999999913e-09
7.209999999999999964e+00 5.077770000000000344e-09
7.230000000000000426e+00 5.067180000000000280e-09
7.259999999999999787e+00 5.054239999999999702e-09
7.280000000000000249e+00 5.039049999999999882e-09
7.299999999999999822e+00 5.021670000000000093e-09
7.320000000000000284e+00 5.002199999999999952e-09
7.339999999999999858e+00 4.980720000000000146e-09
7.360000000000000320e+00 4.957309999999999707e-09
7.379999999999999893e+00 4.932050000000000148e-09
7.400000000000000355e+00 4.905040000000000259e-09
7.419999999999999929e+00 4.876340000000000141e-09
7.440000000000000391e+00 4.846040000000000359e-09
7.459999999999999964e+00 4.814219999999999946e-09
7.480000000000000426e+00 4.780949999999999708e-09
7.500000000000000000e+00 4.746310000000000332e-09
7.519999999999999574e+00 4.710370000000000144e-09
7.540000000000000036e+00 4.673199999999999951e-09
7.559999999999999609e+00 4.634879999999999612e-09
7.580000000000000071e+00 4.595479999999999934e-09
7.599999999999999645e+00 4.555050000000000312e-09
7.620000000000000107e+00 4.513669999999999779e-09
7.639999999999999680e+00 4.471400000000000090e-09
7.660000000000000142e+00 4.428289999999999811e-09
7.679999999999999716e+00 4.384409999999999752e-09
7.700000000000000178e+00 4.339810000000000133e-09
7.719999999999999751e+00 4.294550000000000230e-09
7.740000000000000213e+00 4.248680000000000263e-09
7.759999999999999787e+00 4.202260000000000334e-09
7.780000000000000249e+00 4.155320000000000081e-09
7.799999999999999822e+00 4.107930000000000310e-09
7.820000000000000284e+00 4.060119999999999831e-09
7.839999999999999858e+00 4.011929999999999814e-09
7.860000000000000320e+00 3.963420000000000361e-09
7.879999999999999893e+00 3.914630000000000160e-09
7.900000000000000355e+00 3.865579999999999797e-09
7.919999999999999929e+00 3.816330000000000200e-09
7.940000000000000391e+00 3.766900000000000299e-09
7.959999999999999964e+00 3.717339999999999904e-09
7.980000000000000426e+00 3.667679999999999891e-09
8.000000000000000000e+00 3.617940000000000020e-09
8.019999999999999574e+00 3.568170000000000097e-09
8.039999999999999147e+00 3.518380000000000004e-09
8.060000000000000497e+00 3.468619999999999960e-09
8.080000000000000071e+00 3.418910000000000139e-09
8.099999999999999645e+00 3.369280000000000177e-09
8.119999999999999218e+00 3.319749999999999832e-09
8.140000000000000568e+00 3.270349999999999982e-09
8.160000000000000142e+00 3.221109999999999850e-09
8.179999999999999716e+00 3.172029999999999850e-09
8.199999999999999289e+00 3.123160000000000204e-09
8.220000000000000639e+00 3.074509999999999964e-09
8.240000000000000213e+00 3.026100000000000128e-09
8.259999999999999787e+00 2.977950000000000041e-09
8.279999999999999361e+00 2.930079999999999874e-09
8.300000000000000711e+00 2.882509999999999800e-09
8.320000000000000284e+00 2.835250000000000110e-09
8.339999999999999858e+00 2.788320000000000149e-09
8.359999999999999432e+00 2.741740000000000088e-09
8.380000000000000782e+00 2.695519999999999807e-09
8.400000000000000355e+00 2.649679999999999891e-09
8.419999999999999929e+00 2.604219999999999926e-09
8.439999999999999503e+00 2.559169999999999963e-09
8.460000000000000853e+00 2.514530000000000001e-09
8.480000000000000426e+00 2.470319999999999799e-09
8.500000000000000000e+00 2.426540000000000184e-09
