# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 1.401299999999999954e-45
4.500000000000000000e+00 6.025579999999999860e-44
4.519999999999999574e+00 1.960419999999999888e-42
4.540000000000000036e+00 5.471370000000000075e-41
4.559999999999999609e+00 1.314930000000000009e-39
4.580000000000000071e+00 2.739939999999999792e-38
4.599999999999999645e+00 4.982819999999999999e-37
4.620000000000000107e+00 7.956300000000000269e-36
4.639999999999999680e+00 1.122109999999999933e-34
4.660000000000000142e+00 1.405749999999999981e-33
4.679999999999999716e+00 1.572640000000000024e-32
4.700000000000000178e+00 1.579039999999999901e-31
4.719999999999999751e+00 1.430039999999999917e-30
4.740000000000000213e+00 1.173659999999999948e-29
4.769999999999999574e+00 8.767550000000000452e-29
4.790000000000000036e+00 5.986720000000000351e-28
4.809999999999999609e+00 3.751930000000000319e-27
4.830000000000000071e+00 2.166610000000000081e-26
4.849999999999999645e+00 1.157040000000000048e-25
4.870000000000000107e+00 5.734289999999999716e-25
4.889999999999999680e+00 2.646399999999999854e-24
4.910000000000000142e+00 1.141019999999999984e-23
4.929999999999999716e+00 4.610030000000000162e-23
4.950000000000000178e+00 1.750480000000000113e-22
4.969999999999999751e+00 6.264429999999999592e-22
4.990000000000000213e+00 2.118620000000000025e-21
5.009999999999999787e+00 6.788220000000000281e-21
5.030000000000000249e+00 2.065730000000000101e-20
5.049999999999999822e+00 5.984080000000000469e-20
5.070000000000000284e+00 1.653909999999999901e-19
5.089999999999999858e+00 4.370429999999999670e-19
5.110000000000000320e+00 1.106440000000000061e-18
5.129999999999999893e+00 2.688780000000000033e-18
5.150000000000000355e+00 6.283780000000000163e-18
5.169999999999999929e+00 1.414739999999999915e-17
5.190000000000000391e+00 3.073809999999999824e-17
5.209999999999999964e+00 6.455140000000000305e-17
5.230000000000000426e+00 1.312350000000000016e-16
5.250000000000000000e+00 2.586660000000000009e-16
5.269999999999999574e+00 4.949920000000000174e-16
5.290000000000000036e+00 9.209260000000000869e-16
5.309999999999999609e+00 1.667940000000000041e-15
5.330000000000000071e+00 2.944489999999999850e-15
5.349999999999999645e+00 5.072720000000000119e-15
5.370000000000000107e+00 8.538689999999999915e-15
5.389999999999999680e+00 1.405869999999999946e-14
5.410000000000000142e+00 2.224719999999999910e-14
5.429999999999999716e+00 3.461829999999999851e-14
5.450000000000000178e+00 5.302879999999999741e-14
5.469999999999999751e+00 7.998190000000000223e-14
5.490000000000000213e+00 1.188209999999999892e-13
5.509999999999999787e+00 1.739330000000000122e-13
5.530000000000000249e+00 2.509909999999999955e-13
5.549999999999999822e+00 3.572049999999999910e-13
5.570000000000000284e+00 5.016289999999999823e-13
5.589999999999999858e+00 6.954650000000000057e-13
5.610000000000000320e+00 9.523950000000000025e-13
5.629999999999999893e+00 1.288959999999999993e-12
5.650000000000000355e+00 1.724819999999999915e-12
5.669999999999999929e+00 2.283190000000000089e-12
5.690000000000000391e+00 2.991070000000000098e-12
5.709999999999999964e+00 3.879519999999999609e-12
5.730000000000000426e+00 4.983869999999999846e-12
5.750000000000000000e+00 6.343809999999999805e-12
5.769999999999999574e+00 8.003489999999999858e-12
5.790000000000000036e+00 1.001120000000000080e-11
5.809999999999999609e+00 1.241930000000000061e-11
5.830000000000000071e+00 1.528349999999999884e-11
5.849999999999999645e+00 1.866280000000000081e-11
5.870000000000000107e+00 2.261899999999999965e-11
5.889999999999999680e+00 2.721540000000000135e-11
5.910000000000000142e+00 3.251649999999999700e-11
5.929999999999999716e+00 3.858650000000000163e-11
5.950000000000000178e+00 4.548860000000000228e-11
5.969999999999999751e+00 5.328460000000000178e-11
5.990000000000000213e+00 6.203340000000000263e-11
6.009999999999999787e+00 7.179009999999999800e-11
6.030000000000000249e+00 8.260499999999999547e-11
6.049999999999999822e+00 9.452359999999999762e-11
6.070000000000000284e+00 1.075849999999999961e-10
6.089999999999999858e+00 1.218229999999999990e-10
6.110000000000000320e+00 1.372619999999999909e-10
6.129999999999999893e+00 1.539210000000000054e-10
6.150000000000000355e+00 1.718129999999999991e-10
6.169999999999999929e+00 1.909379999999999976e-10
6.190000000000000391e+00 2.112940000000000099e-10
6.209999999999999964e+00 2.328679999999999759e-10
6.230000000000000426e+00 2.556410000000000171e-10
6.250000000000000000e+00 2.795869999999999879e-10
6.269999999999999574e+00 3.046699999999999933e-10
6.290000000000000036e+00 3.308520000000000172e-10
6.309999999999999609e+00 3.580869999999999754e-10
6.330000000000000071e+00 3.863210000000000249e-10
6.349999999999999645e+00 4.154969999999999870e-10
6.370000000000000107e+00 4.455530000000000019e-10
6.389999999999999680e+00 4.764220000000000119e-10
6.410000000000000142e+00 5.080349999999999936e-10
6.429999999999999716e+00 5.403160000000000189e-10
6.450000000000000178e+00 5.731909999999999700e-10
6.469999999999999751e+00 6.065799999999999878e-10
6.490000000000000213e+00 6.404030000000000063e-10
6.509999999999999787e+00 6.745780000000000460e-10
6.530000000000000249e+00 7.090240000000000323e-10
6.549999999999999822e+00 7.436579999999999770e-10
6.570000000000000284e+00 7.783949999999999781e-10
6.589999999999999858e+00 8.131549999999999698e-10
6.610000000000000320e+00 8.478569999999999808e-10
6.629999999999999893e+00 8.824219999999999540e-10
6.650000000000000355e+00 9.167690000000000216e-10
6.669999999999999929e+00 9.508240000000000658e-10
6.690000000000000391e+00 9.845130000000000722e-10
6.709999999999999964e+00 1.017760000000000009e-09
6.730000000000000426e+00 1.050509999999999922e-09
6.750000000000000000e+00 1.082680000000000029e-09
6.769999999999999574e+00 1.114219999999999902e-09
6.790000000000000036e+00 1.145059999999999973e-09
6.809999999999999609e+00 1.175150000000000021e-09
6.830000000000000071e+00 1.204449999999999909e-09
6.849999999999999645e+00 1.232890000000000072e-09
6.870000000000000107e+00 1.260449999999999923e-09
6.889999999999999680e+00 1.287060000000000103e-09
6.910000000000000142e+00 1.312709999999999906e-09
6.929999999999999716e+00 1.337360000000000022e-09
6.950000000000000178e+00 1.360969999999999902e-09
6.969999999999999751e+00 1.383530000000000081e-09
6.990000000000000213e+00 1.405019999999999973e-09
7.009999999999999787e+00 1.425409999999999941e-09
7.030000000000000249e+00 1.444689999999999899e-09
7.049999999999999822e+00 1.462849999999999968e-09
7.070000000000000284e+00 1.479889999999999943e-09
7.089999999999999858e+00 1.495799999999999942e-09
7.110000000000000320e+00 1.510579999999999968e-09
7.129999999999999893e+00 1.524239999999999898e-09
7.150000000000000355e+00 1.536770000000000061e-09
7.169999999999999929e+00 1.548190000000000007e-09
7.190000000000000391e+00 1.558510000000000029e-09
7.209999999999999964e+00 1.567729999999999921e-09
7.230000000000000426e+00 1.575879999999999939e-09
7.259999999999999787e+00 1.582960000000000084e-09
7.280000000000000249e+00 1.589010000000000079e-09
7.299999999999999822e+00 1.594020000000000044e-09
7.320000000000000284e+00 1.598039999999999995e-09
7.339999999999999858e+00 1.601069999999999932e-09
7.360000000000000320e+00 1.603139999999999905e-09
7.379999999999999893e+00 1.604279999999999965e-09
7.400000000000000355e+00 1.604519999999999956e-09
7.419999999999999929e+00 1.603860000000000084e-09
7.440000000000000391e+00 1.602349999999999952e-09
7.459999999999999964e+00 1.600009999999999937e-09
7.480000000000000426e+00 1.596860000000000005e-09
7.500000000000000000e+00 1.592940000000000085e-09
7.519999999999999574e+00 1.588269999999999934e-09
7.540000000000000036e+00 1.582880000000000018e-09
7.559999999999999609e+00 1.576790000000000094e-09
7.580000000000000071e+00 1.570030000000000006e-09
7.599999999999999645e+00 1.562640000000000096e-09
7.620000000000000107e+00 1.554639999999999917e-09
7.639999999999999680e+00 1.546050000000000053e-09
7.660000000000000142e+00 1.536910000000000021e-09
7.679999999999999716e+00 1.527229999999999905e-09
7.700000000000000178e+00 1.517050000000000050e-09
7.719999999999999751e+00 1.506390000000000006e-09
7.740000000000000213e+00 1.495280000000000031e-09
7.759999999999999787e+00 1.483740000000000090e-09
7.780000000000000249e+00 1.471800000000000025e-09
7.799999999999999822e+00 1.459490000000000096e-09
7.820000000000000284e+00 1.446810000000000094e-09
7.839999999999999858e+00 1.433810000000000036e-09
7.860000000000000320e+00 1.420489999999999920e-09
7.879999999999999893e+00 1.406890000000000091e-09
7.900000000000000355e+00 1.393020000000000014e-09
7.919999999999999929e+00 1.378900000000000067e-09
7.940000000000000391e+00 1.364560000000000094e-09
7.959999999999999964e+00 1.350020000000000059e-09
7.980000000000000426e+00 1.335290000000000049e-09
8.000000000000000000e+00 1.320390000000000028e-09
8.019999999999999574e+00 1.305330000000000082e-09
8.039999999999999147e+00 1.290140000000000055e-09
8.060000000000000497e+00 1.274839999999999911e-09
8.080000000000000071e+00 1.259430000000000065e-09
8.099999999999999645e+00 1.243939999999999946e-09
8.119999999999999218e+00 1.228369999999999967e-09
8.140000000000000568e+00 1.212740000000000095e-09
8.160000000000000142e+00 1.197060000000000000e-09
8.179999999999999716e+00 1.181350000000000062e-09
8.199999999999999289e+00 1.165619999999999952e-09
8.220000000000000639e+00 1.149870000000000083e-09
8.240000000000000213e+00 1.134120000000000009e-09
8.259999999999999787e+00 1.118389999999999899e-09
8.279999999999999361e+00 1.102670000000000081e-09
8.300000000000000711e+00 1.086979999999999900e-09
8.320000000000000284e+00 1.071330000000000063e-09
8.339999999999999858e+00 1.055719999999999948e-09
8.359999999999999432e+00 1.040160000000000056e-09
8.380000000000000782e+00 1.024660000000000058e-09
8.400000000000000355e+00 1.009219999999999954e-09
8.419999999999999929e+00 9.938630000000000451e-10
8.439999999999999503e+00 9.785810000000000559e-10
8.460000000000000853e+00 9.633809999999999430e-10
8.480000000000000426e+00 9.482700000000000765e-10
8.500000000000000000e+00 9.332529999999999825e-10
