# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.969999999999999751e+00 0.000000000000000000e+00
4.990000000000000213e+00 1.121039999999999964e-44
5.009999999999999787e+00 3.895609999999999610e-43
5.030000000000000249e+00 1.186899999999999968e-41
5.049999999999999822e+00 3.100929999999999927e-40
5.070000000000000284e+00 6.998990000000000352e-39
5.089999999999999858e+00 1.373550000000000077e-37
5.110000000000000320e+00 2.358960000000000127e-36
5.129999999999999893e+00 3.566380000000000266e-35
5.150000000000000355e+00 4.774390000000000285e-34
5.169999999999999929e+00 5.690209999999999936e-33
5.190000000000000391e+00 6.070000000000000059e-32
5.209999999999999964e+00 5.824100000000000215e-31
5.230000000000000426e+00 5.050920000000000082e-30
5.250000000000000000e+00 3.977010000000000065e-29
5.269999999999999574e+00 2.855649999999999822e-28
5.290000000000000036e+00 1.877750000000000107e-27
5.309999999999999609e+00 1.135200000000000063e-26
5.330000000000000071e+00 6.333319999999999939e-26
5.349999999999999645e+00 3.272740000000000119e-25
5.370000000000000107e+00 1.571930000000000040e-24
5.389999999999999680e+00 7.040670000000000554e-24
5.410000000000000142e+00 2.949929999999999996e-23
5.429999999999999716e+00 1.159709999999999925e-22
5.450000000000000178e+00 4.290319999999999799e-22
5.469999999999999751e+00 1.497659999999999920e-21
5.490000000000000213e+00 4.945909999999999801e-21
5.509999999999999787e+00 1.549139999999999868e-20
5.530000000000000249e+00 4.613140000000000293e-20
5.549999999999999822e+00 1.309010000000000055e-19
5.570000000000000284e+00 3.547020000000000136e-19
5.589999999999999858e+00 9.197719999999999080e-19
5.610000000000000320e+00 2.286969999999999857e-18
5.629999999999999893e+00 5.462869999999999652e-18
5.650000000000000355e+00 1.255849999999999985e-17
5.669999999999999929e+00 2.783410000000000198e-17
5.690000000000000391e+00 5.957430000000000200e-17
5.709999999999999964e+00 1.233279999999999896e-16
5.730000000000000426e+00 2.473049999999999825e-16
5.750000000000000000e+00 4.810649999999999590e-16
5.769999999999999574e+00 9.090309999999999203e-16
5.790000000000000036e+00 1.670759999999999957e-15
5.809999999999999609e+00 2.990589999999999948e-15
5.830000000000000071e+00 5.219599999999999855e-15
5.849999999999999645e+00 8.892840000000000354e-15
5.870000000000000107e+00 1.480599999999999959e-14
5.889999999999999680e+00 2.395430000000000035e-14
5.910000000000000142e+00 3.765029999999999887e-14
5.929999999999999716e+00 5.816250000000000587e-14
5.950000000000000178e+00 8.833779999999999746e-14
5.969999999999999751e+00 1.319490000000000116e-13
5.990000000000000213e+00 1.939059999999999919e-13
6.009999999999999787e+00 2.804630000000000137e-13
6.030000000000000249e+00 3.994490000000000077e-13
6.049999999999999822e+00 5.604619999999999599e-13
6.070000000000000284e+00 7.750990000000000277e-13
6.089999999999999858e+00 1.057079999999999975e-12
6.110000000000000320e+00 1.422400000000000078e-12
6.129999999999999893e+00 1.889380000000000175e-12
6.150000000000000355e+00 2.478729999999999880e-12
6.169999999999999929e+00 3.213400000000000020e-12
6.190000000000000391e+00 4.118500000000000273e-12
6.209999999999999964e+00 5.221100000000000038e-12
6.230000000000000426e+00 6.550020000000000397e-12
6.250000000000000000e+00 8.135270000000000332e-12
6.269999999999999574e+00 1.000779999999999942e-11
6.290000000000000036e+00 1.219930000000000033e-11
6.309999999999999609e+00 1.474110000000000067e-11
6.330000000000000071e+00 1.766420000000000141e-11
6.349999999999999645e+00 2.099849999999999862e-11
6.370000000000000107e+00 2.477260000000000049e-11
6.389999999999999680e+00 2.901279999999999932e-11
6.410000000000000142e+00 3.374299999999999789e-11
6.429999999999999716e+00 3.898429999999999818e-11
6.450000000000000178e+00 4.475450000000000039e-11
6.469999999999999751e+00 5.106790000000000053e-11
6.490000000000000213e+00 5.793459999999999994e-11
6.509999999999999787e+00 6.536100000000000311e-11
6.530000000000000249e+00 7.334950000000000608e-11
6.549999999999999822e+00 8.189789999999999902e-11
6.570000000000000284e+00 9.099970000000000371e-11
6.589999999999999858e+00 1.006450000000000050e-10
6.610000000000000320e+00 1.108190000000000027e-10
6.629999999999999893e+00 1.215029999999999939e-10
6.650000000000000355e+00 1.326750000000000097e-10
6.669999999999999929e+00 1.443099999999999907e-10
6.690000000000000391e+00 1.563789999999999984e-10
6.709999999999999964e+00 1.688509999999999994e-10
6.730000000000000426e+00 1.816910000000000036e-10
6.750000000000000000e+00 1.948639999999999952e-10
6.769999999999999574e+00 2.083320000000000102e-10
6.790000000000000036e+00 2.220540000000000068e-10
6.809999999999999609e+00 2.359919999999999953e-10
6.830000000000000071e+00 2.501020000000000117e-10
6.849999999999999645e+00 2.643449999999999800e-10
6.870000000000000107e+00 2.786769999999999880e-10
6.889999999999999680e+00 2.930590000000000113e-10
6.910000000000000142e+00 3.074479999999999913e-10
6.929999999999999716e+00 3.218050000000000070e-10
6.950000000000000178e+00 3.360919999999999908e-10
6.969999999999999751e+00 3.502700000000000219e-10
6.990000000000000213e+00 3.643029999999999982e-10
7.009999999999999787e+00 3.781559999999999812e-10
7.030000000000000249e+00 3.917980000000000154e-10
7.049999999999999822e+00 4.051969999999999812e-10
7.070000000000000284e+00 4.183250000000000004e-10
7.089999999999999858e+00 4.311539999999999878e-10
7.110000000000000320e+00 4.436599999999999962e-10
7.129999999999999893e+00 4.558209999999999917e-10
7.150000000000000355e+00 4.676159999999999494e-10
7.169999999999999929e+00 4.790280000000000337e-10
7.190000000000000391e+00 4.900379999999999781e-10
7.209999999999999964e+00 5.006339999999999899e-10
7.230000000000000426e+00 5.108039999999999661e-10
7.259999999999999787e+00 5.205360000000000107e-10
7.280000000000000249e+00 5.298219999999999515e-10
7.299999999999999822e+00 5.386560000000000474e-10
7.320000000000000284e+00 5.470320000000000400e-10
7.339999999999999858e+00 5.549459999999999984e-10
7.360000000000000320e+00 5.623960000000000088e-10
7.379999999999999893e+00 5.693809999999999594e-10
7.400000000000000355e+00 5.759009999999999534e-10
7.419999999999999929e+00 5.819590000000000166e-10
7.440000000000000391e+00 5.875569999999999595e-10
7.459999999999999964e+00 5.926970000000000058e-10
7.480000000000000426e+00 5.973850000000000004e-10
7.500000000000000000e+00 6.016269999999999946e-10
7.519999999999999574e+00 6.054280000000000314e-10
7.540000000000000036e+00 6.087949999999999641e-10
7.559999999999999609e+00 6.117349999999999560e-10
7.580000000000000071e+00 6.142569999999999810e-10
7.599999999999999645e+00 6.163700000000000129e-10
7.620000000000000107e+00 6.180810000000000083e-10
7.639999999999999680e+00 6.194009999999999583e-10
7.660000000000000142e+00 6.203399999999999485e-10
7.679999999999999716e+00 6.209069999999999529e-10
7.700000000000000178e+00 6.211129999999999623e-10
7.719999999999999751e+00 6.209679999999999592e-10
7.740000000000000213e+00 6.204840000000000465e-10
7.759999999999999787e+00 6.196709999999999997e-10
7.780000000000000249e+00 6.185410000000000254e-10
7.799999999999999822e+00 6.171040000000000023e-10
7.820000000000000284e+00 6.153730000000000421e-10
7.839999999999999858e+00 6.133570000000000151e-10
7.860000000000000320e+00 6.110690000000000330e-10
7.879999999999999893e+00 6.085199999999999831e-10
7.900000000000000355e+00 6.057209999999999600e-10
7.919999999999999929e+00 6.026829999999999546e-10
7.940000000000000391e+00 5.994179999999999664e-10
7.959999999999999964e+00 5.959359999999999778e-10
7.980000000000000426e+00 5.922479999999999798e-10
8.000000000000000000e+00 5.883649999999999633e-10
8.019999999999999574e+00 5.842970000000000142e-10
8.039999999999999147e+00 5.800550000000000199e-10
8.060000000000000497e+00 5.756479999999999544e-10
8.080000000000000071e+00 5.710880000000000239e-10
8.099999999999999645e+00 5.663819999999999783e-10
8.119999999999999218e+00 5.615400000000000068e-10
8.140000000000000568e+00 5.565719999999999884e-10
8.160000000000000142e+00 5.514859999999999917e-10
8.179999999999999716e+00 5.462909999999999905e-10
8.199999999999999289e+00 5.409949999999999501e-10
8.220000000000000639e+00 5.356060000000000424e-10
8.240000000000000213e+00 5.301320000000000259e-10
8.259999999999999787e+00 5.245789999999999522e-10
8.279999999999999361e+00 5.189549999999999931e-10
8.300000000000000711e+00 5.132670000000000020e-10
8.320000000000000284e+00 5.075200000000000217e-10
8.339999999999999858e+00 5.017220000000000175e-10
8.359999999999999432e+00 4.958770000000000238e-10
8.380000000000000782e+00 4.899919999999999970e-10
8.400000000000000355e+00 4.840719999999999803e-10
8.419999999999999929e+00 4.781210000000000077e-10
8.439999999999999503e+00 4.721450000000000276e-10
8.460000000000000853e+00 4.661479999999999706e-10
8.480000000000000426e+00 4.601339999999999746e-10
8.500000000000000000e+00 4.541079999999999791e-10
