# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.969999999999999751e+00 0.000000000000000000e+00
4.990000000000000213e+00 0.000000000000000000e+00
5.009999999999999787e+00 0.000000000000000000e+00
5.030000000000000249e+00 4.203899999999999863e-45
5.049999999999999822e+00 1.457349999999999927e-43
5.070000000000000284e+00 4.568229999999999894e-42
5.089999999999999858e+00 1.228250000000000088e-40
5.110000000000000320e+00 2.848840000000000121e-39
5.129999999999999893e+00 5.738179999999999655e-38
5.150000000000000355e+00 1.010269999999999979e-36
5.169999999999999929e+00 1.564020000000000085e-35
5.190000000000000391e+00 2.141749999999999949e-34
5.209999999999999964e+00 2.608379999999999963e-33
5.230000000000000426e+00 2.840499999999999905e-32
5.250000000000000000e+00 2.779700000000000136e-31
5.269999999999999574e+00 2.456369999999999879e-30
5.290000000000000036e+00 1.969269999999999990e-29
5.309999999999999609e+00 1.438550000000000093e-28
5.330000000000000071e+00 9.615210000000000317e-28
5.349999999999999645e+00 5.904230000000000131e-27
5.370000000000000107e+00 3.343719999999999748e-26
5.389999999999999680e+00 1.752750000000000088e-25
5.410000000000000142e+00 8.533750000000000404e-25
5.429999999999999716e+00 3.872140000000000259e-24
5.450000000000000178e+00 1.642689999999999987e-23
5.469999999999999751e+00 6.535160000000000562e-23
5.490000000000000213e+00 2.445109999999999981e-22
5.509999999999999787e+00 8.627860000000000554e-22
5.530000000000000249e+00 2.878919999999999996e-21
5.549999999999999822e+00 9.106789999999999983e-21
5.570000000000000284e+00 2.737439999999999919e-20
5.589999999999999858e+00 7.837539999999999435e-20
5.610000000000000320e+00 2.142089999999999968e-19
5.629999999999999893e+00 5.600400000000000260e-19
5.650000000000000355e+00 1.403420000000000040e-18
5.669999999999999929e+00 3.377379999999999974e-18
5.690000000000000391e+00 7.819940000000000007e-18
5.709999999999999964e+00 1.745040000000000076e-17
5.730000000000000426e+00 3.759239999999999728e-17
5.750000000000000000e+00 7.830510000000000406e-17
5.769999999999999574e+00 1.579579999999999972e-16
5.790000000000000036e+00 3.090079999999999815e-16
5.809999999999999609e+00 5.870619999999999535e-16
5.830000000000000071e+00 1.084589999999999940e-15
5.849999999999999645e+00 1.950980000000000002e-15
5.870000000000000107e+00 3.421130000000000038e-15
5.889999999999999680e+00 5.854869999999999625e-15
5.910000000000000142e+00 9.789959999999999439e-15
5.929999999999999716e+00 1.595449999999999843e-14
5.950000000000000178e+00 2.516259999999999910e-14
5.969999999999999751e+00 3.900230000000000033e-14
5.990000000000000213e+00 5.943229999999999506e-14
6.009999999999999787e+00 8.905790000000000062e-14
6.030000000000000249e+00 1.312819999999999903e-13
6.049999999999999822e+00 1.904590000000000066e-13
6.070000000000000284e+00 2.720569999999999887e-13
6.089999999999999858e+00 3.828069999999999965e-13
6.110000000000000320e+00 5.308549999999999630e-13
6.129999999999999893e+00 7.258849999999999912e-13
6.150000000000000355e+00 9.792329999999999736e-13
6.169999999999999929e+00 1.303910000000000045e-12
6.190000000000000391e+00 1.714640000000000053e-12
6.209999999999999964e+00 2.227850000000000044e-12
6.230000000000000426e+00 2.861560000000000178e-12
6.250000000000000000e+00 3.635219999999999933e-12
6.269999999999999574e+00 4.569540000000000338e-12
6.290000000000000036e+00 5.686310000000000233e-12
6.309999999999999609e+00 7.008030000000000381e-12
6.330000000000000071e+00 8.557620000000000042e-12
6.349999999999999645e+00 1.035799999999999928e-11
6.370000000000000107e+00 1.243190000000000078e-11
6.389999999999999680e+00 1.480149999999999989e-11
6.410000000000000142e+00 1.748759999999999992e-11
6.429999999999999716e+00 2.050989999999999927e-11
6.450000000000000178e+00 2.388630000000000092e-11
6.469999999999999751e+00 2.763260000000000082e-11
6.490000000000000213e+00 3.176219999999999890e-11
6.509999999999999787e+00 3.628610000000000227e-11
6.530000000000000249e+00 4.121260000000000071e-11
6.549999999999999822e+00 4.654689999999999748e-11
6.570000000000000284e+00 5.229110000000000283e-11
6.589999999999999858e+00 5.844440000000000086e-11
6.610000000000000320e+00 6.500319999999999428e-11
6.629999999999999893e+00 7.196029999999999500e-11
6.650000000000000355e+00 7.930569999999999478e-11
6.669999999999999929e+00 8.702670000000000358e-11
6.690000000000000391e+00 9.510809999999999699e-11
6.709999999999999964e+00 1.035319999999999947e-10
6.730000000000000426e+00 1.122769999999999991e-10
6.750000000000000000e+00 1.213210000000000094e-10
6.769999999999999574e+00 1.306400000000000007e-10
6.790000000000000036e+00 1.402080000000000084e-10
6.809999999999999609e+00 1.499980000000000077e-10
6.830000000000000071e+00 1.599799999999999997e-10
6.849999999999999645e+00 1.701260000000000027e-10
6.870000000000000107e+00 1.804070000000000006e-10
6.889999999999999680e+00 1.907899999999999946e-10
6.910000000000000142e+00 2.012470000000000031e-10
6.929999999999999716e+00 2.117469999999999927e-10
6.950000000000000178e+00 2.222599999999999904e-10
6.969999999999999751e+00 2.327570000000000059e-10
6.990000000000000213e+00 2.432099999999999801e-10
7.009999999999999787e+00 2.535910000000000086e-10
7.030000000000000249e+00 2.638730000000000151e-10
7.049999999999999822e+00 2.740320000000000004e-10
7.070000000000000284e+00 2.840430000000000085e-10
7.089999999999999858e+00 2.938840000000000059e-10
7.110000000000000320e+00 3.035330000000000105e-10
7.129999999999999893e+00 3.129710000000000145e-10
7.150000000000000355e+00 3.221790000000000100e-10
7.169999999999999929e+00 3.311410000000000149e-10
7.190000000000000391e+00 3.398420000000000037e-10
7.209999999999999964e+00 3.482680000000000116e-10
7.230000000000000426e+00 3.564069999999999874e-10
7.259999999999999787e+00 3.642479999999999916e-10
7.280000000000000249e+00 3.717819999999999989e-10
7.299999999999999822e+00 3.790020000000000009e-10
7.320000000000000284e+00 3.858999999999999805e-10
7.339999999999999858e+00 3.924709999999999985e-10
7.360000000000000320e+00 3.987110000000000204e-10
7.379999999999999893e+00 4.046179999999999773e-10
7.400000000000000355e+00 4.101879999999999901e-10
7.419999999999999929e+00 4.154220000000000157e-10
7.440000000000000391e+00 4.203189999999999937e-10
7.459999999999999964e+00 4.248789999999999759e-10
7.480000000000000426e+00 4.291059999999999966e-10
7.500000000000000000e+00 4.329989999999999954e-10
7.519999999999999574e+00 4.365640000000000240e-10
7.540000000000000036e+00 4.398029999999999959e-10
7.559999999999999609e+00 4.427199999999999973e-10
7.580000000000000071e+00 4.453209999999999763e-10
7.599999999999999645e+00 4.476100000000000187e-10
7.620000000000000107e+00 4.495930000000000211e-10
7.639999999999999680e+00 4.512759999999999831e-10
7.660000000000000142e+00 4.526650000000000080e-10
7.679999999999999716e+00 4.537670000000000006e-10
7.700000000000000178e+00 4.545890000000000212e-10
7.719999999999999751e+00 4.551379999999999745e-10
7.740000000000000213e+00 4.554210000000000241e-10
7.759999999999999787e+00 4.554459999999999801e-10
7.780000000000000249e+00 4.552200000000000059e-10
7.799999999999999822e+00 4.547520000000000236e-10
7.820000000000000284e+00 4.540489999999999900e-10
7.839999999999999858e+00 4.531199999999999821e-10
7.860000000000000320e+00 4.519720000000000084e-10
7.879999999999999893e+00 4.506129999999999824e-10
7.900000000000000355e+00 4.490519999999999813e-10
7.919999999999999929e+00 4.472979999999999788e-10
7.940000000000000391e+00 4.453569999999999749e-10
7.959999999999999964e+00 4.432379999999999949e-10
7.980000000000000426e+00 4.409500000000000127e-10
8.000000000000000000e+00 4.384989999999999764e-10
8.019999999999999574e+00 4.358950000000000235e-10
8.039999999999999147e+00 4.331439999999999986e-10
8.060000000000000497e+00 4.302549999999999789e-10
8.080000000000000071e+00 4.272340000000000159e-10
8.099999999999999645e+00 4.240899999999999800e-10
8.119999999999999218e+00 4.208289999999999744e-10
8.140000000000000568e+00 4.174590000000000160e-10
8.160000000000000142e+00 4.139860000000000012e-10
8.179999999999999716e+00 4.104169999999999901e-10
8.199999999999999289e+00 4.067579999999999823e-10
8.220000000000000639e+00 4.030159999999999864e-10
8.240000000000000213e+00 3.991970000000000019e-10
8.259999999999999787e+00 3.953060000000000202e-10
8.279999999999999361e+00 3.913489999999999893e-10
8.300000000000000711e+00 3.873320000000000124e-10
8.320000000000000284e+00 3.832590000000000204e-10
8.339999999999999858e+00 3.791370000000000216e-10
8.359999999999999432e+00 3.749679999999999815e-10
8.380000000000000782e+00 3.707590000000000118e-10
8.400000000000000355e+00 3.665129999999999833e-10
8.419999999999999929e+00 3.622339999999999818e-10
8.439999999999999503e+00 3.579269999999999987e-10
8.460000000000000853e+00 3.535939999999999993e-10
8.480000000000000426e+00 3.492399999999999748e-10
8.500000000000000000e+00 3.448690000000000113e-10
