# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 1.613559999999999958e-19
3.520000000000000018e+00 6.079109999999999810e-19
3.540000000000000036e+00 2.159330000000000127e-18
3.560000000000000053e+00 7.250689999999999742e-18
3.580000000000000071e+00 2.307409999999999958e-17
3.600000000000000089e+00 6.976010000000000523e-17
3.620000000000000107e+00 2.008320000000000111e-16
3.640000000000000124e+00 5.517749999999999779e-16
3.660000000000000142e+00 1.449819999999999960e-15
3.680000000000000160e+00 3.650569999999999680e-15
3.700000000000000178e+00 8.825540000000000227e-15
3.720000000000000195e+00 2.052350000000000148e-14
3.740000000000000213e+00 4.598920000000000032e-14
3.759999999999999787e+00 9.946770000000000186e-14
3.779999999999999805e+00 2.079810000000000101e-13
3.799999999999999822e+00 4.210559999999999883e-13
3.819999999999999840e+00 8.265650000000000227e-13
3.839999999999999858e+00 1.575519999999999935e-12
3.859999999999999876e+00 2.919940000000000178e-12
3.879999999999999893e+00 5.268230000000000060e-12
3.899999999999999911e+00 9.264690000000000178e-12
3.919999999999999929e+00 1.589909999999999877e-11
3.939999999999999947e+00 2.665459999999999913e-11
3.959999999999999964e+00 4.363170000000000118e-11
3.979999999999999982e+00 6.892669999999999629e-11
4.000000000000000000e+00 1.069790000000000061e-10
4.019999999999999574e+00 1.631849999999999902e-10
4.040000000000000036e+00 2.447260000000000088e-10
4.059999999999999609e+00 3.609809999999999863e-10
4.080000000000000071e+00 5.239329999999999939e-10
4.099999999999999645e+00 7.486180000000000302e-10
4.120000000000000107e+00 1.053549999999999945e-09
4.139999999999999680e+00 1.461100000000000052e-09
4.160000000000000142e+00 1.997820000000000035e-09
4.179999999999999716e+00 2.694689999999999925e-09
4.200000000000000178e+00 3.587340000000000146e-09
4.219999999999999751e+00 4.715910000000000106e-09
4.240000000000000213e+00 6.124990000000000373e-09
4.259999999999999787e+00 7.863489999999999695e-09
4.280000000000000249e+00 9.984010000000000143e-09
4.299999999999999822e+00 1.254219999999999997e-08
4.320000000000000284e+00 1.559659999999999885e-08
4.339999999999999858e+00 1.920689999999999909e-08
4.360000000000000320e+00 2.343390000000000114e-08
4.379999999999999893e+00 2.833780000000000114e-08
4.400000000000000355e+00 3.397800000000000157e-08
4.419999999999999929e+00 4.041089999999999825e-08
4.440000000000000391e+00 4.769009999999999768e-08
4.459999999999999964e+00 5.586420000000000071e-08
4.480000000000000426e+00 6.497750000000000066e-08
4.500000000000000000e+00 7.506659999999999801e-08
4.519999999999999574e+00 8.616309999999999417e-08
4.540000000000000036e+00 9.828930000000000385e-08
4.559999999999999609e+00 1.114619999999999958e-07
4.580000000000000071e+00 1.256850000000000035e-07
4.599999999999999645e+00 1.409609999999999875e-07
4.620000000000000107e+00 1.572770000000000126e-07
4.639999999999999680e+00 1.746150000000000055e-07
4.660000000000000142e+00 1.929489999999999896e-07
4.679999999999999716e+00 2.122440000000000045e-07
