# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 2.802599999999999909e-45
3.640000000000000124e+00 1.597480000000000034e-43
3.660000000000000142e+00 6.468389999999999365e-42
3.680000000000000160e+00 2.218629999999999920e-40
3.700000000000000178e+00 6.493549999999999611e-39
3.720000000000000195e+00 1.633349999999999969e-37
3.740000000000000213e+00 3.555000000000000327e-36
3.759999999999999787e+00 6.739270000000000182e-35
3.779999999999999805e+00 1.119709999999999961e-33
3.799999999999999822e+00 1.640159999999999911e-32
3.819999999999999840e+00 2.130479999999999802e-31
3.839999999999999858e+00 2.467040000000000165e-30
3.859999999999999876e+00 2.560309999999999900e-29
3.879999999999999893e+00 2.392909999999999847e-28
3.899999999999999911e+00 2.023810000000000161e-27
3.919999999999999929e+00 1.555849999999999946e-26
3.939999999999999947e+00 1.091939999999999957e-25
3.959999999999999964e+00 7.024980000000000258e-25
3.979999999999999982e+00 4.159280000000000199e-24
4.000000000000000000e+00 2.274789999999999979e-23
4.019999999999999574e+00 1.153420000000000110e-22
4.040000000000000036e+00 5.440210000000000240e-22
4.059999999999999609e+00 2.394819999999999826e-21
4.080000000000000071e+00 9.869320000000000058e-21
4.099999999999999645e+00 3.819150000000000108e-20
4.120000000000000107e+00 1.391749999999999980e-19
4.139999999999999680e+00 4.788860000000000070e-19
4.160000000000000142e+00 1.559889999999999948e-18
4.179999999999999716e+00 4.822139999999999672e-18
4.200000000000000178e+00 1.418080000000000084e-17
4.219999999999999751e+00 3.976039999999999991e-17
4.240000000000000213e+00 1.065150000000000037e-16
4.259999999999999787e+00 2.732059999999999867e-16
4.280000000000000249e+00 6.722749999999999638e-16
4.299999999999999822e+00 1.589929999999999982e-15
4.320000000000000284e+00 3.620610000000000273e-15
4.339999999999999858e+00 7.952110000000000548e-15
4.360000000000000320e+00 1.687349999999999936e-14
4.379999999999999893e+00 3.464250000000000233e-14
4.400000000000000355e+00 6.892230000000000057e-14
4.419999999999999929e+00 1.330630000000000056e-13
4.440000000000000391e+00 2.496370000000000196e-13
4.459999999999999964e+00 4.556789999999999610e-13
4.480000000000000426e+00 8.103270000000000266e-13
4.500000000000000000e+00 1.405439999999999916e-12
4.519999999999999574e+00 2.380239999999999963e-12
4.540000000000000036e+00 3.940359999999999984e-12
4.559999999999999609e+00 6.314430000000000186e-12
4.580000000000000071e+00 9.876910000000000573e-12
4.599999999999999645e+00 1.518130000000000035e-11
4.620000000000000107e+00 2.293780000000000027e-11
4.639999999999999680e+00 3.408090000000000274e-11
4.660000000000000142e+00 4.981740000000000056e-11
4.679999999999999716e+00 7.167279999999999728e-11
4.700000000000000178e+00 1.015400000000000056e-10
4.719999999999999751e+00 1.417270000000000111e-10
4.740000000000000213e+00 1.949950000000000075e-10
4.769999999999999574e+00 2.645900000000000138e-10
4.790000000000000036e+00 3.542679999999999909e-10
4.809999999999999609e+00 4.682959999999999926e-10
4.830000000000000071e+00 6.114589999999999665e-10
4.849999999999999645e+00 7.890180000000000148e-10
4.870000000000000107e+00 1.006680000000000085e-09
4.889999999999999680e+00 1.270540000000000040e-09
4.910000000000000142e+00 1.587039999999999929e-09
4.929999999999999716e+00 1.962799999999999881e-09
4.950000000000000178e+00 2.404579999999999983e-09
4.969999999999999751e+00 2.919200000000000011e-09
4.990000000000000213e+00 3.513369999999999832e-09
5.009999999999999787e+00 4.193559999999999734e-09
5.030000000000000249e+00 4.965960000000000086e-09
5.049999999999999822e+00 5.836270000000000154e-09
5.070000000000000284e+00 6.809709999999999638e-09
5.089999999999999858e+00 7.890770000000000453e-09
5.110000000000000320e+00 9.083290000000000797e-09
5.129999999999999893e+00 1.039019999999999996e-08
5.150000000000000355e+00 1.181379999999999988e-08
5.169999999999999929e+00 1.335509999999999992e-08
5.190000000000000391e+00 1.501439999999999977e-08
5.209999999999999964e+00 1.679119999999999884e-08
5.230000000000000426e+00 1.868379999999999952e-08
5.250000000000000000e+00 2.068950000000000140e-08
5.269999999999999574e+00 2.280510000000000017e-08
5.290000000000000036e+00 2.502599999999999857e-08
5.309999999999999609e+00 2.734729999999999964e-08
5.330000000000000071e+00 2.976279999999999901e-08
5.349999999999999645e+00 3.226619999999999679e-08
5.370000000000000107e+00 3.485020000000000193e-08
5.389999999999999680e+00 3.750699999999999962e-08
5.410000000000000142e+00 4.022850000000000186e-08
5.429999999999999716e+00 4.300600000000000142e-08
5.450000000000000178e+00 4.583100000000000190e-08
5.469999999999999751e+00 4.869409999999999794e-08
5.490000000000000213e+00 5.158639999999999797e-08
5.509999999999999787e+00 5.449839999999999784e-08
5.530000000000000249e+00 5.742129999999999816e-08
5.549999999999999822e+00 6.034600000000000316e-08
5.570000000000000284e+00 6.326330000000000507e-08
5.589999999999999858e+00 6.616479999999999965e-08
5.610000000000000320e+00 6.904220000000000132e-08
5.629999999999999893e+00 7.188730000000000342e-08
5.650000000000000355e+00 7.469229999999999445e-08
5.669999999999999929e+00 7.745020000000000620e-08
5.690000000000000391e+00 8.015409999999999642e-08
5.709999999999999964e+00 8.279749999999999744e-08
5.730000000000000426e+00 8.537460000000000005e-08
5.750000000000000000e+00 8.787989999999999801e-08
5.769999999999999574e+00 9.030859999999999645e-08
5.790000000000000036e+00 9.265609999999999812e-08
5.809999999999999609e+00 9.491850000000000387e-08
5.830000000000000071e+00 9.709240000000000192e-08
5.849999999999999645e+00 9.917469999999999668e-08
5.870000000000000107e+00 1.011630000000000040e-07
5.889999999999999680e+00 1.030550000000000053e-07
5.910000000000000142e+00 1.048490000000000014e-07
5.929999999999999716e+00 1.065440000000000043e-07
5.950000000000000178e+00 1.081389999999999997e-07
5.969999999999999751e+00 1.096329999999999997e-07
5.990000000000000213e+00 1.110270000000000055e-07
6.009999999999999787e+00 1.123200000000000026e-07
6.030000000000000249e+00 1.135130000000000054e-07
6.049999999999999822e+00 1.146060000000000007e-07
6.070000000000000284e+00 1.156000000000000028e-07
6.089999999999999858e+00 1.164980000000000020e-07
6.110000000000000320e+00 1.172989999999999971e-07
6.129999999999999893e+00 1.180050000000000035e-07
6.150000000000000355e+00 1.186189999999999983e-07
6.169999999999999929e+00 1.191409999999999946e-07
6.190000000000000391e+00 1.195750000000000103e-07
6.209999999999999964e+00 1.199220000000000067e-07
6.230000000000000426e+00 1.201840000000000126e-07
6.250000000000000000e+00 1.203640000000000050e-07
6.269999999999999574e+00 1.204640000000000125e-07
6.290000000000000036e+00 1.204870000000000121e-07
6.309999999999999609e+00 1.204350000000000061e-07
6.330000000000000071e+00 1.203099999999999967e-07
6.349999999999999645e+00 1.201149999999999873e-07
6.370000000000000107e+00 1.198540000000000090e-07
6.389999999999999680e+00 1.195270000000000088e-07
6.410000000000000142e+00 1.191390000000000056e-07
6.429999999999999716e+00 1.186910000000000005e-07
6.450000000000000178e+00 1.181859999999999970e-07
6.469999999999999751e+00 1.176279999999999995e-07
6.490000000000000213e+00 1.170169999999999949e-07
6.509999999999999787e+00 1.163580000000000021e-07
6.530000000000000249e+00 1.156519999999999956e-07
6.549999999999999822e+00 1.149010000000000043e-07
6.570000000000000284e+00 1.141090000000000062e-07
6.589999999999999858e+00 1.132780000000000036e-07
6.610000000000000320e+00 1.124099999999999987e-07
6.629999999999999893e+00 1.115069999999999939e-07
6.650000000000000355e+00 1.105720000000000057e-07
6.669999999999999929e+00 1.096069999999999967e-07
6.690000000000000391e+00 1.086129999999999946e-07
6.709999999999999964e+00 1.075930000000000027e-07
6.730000000000000426e+00 1.065499999999999979e-07
6.750000000000000000e+00 1.054839999999999935e-07
6.769999999999999574e+00 1.043970000000000050e-07
6.790000000000000036e+00 1.032929999999999972e-07
6.809999999999999609e+00 1.021709999999999955e-07
6.830000000000000071e+00 1.010350000000000044e-07
6.849999999999999645e+00 9.988440000000000468e-08
6.870000000000000107e+00 9.872230000000000515e-08
6.889999999999999680e+00 9.754969999999999371e-08
6.910000000000000142e+00 9.636790000000000096e-08
6.929999999999999716e+00 9.517820000000000454e-08
6.950000000000000178e+00 9.398200000000000075e-08
6.969999999999999751e+00 9.278050000000000154e-08
6.990000000000000213e+00 9.157460000000000263e-08
7.009999999999999787e+00 9.036570000000000032e-08
7.030000000000000249e+00 8.915459999999999816e-08
7.049999999999999822e+00 8.794220000000000512e-08
7.070000000000000284e+00 8.672960000000000127e-08
7.089999999999999858e+00 8.551749999999999798e-08
7.110000000000000320e+00 8.430680000000000421e-08
7.129999999999999893e+00 8.309809999999999948e-08
7.150000000000000355e+00 8.189220000000000058e-08
7.169999999999999929e+00 8.068980000000000564e-08
7.190000000000000391e+00 7.949140000000000200e-08
7.209999999999999964e+00 7.829780000000000646e-08
7.230000000000000426e+00 7.710920000000000334e-08
7.259999999999999787e+00 7.592639999999999622e-08
7.280000000000000249e+00 7.474970000000000131e-08
7.299999999999999822e+00 7.357960000000000594e-08
7.320000000000000284e+00 7.241659999999999744e-08
7.339999999999999858e+00 7.126089999999999987e-08
7.360000000000000320e+00 7.011300000000000056e-08
7.379999999999999893e+00 6.897329999999999466e-08
7.400000000000000355e+00 6.784200000000000623e-08
7.419999999999999929e+00 6.671939999999999855e-08
7.440000000000000391e+00 6.560580000000000107e-08
7.459999999999999964e+00 6.450150000000000355e-08
7.480000000000000426e+00 6.340679999999999574e-08
7.500000000000000000e+00 6.232179999999999628e-08
7.519999999999999574e+00 6.124679999999999492e-08
7.540000000000000036e+00 6.018209999999999466e-08
7.559999999999999609e+00 5.912770000000000211e-08
7.580000000000000071e+00 5.808399999999999919e-08
7.599999999999999645e+00 5.705099999999999913e-08
7.620000000000000107e+00 5.602899999999999832e-08
7.639999999999999680e+00 5.501799999999999675e-08
7.660000000000000142e+00 5.401829999999999740e-08
7.679999999999999716e+00 5.302999999999999906e-08
7.700000000000000178e+00 5.205320000000000053e-08
7.719999999999999751e+00 5.108800000000000060e-08
7.740000000000000213e+00 5.013459999999999684e-08
7.759999999999999787e+00 4.919300000000000249e-08
7.780000000000000249e+00 4.826340000000000189e-08
7.799999999999999822e+00 4.734570000000000288e-08
7.820000000000000284e+00 4.644020000000000182e-08
7.839999999999999858e+00 4.554679999999999992e-08
7.860000000000000320e+00 4.466570000000000138e-08
7.879999999999999893e+00 4.379680000000000080e-08
7.900000000000000355e+00 4.294030000000000236e-08
7.919999999999999929e+00 4.209600000000000187e-08
7.940000000000000391e+00 4.126420000000000232e-08
7.959999999999999964e+00 4.044469999999999952e-08
7.980000000000000426e+00 3.963759999999999886e-08
8.000000000000000000e+00 3.884290000000000036e-08
8.019999999999999574e+00 3.806059999999999738e-08
8.039999999999999147e+00 3.729059999999999776e-08
8.060000000000000497e+00 3.653290000000000151e-08
8.080000000000000071e+00 3.578760000000000078e-08
8.099999999999999645e+00 3.505439999999999922e-08
8.119999999999999218e+00 3.433350000000000102e-08
8.140000000000000568e+00 3.362470000000000198e-08
8.160000000000000142e+00 3.292800000000000210e-08
8.179999999999999716e+00 3.224330000000000259e-08
8.199999999999999289e+00 3.157049999999999805e-08
8.220000000000000639e+00 3.090950000000000292e-08
8.240000000000000213e+00 3.026040000000000275e-08
8.259999999999999787e+00 2.962279999999999908e-08
8.279999999999999361e+00 2.899680000000000062e-08
8.300000000000000711e+00 2.838229999999999866e-08
8.320000000000000284e+00 2.777909999999999892e-08
8.339999999999999858e+00 2.718709999999999931e-08
8.359999999999999432e+00 2.660620000000000104e-08
8.380000000000000782e+00 2.603629999999999869e-08
8.400000000000000355e+00 2.547730000000000011e-08
8.419999999999999929e+00 2.492900000000000108e-08
8.439999999999999503e+00 2.439129999999999951e-08
8.460000000000000853e+00 2.386409999999999993e-08
8.480000000000000426e+00 2.334709999999999933e-08
8.500000000000000000e+00 2.284039999999999983e-08
