# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 8.407790000000000094e-45
3.899999999999999911e+00 3.559299999999999945e-43
3.919999999999999929e+00 1.331789999999999940e-41
3.939999999999999947e+00 4.237479999999999694e-40
3.959999999999999964e+00 1.154289999999999967e-38
3.979999999999999982e+00 2.711009999999999952e-37
4.000000000000000000e+00 5.526599999999999799e-36
4.019999999999999574e+00 9.842300000000000741e-35
4.040000000000000036e+00 1.540450000000000068e-33
4.059999999999999609e+00 2.131600000000000095e-32
4.080000000000000071e+00 2.622009999999999918e-31
4.099999999999999645e+00 2.882510000000000058e-30
4.120000000000000107e+00 2.846710000000000103e-29
4.139999999999999680e+00 2.537620000000000005e-28
4.160000000000000142e+00 2.051239999999999847e-27
4.179999999999999716e+00 1.510249999999999857e-26
4.200000000000000178e+00 1.017140000000000031e-25
4.219999999999999751e+00 6.291269999999999921e-25
4.240000000000000213e+00 3.587349999999999715e-24
4.259999999999999787e+00 1.892789999999999958e-23
4.280000000000000249e+00 9.273959999999999787e-23
4.299999999999999822e+00 4.233310000000000215e-22
4.320000000000000284e+00 1.806210000000000076e-21
4.339999999999999858e+00 7.224820000000000078e-21
4.360000000000000320e+00 2.717369999999999966e-20
4.379999999999999893e+00 9.636419999999999537e-20
4.400000000000000355e+00 3.230789999999999855e-19
4.419999999999999929e+00 1.026609999999999925e-18
4.440000000000000391e+00 3.099399999999999855e-18
4.459999999999999964e+00 8.910709999999999634e-18
4.480000000000000426e+00 2.445040000000000049e-17
4.500000000000000000e+00 6.416480000000000235e-17
4.519999999999999574e+00 1.613760000000000017e-16
4.540000000000000036e+00 3.896969999999999995e-16
4.559999999999999609e+00 9.052669999999999640e-16
4.580000000000000071e+00 2.026430000000000074e-15
4.599999999999999645e+00 4.378620000000000140e-15
4.620000000000000107e+00 9.146799999999999456e-15
4.639999999999999680e+00 1.850119999999999858e-14
4.660000000000000142e+00 3.628829999999999922e-14
4.679999999999999716e+00 6.911439999999999831e-14
4.700000000000000178e+00 1.279899999999999928e-13
4.719999999999999751e+00 2.307510000000000232e-13
4.740000000000000213e+00 4.055139999999999925e-13
4.769999999999999574e+00 6.954379999999999696e-13
4.790000000000000036e+00 1.165129999999999903e-12
4.809999999999999609e+00 1.905149999999999814e-12
4.830000000000000071e+00 3.008240000000000115e-12
4.849999999999999645e+00 4.666949999999999617e-12
4.870000000000000107e+00 7.115779999999999796e-12
4.889999999999999680e+00 1.066710000000000006e-11
4.910000000000000142e+00 1.572799999999999922e-11
4.929999999999999716e+00 2.281890000000000004e-11
4.950000000000000178e+00 3.259250000000000274e-11
4.969999999999999751e+00 4.585160000000000144e-11
4.990000000000000213e+00 6.356720000000000565e-11
5.009999999999999787e+00 8.688860000000000278e-11
5.030000000000000249e+00 1.171620000000000034e-10
5.049999999999999822e+00 1.559269999999999983e-10
5.070000000000000284e+00 2.049249999999999929e-10
5.089999999999999858e+00 2.660879999999999914e-10
5.110000000000000320e+00 3.415320000000000258e-10
5.129999999999999893e+00 4.335329999999999752e-10
5.150000000000000355e+00 5.445059999999999806e-10
5.169999999999999929e+00 6.769730000000000155e-10
5.190000000000000391e+00 8.335300000000000157e-10
5.209999999999999964e+00 1.016800000000000046e-09
5.230000000000000426e+00 1.229390000000000032e-09
5.250000000000000000e+00 1.473869999999999999e-09
5.269999999999999574e+00 1.752690000000000076e-09
5.290000000000000036e+00 2.068160000000000022e-09
5.309999999999999609e+00 2.422410000000000117e-09
5.330000000000000071e+00 2.817300000000000187e-09
5.349999999999999645e+00 3.254489999999999998e-09
5.370000000000000107e+00 3.735310000000000411e-09
5.389999999999999680e+00 4.260749999999999788e-09
5.410000000000000142e+00 4.831480000000000360e-09
5.429999999999999716e+00 5.447810000000000030e-09
5.450000000000000178e+00 6.109709999999999988e-09
5.469999999999999751e+00 6.816729999999999889e-09
5.490000000000000213e+00 7.568069999999999489e-09
5.509999999999999787e+00 8.362600000000000053e-09
5.530000000000000249e+00 9.198840000000000465e-09
5.549999999999999822e+00 1.007499999999999923e-08
5.570000000000000284e+00 1.098889999999999956e-08
5.589999999999999858e+00 1.193809999999999954e-08
5.610000000000000320e+00 1.292009999999999967e-08
5.629999999999999893e+00 1.393200000000000028e-08
5.650000000000000355e+00 1.497060000000000039e-08
5.669999999999999929e+00 1.603269999999999903e-08
5.690000000000000391e+00 1.711510000000000018e-08
5.709999999999999964e+00 1.821420000000000106e-08
5.730000000000000426e+00 1.932659999999999983e-08
5.750000000000000000e+00 2.044870000000000033e-08
5.769999999999999574e+00 2.157699999999999859e-08
5.790000000000000036e+00 2.270789999999999848e-08
5.809999999999999609e+00 2.383800000000000143e-08
5.830000000000000071e+00 2.496380000000000017e-08
5.849999999999999645e+00 2.608219999999999912e-08
5.870000000000000107e+00 2.718989999999999851e-08
5.889999999999999680e+00 2.828390000000000156e-08
5.910000000000000142e+00 2.936120000000000155e-08
5.929999999999999716e+00 3.041920000000000017e-08
5.950000000000000178e+00 3.145530000000000242e-08
5.969999999999999751e+00 3.246710000000000093e-08
5.990000000000000213e+00 3.345240000000000248e-08
6.009999999999999787e+00 3.440919999999999818e-08
6.030000000000000249e+00 3.533559999999999779e-08
6.049999999999999822e+00 3.623009999999999962e-08
6.070000000000000284e+00 3.709120000000000195e-08
6.089999999999999858e+00 3.791769999999999946e-08
6.110000000000000320e+00 3.870840000000000004e-08
6.129999999999999893e+00 3.946250000000000016e-08
6.150000000000000355e+00 4.017920000000000287e-08
6.169999999999999929e+00 4.085800000000000098e-08
6.190000000000000391e+00 4.149840000000000054e-08
6.209999999999999964e+00 4.210019999999999737e-08
6.230000000000000426e+00 4.266320000000000049e-08
6.250000000000000000e+00 4.318740000000000329e-08
6.269999999999999574e+00 4.367299999999999674e-08
6.290000000000000036e+00 4.412009999999999946e-08
6.309999999999999609e+00 4.452919999999999880e-08
6.330000000000000071e+00 4.490049999999999896e-08
6.349999999999999645e+00 4.523459999999999928e-08
6.370000000000000107e+00 4.553209999999999914e-08
6.389999999999999680e+00 4.579370000000000328e-08
6.410000000000000142e+00 4.601999999999999783e-08
6.429999999999999716e+00 4.621170000000000080e-08
6.450000000000000178e+00 4.636980000000000008e-08
6.469999999999999751e+00 4.649500000000000043e-08
6.490000000000000213e+00 4.658830000000000299e-08
6.509999999999999787e+00 4.665049999999999809e-08
6.530000000000000249e+00 4.668269999999999886e-08
6.549999999999999822e+00 4.668559999999999686e-08
6.570000000000000284e+00 4.666039999999999740e-08
6.589999999999999858e+00 4.660800000000000283e-08
6.610000000000000320e+00 4.652930000000000227e-08
6.629999999999999893e+00 4.642540000000000224e-08
6.650000000000000355e+00 4.629729999999999728e-08
6.669999999999999929e+00 4.614600000000000174e-08
6.690000000000000391e+00 4.597239999999999812e-08
6.709999999999999964e+00 4.577750000000000079e-08
6.730000000000000426e+00 4.556229999999999765e-08
6.750000000000000000e+00 4.532780000000000306e-08
6.769999999999999574e+00 4.507489999999999951e-08
6.790000000000000036e+00 4.480439999999999719e-08
6.809999999999999609e+00 4.451750000000000142e-08
6.830000000000000071e+00 4.421489999999999711e-08
6.849999999999999645e+00 4.389749999999999984e-08
6.870000000000000107e+00 4.356619999999999872e-08
6.889999999999999680e+00 4.322190000000000271e-08
6.910000000000000142e+00 4.286519999999999793e-08
6.929999999999999716e+00 4.249719999999999755e-08
6.950000000000000178e+00 4.211850000000000091e-08
6.969999999999999751e+00 4.172989999999999835e-08
6.990000000000000213e+00 4.133210000000000123e-08
7.009999999999999787e+00 4.092589999999999988e-08
7.030000000000000249e+00 4.051180000000000149e-08
7.049999999999999822e+00 4.009070000000000177e-08
7.070000000000000284e+00 3.966300000000000252e-08
7.089999999999999858e+00 3.922950000000000065e-08
7.110000000000000320e+00 3.879069999999999675e-08
7.129999999999999893e+00 3.834719999999999678e-08
7.150000000000000355e+00 3.789950000000000132e-08
7.169999999999999929e+00 3.744820000000000309e-08
7.190000000000000391e+00 3.699359999999999848e-08
7.209999999999999964e+00 3.653639999999999886e-08
7.230000000000000426e+00 3.607699999999999939e-08
7.259999999999999787e+00 3.561559999999999766e-08
7.280000000000000249e+00 3.515289999999999842e-08
7.299999999999999822e+00 3.468909999999999925e-08
7.320000000000000284e+00 3.422470000000000073e-08
7.339999999999999858e+00 3.375990000000000043e-08
7.360000000000000320e+00 3.329500000000000135e-08
7.379999999999999893e+00 3.283049999999999742e-08
7.400000000000000355e+00 3.236650000000000068e-08
7.419999999999999929e+00 3.190330000000000087e-08
7.440000000000000391e+00 3.144120000000000099e-08
7.459999999999999964e+00 3.098049999999999740e-08
7.480000000000000426e+00 3.052130000000000213e-08
7.500000000000000000e+00 3.006379999999999952e-08
7.519999999999999574e+00 2.960840000000000128e-08
7.540000000000000036e+00 2.915499999999999869e-08
7.559999999999999609e+00 2.870400000000000014e-08
7.580000000000000071e+00 2.825550000000000112e-08
7.599999999999999645e+00 2.780960000000000042e-08
7.620000000000000107e+00 2.736649999999999892e-08
7.639999999999999680e+00 2.692629999999999872e-08
7.660000000000000142e+00 2.648909999999999862e-08
7.679999999999999716e+00 2.605520000000000159e-08
7.700000000000000178e+00 2.562449999999999894e-08
7.719999999999999751e+00 2.519730000000000024e-08
7.740000000000000213e+00 2.477350000000000012e-08
7.759999999999999787e+00 2.435340000000000154e-08
7.780000000000000249e+00 2.393689999999999910e-08
7.799999999999999822e+00 2.352420000000000030e-08
7.820000000000000284e+00 2.311549999999999943e-08
7.839999999999999858e+00 2.271059999999999890e-08
7.860000000000000320e+00 2.230979999999999838e-08
7.879999999999999893e+00 2.191319999999999997e-08
7.900000000000000355e+00 2.152059999999999949e-08
7.919999999999999929e+00 2.113229999999999991e-08
7.940000000000000391e+00 2.074840000000000003e-08
7.959999999999999964e+00 2.036869999999999895e-08
7.980000000000000426e+00 1.999349999999999967e-08
8.000000000000000000e+00 1.962279999999999887e-08
8.019999999999999574e+00 1.925650000000000107e-08
8.039999999999999147e+00 1.889480000000000055e-08
8.060000000000000497e+00 1.853770000000000062e-08
8.080000000000000071e+00 1.818520000000000127e-08
8.099999999999999645e+00 1.783729999999999919e-08
8.119999999999999218e+00 1.749409999999999980e-08
8.140000000000000568e+00 1.715569999999999857e-08
8.160000000000000142e+00 1.682190000000000123e-08
8.179999999999999716e+00 1.649289999999999875e-08
8.199999999999999289e+00 1.616870000000000104e-08
8.220000000000000639e+00 1.584919999999999941e-08
8.240000000000000213e+00 1.553449999999999924e-08
8.259999999999999787e+00 1.522460000000000055e-08
8.279999999999999361e+00 1.491940000000000123e-08
8.300000000000000711e+00 1.461900000000000008e-08
8.320000000000000284e+00 1.432340000000000040e-08
8.339999999999999858e+00 1.403250000000000009e-08
8.359999999999999432e+00 1.374630000000000081e-08
8.380000000000000782e+00 1.346489999999999969e-08
8.400000000000000355e+00 1.318819999999999960e-08
8.419999999999999929e+00 1.291610000000000010e-08
8.439999999999999503e+00 1.264869999999999997e-08
8.460000000000000853e+00 1.238590000000000042e-08
8.480000000000000426e+00 1.212780000000000024e-08
8.500000000000000000e+00 1.187409999999999977e-08
