# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 2.802599999999999909e-45
4.540000000000000036e+00 1.121040000000000063e-43
4.559999999999999609e+00 3.846560000000000198e-42
4.580000000000000071e+00 1.129320000000000013e-40
4.599999999999999645e+00 2.849009999999999989e-39
4.620000000000000107e+00 6.218000000000000443e-38
4.639999999999999680e+00 1.181849999999999982e-36
4.660000000000000142e+00 1.968650000000000001e-35
4.679999999999999716e+00 2.890910000000000048e-34
4.700000000000000178e+00 3.763590000000000059e-33
4.719999999999999751e+00 4.367790000000000235e-32
4.740000000000000213e+00 4.542510000000000127e-31
4.769999999999999574e+00 4.254299999999999915e-30
4.790000000000000036e+00 3.604909999999999835e-29
4.809999999999999609e+00 2.776390000000000144e-28
4.830000000000000071e+00 1.952009999999999925e-27
4.849999999999999645e+00 1.257960000000000059e-26
4.870000000000000107e+00 7.459690000000000065e-26
4.889999999999999680e+00 4.086040000000000021e-25
4.910000000000000142e+00 2.074829999999999994e-24
4.929999999999999716e+00 9.800020000000000409e-24
4.950000000000000178e+00 4.319649999999999901e-23
4.969999999999999751e+00 1.782439999999999898e-22
4.990000000000000213e+00 6.906120000000000408e-22
5.009999999999999787e+00 2.519499999999999969e-21
5.030000000000000249e+00 8.678909999999999836e-21
5.049999999999999822e+00 2.830009999999999873e-20
5.070000000000000284e+00 8.757509999999999845e-20
5.089999999999999858e+00 2.577799999999999776e-19
5.110000000000000320e+00 7.234310000000000219e-19
5.129999999999999893e+00 1.939720000000000029e-18
5.150000000000000355e+00 4.979540000000000083e-18
5.169999999999999929e+00 1.226259999999999975e-17
5.190000000000000391e+00 2.902400000000000210e-17
5.209999999999999964e+00 6.614060000000000380e-17
5.230000000000000426e+00 1.453710000000000009e-16
5.250000000000000000e+00 3.086600000000000201e-16
5.269999999999999574e+00 6.341059999999999938e-16
5.290000000000000036e+00 1.262339999999999919e-15
5.309999999999999609e+00 2.438550000000000152e-15
5.330000000000000071e+00 4.577359999999999895e-15
5.349999999999999645e+00 8.359770000000000549e-15
5.370000000000000107e+00 1.487350000000000158e-14
5.389999999999999680e+00 2.580969999999999970e-14
5.410000000000000142e+00 4.373030000000000300e-14
5.429999999999999716e+00 7.242509999999999903e-14
5.450000000000000178e+00 1.160460000000000086e-13
5.469999999999999751e+00 1.814990000000000125e-13
5.490000000000000213e+00 2.792039999999999986e-13
5.509999999999999787e+00 4.225359999999999981e-13
5.530000000000000249e+00 6.291799999999999504e-13
5.549999999999999822e+00 9.221510000000000356e-13
5.570000000000000284e+00 1.330670000000000024e-12
5.589999999999999858e+00 1.891330000000000181e-12
5.610000000000000320e+00 2.648970000000000172e-12
5.629999999999999893e+00 3.657629999999999633e-12
5.650000000000000355e+00 4.981220000000000054e-12
5.669999999999999929e+00 6.694250000000000077e-12
5.690000000000000391e+00 8.882109999999999197e-12
5.709999999999999964e+00 1.164109999999999974e-11
5.730000000000000426e+00 1.507800000000000017e-11
5.750000000000000000e+00 1.930999999999999910e-11
5.769999999999999574e+00 2.446330000000000058e-11
5.790000000000000036e+00 3.067219999999999930e-11
5.809999999999999609e+00 3.807719999999999854e-11
5.830000000000000071e+00 4.682420000000000075e-11
5.849999999999999645e+00 5.706099999999999688e-11
5.870000000000000107e+00 6.893620000000000024e-11
5.889999999999999680e+00 8.259689999999999836e-11
5.910000000000000142e+00 9.818690000000000605e-11
5.929999999999999716e+00 1.158420000000000018e-10
5.950000000000000178e+00 1.356919999999999901e-10
5.969999999999999751e+00 1.578549999999999941e-10
5.990000000000000213e+00 1.824369999999999926e-10
6.009999999999999787e+00 2.095289999999999906e-10
6.030000000000000249e+00 2.392070000000000199e-10
6.049999999999999822e+00 2.715330000000000176e-10
6.070000000000000284e+00 3.065489999999999823e-10
6.089999999999999858e+00 3.442780000000000079e-10
6.110000000000000320e+00 3.847249999999999820e-10
6.129999999999999893e+00 4.278790000000000173e-10
6.150000000000000355e+00 4.737090000000000027e-10
6.169999999999999929e+00 5.221660000000000350e-10
6.190000000000000391e+00 5.731819999999999962e-10
6.209999999999999964e+00 6.266770000000000270e-10
6.230000000000000426e+00 6.825530000000000107e-10
6.250000000000000000e+00 7.406990000000000289e-10
6.269999999999999574e+00 8.009900000000000433e-10
6.290000000000000036e+00 8.632910000000000332e-10
6.309999999999999609e+00 9.274590000000000126e-10
6.330000000000000071e+00 9.933400000000000046e-10
6.349999999999999645e+00 1.060770000000000050e-09
6.370000000000000107e+00 1.129590000000000025e-09
6.389999999999999680e+00 1.199629999999999920e-09
6.410000000000000142e+00 1.270719999999999930e-09
6.429999999999999716e+00 1.342679999999999958e-09
6.450000000000000178e+00 1.415339999999999995e-09
6.469999999999999751e+00 1.488530000000000029e-09
6.490000000000000213e+00 1.562069999999999963e-09
6.509999999999999787e+00 1.635800000000000079e-09
6.530000000000000249e+00 1.709560000000000040e-09
6.549999999999999822e+00 1.783189999999999919e-09
6.570000000000000284e+00 1.856519999999999913e-09
6.589999999999999858e+00 1.929399999999999975e-09
6.610000000000000320e+00 2.001710000000000111e-09
6.629999999999999893e+00 2.073280000000000103e-09
6.650000000000000355e+00 2.143990000000000162e-09
6.669999999999999929e+00 2.213710000000000207e-09
6.690000000000000391e+00 2.282329999999999914e-09
6.709999999999999964e+00 2.349720000000000029e-09
6.730000000000000426e+00 2.415780000000000109e-09
6.750000000000000000e+00 2.480410000000000123e-09
6.769999999999999574e+00 2.543510000000000040e-09
6.790000000000000036e+00 2.605000000000000000e-09
6.809999999999999609e+00 2.664789999999999852e-09
6.830000000000000071e+00 2.722810000000000030e-09
6.849999999999999645e+00 2.778990000000000140e-09
6.870000000000000107e+00 2.833260000000000202e-09
6.889999999999999680e+00 2.885569999999999994e-09
6.910000000000000142e+00 2.935870000000000120e-09
6.929999999999999716e+00 2.984119999999999824e-09
6.950000000000000178e+00 3.030259999999999832e-09
6.969999999999999751e+00 3.074269999999999973e-09
6.990000000000000213e+00 3.116120000000000195e-09
7.009999999999999787e+00 3.155789999999999915e-09
7.030000000000000249e+00 3.193260000000000200e-09
7.049999999999999822e+00 3.228510000000000052e-09
7.070000000000000284e+00 3.261530000000000006e-09
7.089999999999999858e+00 3.292329999999999941e-09
7.110000000000000320e+00 3.320899999999999978e-09
7.129999999999999893e+00 3.347249999999999996e-09
7.150000000000000355e+00 3.371389999999999873e-09
7.169999999999999929e+00 3.393340000000000195e-09
7.190000000000000391e+00 3.413100000000000136e-09
7.209999999999999964e+00 3.430700000000000157e-09
7.230000000000000426e+00 3.446169999999999898e-09
7.259999999999999787e+00 3.459539999999999822e-09
7.280000000000000249e+00 3.470839999999999980e-09
7.299999999999999822e+00 3.480100000000000008e-09
7.320000000000000284e+00 3.487359999999999836e-09
7.339999999999999858e+00 3.492659999999999807e-09
7.360000000000000320e+00 3.496050000000000144e-09
7.379999999999999893e+00 3.497560000000000069e-09
7.400000000000000355e+00 3.497259999999999977e-09
7.419999999999999929e+00 3.495179999999999918e-09
7.440000000000000391e+00 3.491379999999999993e-09
7.459999999999999964e+00 3.485900000000000132e-09
7.480000000000000426e+00 3.478809999999999901e-09
7.500000000000000000e+00 3.470150000000000057e-09
7.519999999999999574e+00 3.459979999999999874e-09
7.540000000000000036e+00 3.448359999999999867e-09
7.559999999999999609e+00 3.435329999999999965e-09
7.580000000000000071e+00 3.420949999999999855e-09
7.599999999999999645e+00 3.405289999999999932e-09
7.620000000000000107e+00 3.388379999999999832e-09
7.639999999999999680e+00 3.370299999999999828e-09
7.660000000000000142e+00 3.351079999999999971e-09
7.679999999999999716e+00 3.330779999999999948e-09
7.700000000000000178e+00 3.309470000000000153e-09
7.719999999999999751e+00 3.287169999999999930e-09
7.740000000000000213e+00 3.263959999999999966e-09
7.759999999999999787e+00 3.239860000000000018e-09
7.780000000000000249e+00 3.214940000000000067e-09
7.799999999999999822e+00 3.189240000000000042e-09
7.820000000000000284e+00 3.162799999999999873e-09
7.839999999999999858e+00 3.135670000000000195e-09
7.860000000000000320e+00 3.107879999999999818e-09
7.879999999999999893e+00 3.079490000000000085e-09
7.900000000000000355e+00 3.050519999999999926e-09
7.919999999999999929e+00 3.021029999999999855e-09
7.940000000000000391e+00 2.991030000000000165e-09
7.959999999999999964e+00 2.960580000000000131e-09
7.980000000000000426e+00 2.929699999999999923e-09
8.000000000000000000e+00 2.898429999999999885e-09
8.019999999999999574e+00 2.866800000000000068e-09
8.039999999999999147e+00 2.834829999999999815e-09
8.060000000000000497e+00 2.802559999999999884e-09
8.080000000000000071e+00 2.770019999999999912e-09
8.099999999999999645e+00 2.737239999999999949e-09
8.119999999999999218e+00 2.704229999999999873e-09
8.140000000000000568e+00 2.671030000000000029e-09
8.160000000000000142e+00 2.637660000000000175e-09
8.179999999999999716e+00 2.604140000000000067e-09
8.199999999999999289e+00 2.570500000000000171e-09
8.220000000000000639e+00 2.536749999999999951e-09
8.240000000000000213e+00 2.502930000000000165e-09
8.259999999999999787e+00 2.469049999999999865e-09
8.279999999999999361e+00 2.435130000000000048e-09
8.300000000000000711e+00 2.401180000000000181e-09
8.320000000000000284e+00 2.367240000000000192e-09
8.339999999999999858e+00 2.333310000000000083e-09
8.359999999999999432e+00 2.299419999999999903e-09
8.380000000000000782e+00 2.265579999999999946e-09
8.400000000000000355e+00 2.231819999999999847e-09
8.419999999999999929e+00 2.198130000000000142e-09
8.439999999999999503e+00 2.164549999999999934e-09
8.460000000000000853e+00 2.131089999999999927e-09
8.480000000000000426e+00 2.097760000000000002e-09
8.500000000000000000e+00 2.064579999999999916e-09
