# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 5.605190000000000185e-45
4.160000000000000142e+00 2.606420000000000004e-43
4.179999999999999716e+00 9.433540000000000565e-42
4.200000000000000178e+00 2.904210000000000028e-40
4.219999999999999751e+00 7.666039999999999593e-39
4.240000000000000213e+00 1.747039999999999954e-37
4.259999999999999787e+00 3.460540000000000153e-36
4.280000000000000249e+00 5.996150000000000148e-35
4.299999999999999822e+00 9.142210000000000706e-34
4.320000000000000284e+00 1.233820000000000110e-32
4.339999999999999858e+00 1.481890000000000078e-31
4.360000000000000320e+00 1.592489999999999964e-30
4.379999999999999893e+00 1.538759999999999981e-29
4.400000000000000355e+00 1.343479999999999929e-28
4.419999999999999929e+00 1.064640000000000062e-27
4.440000000000000391e+00 7.691829999999999507e-27
4.459999999999999964e+00 5.087270000000000000e-26
4.480000000000000426e+00 3.092730000000000142e-25
4.500000000000000000e+00 1.734660000000000029e-24
4.519999999999999574e+00 9.009990000000000451e-24
4.540000000000000036e+00 4.348500000000000269e-23
4.559999999999999609e+00 1.956749999999999946e-22
4.580000000000000071e+00 8.234869999999999869e-22
4.599999999999999645e+00 3.251210000000000124e-21
4.620000000000000107e+00 1.207609999999999957e-20
4.639999999999999680e+00 4.231689999999999812e-20
4.660000000000000142e+00 1.402680000000000093e-19
4.679999999999999716e+00 4.409009999999999930e-19
4.700000000000000178e+00 1.317329999999999908e-18
4.719999999999999751e+00 3.749919999999999842e-18
4.740000000000000213e+00 1.019260000000000075e-17
4.769999999999999574e+00 2.650810000000000149e-17
4.790000000000000036e+00 6.609390000000000543e-17
4.809999999999999609e+00 1.582960000000000088e-16
4.830000000000000071e+00 3.648399999999999784e-16
4.849999999999999645e+00 8.105929999999999761e-16
4.870000000000000107e+00 1.738940000000000011e-15
4.889999999999999680e+00 3.607779999999999629e-15
4.910000000000000142e+00 7.249989999999999307e-15
4.929999999999999716e+00 1.413159999999999952e-14
4.950000000000000178e+00 2.675450000000000038e-14
4.969999999999999751e+00 4.926419999999999773e-14
4.990000000000000213e+00 8.833750000000000098e-14
5.009999999999999787e+00 1.544349999999999877e-13
5.030000000000000249e+00 2.635400000000000059e-13
5.049999999999999822e+00 4.394480000000000173e-13
5.070000000000000284e+00 7.128159999999999992e-13
5.089999999999999858e+00 1.121420000000000082e-12
5.110000000000000320e+00 1.733550000000000020e-12
5.129999999999999893e+00 2.633859999999999846e-12
5.150000000000000355e+00 3.934850000000000344e-12
5.169999999999999929e+00 5.782290000000000396e-12
5.190000000000000391e+00 8.362099999999999680e-12
5.209999999999999964e+00 1.190619999999999949e-11
5.230000000000000426e+00 1.669909999999999859e-11
5.250000000000000000e+00 2.308319999999999842e-11
5.269999999999999574e+00 3.146349999999999816e-11
5.290000000000000036e+00 4.231120000000000171e-11
5.309999999999999609e+00 5.616519999999999983e-11
5.330000000000000071e+00 7.363089999999999799e-11
5.349999999999999645e+00 9.538019999999999701e-11
5.370000000000000107e+00 1.221449999999999954e-10
5.389999999999999680e+00 1.547130000000000012e-10
5.410000000000000142e+00 1.939130000000000055e-10
5.429999999999999716e+00 2.406110000000000183e-10
5.450000000000000178e+00 2.956990000000000146e-10
5.469999999999999751e+00 3.600690000000000208e-10
5.490000000000000213e+00 4.346100000000000119e-10
5.509999999999999787e+00 5.201890000000000325e-10
5.530000000000000249e+00 6.176409999999999561e-10
5.549999999999999822e+00 7.277400000000000119e-10
5.570000000000000284e+00 8.511949999999999749e-10
5.589999999999999858e+00 9.886400000000000105e-10
5.610000000000000320e+00 1.140610000000000055e-09
5.629999999999999893e+00 1.307550000000000101e-09
5.650000000000000355e+00 1.489779999999999998e-09
5.669999999999999929e+00 1.687510000000000100e-09
5.690000000000000391e+00 1.900820000000000060e-09
5.709999999999999964e+00 2.129670000000000153e-09
5.730000000000000426e+00 2.373910000000000129e-09
5.750000000000000000e+00 2.633239999999999894e-09
5.769999999999999574e+00 2.907260000000000153e-09
5.790000000000000036e+00 3.195429999999999997e-09
5.809999999999999609e+00 3.497140000000000189e-09
5.830000000000000071e+00 3.811639999999999878e-09
5.849999999999999645e+00 4.138109999999999889e-09
5.870000000000000107e+00 4.475620000000000309e-09
5.889999999999999680e+00 4.823179999999999882e-09
5.910000000000000142e+00 5.179770000000000198e-09
5.929999999999999716e+00 5.544269999999999922e-09
5.950000000000000178e+00 5.915509999999999976e-09
5.969999999999999751e+00 6.292340000000000214e-09
5.990000000000000213e+00 6.673570000000000148e-09
6.009999999999999787e+00 7.057979999999999651e-09
6.030000000000000249e+00 7.444360000000000130e-09
6.049999999999999822e+00 7.831529999999999321e-09
6.070000000000000284e+00 8.218310000000000750e-09
6.089999999999999858e+00 8.603559999999999187e-09
6.110000000000000320e+00 8.986159999999999913e-09
6.129999999999999893e+00 9.365029999999999454e-09
6.150000000000000355e+00 9.739169999999999984e-09
6.169999999999999929e+00 1.010760000000000013e-08
6.190000000000000391e+00 1.046939999999999944e-08
6.209999999999999964e+00 1.082370000000000017e-08
6.230000000000000426e+00 1.116970000000000042e-08
6.250000000000000000e+00 1.150670000000000039e-08
6.269999999999999574e+00 1.183410000000000073e-08
6.290000000000000036e+00 1.215119999999999998e-08
6.309999999999999609e+00 1.245749999999999922e-08
6.330000000000000071e+00 1.275249999999999954e-08
6.349999999999999645e+00 1.303589999999999962e-08
6.370000000000000107e+00 1.330729999999999932e-08
6.389999999999999680e+00 1.356630000000000019e-08
6.410000000000000142e+00 1.381290000000000056e-08
6.429999999999999716e+00 1.404680000000000075e-08
6.450000000000000178e+00 1.426779999999999989e-08
6.469999999999999751e+00 1.447600000000000006e-08
6.490000000000000213e+00 1.467130000000000082e-08
6.509999999999999787e+00 1.485370000000000052e-08
6.530000000000000249e+00 1.502330000000000126e-08
6.549999999999999822e+00 1.518000000000000093e-08
6.570000000000000284e+00 1.532419999999999967e-08
6.589999999999999858e+00 1.545579999999999868e-08
6.610000000000000320e+00 1.557510000000000094e-08
6.629999999999999893e+00 1.568230000000000074e-08
6.650000000000000355e+00 1.577750000000000016e-08
6.669999999999999929e+00 1.586099999999999889e-08
6.690000000000000391e+00 1.593309999999999991e-08
6.709999999999999964e+00 1.599400000000000081e-08
6.730000000000000426e+00 1.604400000000000126e-08
6.750000000000000000e+00 1.608329999999999884e-08
6.769999999999999574e+00 1.611219999999999984e-08
6.790000000000000036e+00 1.613109999999999944e-08
6.809999999999999609e+00 1.614019999999999851e-08
6.830000000000000071e+00 1.613980000000000004e-08
6.849999999999999645e+00 1.613029999999999919e-08
6.870000000000000107e+00 1.611190000000000017e-08
6.889999999999999680e+00 1.608500000000000143e-08
6.910000000000000142e+00 1.604980000000000056e-08
6.929999999999999716e+00 1.600669999999999933e-08
6.950000000000000178e+00 1.595600000000000073e-08
6.969999999999999751e+00 1.589789999999999904e-08
6.990000000000000213e+00 1.583290000000000144e-08
7.009999999999999787e+00 1.576110000000000009e-08
7.030000000000000249e+00 1.568290000000000010e-08
7.049999999999999822e+00 1.559860000000000112e-08
7.070000000000000284e+00 1.550849999999999954e-08
7.089999999999999858e+00 1.541279999999999955e-08
7.110000000000000320e+00 1.531189999999999962e-08
7.129999999999999893e+00 1.520600000000000064e-08
7.150000000000000355e+00 1.509539999999999897e-08
7.169999999999999929e+00 1.498040000000000092e-08
7.190000000000000391e+00 1.486120000000000075e-08
7.209999999999999964e+00 1.473799999999999936e-08
7.230000000000000426e+00 1.461120000000000017e-08
7.259999999999999787e+00 1.448100000000000076e-08
7.280000000000000249e+00 1.434760000000000037e-08
7.299999999999999822e+00 1.421130000000000034e-08
7.320000000000000284e+00 1.407219999999999944e-08
7.339999999999999858e+00 1.393060000000000068e-08
7.360000000000000320e+00 1.378659999999999952e-08
7.379999999999999893e+00 1.364059999999999940e-08
7.400000000000000355e+00 1.349270000000000077e-08
7.419999999999999929e+00 1.334300000000000076e-08
7.440000000000000391e+00 1.319180000000000071e-08
7.459999999999999964e+00 1.303919999999999939e-08
7.480000000000000426e+00 1.288539999999999936e-08
7.500000000000000000e+00 1.273049999999999941e-08
7.519999999999999574e+00 1.257470000000000043e-08
7.540000000000000036e+00 1.241819999999999999e-08
7.559999999999999609e+00 1.226099999999999974e-08
7.580000000000000071e+00 1.210330000000000059e-08
7.599999999999999645e+00 1.194519999999999965e-08
7.620000000000000107e+00 1.178689999999999949e-08
7.639999999999999680e+00 1.162840000000000009e-08
7.660000000000000142e+00 1.146990000000000069e-08
7.679999999999999716e+00 1.131139999999999963e-08
7.700000000000000178e+00 1.115300000000000067e-08
7.719999999999999751e+00 1.099489999999999974e-08
7.740000000000000213e+00 1.083710000000000014e-08
7.759999999999999787e+00 1.067970000000000066e-08
7.780000000000000249e+00 1.052269999999999966e-08
7.799999999999999822e+00 1.036629999999999966e-08
7.820000000000000284e+00 1.021040000000000023e-08
7.839999999999999858e+00 1.005529999999999939e-08
7.860000000000000320e+00 9.900829999999999196e-09
7.879999999999999893e+00 9.747170000000000783e-09
7.900000000000000355e+00 9.594350000000000478e-09
7.919999999999999929e+00 9.442409999999999449e-09
7.940000000000000391e+00 9.291420000000000160e-09
7.959999999999999964e+00 9.141400000000000713e-09
7.980000000000000426e+00 8.992420000000000262e-09
8.000000000000000000e+00 8.844519999999999977e-09
8.019999999999999574e+00 8.697719999999999615e-09
8.039999999999999147e+00 8.552080000000000106e-09
8.060000000000000497e+00 8.407619999999999552e-09
8.080000000000000071e+00 8.264410000000000415e-09
8.099999999999999645e+00 8.122439999999999509e-09
8.119999999999999218e+00 7.981779999999999294e-09
8.140000000000000568e+00 7.842439999999999649e-09
8.160000000000000142e+00 7.704450000000000211e-09
8.179999999999999716e+00 7.567840000000000617e-09
8.199999999999999289e+00 7.432650000000000384e-09
8.220000000000000639e+00 7.298890000000000218e-09
8.240000000000000213e+00 7.166589999999999754e-09
8.259999999999999787e+00 7.035780000000000286e-09
8.279999999999999361e+00 6.906470000000000036e-09
8.300000000000000711e+00 6.778679999999999591e-09
8.320000000000000284e+00 6.652440000000000242e-09
8.339999999999999858e+00 6.527750000000000335e-09
8.359999999999999432e+00 6.404629999999999627e-09
8.380000000000000782e+00 6.283100000000000358e-09
8.400000000000000355e+00 6.163179999999999804e-09
8.419999999999999929e+00 6.044859999999999741e-09
8.439999999999999503e+00 5.928159999999999927e-09
8.460000000000000853e+00 5.813090000000000241e-09
8.480000000000000426e+00 5.699649999999999855e-09
8.500000000000000000e+00 5.587850000000000303e-09
