# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 9.809089999999999426e-45
4.700000000000000178e+00 3.797520000000000329e-43
4.719999999999999751e+00 1.188299999999999880e-41
4.740000000000000213e+00 3.186710000000000125e-40
4.769999999999999574e+00 7.373220000000000621e-39
4.790000000000000036e+00 1.481650000000000061e-37
4.809999999999999609e+00 2.602610000000000004e-36
4.830000000000000071e+00 4.020860000000000046e-35
4.849999999999999645e+00 5.494909999999999655e-34
4.870000000000000107e+00 6.679070000000000168e-33
4.889999999999999680e+00 7.259650000000000157e-32
4.910000000000000142e+00 7.092010000000000325e-31
4.929999999999999716e+00 6.256800000000000151e-30
4.950000000000000178e+00 5.007739999999999765e-29
4.969999999999999751e+00 3.652340000000000174e-28
4.990000000000000213e+00 2.437710000000000119e-27
5.009999999999999787e+00 1.494779999999999926e-26
5.030000000000000249e+00 8.453949999999999574e-26
5.049999999999999822e+00 4.425660000000000308e-25
5.070000000000000284e+00 2.152199999999999967e-24
5.089999999999999858e+00 9.754080000000000154e-24
5.110000000000000320e+00 4.133389999999999896e-23
5.129999999999999893e+00 1.642590000000000027e-22
5.150000000000000355e+00 6.139640000000000271e-22
5.169999999999999929e+00 2.164340000000000135e-21
5.190000000000000391e+00 7.215219999999999470e-21
5.209999999999999964e+00 2.280280000000000025e-20
5.230000000000000426e+00 6.848760000000000276e-20
5.250000000000000000e+00 1.959280000000000082e-19
5.269999999999999574e+00 5.350689999999999645e-19
5.290000000000000036e+00 1.397889999999999963e-18
5.309999999999999609e+00 3.500599999999999693e-18
5.330000000000000071e+00 8.418720000000000760e-18
5.349999999999999645e+00 1.947969999999999966e-17
5.370000000000000107e+00 4.344279999999999813e-17
5.389999999999999680e+00 9.353370000000000020e-17
5.410000000000000142e+00 1.947229999999999892e-16
5.429999999999999716e+00 3.925800000000000111e-16
5.450000000000000178e+00 7.676140000000000325e-16
5.469999999999999751e+00 1.457649999999999931e-15
5.490000000000000213e+00 2.691690000000000160e-15
5.509999999999999787e+00 4.839679999999999787e-15
5.530000000000000249e+00 8.483089999999999563e-15
5.549999999999999822e+00 1.451220000000000101e-14
5.570000000000000284e+00 2.425620000000000157e-14
5.589999999999999858e+00 3.948170000000000256e-14
5.610000000000000320e+00 6.212070000000000459e-14
5.629999999999999893e+00 9.612580000000000173e-14
5.650000000000000355e+00 1.463069999999999944e-13
5.669999999999999929e+00 2.190859999999999916e-13
5.690000000000000391e+00 3.228490000000000110e-13
5.709999999999999964e+00 4.683470000000000035e-13
5.730000000000000426e+00 6.690760000000000260e-13
5.750000000000000000e+00 9.416919999999999420e-13
5.769999999999999574e+00 1.306370000000000016e-12
5.790000000000000036e+00 1.787099999999999928e-12
5.809999999999999609e+00 2.411929999999999801e-12
5.830000000000000071e+00 3.213230000000000032e-12
5.849999999999999645e+00 4.227499999999999909e-12
5.870000000000000107e+00 5.495460000000000092e-12
5.889999999999999680e+00 7.061900000000000030e-12
5.910000000000000142e+00 8.975230000000000319e-12
5.929999999999999716e+00 1.128689999999999950e-11
5.950000000000000178e+00 1.405099999999999980e-11
5.969999999999999751e+00 1.732349999999999904e-11
5.990000000000000213e+00 2.116170000000000019e-11
6.009999999999999787e+00 2.562279999999999862e-11
6.030000000000000249e+00 3.076360000000000273e-11
6.049999999999999822e+00 3.663919999999999922e-11
6.070000000000000284e+00 4.330290000000000201e-11
6.089999999999999858e+00 5.080410000000000321e-11
6.110000000000000320e+00 5.918819999999999936e-11
6.129999999999999893e+00 6.849630000000000572e-11
6.150000000000000355e+00 7.876440000000000152e-11
6.169999999999999929e+00 9.002229999999999942e-11
6.190000000000000391e+00 1.022939999999999985e-10
6.209999999999999964e+00 1.155959999999999982e-10
6.230000000000000426e+00 1.299399999999999928e-10
6.250000000000000000e+00 1.453310000000000123e-10
6.269999999999999574e+00 1.617650000000000096e-10
6.290000000000000036e+00 1.792350000000000020e-10
6.309999999999999609e+00 1.977269999999999987e-10
6.330000000000000071e+00 2.172200000000000006e-10
6.349999999999999645e+00 2.376880000000000171e-10
6.370000000000000107e+00 2.591000000000000152e-10
6.389999999999999680e+00 2.814230000000000217e-10
6.410000000000000142e+00 3.046159999999999953e-10
6.429999999999999716e+00 3.286359999999999806e-10
6.450000000000000178e+00 3.534380000000000052e-10
6.469999999999999751e+00 3.789720000000000020e-10
6.490000000000000213e+00 4.051849999999999817e-10
6.509999999999999787e+00 4.320250000000000151e-10
6.530000000000000249e+00 4.594369999999999924e-10
6.549999999999999822e+00 4.873629999999999847e-10
6.570000000000000284e+00 5.157439999999999511e-10
6.589999999999999858e+00 5.445210000000000059e-10
6.610000000000000320e+00 5.736359999999999617e-10
6.629999999999999893e+00 6.030270000000000105e-10
6.650000000000000355e+00 6.326340000000000510e-10
6.669999999999999929e+00 6.623969999999999823e-10
6.690000000000000391e+00 6.922560000000000133e-10
6.709999999999999964e+00 7.221520000000000515e-10
6.730000000000000426e+00 7.520249999999999958e-10
6.750000000000000000e+00 7.818179999999999776e-10
6.769999999999999574e+00 8.114720000000000077e-10
6.790000000000000036e+00 8.409340000000000452e-10
6.809999999999999609e+00 8.701460000000000059e-10
6.830000000000000071e+00 8.990559999999999609e-10
6.849999999999999645e+00 9.276129999999999895e-10
6.870000000000000107e+00 9.557660000000000680e-10
6.889999999999999680e+00 9.834669999999999913e-10
6.910000000000000142e+00 1.010669999999999985e-09
6.929999999999999716e+00 1.037329999999999974e-09
6.950000000000000178e+00 1.063400000000000071e-09
6.969999999999999751e+00 1.088850000000000019e-09
6.990000000000000213e+00 1.113640000000000096e-09
7.009999999999999787e+00 1.137720000000000079e-09
7.030000000000000249e+00 1.161080000000000089e-09
7.049999999999999822e+00 1.183669999999999905e-09
7.070000000000000284e+00 1.205480000000000060e-09
7.089999999999999858e+00 1.226459999999999919e-09
7.110000000000000320e+00 1.246610000000000103e-09
7.129999999999999893e+00 1.265890000000000061e-09
7.150000000000000355e+00 1.284300000000000001e-09
7.169999999999999929e+00 1.301819999999999957e-09
7.190000000000000391e+00 1.318420000000000086e-09
7.209999999999999964e+00 1.334110000000000059e-09
7.230000000000000426e+00 1.348869999999999913e-09
7.259999999999999787e+00 1.362700000000000061e-09
7.280000000000000249e+00 1.375600000000000089e-09
7.299999999999999822e+00 1.387550000000000032e-09
7.320000000000000284e+00 1.398570000000000062e-09
7.339999999999999858e+00 1.408659999999999973e-09
7.360000000000000320e+00 1.417819999999999970e-09
7.379999999999999893e+00 1.426059999999999933e-09
7.400000000000000355e+00 1.433380000000000069e-09
7.419999999999999929e+00 1.439799999999999929e-09
7.440000000000000391e+00 1.445330000000000012e-09
7.459999999999999964e+00 1.449990000000000077e-09
7.480000000000000426e+00 1.453779999999999916e-09
7.500000000000000000e+00 1.456729999999999994e-09
7.519999999999999574e+00 1.458849999999999982e-09
7.540000000000000036e+00 1.460149999999999967e-09
7.559999999999999609e+00 1.460670000000000086e-09
7.580000000000000071e+00 1.460420000000000009e-09
7.599999999999999645e+00 1.459419999999999909e-09
7.620000000000000107e+00 1.457689999999999957e-09
7.639999999999999680e+00 1.455259999999999998e-09
7.660000000000000142e+00 1.452139999999999909e-09
7.679999999999999716e+00 1.448359999999999949e-09
7.700000000000000178e+00 1.443949999999999961e-09
7.719999999999999751e+00 1.438920000000000031e-09
7.740000000000000213e+00 1.433300000000000003e-09
7.759999999999999787e+00 1.427110000000000048e-09
7.780000000000000249e+00 1.420380000000000011e-09
7.799999999999999822e+00 1.413130000000000061e-09
7.820000000000000284e+00 1.405379999999999959e-09
7.839999999999999858e+00 1.397159999999999961e-09
7.860000000000000320e+00 1.388479999999999945e-09
7.879999999999999893e+00 1.379369999999999963e-09
7.900000000000000355e+00 1.369849999999999979e-09
7.919999999999999929e+00 1.359939999999999959e-09
7.940000000000000391e+00 1.349669999999999952e-09
7.959999999999999964e+00 1.339050000000000044e-09
7.980000000000000426e+00 1.328099999999999994e-09
8.000000000000000000e+00 1.316839999999999973e-09
8.019999999999999574e+00 1.305289999999999946e-09
8.039999999999999147e+00 1.293470000000000084e-09
8.060000000000000497e+00 1.281390000000000059e-09
8.080000000000000071e+00 1.269079999999999923e-09
8.099999999999999645e+00 1.256549999999999967e-09
8.119999999999999218e+00 1.243810000000000071e-09
8.140000000000000568e+00 1.230890000000000079e-09
8.160000000000000142e+00 1.217789999999999990e-09
8.179999999999999716e+00 1.204529999999999975e-09
8.199999999999999289e+00 1.191119999999999915e-09
8.220000000000000639e+00 1.177579999999999981e-09
8.240000000000000213e+00 1.163920000000000050e-09
8.259999999999999787e+00 1.150160000000000090e-09
8.279999999999999361e+00 1.136300000000000098e-09
8.300000000000000711e+00 1.122349999999999955e-09
8.320000000000000284e+00 1.108330000000000039e-09
8.339999999999999858e+00 1.094250000000000021e-09
8.359999999999999432e+00 1.080119999999999988e-09
8.380000000000000782e+00 1.065950000000000026e-09
8.400000000000000355e+00 1.051739999999999927e-09
8.419999999999999929e+00 1.037519999999999949e-09
8.439999999999999503e+00 1.023269999999999921e-09
8.460000000000000853e+00 1.009029999999999978e-09
8.480000000000000426e+00 9.947819999999999672e-10
8.500000000000000000e+00 9.805480000000000761e-10
