# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 1.681559999999999945e-44
4.790000000000000036e+00 5.717300000000000011e-43
4.809999999999999609e+00 1.697949999999999968e-41
4.830000000000000071e+00 4.325849999999999793e-40
4.849999999999999645e+00 9.531260000000000104e-39
4.870000000000000107e+00 1.827960000000000028e-37
4.889999999999999680e+00 3.070960000000000229e-36
4.910000000000000142e+00 4.546749999999999979e-35
4.929999999999999716e+00 5.966130000000000118e-34
4.950000000000000178e+00 6.975889999999999755e-33
4.969999999999999751e+00 7.306469999999999559e-32
4.990000000000000213e+00 6.889699999999999620e-31
5.009999999999999787e+00 5.876139999999999933e-30
5.030000000000000249e+00 4.554060000000000241e-29
5.049999999999999822e+00 3.220740000000000037e-28
5.070000000000000284e+00 2.087369999999999873e-27
5.089999999999999858e+00 1.244529999999999945e-26
5.110000000000000320e+00 6.852419999999999434e-26
5.129999999999999893e+00 3.496610000000000046e-25
5.150000000000000355e+00 1.659350000000000031e-24
5.169999999999999929e+00 7.347029999999999944e-24
5.190000000000000391e+00 3.044769999999999984e-23
5.209999999999999964e+00 1.184509999999999943e-22
5.230000000000000426e+00 4.338439999999999684e-22
5.250000000000000000e+00 1.500010000000000069e-21
5.269999999999999574e+00 4.908690000000000229e-21
5.290000000000000036e+00 1.524180000000000094e-20
5.309999999999999609e+00 4.501209999999999717e-20
5.330000000000000071e+00 1.267109999999999916e-19
5.349999999999999645e+00 3.407569999999999984e-19
5.370000000000000107e+00 8.772529999999999727e-19
5.389999999999999680e+00 2.166219999999999941e-18
5.410000000000000142e+00 5.140289999999999786e-18
5.429999999999999716e+00 1.174269999999999992e-17
5.450000000000000178e+00 2.587019999999999967e-17
5.469999999999999751e+00 5.505370000000000158e-17
5.490000000000000213e+00 1.133440000000000033e-16
5.509999999999999787e+00 2.260979999999999813e-16
5.530000000000000249e+00 4.376270000000000211e-16
5.549999999999999822e+00 8.230189999999999931e-16
5.570000000000000284e+00 1.505809999999999909e-15
5.589999999999999858e+00 2.683690000000000030e-15
5.610000000000000320e+00 4.664689999999999679e-15
5.629999999999999893e+00 7.916400000000000604e-15
5.650000000000000355e+00 1.313160000000000062e-14
5.669999999999999929e+00 2.103690000000000071e-14
5.690000000000000391e+00 3.280369999999999935e-14
5.709999999999999964e+00 5.035940000000000022e-14
5.730000000000000426e+00 7.611330000000000244e-14
5.750000000000000000e+00 1.132719999999999994e-13
5.769999999999999574e+00 1.660169999999999933e-13
5.790000000000000036e+00 2.396990000000000069e-13
5.809999999999999609e+00 3.410499999999999958e-13
5.830000000000000071e+00 4.784110000000000503e-13
5.849999999999999645e+00 6.618919999999999629e-13
5.870000000000000107e+00 9.036899999999999591e-13
5.889999999999999680e+00 1.218190000000000083e-12
5.910000000000000142e+00 1.622230000000000046e-12
5.929999999999999716e+00 2.135280000000000167e-12
5.950000000000000178e+00 2.779519999999999853e-12
5.969999999999999751e+00 3.580119999999999895e-12
5.990000000000000213e+00 4.565309999999999658e-12
6.009999999999999787e+00 5.766429999999999694e-12
6.030000000000000249e+00 7.217940000000000241e-12
6.049999999999999822e+00 8.957549999999999934e-12
6.070000000000000284e+00 1.102610000000000045e-11
6.089999999999999858e+00 1.346739999999999975e-11
6.110000000000000320e+00 1.632789999999999952e-11
6.129999999999999893e+00 1.965649999999999889e-11
6.150000000000000355e+00 2.350410000000000120e-11
6.169999999999999929e+00 2.792299999999999886e-11
6.190000000000000391e+00 3.296620000000000063e-11
6.209999999999999964e+00 3.868709999999999739e-11
6.230000000000000426e+00 4.513820000000000006e-11
6.250000000000000000e+00 5.237000000000000243e-11
6.269999999999999574e+00 6.043080000000000136e-11
6.290000000000000036e+00 6.936510000000000379e-11
6.309999999999999609e+00 7.921360000000000085e-11
6.330000000000000071e+00 9.001049999999999900e-11
6.349999999999999645e+00 1.017850000000000006e-10
6.370000000000000107e+00 1.145579999999999988e-10
6.389999999999999680e+00 1.283440000000000016e-10
6.410000000000000142e+00 1.431499999999999916e-10
6.429999999999999716e+00 1.589740000000000034e-10
6.450000000000000178e+00 1.758049999999999942e-10
6.469999999999999751e+00 1.936240000000000078e-10
6.490000000000000213e+00 2.124039999999999936e-10
6.509999999999999787e+00 2.321099999999999874e-10
6.530000000000000249e+00 2.526990000000000080e-10
6.549999999999999822e+00 2.741219999999999970e-10
6.570000000000000284e+00 2.963200000000000169e-10
6.589999999999999858e+00 3.192330000000000183e-10
6.610000000000000320e+00 3.427929999999999866e-10
6.629999999999999893e+00 3.669289999999999847e-10
6.650000000000000355e+00 3.915659999999999897e-10
6.669999999999999929e+00 4.166249999999999959e-10
6.690000000000000391e+00 4.420300000000000235e-10
6.709999999999999964e+00 4.676990000000000410e-10
6.730000000000000426e+00 4.935520000000000344e-10
6.750000000000000000e+00 5.195079999999999807e-10
6.769999999999999574e+00 5.454900000000000467e-10
6.790000000000000036e+00 5.714209999999999854e-10
6.809999999999999609e+00 5.972249999999999720e-10
6.830000000000000071e+00 6.228300000000000092e-10
6.849999999999999645e+00 6.481670000000000221e-10
6.870000000000000107e+00 6.731719999999999787e-10
6.889999999999999680e+00 6.977809999999999502e-10
6.910000000000000142e+00 7.219350000000000511e-10
6.929999999999999716e+00 7.455820000000000419e-10
6.950000000000000178e+00 7.686710000000000022e-10
6.969999999999999751e+00 7.911550000000000457e-10
6.990000000000000213e+00 8.129920000000000190e-10
7.009999999999999787e+00 8.341460000000000268e-10
7.030000000000000249e+00 8.545799999999999585e-10
7.049999999999999822e+00 8.742659999999999875e-10
7.070000000000000284e+00 8.931779999999999942e-10
7.089999999999999858e+00 9.112929999999999880e-10
7.110000000000000320e+00 9.285920000000000127e-10
7.129999999999999893e+00 9.450589999999999312e-10
7.150000000000000355e+00 9.606840000000000711e-10
7.169999999999999929e+00 9.754549999999999159e-10
7.190000000000000391e+00 9.893689999999999570e-10
7.209999999999999964e+00 1.002419999999999936e-09
7.230000000000000426e+00 1.014610000000000077e-09
7.259999999999999787e+00 1.025940000000000078e-09
7.280000000000000249e+00 1.036409999999999940e-09
7.299999999999999822e+00 1.046029999999999954e-09
7.320000000000000284e+00 1.054810000000000000e-09
7.339999999999999858e+00 1.062750000000000078e-09
7.360000000000000320e+00 1.069869999999999946e-09
7.379999999999999893e+00 1.076189999999999982e-09
7.400000000000000355e+00 1.081709999999999980e-09
7.419999999999999929e+00 1.086449999999999903e-09
7.440000000000000391e+00 1.090429999999999925e-09
7.459999999999999964e+00 1.093659999999999923e-09
7.480000000000000426e+00 1.096169999999999948e-09
7.500000000000000000e+00 1.097970000000000087e-09
7.519999999999999574e+00 1.099089999999999975e-09
7.540000000000000036e+00 1.099539999999999907e-09
7.559999999999999609e+00 1.099340000000000052e-09
7.580000000000000071e+00 1.098509999999999963e-09
7.599999999999999645e+00 1.097089999999999982e-09
7.620000000000000107e+00 1.095070000000000025e-09
7.639999999999999680e+00 1.092499999999999898e-09
7.660000000000000142e+00 1.089390000000000102e-09
7.679999999999999716e+00 1.085759999999999981e-09
7.700000000000000178e+00 1.081629999999999914e-09
7.719999999999999751e+00 1.077029999999999950e-09
7.740000000000000213e+00 1.071969999999999970e-09
7.759999999999999787e+00 1.066480000000000023e-09
7.780000000000000249e+00 1.060580000000000074e-09
7.799999999999999822e+00 1.054280000000000003e-09
7.820000000000000284e+00 1.047610000000000066e-09
7.839999999999999858e+00 1.040590000000000022e-09
7.860000000000000320e+00 1.033229999999999957e-09
7.879999999999999893e+00 1.025559999999999920e-09
7.900000000000000355e+00 1.017589999999999998e-09
7.919999999999999929e+00 1.009339999999999949e-09
7.940000000000000391e+00 1.000829999999999945e-09
7.959999999999999964e+00 9.920750000000000095e-10
7.980000000000000426e+00 9.830899999999999625e-10
8.000000000000000000e+00 9.738920000000000528e-10
8.019999999999999574e+00 9.644970000000000040e-10
8.039999999999999147e+00 9.549189999999999364e-10
8.060000000000000497e+00 9.451739999999999871e-10
8.080000000000000071e+00 9.352749999999999575e-10
8.099999999999999645e+00 9.252349999999999591e-10
8.119999999999999218e+00 9.150690000000000171e-10
8.140000000000000568e+00 9.047870000000000107e-10
8.160000000000000142e+00 8.944020000000000512e-10
8.179999999999999716e+00 8.839260000000000348e-10
8.199999999999999289e+00 8.733690000000000474e-10
8.220000000000000639e+00 8.627429999999999850e-10
8.240000000000000213e+00 8.520580000000000369e-10
8.259999999999999787e+00 8.413219999999999615e-10
8.279999999999999361e+00 8.305469999999999651e-10
8.300000000000000711e+00 8.197400000000000044e-10
8.320000000000000284e+00 8.089090000000000446e-10
8.339999999999999858e+00 7.980639999999999647e-10
8.359999999999999432e+00 7.872110000000000230e-10
8.380000000000000782e+00 7.763589999999999864e-10
8.400000000000000355e+00 7.655140000000000099e-10
8.419999999999999929e+00 7.546820000000000415e-10
8.439999999999999503e+00 7.438710000000000465e-10
8.460000000000000853e+00 7.330859999999999643e-10
8.480000000000000426e+00 7.223310000000000361e-10
8.500000000000000000e+00 7.116140000000000202e-10
