# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 1.258839999999999974e-30
3.520000000000000018e+00 1.224990000000000004e-29
3.540000000000000036e+00 1.076699999999999913e-28
3.560000000000000053e+00 8.587339999999999940e-28
3.580000000000000071e+00 6.242150000000000303e-27
3.600000000000000089e+00 4.152749999999999836e-26
3.620000000000000107e+00 2.538670000000000168e-25
3.640000000000000124e+00 1.431530000000000070e-24
3.660000000000000142e+00 7.473259999999999761e-24
3.680000000000000160e+00 3.624439999999999987e-23
3.700000000000000178e+00 1.638490000000000050e-22
3.720000000000000195e+00 6.926199999999999572e-22
3.740000000000000213e+00 2.746080000000000165e-21
3.759999999999999787e+00 1.024129999999999930e-20
3.779999999999999805e+00 3.602629999999999796e-20
3.799999999999999822e+00 1.198530000000000104e-19
3.819999999999999840e+00 3.780590000000000196e-19
3.839999999999999858e+00 1.133359999999999954e-18
3.859999999999999876e+00 3.236650000000000030e-18
3.879999999999999893e+00 8.824230000000000384e-18
3.899999999999999911e+00 2.301619999999999929e-17
3.919999999999999929e+00 5.754830000000000369e-17
3.939999999999999947e+00 1.381979999999999976e-16
3.959999999999999964e+00 3.193259999999999847e-16
3.979999999999999982e+00 7.111879999999999909e-16
4.000000000000000000e+00 1.529239999999999976e-15
4.019999999999999574e+00 3.179809999999999895e-15
4.040000000000000036e+00 6.403350000000000207e-15
4.059999999999999609e+00 1.250660000000000013e-14
4.080000000000000071e+00 2.372360000000000077e-14
4.099999999999999645e+00 4.376350000000000204e-14
4.120000000000000107e+00 7.861199999999999865e-14
4.139999999999999680e+00 1.376649999999999996e-13
4.160000000000000142e+00 2.352959999999999801e-13
4.179999999999999716e+00 3.929509999999999783e-13
4.200000000000000178e+00 6.295889999999999742e-13
4.219999999999999751e+00 9.457020000000000430e-13
4.240000000000000213e+00 1.416090000000000078e-12
4.259999999999999787e+00 2.110979999999999957e-12
4.280000000000000249e+00 3.127640000000000191e-12
4.299999999999999822e+00 4.597100000000000273e-12
4.320000000000000284e+00 6.693160000000000129e-12
4.339999999999999858e+00 9.638439999999999469e-12
4.360000000000000320e+00 1.371670000000000031e-11
4.379999999999999893e+00 1.927359999999999898e-11
4.400000000000000355e+00 2.673329999999999959e-11
4.419999999999999929e+00 3.659039999999999805e-11
4.440000000000000391e+00 4.943129999999999840e-11
4.459999999999999964e+00 6.591199999999999945e-11
4.480000000000000426e+00 8.678230000000000595e-11
4.500000000000000000e+00 1.128599999999999985e-10
4.519999999999999574e+00 1.450410000000000061e-10
4.540000000000000036e+00 1.842749999999999918e-10
4.559999999999999609e+00 2.315839999999999987e-10
4.580000000000000071e+00 2.880040000000000221e-10
4.599999999999999645e+00 3.546190000000000035e-10
4.620000000000000107e+00 4.325180000000000051e-10
4.639999999999999680e+00 5.227999999999999938e-10
4.660000000000000142e+00 6.265529999999999973e-10
4.679999999999999716e+00 7.448300000000000015e-10
4.700000000000000178e+00 8.786460000000000283e-10
4.719999999999999751e+00 1.029000000000000066e-09
4.740000000000000213e+00 1.196800000000000044e-09
4.769999999999999574e+00 1.382920000000000018e-09
4.790000000000000036e+00 1.588120000000000095e-09
4.809999999999999609e+00 1.813100000000000077e-09
4.830000000000000071e+00 2.058499999999999871e-09
4.849999999999999645e+00 2.324860000000000179e-09
4.870000000000000107e+00 2.612569999999999799e-09
4.889999999999999680e+00 2.922019999999999801e-09
4.910000000000000142e+00 3.253439999999999882e-09
4.929999999999999716e+00 3.606949999999999833e-09
4.950000000000000178e+00 3.982570000000000238e-09
4.969999999999999751e+00 4.380239999999999755e-09
4.990000000000000213e+00 4.799770000000000270e-09
5.009999999999999787e+00 5.240859999999999622e-09
5.030000000000000249e+00 5.703120000000000051e-09
5.049999999999999822e+00 6.186030000000000402e-09
5.070000000000000284e+00 6.688960000000000029e-09
5.089999999999999858e+00 7.211200000000000079e-09
5.110000000000000320e+00 7.751959999999999357e-09
5.129999999999999893e+00 8.310269999999999676e-09
5.150000000000000355e+00 8.885159999999999538e-09
5.169999999999999929e+00 9.475540000000000554e-09
5.190000000000000391e+00 1.008029999999999961e-08
5.209999999999999964e+00 1.069799999999999925e-08
5.230000000000000426e+00 1.132769999999999925e-08
5.250000000000000000e+00 1.196770000000000035e-08
5.269999999999999574e+00 1.261680000000000052e-08
5.290000000000000036e+00 1.327360000000000015e-08
5.309999999999999609e+00 1.393659999999999921e-08
5.330000000000000071e+00 1.460439999999999974e-08
5.349999999999999645e+00 1.527529999999999915e-08
5.370000000000000107e+00 1.594819999999999917e-08
5.389999999999999680e+00 1.662139999999999887e-08
5.410000000000000142e+00 1.729349999999999865e-08
5.429999999999999716e+00 1.796309999999999890e-08
5.450000000000000178e+00 1.862880000000000003e-08
5.469999999999999751e+00 1.928940000000000000e-08
5.490000000000000213e+00 1.994349999999999922e-08
5.509999999999999787e+00 2.058980000000000018e-08
5.530000000000000249e+00 2.122719999999999965e-08
5.549999999999999822e+00 2.185449999999999893e-08
5.570000000000000284e+00 2.247060000000000138e-08
5.589999999999999858e+00 2.307440000000000047e-08
5.610000000000000320e+00 2.366520000000000137e-08
5.629999999999999893e+00 2.424190000000000084e-08
5.650000000000000355e+00 2.480359999999999984e-08
5.669999999999999929e+00 2.534969999999999902e-08
5.690000000000000391e+00 2.587940000000000144e-08
5.709999999999999964e+00 2.639199999999999902e-08
5.730000000000000426e+00 2.688700000000000114e-08
5.750000000000000000e+00 2.736369999999999971e-08
5.769999999999999574e+00 2.782179999999999837e-08
5.790000000000000036e+00 2.826079999999999985e-08
5.809999999999999609e+00 2.868029999999999907e-08
5.830000000000000071e+00 2.908009999999999846e-08
5.849999999999999645e+00 2.945990000000000163e-08
5.870000000000000107e+00 2.981930000000000021e-08
5.889999999999999680e+00 3.015839999999999958e-08
5.910000000000000142e+00 3.047700000000000219e-08
5.929999999999999716e+00 3.077500000000000260e-08
5.950000000000000178e+00 3.105240000000000084e-08
5.969999999999999751e+00 3.130919999999999689e-08
5.990000000000000213e+00 3.154539999999999738e-08
6.009999999999999787e+00 3.176119999999999988e-08
6.030000000000000249e+00 3.195680000000000198e-08
6.049999999999999822e+00 3.213209999999999826e-08
6.070000000000000284e+00 3.228760000000000253e-08
6.089999999999999858e+00 3.242330000000000155e-08
6.110000000000000320e+00 3.253970000000000252e-08
6.129999999999999893e+00 3.263679999999999880e-08
6.150000000000000355e+00 3.271520000000000300e-08
6.169999999999999929e+00 3.277509999999999945e-08
6.190000000000000391e+00 3.281690000000000317e-08
6.209999999999999964e+00 3.284100000000000271e-08
6.230000000000000426e+00 3.284779999999999983e-08
6.250000000000000000e+00 3.283759999999999753e-08
6.269999999999999574e+00 3.281110000000000057e-08
6.290000000000000036e+00 3.276859999999999870e-08
6.309999999999999609e+00 3.271050000000000031e-08
6.330000000000000071e+00 3.263739999999999816e-08
6.349999999999999645e+00 3.254979999999999941e-08
6.370000000000000107e+00 3.244809999999999924e-08
6.389999999999999680e+00 3.233279999999999820e-08
6.410000000000000142e+00 3.220450000000000227e-08
6.429999999999999716e+00 3.206359999999999999e-08
6.450000000000000178e+00 3.191059999999999856e-08
6.469999999999999751e+00 3.174599999999999853e-08
6.490000000000000213e+00 3.157039999999999926e-08
6.509999999999999787e+00 3.138420000000000253e-08
6.530000000000000249e+00 3.118779999999999688e-08
6.549999999999999822e+00 3.098190000000000031e-08
6.570000000000000284e+00 3.076669999999999716e-08
6.589999999999999858e+00 3.054280000000000004e-08
6.610000000000000320e+00 3.031070000000000287e-08
6.629999999999999893e+00 3.007070000000000205e-08
6.650000000000000355e+00 2.982339999999999692e-08
6.669999999999999929e+00 2.956900000000000160e-08
