# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 1.401299999999999954e-45
3.560000000000000053e+00 7.146620000000000322e-44
3.580000000000000071e+00 2.546160000000000144e-42
3.600000000000000089e+00 7.697890000000000002e-41
3.620000000000000107e+00 1.997439999999999973e-39
3.640000000000000124e+00 4.478470000000000212e-38
3.660000000000000142e+00 8.734110000000000276e-37
3.680000000000000160e+00 1.490960000000000129e-35
3.700000000000000178e+00 2.241250000000000058e-34
3.720000000000000195e+00 2.983920000000000112e-33
3.740000000000000213e+00 3.537809999999999964e-32
3.759999999999999787e+00 3.755030000000000065e-31
3.779999999999999805e+00 3.585829999999999916e-30
3.799999999999999822e+00 3.095490000000000174e-29
3.819999999999999840e+00 2.426869999999999848e-28
3.839999999999999858e+00 1.735360000000000082e-27
3.859999999999999876e+00 1.136580000000000016e-26
3.879999999999999893e+00 6.844930000000000401e-26
3.899999999999999911e+00 3.805090000000000035e-25
3.919999999999999929e+00 1.959529999999999861e-24
3.939999999999999947e+00 9.380679999999999925e-24
3.959999999999999964e+00 4.188339999999999988e-23
3.979999999999999982e+00 1.749599999999999954e-22
4.000000000000000000e+00 6.858609999999999545e-22
4.019999999999999574e+00 2.530390000000000169e-21
4.040000000000000036e+00 8.809680000000000250e-21
4.059999999999999609e+00 2.902159999999999812e-20
4.080000000000000071e+00 9.068350000000000409e-20
4.099999999999999645e+00 2.694209999999999914e-19
4.120000000000000107e+00 7.628390000000000244e-19
4.139999999999999680e+00 2.062840000000000034e-18
4.160000000000000142e+00 5.338499999999999751e-18
4.179999999999999716e+00 1.324850000000000003e-17
4.200000000000000178e+00 3.158950000000000282e-17
4.219999999999999751e+00 7.249700000000000489e-17
4.240000000000000213e+00 1.604139999999999971e-16
4.259999999999999787e+00 3.427929999999999971e-16
4.280000000000000249e+00 7.085699999999999945e-16
4.299999999999999822e+00 1.418830000000000022e-15
4.320000000000000284e+00 2.756209999999999875e-15
4.339999999999999858e+00 5.201329999999999659e-15
4.360000000000000320e+00 9.547989999999999966e-15
4.379999999999999893e+00 1.707019999999999879e-14
4.400000000000000355e+00 2.975929999999999745e-14
4.419999999999999929e+00 5.064640000000000192e-14
4.440000000000000391e+00 8.423629999999999974e-14
4.459999999999999964e+00 1.360440000000000058e-13
4.480000000000000426e+00 2.157010000000000015e-13
4.500000000000000000e+00 3.398259999999999901e-13
4.519999999999999574e+00 5.307759999999999994e-13
4.540000000000000036e+00 8.200780000000000322e-13
4.559999999999999609e+00 1.251410000000000016e-12
4.580000000000000071e+00 1.883739999999999807e-12
4.599999999999999645e+00 2.795389999999999865e-12
4.620000000000000107e+00 4.087770000000000060e-12
4.639999999999999680e+00 5.890080000000000283e-12
4.660000000000000142e+00 8.364229999999999793e-12
4.679999999999999716e+00 1.170890000000000073e-11
4.700000000000000178e+00 1.616420000000000013e-11
4.719999999999999751e+00 2.201679999999999965e-11
4.740000000000000213e+00 2.960329999999999847e-11
4.769999999999999574e+00 3.931299999999999778e-11
4.790000000000000036e+00 5.159100000000000181e-11
4.809999999999999609e+00 6.694029999999999579e-11
4.830000000000000071e+00 8.592140000000000586e-11
4.849999999999999645e+00 1.091519999999999970e-10
4.870000000000000107e+00 1.373060000000000064e-10
4.889999999999999680e+00 1.711090000000000085e-10
4.910000000000000142e+00 2.113390000000000081e-10
4.929999999999999716e+00 2.588119999999999744e-10
4.950000000000000178e+00 3.143839999999999868e-10
4.969999999999999751e+00 3.789399999999999860e-10
4.990000000000000213e+00 4.533840000000000238e-10
5.009999999999999787e+00 5.386339999999999620e-10
5.030000000000000249e+00 6.356060000000000073e-10
5.049999999999999822e+00 7.452040000000000045e-10
5.070000000000000284e+00 8.683150000000000150e-10
5.089999999999999858e+00 1.005790000000000101e-09
5.110000000000000320e+00 1.158450000000000068e-09
5.129999999999999893e+00 1.327029999999999914e-09
5.150000000000000355e+00 1.512239999999999939e-09
5.169999999999999929e+00 1.714679999999999915e-09
5.190000000000000391e+00 1.934879999999999837e-09
5.209999999999999964e+00 2.173290000000000050e-09
5.230000000000000426e+00 2.430240000000000078e-09
5.250000000000000000e+00 2.705969999999999911e-09
5.269999999999999574e+00 3.000600000000000164e-09
5.290000000000000036e+00 3.314150000000000183e-09
5.309999999999999609e+00 3.646519999999999935e-09
5.330000000000000071e+00 3.997490000000000017e-09
5.349999999999999645e+00 4.366730000000000284e-09
5.370000000000000107e+00 4.753819999999999617e-09
5.389999999999999680e+00 5.158209999999999706e-09
5.410000000000000142e+00 5.579250000000000146e-09
5.429999999999999716e+00 6.016190000000000087e-09
5.450000000000000178e+00 6.468230000000000110e-09
5.469999999999999751e+00 6.934430000000000010e-09
5.490000000000000213e+00 7.413819999999999944e-09
5.509999999999999787e+00 7.905339999999999504e-09
5.530000000000000249e+00 8.407899999999999472e-09
5.549999999999999822e+00 8.920330000000000773e-09
5.570000000000000284e+00 9.441419999999999849e-09
5.589999999999999858e+00 9.969959999999999763e-09
5.610000000000000320e+00 1.050470000000000075e-08
5.629999999999999893e+00 1.104439999999999962e-08
5.650000000000000355e+00 1.158780000000000004e-08
5.669999999999999929e+00 1.213350000000000075e-08
5.690000000000000391e+00 1.268040000000000018e-08
5.709999999999999964e+00 1.322729999999999960e-08
5.730000000000000426e+00 1.377279999999999942e-08
5.750000000000000000e+00 1.431569999999999928e-08
5.769999999999999574e+00 1.485510000000000012e-08
5.790000000000000036e+00 1.538959999999999905e-08
5.809999999999999609e+00 1.591820000000000155e-08
5.830000000000000071e+00 1.643990000000000151e-08
5.849999999999999645e+00 1.695370000000000113e-08
5.870000000000000107e+00 1.745859999999999925e-08
5.889999999999999680e+00 1.795370000000000015e-08
5.910000000000000142e+00 1.843820000000000029e-08
5.929999999999999716e+00 1.891129999999999941e-08
5.950000000000000178e+00 1.937220000000000058e-08
5.969999999999999751e+00 1.982030000000000113e-08
5.990000000000000213e+00 2.025489999999999961e-08
6.009999999999999787e+00 2.067549999999999876e-08
6.030000000000000249e+00 2.108149999999999922e-08
6.049999999999999822e+00 2.147249999999999921e-08
6.070000000000000284e+00 2.184800000000000148e-08
6.089999999999999858e+00 2.220769999999999973e-08
6.110000000000000320e+00 2.255139999999999969e-08
6.129999999999999893e+00 2.287860000000000080e-08
6.150000000000000355e+00 2.318929999999999973e-08
6.169999999999999929e+00 2.348329999999999893e-08
6.190000000000000391e+00 2.376049999999999958e-08
6.209999999999999964e+00 2.402079999999999960e-08
6.230000000000000426e+00 2.426410000000000020e-08
6.250000000000000000e+00 2.449059999999999895e-08
6.269999999999999574e+00 2.470029999999999917e-08
6.290000000000000036e+00 2.489320000000000085e-08
6.309999999999999609e+00 2.506960000000000037e-08
6.330000000000000071e+00 2.522950000000000102e-08
6.349999999999999645e+00 2.537319999999999919e-08
6.370000000000000107e+00 2.550089999999999907e-08
6.389999999999999680e+00 2.561290000000000034e-08
6.410000000000000142e+00 2.570949999999999937e-08
6.429999999999999716e+00 2.579090000000000035e-08
6.450000000000000178e+00 2.585749999999999844e-08
6.469999999999999751e+00 2.590959999999999995e-08
6.490000000000000213e+00 2.594760000000000002e-08
6.509999999999999787e+00 2.597179999999999835e-08
6.530000000000000249e+00 2.598260000000000000e-08
6.549999999999999822e+00 2.598049999999999895e-08
6.570000000000000284e+00 2.596580000000000147e-08
6.589999999999999858e+00 2.593880000000000063e-08
6.610000000000000320e+00 2.590009999999999910e-08
6.629999999999999893e+00 2.584999999999999986e-08
6.650000000000000355e+00 2.578890000000000139e-08
6.669999999999999929e+00 2.571719999999999883e-08
6.690000000000000391e+00 2.563539999999999938e-08
6.709999999999999964e+00 2.554370000000000062e-08
6.730000000000000426e+00 2.544259999999999980e-08
6.750000000000000000e+00 2.533239999999999991e-08
6.769999999999999574e+00 2.521360000000000152e-08
6.790000000000000036e+00 2.508650000000000100e-08
6.809999999999999609e+00 2.495140000000000133e-08
6.830000000000000071e+00 2.480870000000000099e-08
6.849999999999999645e+00 2.465869999999999964e-08
6.870000000000000107e+00 2.450170000000000029e-08
6.889999999999999680e+00 2.433810000000000139e-08
6.910000000000000142e+00 2.416810000000000053e-08
6.929999999999999716e+00 2.399200000000000070e-08
6.950000000000000178e+00 2.381020000000000035e-08
6.969999999999999751e+00 2.362269999999999950e-08
6.990000000000000213e+00 2.342999999999999871e-08
7.009999999999999787e+00 2.323229999999999886e-08
7.030000000000000249e+00 2.302980000000000085e-08
7.049999999999999822e+00 2.282280000000000105e-08
7.070000000000000284e+00 2.261140000000000155e-08
7.089999999999999858e+00 2.239589999999999873e-08
7.110000000000000320e+00 2.217650000000000009e-08
7.129999999999999893e+00 2.195339999999999990e-08
7.150000000000000355e+00 2.172679999999999905e-08
7.169999999999999929e+00 2.149700000000000052e-08
7.190000000000000391e+00 2.126400000000000102e-08
7.209999999999999964e+00 2.102810000000000021e-08
7.230000000000000426e+00 2.078949999999999898e-08
7.259999999999999787e+00 2.054840000000000154e-08
7.280000000000000249e+00 2.030490000000000006e-08
7.299999999999999822e+00 2.005919999999999873e-08
7.320000000000000284e+00 1.981149999999999843e-08
7.339999999999999858e+00 1.956200000000000007e-08
7.360000000000000320e+00 1.931090000000000122e-08
7.379999999999999893e+00 1.905830000000000066e-08
7.400000000000000355e+00 1.880439999999999929e-08
7.419999999999999929e+00 1.854940000000000131e-08
7.440000000000000391e+00 1.829339999999999889e-08
7.459999999999999964e+00 1.803670000000000163e-08
7.480000000000000426e+00 1.777939999999999839e-08
7.500000000000000000e+00 1.752160000000000120e-08
7.519999999999999574e+00 1.726359999999999982e-08
7.540000000000000036e+00 1.700549999999999964e-08
7.559999999999999609e+00 1.674739999999999947e-08
7.580000000000000071e+00 1.648959999999999897e-08
7.599999999999999645e+00 1.623210000000000147e-08
7.620000000000000107e+00 1.597520000000000001e-08
7.639999999999999680e+00 1.571900000000000000e-08
7.660000000000000142e+00 1.546360000000000024e-08
7.679999999999999716e+00 1.520930000000000041e-08
7.700000000000000178e+00 1.495599999999999840e-08
7.719999999999999751e+00 1.470400000000000051e-08
7.740000000000000213e+00 1.445349999999999936e-08
7.759999999999999787e+00 1.420439999999999946e-08
7.780000000000000249e+00 1.395709999999999929e-08
7.799999999999999822e+00 1.371150000000000006e-08
7.820000000000000284e+00 1.346770000000000055e-08
7.839999999999999858e+00 1.322600000000000044e-08
7.860000000000000320e+00 1.298639999999999974e-08
7.879999999999999893e+00 1.274900000000000054e-08
7.900000000000000355e+00 1.251379999999999953e-08
7.919999999999999929e+00 1.228099999999999926e-08
7.940000000000000391e+00 1.205070000000000017e-08
7.959999999999999964e+00 1.182290000000000060e-08
7.980000000000000426e+00 1.159769999999999936e-08
8.000000000000000000e+00 1.137520000000000018e-08
8.019999999999999574e+00 1.115539999999999976e-08
8.039999999999999147e+00 1.093829999999999975e-08
8.060000000000000497e+00 1.072409999999999939e-08
8.080000000000000071e+00 1.051269999999999990e-08
8.099999999999999645e+00 1.030430000000000049e-08
8.119999999999999218e+00 1.009870000000000029e-08
8.140000000000000568e+00 9.896159999999999459e-09
8.160000000000000142e+00 9.696559999999999446e-09
8.179999999999999716e+00 9.499959999999999525e-09
8.199999999999999289e+00 9.306379999999999455e-09
8.220000000000000639e+00 9.115819999999999236e-09
8.240000000000000213e+00 8.928310000000000160e-09
8.259999999999999787e+00 8.743830000000000813e-09
8.279999999999999361e+00 8.562389999999999422e-09
8.300000000000000711e+00 8.383979999999999414e-09
8.320000000000000284e+00 8.208600000000000791e-09
8.339999999999999858e+00 8.036230000000000486e-09
8.359999999999999432e+00 7.866870000000000153e-09
8.380000000000000782e+00 7.700500000000000033e-09
8.400000000000000355e+00 7.537110000000000249e-09
8.419999999999999929e+00 7.376670000000000336e-09
8.439999999999999503e+00 7.219169999999999587e-09
8.460000000000000853e+00 7.064570000000000142e-09
8.480000000000000426e+00 6.912849999999999760e-09
8.500000000000000000e+00 6.763990000000000338e-09
