# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 2.382210000000000234e-44
3.919999999999999929e+00 8.617989999999999848e-43
3.939999999999999947e+00 2.675359999999999769e-41
3.959999999999999964e+00 7.115350000000000138e-40
3.979999999999999982e+00 1.633339999999999930e-38
4.000000000000000000e+00 3.257780000000000075e-37
4.019999999999999574e+00 5.682019999999999674e-36
4.040000000000000036e+00 8.717830000000000163e-35
4.059999999999999609e+00 1.183619999999999958e-33
4.080000000000000071e+00 1.429740000000000042e-32
4.099999999999999645e+00 1.544780000000000075e-31
4.120000000000000107e+00 1.500549999999999930e-30
4.139999999999999680e+00 1.316669999999999862e-29
4.160000000000000142e+00 1.048370000000000028e-28
4.179999999999999716e+00 7.608360000000000364e-28
4.200000000000000178e+00 5.054150000000000137e-27
4.219999999999999751e+00 3.085350000000000264e-26
4.240000000000000213e+00 1.737370000000000003e-25
4.259999999999999787e+00 9.057810000000000004e-25
4.280000000000000249e+00 4.387539999999999718e-24
4.299999999999999822e+00 1.981060000000000140e-23
4.320000000000000284e+00 8.364849999999999688e-23
4.339999999999999858e+00 3.312809999999999791e-22
4.360000000000000320e+00 1.234219999999999911e-21
4.379999999999999893e+00 4.337300000000000289e-21
4.400000000000000355e+00 1.441619999999999984e-20
4.419999999999999929e+00 4.543109999999999736e-20
4.440000000000000391e+00 1.360809999999999993e-19
4.459999999999999964e+00 3.882909999999999991e-19
4.480000000000000426e+00 1.057809999999999997e-18
4.500000000000000000e+00 2.756970000000000053e-18
4.519999999999999574e+00 6.888469999999999986e-18
4.540000000000000036e+00 1.653060000000000046e-17
4.559999999999999609e+00 3.817160000000000110e-17
4.580000000000000071e+00 8.496009999999999830e-17
4.599999999999999645e+00 1.825790000000000082e-16
4.620000000000000107e+00 3.794219999999999953e-16
4.639999999999999680e+00 7.636439999999999897e-16
4.660000000000000142e+00 1.490720000000000092e-15
4.679999999999999716e+00 2.826369999999999816e-15
4.700000000000000178e+00 5.211419999999999789e-15
4.719999999999999751e+00 9.356849999999999783e-15
4.740000000000000213e+00 1.637869999999999929e-14
4.769999999999999574e+00 2.798289999999999959e-14
4.790000000000000036e+00 4.671400000000000295e-14
4.809999999999999609e+00 7.555630000000000542e-14
4.830000000000000071e+00 1.174390000000000058e-13
4.849999999999999645e+00 1.804260000000000079e-13
4.870000000000000107e+00 2.737919999999999808e-13
4.889999999999999680e+00 4.101260000000000035e-13
4.910000000000000142e+00 6.061740000000000180e-13
4.929999999999999716e+00 8.836819999999999700e-13
4.950000000000000178e+00 1.270369999999999968e-12
4.969999999999999751e+00 1.801000000000000101e-12
4.990000000000000213e+00 2.518159999999999844e-12
5.009999999999999787e+00 3.473099999999999812e-12
5.030000000000000249e+00 4.726739999999999709e-12
5.049999999999999822e+00 6.349800000000000267e-12
5.070000000000000284e+00 8.423370000000000286e-12
5.089999999999999858e+00 1.103940000000000080e-11
5.110000000000000320e+00 1.429929999999999987e-11
5.129999999999999893e+00 1.831449999999999916e-11
5.150000000000000355e+00 2.320629999999999978e-11
5.169999999999999929e+00 2.910279999999999914e-11
5.190000000000000391e+00 3.613999999999999747e-11
5.209999999999999964e+00 4.445850000000000085e-11
5.230000000000000426e+00 5.420320000000000314e-11
5.250000000000000000e+00 6.552109999999999876e-11
5.269999999999999574e+00 7.855849999999999812e-11
5.290000000000000036e+00 9.346230000000000253e-11
5.309999999999999609e+00 1.103739999999999980e-10
5.330000000000000071e+00 1.294300000000000121e-10
5.349999999999999645e+00 1.507600000000000046e-10
5.370000000000000107e+00 1.744870000000000097e-10
5.389999999999999680e+00 2.007209999999999886e-10
5.410000000000000142e+00 2.295609999999999893e-10
5.429999999999999716e+00 2.610929999999999999e-10
5.450000000000000178e+00 2.953920000000000176e-10
5.469999999999999751e+00 3.325129999999999973e-10
5.490000000000000213e+00 3.724979999999999890e-10
5.509999999999999787e+00 4.153709999999999918e-10
5.530000000000000249e+00 4.611450000000000138e-10
5.549999999999999822e+00 5.098080000000000039e-10
5.570000000000000284e+00 5.613319999999999802e-10
5.589999999999999858e+00 6.156779999999999702e-10
5.610000000000000320e+00 6.727859999999999761e-10
5.629999999999999893e+00 7.325779999999999491e-10
5.650000000000000355e+00 7.949620000000000306e-10
5.669999999999999929e+00 8.598320000000000351e-10
5.690000000000000391e+00 9.270689999999999757e-10
5.709999999999999964e+00 9.965370000000000299e-10
5.730000000000000426e+00 1.068089999999999979e-09
5.750000000000000000e+00 1.141570000000000019e-09
5.769999999999999574e+00 1.216810000000000061e-09
5.790000000000000036e+00 1.293630000000000009e-09
5.809999999999999609e+00 1.371860000000000058e-09
5.830000000000000071e+00 1.451299999999999941e-09
5.849999999999999645e+00 1.531769999999999974e-09
5.870000000000000107e+00 1.613070000000000097e-09
5.889999999999999680e+00 1.695000000000000040e-09
5.910000000000000142e+00 1.777359999999999950e-09
5.929999999999999716e+00 1.859969999999999937e-09
5.950000000000000178e+00 1.942620000000000060e-09
5.969999999999999751e+00 2.025130000000000016e-09
5.990000000000000213e+00 2.107309999999999829e-09
6.009999999999999787e+00 2.188980000000000024e-09
6.030000000000000249e+00 2.269950000000000004e-09
6.049999999999999822e+00 2.350069999999999930e-09
6.070000000000000284e+00 2.429180000000000084e-09
6.089999999999999858e+00 2.507100000000000162e-09
6.110000000000000320e+00 2.583700000000000084e-09
6.129999999999999893e+00 2.658839999999999888e-09
6.150000000000000355e+00 2.732389999999999908e-09
6.169999999999999929e+00 2.804220000000000063e-09
6.190000000000000391e+00 2.874220000000000028e-09
6.209999999999999964e+00 2.942290000000000187e-09
6.230000000000000426e+00 3.008330000000000095e-09
6.250000000000000000e+00 3.072259999999999894e-09
6.269999999999999574e+00 3.133979999999999966e-09
6.290000000000000036e+00 3.193440000000000090e-09
6.309999999999999609e+00 3.250559999999999992e-09
6.330000000000000071e+00 3.305310000000000035e-09
6.349999999999999645e+00 3.357619999999999827e-09
6.370000000000000107e+00 3.407449999999999850e-09
6.389999999999999680e+00 3.454779999999999934e-09
6.410000000000000142e+00 3.499580000000000027e-09
6.429999999999999716e+00 3.541839999999999838e-09
6.450000000000000178e+00 3.581530000000000142e-09
6.469999999999999751e+00 3.618650000000000113e-09
6.490000000000000213e+00 3.653200000000000165e-09
6.509999999999999787e+00 3.685200000000000054e-09
6.530000000000000249e+00 3.714639999999999903e-09
6.549999999999999822e+00 3.741550000000000175e-09
6.570000000000000284e+00 3.765940000000000336e-09
6.589999999999999858e+00 3.787840000000000022e-09
6.610000000000000320e+00 3.807279999999999699e-09
6.629999999999999893e+00 3.824299999999999708e-09
6.650000000000000355e+00 3.838929999999999688e-09
6.669999999999999929e+00 3.851200000000000101e-09
6.690000000000000391e+00 3.861180000000000102e-09
6.709999999999999964e+00 3.868900000000000154e-09
6.730000000000000426e+00 3.874409999999999652e-09
6.750000000000000000e+00 3.877770000000000352e-09
6.769999999999999574e+00 3.879029999999999994e-09
6.790000000000000036e+00 3.878239999999999627e-09
6.809999999999999609e+00 3.875470000000000060e-09
6.830000000000000071e+00 3.870779999999999738e-09
6.849999999999999645e+00 3.864219999999999711e-09
6.870000000000000107e+00 3.855859999999999959e-09
6.889999999999999680e+00 3.845749999999999877e-09
6.910000000000000142e+00 3.833970000000000151e-09
6.929999999999999716e+00 3.820570000000000177e-09
6.950000000000000178e+00 3.805629999999999813e-09
6.969999999999999751e+00 3.789190000000000230e-09
6.990000000000000213e+00 3.771329999999999632e-09
7.009999999999999787e+00 3.752099999999999895e-09
7.030000000000000249e+00 3.731570000000000174e-09
7.049999999999999822e+00 3.709800000000000155e-09
7.070000000000000284e+00 3.686840000000000061e-09
7.089999999999999858e+00 3.662759999999999871e-09
7.110000000000000320e+00 3.637620000000000101e-09
7.129999999999999893e+00 3.611459999999999852e-09
7.150000000000000355e+00 3.584340000000000053e-09
7.169999999999999929e+00 3.556319999999999978e-09
7.190000000000000391e+00 3.527439999999999970e-09
7.209999999999999964e+00 3.497760000000000131e-09
7.230000000000000426e+00 3.467319999999999975e-09
7.259999999999999787e+00 3.436170000000000140e-09
7.280000000000000249e+00 3.404350000000000140e-09
7.299999999999999822e+00 3.371910000000000198e-09
7.320000000000000284e+00 3.338889999999999830e-09
7.339999999999999858e+00 3.305319999999999914e-09
7.360000000000000320e+00 3.271249999999999845e-09
7.379999999999999893e+00 3.236710000000000086e-09
7.400000000000000355e+00 3.201740000000000154e-09
7.419999999999999929e+00 3.166370000000000099e-09
7.440000000000000391e+00 3.130629999999999973e-09
7.459999999999999964e+00 3.094549999999999824e-09
7.480000000000000426e+00 3.058169999999999997e-09
7.500000000000000000e+00 3.021509999999999836e-09
7.519999999999999574e+00 2.984610000000000098e-09
7.540000000000000036e+00 2.947479999999999835e-09
7.559999999999999609e+00 2.910149999999999923e-09
7.580000000000000071e+00 2.872659999999999880e-09
7.599999999999999645e+00 2.835019999999999998e-09
7.620000000000000107e+00 2.797250000000000034e-09
7.639999999999999680e+00 2.759389999999999919e-09
7.660000000000000142e+00 2.721449999999999944e-09
7.679999999999999716e+00 2.683449999999999869e-09
7.700000000000000178e+00 2.645430000000000035e-09
7.719999999999999751e+00 2.607390000000000030e-09
7.740000000000000213e+00 2.569359999999999904e-09
7.759999999999999787e+00 2.531359999999999828e-09
7.780000000000000249e+00 2.493400000000000096e-09
7.799999999999999822e+00 2.455519999999999809e-09
7.820000000000000284e+00 2.417719999999999795e-09
7.839999999999999858e+00 2.380030000000000104e-09
7.860000000000000320e+00 2.342470000000000080e-09
7.879999999999999893e+00 2.305040000000000138e-09
7.900000000000000355e+00 2.267779999999999793e-09
7.919999999999999929e+00 2.230689999999999873e-09
7.940000000000000391e+00 2.193790000000000135e-09
7.959999999999999964e+00 2.157099999999999923e-09
7.980000000000000426e+00 2.120639999999999824e-09
8.000000000000000000e+00 2.084420000000000129e-09
8.019999999999999574e+00 2.048460000000000183e-09
8.039999999999999147e+00 2.012759999999999985e-09
8.060000000000000497e+00 1.977340000000000122e-09
8.080000000000000071e+00 1.942219999999999937e-09
8.099999999999999645e+00 1.907410000000000137e-09
8.119999999999999218e+00 1.872920000000000187e-09
8.140000000000000568e+00 1.838759999999999966e-09
8.160000000000000142e+00 1.804939999999999973e-09
8.179999999999999716e+00 1.771470000000000088e-09
8.199999999999999289e+00 1.738370000000000067e-09
8.220000000000000639e+00 1.705639999999999913e-09
8.240000000000000213e+00 1.673280000000000037e-09
8.259999999999999787e+00 1.641309999999999991e-09
8.279999999999999361e+00 1.609740000000000068e-09
8.300000000000000711e+00 1.578559999999999975e-09
8.320000000000000284e+00 1.547790000000000091e-09
8.339999999999999858e+00 1.517430000000000001e-09
8.359999999999999432e+00 1.487489999999999999e-09
8.380000000000000782e+00 1.457959999999999999e-09
8.400000000000000355e+00 1.428859999999999965e-09
8.419999999999999929e+00 1.400189999999999897e-09
8.439999999999999503e+00 1.371939999999999917e-09
8.460000000000000853e+00 1.344119999999999904e-09
8.480000000000000426e+00 1.316730000000000064e-09
8.500000000000000000e+00 1.289780000000000069e-09
