# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 4.393300000000000222e-20
3.520000000000000018e+00 1.595939999999999941e-19
3.540000000000000036e+00 5.474910000000000360e-19
3.560000000000000053e+00 1.778270000000000014e-18
3.580000000000000071e+00 5.482199999999999995e-18
3.600000000000000089e+00 1.607930000000000041e-17
3.620000000000000107e+00 4.496880000000000064e-17
3.640000000000000124e+00 1.201780000000000026e-16
3.660000000000000142e+00 3.075340000000000093e-16
3.680000000000000160e+00 7.550400000000000376e-16
3.700000000000000178e+00 1.781830000000000004e-15
3.720000000000000195e+00 4.049100000000000261e-15
3.740000000000000213e+00 8.875330000000000589e-15
3.759999999999999787e+00 1.878169999999999988e-14
3.779999999999999805e+00 3.837180000000000241e-14
3.799999999999999822e+00 7.602969999999999611e-14
3.819999999999999840e+00 1.462859999999999888e-13
3.839999999999999858e+00 2.736350000000000250e-13
3.859999999999999876e+00 4.982189999999999999e-13
3.879999999999999893e+00 8.839509999999999561e-13
3.899999999999999911e+00 1.529969999999999993e-12
3.919999999999999929e+00 2.586070000000000107e-12
3.939999999999999947e+00 4.273150000000000225e-12
3.959999999999999964e+00 6.768629999999999604e-12
3.979999999999999982e+00 1.047180000000000068e-11
4.000000000000000000e+00 1.597450000000000065e-11
4.019999999999999574e+00 2.402269999999999941e-11
4.040000000000000036e+00 3.560390000000000099e-11
4.059999999999999609e+00 5.199949999999999709e-11
4.080000000000000071e+00 7.484230000000000634e-11
4.099999999999999645e+00 1.061669999999999938e-10
4.120000000000000107e+00 1.484619999999999884e-10
4.139999999999999680e+00 2.047160000000000094e-10
4.160000000000000142e+00 2.784440000000000054e-10
4.179999999999999716e+00 3.737209999999999857e-10
4.200000000000000178e+00 4.951859999999999897e-10
4.219999999999999751e+00 6.480309999999999928e-10
4.240000000000000213e+00 8.379629999999999941e-10
4.259999999999999787e+00 1.071160000000000052e-09
4.280000000000000249e+00 1.354269999999999915e-09
4.299999999999999822e+00 1.694180000000000037e-09
4.320000000000000284e+00 2.098130000000000074e-09
4.339999999999999858e+00 2.573380000000000062e-09
4.360000000000000320e+00 3.127310000000000029e-09
4.379999999999999893e+00 3.767199999999999978e-09
4.400000000000000355e+00 4.500049999999999985e-09
4.419999999999999929e+00 5.332569999999999919e-09
