# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 7.006489999999999517e-45
4.320000000000000284e+00 2.606420000000000004e-43
4.339999999999999858e+00 8.882830000000000400e-42
4.360000000000000320e+00 2.588519999999999998e-40
4.379999999999999893e+00 6.483450000000000575e-39
4.400000000000000355e+00 1.405539999999999905e-37
4.419999999999999929e+00 2.654209999999999883e-36
4.440000000000000391e+00 4.393960000000000236e-35
4.459999999999999964e+00 6.413930000000000408e-34
4.480000000000000426e+00 8.303579999999999416e-33
4.500000000000000000e+00 9.584869999999999826e-32
4.519999999999999574e+00 9.917029999999999776e-31
4.540000000000000036e+00 9.241799999999999980e-30
4.559999999999999609e+00 7.794840000000000337e-29
4.580000000000000071e+00 5.976520000000000008e-28
4.599999999999999645e+00 4.183990000000000093e-27
4.620000000000000107e+00 2.685229999999999804e-26
4.639999999999999680e+00 1.586150000000000055e-25
4.660000000000000142e+00 8.656130000000000186e-25
4.679999999999999716e+00 4.379849999999999767e-24
4.700000000000000178e+00 2.061660000000000022e-23
4.719999999999999751e+00 9.057919999999999627e-23
4.740000000000000213e+00 3.726189999999999961e-22
4.769999999999999574e+00 1.439459999999999998e-21
4.790000000000000036e+00 5.236669999999999696e-21
4.809999999999999609e+00 1.798969999999999919e-20
4.830000000000000071e+00 5.851149999999999917e-20
4.849999999999999645e+00 1.806200000000000113e-19
4.870000000000000107e+00 5.304159999999999747e-19
4.889999999999999680e+00 1.485190000000000068e-18
4.910000000000000142e+00 3.973789999999999869e-18
4.929999999999999716e+00 1.018050000000000064e-17
4.950000000000000178e+00 2.502169999999999991e-17
4.969999999999999751e+00 5.911159999999999599e-17
4.990000000000000213e+00 1.344680000000000089e-16
5.009999999999999787e+00 2.950430000000000100e-16
5.030000000000000249e+00 6.254490000000000190e-16
5.049999999999999822e+00 1.282919999999999950e-15
5.070000000000000284e+00 2.550190000000000128e-15
5.089999999999999858e+00 4.919379999999999879e-15
5.110000000000000320e+00 9.221780000000000528e-15
5.129999999999999893e+00 1.682039999999999856e-14
5.150000000000000355e+00 2.988970000000000289e-14
5.169999999999999929e+00 5.180539999999999729e-14
5.190000000000000391e+00 8.767879999999999996e-14
5.209999999999999964e+00 1.450569999999999998e-13
5.230000000000000426e+00 2.322510000000000168e-13
5.250000000000000000e+00 3.632839999999999796e-13
5.269999999999999574e+00 5.585499999999999777e-13
5.290000000000000036e+00 8.443589999999999770e-13
5.309999999999999609e+00 1.255430000000000034e-12
5.330000000000000071e+00 1.836600000000000070e-12
5.349999999999999645e+00 2.644839999999999866e-12
5.370000000000000107e+00 3.750889999999999984e-12
5.389999999999999680e+00 5.241240000000000394e-12
5.410000000000000142e+00 7.219619999999999887e-12
5.429999999999999716e+00 9.808370000000000544e-12
5.450000000000000178e+00 1.314950000000000006e-11
5.469999999999999751e+00 1.740490000000000069e-11
5.490000000000000213e+00 2.275640000000000025e-11
5.509999999999999787e+00 2.940510000000000039e-11
5.530000000000000249e+00 3.757060000000000311e-11
5.549999999999999822e+00 4.748779999999999885e-11
5.570000000000000284e+00 5.940519999999999975e-11
5.589999999999999858e+00 7.358230000000000242e-11
5.610000000000000320e+00 9.028579999999999804e-11
5.629999999999999893e+00 1.097840000000000032e-10
5.650000000000000355e+00 1.323460000000000050e-10
5.669999999999999929e+00 1.582330000000000056e-10
5.690000000000000391e+00 1.877000000000000084e-10
5.709999999999999964e+00 2.209850000000000129e-10
5.730000000000000426e+00 2.583059999999999763e-10
5.750000000000000000e+00 2.998630000000000118e-10
5.769999999999999574e+00 3.458309999999999920e-10
5.790000000000000036e+00 3.963499999999999806e-10
5.809999999999999609e+00 4.515349999999999819e-10
5.830000000000000071e+00 5.114669999999999668e-10
5.849999999999999645e+00 5.761909999999999596e-10
5.870000000000000107e+00 6.457119999999999515e-10
5.889999999999999680e+00 7.200079999999999604e-10
5.910000000000000142e+00 7.990159999999999631e-10
5.929999999999999716e+00 8.826370000000000406e-10
5.950000000000000178e+00 9.707369999999999742e-10
5.969999999999999751e+00 1.063149999999999994e-09
5.990000000000000213e+00 1.159689999999999952e-09
6.009999999999999787e+00 1.260119999999999987e-09
6.030000000000000249e+00 1.364199999999999901e-09
6.049999999999999822e+00 1.471640000000000100e-09
6.070000000000000284e+00 1.582169999999999924e-09
6.089999999999999858e+00 1.695449999999999972e-09
6.110000000000000320e+00 1.811170000000000064e-09
6.129999999999999893e+00 1.928980000000000095e-09
6.150000000000000355e+00 2.048540000000000042e-09
6.169999999999999929e+00 2.169500000000000005e-09
6.190000000000000391e+00 2.291480000000000032e-09
6.209999999999999964e+00 2.414159999999999861e-09
6.230000000000000426e+00 2.537159999999999953e-09
6.250000000000000000e+00 2.660139999999999874e-09
6.269999999999999574e+00 2.782760000000000015e-09
6.290000000000000036e+00 2.904689999999999820e-09
6.309999999999999609e+00 3.025599999999999974e-09
6.330000000000000071e+00 3.145199999999999851e-09
6.349999999999999645e+00 3.263179999999999892e-09
6.370000000000000107e+00 3.379260000000000178e-09
6.389999999999999680e+00 3.493199999999999890e-09
6.410000000000000142e+00 3.604740000000000107e-09
6.429999999999999716e+00 3.713660000000000181e-09
6.450000000000000178e+00 3.819740000000000295e-09
6.469999999999999751e+00 3.922809999999999609e-09
6.490000000000000213e+00 4.022679999999999596e-09
6.509999999999999787e+00 4.119199999999999589e-09
6.530000000000000249e+00 4.212229999999999629e-09
6.549999999999999822e+00 4.301670000000000098e-09
6.570000000000000284e+00 4.387390000000000087e-09
6.589999999999999858e+00 4.469319999999999617e-09
6.610000000000000320e+00 4.547390000000000362e-09
6.629999999999999893e+00 4.621539999999999739e-09
6.650000000000000355e+00 4.691729999999999886e-09
6.669999999999999929e+00 4.757930000000000340e-09
6.690000000000000391e+00 4.820119999999999688e-09
6.709999999999999964e+00 4.878310000000000290e-09
6.730000000000000426e+00 4.932489999999999787e-09
6.750000000000000000e+00 4.982690000000000296e-09
6.769999999999999574e+00 5.028929999999999921e-09
6.790000000000000036e+00 5.071249999999999833e-09
6.809999999999999609e+00 5.109690000000000374e-09
6.830000000000000071e+00 5.144300000000000113e-09
6.849999999999999645e+00 5.175139999999999978e-09
6.870000000000000107e+00 5.202270000000000069e-09
6.889999999999999680e+00 5.225760000000000367e-09
6.910000000000000142e+00 5.245670000000000147e-09
6.929999999999999716e+00 5.262099999999999851e-09
6.950000000000000178e+00 5.275120000000000288e-09
6.969999999999999751e+00 5.284820000000000368e-09
6.990000000000000213e+00 5.291279999999999951e-09
7.009999999999999787e+00 5.294589999999999601e-09
7.030000000000000249e+00 5.294839999999999885e-09
7.049999999999999822e+00 5.292140000000000297e-09
7.070000000000000284e+00 5.286569999999999871e-09
7.089999999999999858e+00 5.278239999999999756e-09
7.110000000000000320e+00 5.267229999999999811e-09
7.129999999999999893e+00 5.253650000000000361e-09
7.150000000000000355e+00 5.237590000000000315e-09
7.169999999999999929e+00 5.219159999999999997e-09
7.190000000000000391e+00 5.198449999999999972e-09
7.209999999999999964e+00 5.175559999999999858e-09
7.230000000000000426e+00 5.150590000000000098e-09
7.259999999999999787e+00 5.123640000000000310e-09
7.280000000000000249e+00 5.094790000000000353e-09
7.299999999999999822e+00 5.064139999999999844e-09
7.320000000000000284e+00 5.031790000000000054e-09
7.339999999999999858e+00 4.997820000000000015e-09
7.360000000000000320e+00 4.962340000000000051e-09
7.379999999999999893e+00 4.925410000000000262e-09
7.400000000000000355e+00 4.887130000000000266e-09
7.419999999999999929e+00 4.847579999999999922e-09
7.440000000000000391e+00 4.806849999999999794e-09
7.459999999999999964e+00 4.765009999999999865e-09
7.480000000000000426e+00 4.722130000000000112e-09
7.500000000000000000e+00 4.678300000000000275e-09
7.519999999999999574e+00 4.633569999999999748e-09
7.540000000000000036e+00 4.588029999999999924e-09
7.559999999999999609e+00 4.541730000000000197e-09
7.580000000000000071e+00 4.494749999999999600e-09
7.599999999999999645e+00 4.447130000000000131e-09
7.620000000000000107e+00 4.398949999999999993e-09
7.639999999999999680e+00 4.350250000000000358e-09
7.660000000000000142e+00 4.301089999999999672e-09
7.679999999999999716e+00 4.251509999999999932e-09
7.700000000000000178e+00 4.201570000000000412e-09
7.719999999999999751e+00 4.151319999999999681e-09
7.740000000000000213e+00 4.100789999999999857e-09
7.759999999999999787e+00 4.050030000000000334e-09
7.780000000000000249e+00 3.999079999999999801e-09
7.799999999999999822e+00 3.947970000000000378e-09
7.820000000000000284e+00 3.896739999999999925e-09
7.839999999999999858e+00 3.845419999999999734e-09
7.860000000000000320e+00 3.794040000000000270e-09
7.879999999999999893e+00 3.742640000000000220e-09
7.900000000000000355e+00 3.691240000000000170e-09
7.919999999999999929e+00 3.639880000000000049e-09
7.940000000000000391e+00 3.588570000000000151e-09
7.959999999999999964e+00 3.537340000000000112e-09
7.980000000000000426e+00 3.486210000000000103e-09
8.000000000000000000e+00 3.435210000000000176e-09
8.019999999999999574e+00 3.384360000000000088e-09
8.039999999999999147e+00 3.333680000000000011e-09
8.060000000000000497e+00 3.283179999999999823e-09
8.080000000000000071e+00 3.232899999999999869e-09
8.099999999999999645e+00 3.182829999999999854e-09
8.119999999999999218e+00 3.133020000000000003e-09
8.140000000000000568e+00 3.083460000000000021e-09
8.160000000000000142e+00 3.034179999999999959e-09
8.179999999999999716e+00 2.985199999999999990e-09
8.199999999999999289e+00 2.936520000000000112e-09
8.220000000000000639e+00 2.888169999999999964e-09
8.240000000000000213e+00 2.840149999999999958e-09
8.259999999999999787e+00 2.792490000000000146e-09
8.279999999999999361e+00 2.745199999999999991e-09
8.300000000000000711e+00 2.698279999999999909e-09
8.320000000000000284e+00 2.651759999999999950e-09
8.339999999999999858e+00 2.605640000000000114e-09
8.359999999999999432e+00 2.559940000000000158e-09
8.380000000000000782e+00 2.514669999999999961e-09
8.400000000000000355e+00 2.469839999999999817e-09
8.419999999999999929e+00 2.425460000000000018e-09
8.439999999999999503e+00 2.381530000000000150e-09
8.460000000000000853e+00 2.338079999999999850e-09
8.480000000000000426e+00 2.295100000000000067e-09
8.500000000000000000e+00 2.252610000000000145e-09
