# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 1.401299999999999954e-45
4.519999999999999574e+00 5.605189999999999936e-44
4.540000000000000036e+00 1.933790000000000096e-42
4.559999999999999609e+00 5.732010000000000509e-41
4.580000000000000071e+00 1.458770000000000039e-39
4.599999999999999645e+00 3.210990000000000218e-38
4.620000000000000107e+00 6.152440000000000021e-37
4.639999999999999680e+00 1.032669999999999999e-35
4.660000000000000142e+00 1.527610000000000012e-34
4.679999999999999716e+00 2.002869999999999981e-33
4.700000000000000178e+00 2.340009999999999906e-32
4.719999999999999751e+00 2.449069999999999884e-31
4.740000000000000213e+00 2.307719999999999834e-30
4.769999999999999574e+00 1.966989999999999981e-29
4.790000000000000036e+00 1.523359999999999997e-28
4.809999999999999609e+00 1.076689999999999972e-27
4.830000000000000071e+00 6.973910000000000268e-27
4.849999999999999645e+00 4.155780000000000025e-26
4.870000000000000107e+00 2.286860000000000027e-25
4.889999999999999680e+00 1.166330000000000086e-24
4.910000000000000142e+00 5.532189999999999829e-24
4.929999999999999716e+00 2.448379999999999955e-23
4.950000000000000178e+00 1.014179999999999968e-22
4.969999999999999751e+00 3.943780000000000078e-22
4.990000000000000213e+00 1.443870000000000014e-21
5.009999999999999787e+00 4.990199999999999858e-21
5.030000000000000249e+00 1.632450000000000063e-20
5.049999999999999822e+00 5.066919999999999748e-20
5.070000000000000284e+00 1.495850000000000114e-19
5.089999999999999858e+00 4.209519999999999981e-19
5.110000000000000320e+00 1.131710000000000043e-18
5.129999999999999893e+00 2.912590000000000077e-18
5.150000000000000355e+00 7.190080000000000494e-18
5.169999999999999929e+00 1.705690000000000051e-17
5.190000000000000391e+00 3.895630000000000278e-17
5.209999999999999964e+00 8.580149999999999754e-17
5.230000000000000426e+00 1.825479999999999935e-16
5.250000000000000000e+00 3.757450000000000048e-16
5.269999999999999574e+00 7.493699999999999869e-16
5.290000000000000036e+00 1.450149999999999908e-15
5.309999999999999609e+00 2.726640000000000067e-15
5.330000000000000071e+00 4.987700000000000169e-15
5.349999999999999645e+00 8.887440000000000700e-15
5.370000000000000107e+00 1.544460000000000015e-14
5.389999999999999680e+00 2.620510000000000135e-14
5.410000000000000142e+00 4.345779999999999709e-14
5.429999999999999716e+00 6.987439999999999961e-14
5.450000000000000178e+00 1.095539999999999970e-13
5.469999999999999751e+00 1.688089999999999929e-13
5.490000000000000213e+00 2.557210000000000167e-13
5.509999999999999787e+00 3.809679999999999979e-13
5.530000000000000249e+00 5.584059999999999533e-13
5.549999999999999822e+00 8.056070000000000225e-13
5.570000000000000284e+00 1.144509999999999937e-12
5.589999999999999858e+00 1.601950000000000055e-12
5.610000000000000320e+00 2.210229999999999964e-12
5.629999999999999893e+00 3.007480000000000025e-12
5.650000000000000355e+00 4.038019999999999792e-12
5.669999999999999929e+00 5.352609999999999747e-12
5.690000000000000391e+00 7.008329999999999885e-12
5.709999999999999964e+00 9.068419999999999844e-12
5.730000000000000426e+00 1.160190000000000048e-11
5.750000000000000000e+00 1.468320000000000028e-11
5.769999999999999574e+00 1.839109999999999905e-11
5.790000000000000036e+00 2.280760000000000068e-11
5.809999999999999609e+00 2.801790000000000000e-11
5.830000000000000071e+00 3.410760000000000302e-11
5.849999999999999645e+00 4.116279999999999743e-11
5.870000000000000107e+00 4.926730000000000031e-11
5.889999999999999680e+00 5.850289999999999864e-11
5.910000000000000142e+00 6.894700000000000500e-11
5.929999999999999716e+00 8.067089999999999385e-11
5.950000000000000178e+00 9.373939999999999375e-11
5.969999999999999751e+00 1.082089999999999982e-10
5.990000000000000213e+00 1.241299999999999891e-10
6.009999999999999787e+00 1.415370000000000097e-10
6.030000000000000249e+00 1.604609999999999901e-10
6.049999999999999822e+00 1.809159999999999985e-10
6.070000000000000284e+00 2.029100000000000003e-10
6.089999999999999858e+00 2.264350000000000044e-10
6.110000000000000320e+00 2.514739999999999941e-10
6.129999999999999893e+00 2.779990000000000137e-10
6.150000000000000355e+00 3.059699999999999784e-10
6.169999999999999929e+00 3.353369999999999764e-10
6.190000000000000391e+00 3.660379999999999927e-10
6.209999999999999964e+00 3.980050000000000127e-10
6.230000000000000426e+00 4.311599999999999876e-10
6.250000000000000000e+00 4.654159999999999984e-10
6.269999999999999574e+00 5.006799999999999709e-10
6.290000000000000036e+00 5.368550000000000037e-10
6.309999999999999609e+00 5.738380000000000402e-10
6.330000000000000071e+00 6.115199999999999728e-10
6.349999999999999645e+00 6.497920000000000036e-10
6.370000000000000107e+00 6.885409999999999904e-10
6.389999999999999680e+00 7.276560000000000151e-10
6.410000000000000142e+00 7.670220000000000216e-10
6.429999999999999716e+00 8.065279999999999884e-10
6.450000000000000178e+00 8.460629999999999972e-10
6.469999999999999751e+00 8.855189999999999486e-10
6.490000000000000213e+00 9.247899999999999673e-10
6.509999999999999787e+00 9.637739999999999022e-10
6.530000000000000249e+00 1.002369999999999921e-09
6.549999999999999822e+00 1.040500000000000078e-09
6.570000000000000284e+00 1.078050000000000015e-09
6.589999999999999858e+00 1.114960000000000046e-09
6.610000000000000320e+00 1.151149999999999897e-09
6.629999999999999893e+00 1.186530000000000038e-09
6.650000000000000355e+00 1.221050000000000038e-09
6.669999999999999929e+00 1.254650000000000005e-09
6.690000000000000391e+00 1.287270000000000043e-09
6.709999999999999964e+00 1.318859999999999931e-09
6.730000000000000426e+00 1.349370000000000067e-09
6.750000000000000000e+00 1.378780000000000072e-09
6.769999999999999574e+00 1.407039999999999931e-09
6.790000000000000036e+00 1.434130000000000092e-09
6.809999999999999609e+00 1.460029999999999972e-09
6.830000000000000071e+00 1.484709999999999932e-09
6.849999999999999645e+00 1.508160000000000094e-09
6.870000000000000107e+00 1.530380000000000044e-09
6.889999999999999680e+00 1.551350000000000025e-09
6.910000000000000142e+00 1.571070000000000035e-09
6.929999999999999716e+00 1.589540000000000076e-09
6.950000000000000178e+00 1.606770000000000026e-09
6.969999999999999751e+00 1.622760000000000091e-09
6.990000000000000213e+00 1.637519999999999945e-09
7.009999999999999787e+00 1.651069999999999966e-09
7.030000000000000249e+00 1.663400000000000067e-09
7.049999999999999822e+00 1.674549999999999971e-09
7.070000000000000284e+00 1.684520000000000093e-09
7.089999999999999858e+00 1.693340000000000069e-09
7.110000000000000320e+00 1.701019999999999984e-09
7.129999999999999893e+00 1.707590000000000097e-09
7.150000000000000355e+00 1.713080000000000044e-09
7.169999999999999929e+00 1.717499999999999911e-09
7.190000000000000391e+00 1.720870000000000076e-09
7.209999999999999964e+00 1.723239999999999935e-09
7.230000000000000426e+00 1.724619999999999986e-09
7.259999999999999787e+00 1.725029999999999987e-09
7.280000000000000249e+00 1.724519999999999955e-09
7.299999999999999822e+00 1.723099999999999974e-09
7.320000000000000284e+00 1.720809999999999975e-09
7.339999999999999858e+00 1.717669999999999922e-09
7.360000000000000320e+00 1.713710000000000072e-09
7.379999999999999893e+00 1.708969999999999942e-09
7.400000000000000355e+00 1.703469999999999909e-09
7.419999999999999929e+00 1.697249999999999903e-09
7.440000000000000391e+00 1.690320000000000011e-09
7.459999999999999964e+00 1.682730000000000040e-09
7.480000000000000426e+00 1.674499999999999956e-09
7.500000000000000000e+00 1.665660000000000016e-09
7.519999999999999574e+00 1.656240000000000063e-09
7.540000000000000036e+00 1.646260000000000062e-09
7.559999999999999609e+00 1.635759999999999943e-09
7.580000000000000071e+00 1.624760000000000084e-09
7.599999999999999645e+00 1.613300000000000002e-09
7.620000000000000107e+00 1.601379999999999903e-09
7.639999999999999680e+00 1.589050000000000008e-09
7.660000000000000142e+00 1.576330000000000077e-09
7.679999999999999716e+00 1.563229999999999988e-09
7.700000000000000178e+00 1.549799999999999963e-09
7.719999999999999751e+00 1.536029999999999916e-09
7.740000000000000213e+00 1.521970000000000070e-09
7.759999999999999787e+00 1.507630000000000097e-09
7.780000000000000249e+00 1.493029999999999961e-09
7.799999999999999822e+00 1.478190000000000042e-09
7.820000000000000284e+00 1.463130000000000096e-09
7.839999999999999858e+00 1.447870000000000088e-09
7.860000000000000320e+00 1.432419999999999899e-09
7.879999999999999893e+00 1.416809999999999991e-09
7.900000000000000355e+00 1.401050000000000037e-09
7.919999999999999929e+00 1.385149999999999916e-09
7.940000000000000391e+00 1.369130000000000007e-09
7.959999999999999964e+00 1.352999999999999981e-09
7.980000000000000426e+00 1.336780000000000010e-09
8.000000000000000000e+00 1.320470000000000094e-09
8.019999999999999574e+00 1.304100000000000077e-09
8.039999999999999147e+00 1.287669999999999959e-09
8.060000000000000497e+00 1.271190000000000033e-09
8.080000000000000071e+00 1.254669999999999970e-09
8.099999999999999645e+00 1.238129999999999942e-09
8.119999999999999218e+00 1.221560000000000071e-09
8.140000000000000568e+00 1.204989999999999992e-09
8.160000000000000142e+00 1.188419999999999914e-09
8.179999999999999716e+00 1.171859999999999922e-09
8.199999999999999289e+00 1.155320000000000101e-09
8.220000000000000639e+00 1.138800000000000038e-09
8.240000000000000213e+00 1.122310000000000026e-09
8.259999999999999787e+00 1.105859999999999943e-09
8.279999999999999361e+00 1.089460000000000082e-09
8.300000000000000711e+00 1.073110000000000030e-09
8.320000000000000284e+00 1.056820000000000079e-09
8.339999999999999858e+00 1.040590000000000022e-09
8.359999999999999432e+00 1.024440000000000032e-09
8.380000000000000782e+00 1.008360000000000021e-09
8.400000000000000355e+00 9.923719999999999724e-10
8.419999999999999929e+00 9.764689999999999292e-10
8.439999999999999503e+00 9.606629999999999943e-10
8.460000000000000853e+00 9.449550000000000730e-10
8.480000000000000426e+00 9.293540000000000355e-10
8.500000000000000000e+00 9.138620000000000026e-10
