# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 2.802599999999999909e-45
4.599999999999999645e+00 1.219129999999999941e-43
4.620000000000000107e+00 3.965670000000000270e-42
4.639999999999999680e+00 1.108049999999999984e-40
4.660000000000000142e+00 2.666789999999999838e-39
4.679999999999999716e+00 5.564900000000000452e-38
4.700000000000000178e+00 1.013279999999999944e-36
4.719999999999999751e+00 1.619979999999999936e-35
4.740000000000000213e+00 2.287589999999999859e-34
4.769999999999999574e+00 2.869110000000000088e-33
4.790000000000000036e+00 3.213030000000000135e-32
4.809999999999999609e+00 3.229469999999999995e-31
4.830000000000000071e+00 2.927790000000000154e-30
4.849999999999999645e+00 2.405150000000000135e-29
4.870000000000000107e+00 1.798260000000000073e-28
4.889999999999999680e+00 1.228960000000000062e-27
4.910000000000000142e+00 7.708689999999999762e-27
4.929999999999999716e+00 4.454979999999999844e-26
4.950000000000000178e+00 2.380810000000000082e-25
4.969999999999999751e+00 1.180780000000000091e-24
4.990000000000000213e+00 5.453289999999999961e-24
5.009999999999999787e+00 2.352679999999999988e-23
5.030000000000000249e+00 9.511449999999999564e-23
5.049999999999999822e+00 3.613759999999999936e-22
5.070000000000000284e+00 1.294030000000000047e-21
5.089999999999999858e+00 4.378639999999999972e-21
5.110000000000000320e+00 1.403719999999999918e-20
5.129999999999999893e+00 4.273689999999999762e-20
5.150000000000000355e+00 1.238630000000000039e-19
5.169999999999999929e+00 3.424860000000000048e-19
5.190000000000000391e+00 9.054180000000000844e-19
5.209999999999999964e+00 2.293109999999999888e-18
5.230000000000000426e+00 5.574739999999999812e-18
5.250000000000000000e+00 1.303289999999999942e-17
5.269999999999999574e+00 2.935239999999999798e-17
5.290000000000000036e+00 6.379360000000000235e-17
5.309999999999999609e+00 1.340079999999999975e-16
5.330000000000000071e+00 2.724999999999999906e-16
5.349999999999999645e+00 5.371899999999999588e-16
5.370000000000000107e+00 1.028089999999999909e-15
5.389999999999999680e+00 1.912709999999999875e-15
5.410000000000000142e+00 3.463659999999999962e-15
5.429999999999999716e+00 6.112520000000000173e-15
5.450000000000000178e+00 1.052490000000000029e-14
5.469999999999999751e+00 1.770140000000000006e-14
5.490000000000000213e+00 2.911010000000000260e-14
5.509999999999999787e+00 4.620330000000000039e-14
5.530000000000000249e+00 7.199400000000000353e-14
5.549999999999999822e+00 1.102550000000000058e-13
5.570000000000000284e+00 1.660070000000000014e-13
5.589999999999999858e+00 2.458320000000000172e-13
5.610000000000000320e+00 3.582159999999999753e-13
5.629999999999999893e+00 5.138440000000000469e-13
5.650000000000000355e+00 7.259440000000000216e-13
5.669999999999999929e+00 1.010619999999999989e-12
5.690000000000000391e+00 1.387129999999999967e-12
5.709999999999999964e+00 1.878050000000000060e-12
5.730000000000000426e+00 2.509479999999999925e-12
5.750000000000000000e+00 3.311129999999999847e-12
5.769999999999999574e+00 4.316279999999999860e-12
5.790000000000000036e+00 5.561540000000000150e-12
5.809999999999999609e+00 7.086810000000000173e-12
5.830000000000000071e+00 8.934700000000000693e-12
5.849999999999999645e+00 1.115020000000000069e-11
5.870000000000000107e+00 1.378020000000000059e-11
5.889999999999999680e+00 1.687240000000000149e-11
5.910000000000000142e+00 2.047550000000000015e-11
5.929999999999999716e+00 2.463759999999999914e-11
5.950000000000000178e+00 2.940549999999999865e-11
5.969999999999999751e+00 3.482460000000000168e-11
5.990000000000000213e+00 4.093750000000000080e-11
6.009999999999999787e+00 4.778359999999999927e-11
6.030000000000000249e+00 5.539790000000000006e-11
6.049999999999999822e+00 6.381120000000000501e-11
6.070000000000000284e+00 7.304939999999999850e-11
6.089999999999999858e+00 8.313200000000000564e-11
6.110000000000000320e+00 9.407300000000000436e-11
6.129999999999999893e+00 1.058800000000000004e-10
6.150000000000000355e+00 1.185550000000000109e-10
6.169999999999999929e+00 1.320930000000000059e-10
6.190000000000000391e+00 1.464820000000000118e-10
6.209999999999999964e+00 1.617040000000000033e-10
6.230000000000000426e+00 1.777359999999999899e-10
6.250000000000000000e+00 1.945479999999999986e-10
6.269999999999999574e+00 2.121040000000000050e-10
6.290000000000000036e+00 2.303640000000000019e-10
6.309999999999999609e+00 2.492840000000000255e-10
6.330000000000000071e+00 2.688140000000000087e-10
6.349999999999999645e+00 2.889020000000000225e-10
6.370000000000000107e+00 3.094909999999999914e-10
6.389999999999999680e+00 3.305239999999999952e-10
6.410000000000000142e+00 3.519399999999999758e-10
6.429999999999999716e+00 3.736779999999999787e-10
6.450000000000000178e+00 3.956740000000000235e-10
6.469999999999999751e+00 4.178670000000000005e-10
6.490000000000000213e+00 4.401929999999999811e-10
6.509999999999999787e+00 4.625889999999999935e-10
6.530000000000000249e+00 4.849960000000000486e-10
6.549999999999999822e+00 5.073540000000000452e-10
6.570000000000000284e+00 5.296040000000000460e-10
6.589999999999999858e+00 5.516899999999999840e-10
6.610000000000000320e+00 5.735610000000000421e-10
6.629999999999999893e+00 5.951649999999999812e-10
6.650000000000000355e+00 6.164540000000000097e-10
6.669999999999999929e+00 6.373820000000000433e-10
6.690000000000000391e+00 6.579099999999999542e-10
6.709999999999999964e+00 6.779960000000000025e-10
6.730000000000000426e+00 6.976049999999999914e-10
6.750000000000000000e+00 7.167059999999999650e-10
6.769999999999999574e+00 7.352679999999999677e-10
6.790000000000000036e+00 7.532649999999999832e-10
6.809999999999999609e+00 7.706730000000000124e-10
6.830000000000000071e+00 7.874709999999999786e-10
6.849999999999999645e+00 8.036410000000000376e-10
6.870000000000000107e+00 8.191689999999999657e-10
6.889999999999999680e+00 8.340400000000000481e-10
6.910000000000000142e+00 8.482450000000000006e-10
6.929999999999999716e+00 8.617749999999999528e-10
6.950000000000000178e+00 8.746239999999999567e-10
6.969999999999999751e+00 8.867879999999999780e-10
6.990000000000000213e+00 8.982649999999999995e-10
7.009999999999999787e+00 9.090540000000000126e-10
7.030000000000000249e+00 9.191570000000000345e-10
7.049999999999999822e+00 9.285739999999999617e-10
7.070000000000000284e+00 9.373110000000000526e-10
7.089999999999999858e+00 9.453729999999999365e-10
7.110000000000000320e+00 9.527650000000000698e-10
7.129999999999999893e+00 9.594949999999999008e-10
7.150000000000000355e+00 9.655729999999999288e-10
7.169999999999999929e+00 9.710059999999999037e-10
7.190000000000000391e+00 9.758050000000000233e-10
7.209999999999999964e+00 9.799810000000000718e-10
7.230000000000000426e+00 9.835450000000000400e-10
7.259999999999999787e+00 9.865099999999999362e-10
7.280000000000000249e+00 9.888889999999999752e-10
7.299999999999999822e+00 9.906940000000000533e-10
7.320000000000000284e+00 9.919410000000001008e-10
7.339999999999999858e+00 9.926420000000000139e-10
7.360000000000000320e+00 9.928129999999999298e-10
7.379999999999999893e+00 9.924679999999999688e-10
7.400000000000000355e+00 9.916239999999999663e-10
7.419999999999999929e+00 9.902939999999999306e-10
7.440000000000000391e+00 9.884969999999999212e-10
7.459999999999999964e+00 9.862459999999999462e-10
7.480000000000000426e+00 9.835569999999999362e-10
7.500000000000000000e+00 9.804480000000000454e-10
7.519999999999999574e+00 9.769340000000000925e-10
7.540000000000000036e+00 9.730310000000000079e-10
7.559999999999999609e+00 9.687549999999999287e-10
7.580000000000000071e+00 9.641229999999998976e-10
7.599999999999999645e+00 9.591479999999999225e-10
7.620000000000000107e+00 9.538490000000000631e-10
7.639999999999999680e+00 9.482389999999999140e-10
7.660000000000000142e+00 9.423340000000000259e-10
7.679999999999999716e+00 9.361490000000000105e-10
7.700000000000000178e+00 9.296979999999999880e-10
7.719999999999999751e+00 9.229969999999999923e-10
7.740000000000000213e+00 9.160580000000000227e-10
7.759999999999999787e+00 9.088949999999999928e-10
7.780000000000000249e+00 9.015220000000000225e-10
7.799999999999999822e+00 8.939510000000000080e-10
7.820000000000000284e+00 8.861959999999999660e-10
7.839999999999999858e+00 8.782679999999999909e-10
7.860000000000000320e+00 8.701779999999999702e-10
7.879999999999999893e+00 8.619380000000000070e-10
7.900000000000000355e+00 8.535579999999999801e-10
7.919999999999999929e+00 8.450499999999999925e-10
7.940000000000000391e+00 8.364220000000000095e-10
7.959999999999999964e+00 8.276850000000000219e-10
7.980000000000000426e+00 8.188480000000000038e-10
8.000000000000000000e+00 8.099190000000000235e-10
8.019999999999999574e+00 8.009069999999999517e-10
8.039999999999999147e+00 7.918199999999999602e-10
8.060000000000000497e+00 7.826650000000000058e-10
8.080000000000000071e+00 7.734509999999999588e-10
8.099999999999999645e+00 7.641829999999999656e-10
8.119999999999999218e+00 7.548689999999999913e-10
8.140000000000000568e+00 7.455149999999999841e-10
8.160000000000000142e+00 7.361269999999999955e-10
8.179999999999999716e+00 7.267109999999999734e-10
8.199999999999999289e+00 7.172739999999999779e-10
8.220000000000000639e+00 7.078200000000000435e-10
8.240000000000000213e+00 6.983550000000000146e-10
8.259999999999999787e+00 6.888830000000000292e-10
8.279999999999999361e+00 6.794110000000000437e-10
8.300000000000000711e+00 6.699419999999999805e-10
8.320000000000000284e+00 6.604809999999999860e-10
8.339999999999999858e+00 6.510319999999999910e-10
8.359999999999999432e+00 6.416000000000000385e-10
8.380000000000000782e+00 6.321899999999999645e-10
8.400000000000000355e+00 6.228060000000000101e-10
8.419999999999999929e+00 6.134499999999999858e-10
8.439999999999999503e+00 6.041280000000000463e-10
8.460000000000000853e+00 5.948430000000000106e-10
8.480000000000000426e+00 5.855980000000000079e-10
8.500000000000000000e+00 5.763969999999999691e-10
