# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 2.382210000000000234e-44
4.769999999999999574e+00 7.679120000000000321e-43
4.790000000000000036e+00 2.134740000000000049e-41
4.809999999999999609e+00 5.108529999999999700e-40
4.830000000000000071e+00 1.060279999999999975e-38
4.849999999999999645e+00 1.920800000000000027e-37
4.870000000000000107e+00 3.055810000000000026e-36
4.889999999999999680e+00 4.294679999999999922e-35
4.910000000000000142e+00 5.362309999999999810e-34
4.929999999999999716e+00 5.979750000000000188e-33
4.950000000000000178e+00 5.985829999999999853e-32
4.969999999999999751e+00 5.405259999999999680e-31
4.990000000000000213e+00 4.423840000000000308e-30
5.009999999999999787e+00 3.295820000000000073e-29
5.030000000000000249e+00 2.244889999999999974e-28
5.049999999999999822e+00 1.403489999999999988e-27
5.070000000000000284e+00 8.085929999999999929e-27
5.089999999999999858e+00 4.308489999999999942e-26
5.110000000000000320e+00 2.130870000000000037e-25
5.129999999999999893e+00 9.814350000000000268e-25
5.150000000000000355e+00 4.223399999999999981e-24
5.169999999999999929e+00 1.703200000000000027e-23
5.190000000000000391e+00 6.456099999999999959e-23
5.209999999999999964e+00 2.306590000000000204e-22
5.230000000000000426e+00 7.788390000000000237e-22
5.250000000000000000e+00 2.491660000000000012e-21
5.269999999999999574e+00 7.571180000000000483e-21
5.290000000000000036e+00 2.190250000000000007e-20
5.309999999999999609e+00 6.045510000000000332e-20
5.330000000000000071e+00 1.595490000000000071e-19
5.349999999999999645e+00 4.034239999999999901e-19
5.370000000000000107e+00 9.792449999999999459e-19
5.389999999999999680e+00 2.285980000000000142e-18
5.410000000000000142e+00 5.141200000000000038e-18
5.429999999999999716e+00 1.115849999999999960e-17
5.450000000000000178e+00 2.340990000000000052e-17
5.469999999999999751e+00 4.754529999999999922e-17
5.490000000000000213e+00 9.361810000000000262e-17
5.509999999999999787e+00 1.789660000000000074e-16
5.530000000000000249e+00 3.326020000000000056e-16
5.549999999999999822e+00 6.016890000000000037e-16
5.570000000000000284e+00 1.060800000000000001e-15
5.589999999999999858e+00 1.824830000000000111e-15
5.610000000000000320e+00 3.066379999999999943e-15
5.629999999999999893e+00 5.038460000000000229e-15
5.650000000000000355e+00 7.983239999999999931e-15
5.669999999999999929e+00 1.243059999999999969e-14
5.690000000000000391e+00 1.902960000000000141e-14
5.709999999999999964e+00 2.864889999999999897e-14
5.730000000000000426e+00 4.242920000000000085e-14
5.750000000000000000e+00 6.184120000000000311e-14
5.769999999999999574e+00 8.874209999999999655e-14
5.790000000000000036e+00 1.254350000000000103e-13
5.809999999999999609e+00 1.747230000000000018e-13
5.830000000000000071e+00 2.399690000000000148e-13
5.849999999999999645e+00 3.251179999999999885e-13
5.870000000000000107e+00 4.347440000000000103e-13
5.889999999999999680e+00 5.740559999999999927e-13
5.910000000000000142e+00 7.488999999999999694e-13
5.929999999999999716e+00 9.657410000000000549e-13
5.950000000000000178e+00 1.231599999999999922e-12
5.969999999999999751e+00 1.554050000000000027e-12
5.990000000000000213e+00 1.941069999999999927e-12
6.009999999999999787e+00 2.401010000000000086e-12
6.030000000000000249e+00 2.942440000000000132e-12
6.049999999999999822e+00 3.574050000000000104e-12
6.070000000000000284e+00 4.304569999999999701e-12
6.089999999999999858e+00 5.142549999999999731e-12
6.110000000000000320e+00 6.096220000000000049e-12
6.129999999999999893e+00 7.173490000000000365e-12
6.150000000000000355e+00 8.381729999999999668e-12
6.169999999999999929e+00 9.727589999999999751e-12
6.190000000000000391e+00 1.121699999999999956e-11
6.209999999999999964e+00 1.285500000000000046e-11
6.230000000000000426e+00 1.464569999999999847e-11
6.250000000000000000e+00 1.659240000000000026e-11
6.269999999999999574e+00 1.869690000000000124e-11
6.290000000000000036e+00 2.096039999999999942e-11
6.309999999999999609e+00 2.338269999999999891e-11
6.330000000000000071e+00 2.596249999999999888e-11
6.349999999999999645e+00 2.869759999999999921e-11
6.370000000000000107e+00 3.158450000000000219e-11
6.389999999999999680e+00 3.461920000000000257e-11
6.410000000000000142e+00 3.779599999999999930e-11
6.429999999999999716e+00 4.110909999999999818e-11
6.450000000000000178e+00 4.455149999999999732e-11
6.469999999999999751e+00 4.811569999999999702e-11
6.490000000000000213e+00 5.179330000000000146e-11
6.509999999999999787e+00 5.557580000000000236e-11
6.530000000000000249e+00 5.945419999999999359e-11
6.549999999999999822e+00 6.341909999999999661e-11
6.570000000000000284e+00 6.746069999999999587e-11
6.589999999999999858e+00 7.156950000000000034e-11
6.610000000000000320e+00 7.573590000000000003e-11
6.629999999999999893e+00 7.995020000000000480e-11
6.650000000000000355e+00 8.420249999999999952e-11
6.669999999999999929e+00 8.848370000000000434e-11
6.690000000000000391e+00 9.278459999999999462e-11
6.709999999999999964e+00 9.709619999999999657e-11
6.730000000000000426e+00 1.014100000000000019e-10
6.750000000000000000e+00 1.057169999999999980e-10
6.769999999999999574e+00 1.100100000000000032e-10
6.790000000000000036e+00 1.142819999999999963e-10
6.809999999999999609e+00 1.185240000000000035e-10
6.830000000000000071e+00 1.227310000000000077e-10
6.849999999999999645e+00 1.268939999999999963e-10
6.870000000000000107e+00 1.310099999999999953e-10
6.889999999999999680e+00 1.350700000000000051e-10
6.910000000000000142e+00 1.390709999999999998e-10
6.929999999999999716e+00 1.430070000000000057e-10
6.950000000000000178e+00 1.468730000000000056e-10
6.969999999999999751e+00 1.506640000000000083e-10
6.990000000000000213e+00 1.543760000000000054e-10
7.009999999999999787e+00 1.580059999999999970e-10
7.030000000000000249e+00 1.615489999999999919e-10
7.049999999999999822e+00 1.650019999999999902e-10
7.070000000000000284e+00 1.683610000000000093e-10
7.089999999999999858e+00 1.716240000000000062e-10
7.110000000000000320e+00 1.747880000000000069e-10
7.129999999999999893e+00 1.778500000000000114e-10
7.150000000000000355e+00 1.808080000000000026e-10
7.169999999999999929e+00 1.836590000000000065e-10
7.190000000000000391e+00 1.864019999999999887e-10
7.209999999999999964e+00 1.890340000000000009e-10
7.230000000000000426e+00 1.915540000000000087e-10
7.259999999999999787e+00 1.939610000000000036e-10
7.280000000000000249e+00 1.962529999999999943e-10
7.299999999999999822e+00 1.984289999999999979e-10
7.320000000000000284e+00 2.004880000000000060e-10
7.339999999999999858e+00 2.024290000000000100e-10
7.360000000000000320e+00 2.042529999999999925e-10
7.379999999999999893e+00 2.059589999999999967e-10
7.400000000000000355e+00 2.075459999999999883e-10
7.419999999999999929e+00 2.090150000000000015e-10
7.440000000000000391e+00 2.103669999999999933e-10
7.459999999999999964e+00 2.116010000000000068e-10
7.480000000000000426e+00 2.127179999999999989e-10
7.500000000000000000e+00 2.137190000000000041e-10
7.519999999999999574e+00 2.146059999999999877e-10
7.540000000000000036e+00 2.153790000000000014e-10
7.559999999999999609e+00 2.160409999999999936e-10
7.580000000000000071e+00 2.165910000000000072e-10
7.599999999999999645e+00 2.170329999999999990e-10
7.620000000000000107e+00 2.173680000000000036e-10
7.639999999999999680e+00 2.175970000000000035e-10
7.660000000000000142e+00 2.177240000000000073e-10
7.679999999999999716e+00 2.177489999999999891e-10
7.700000000000000178e+00 2.176760000000000091e-10
7.719999999999999751e+00 2.175070000000000069e-10
7.740000000000000213e+00 2.172439999999999996e-10
7.759999999999999787e+00 2.168899999999999872e-10
7.780000000000000249e+00 2.164470000000000126e-10
7.799999999999999822e+00 2.159190000000000068e-10
7.820000000000000284e+00 2.153059999999999956e-10
7.839999999999999858e+00 2.146129999999999960e-10
7.860000000000000320e+00 2.138409999999999908e-10
7.879999999999999893e+00 2.129939999999999885e-10
7.900000000000000355e+00 2.120740000000000061e-10
7.919999999999999929e+00 2.110839999999999920e-10
7.940000000000000391e+00 2.100259999999999890e-10
7.959999999999999964e+00 2.089040000000000057e-10
7.980000000000000426e+00 2.077189999999999989e-10
8.000000000000000000e+00 2.064739999999999944e-10
8.019999999999999574e+00 2.051710000000000094e-10
8.039999999999999147e+00 2.038140000000000005e-10
8.060000000000000497e+00 2.024040000000000023e-10
8.080000000000000071e+00 2.009449999999999973e-10
8.099999999999999645e+00 1.994370000000000114e-10
8.119999999999999218e+00 1.978840000000000014e-10
8.140000000000000568e+00 1.962880000000000102e-10
8.160000000000000142e+00 1.946510000000000033e-10
8.179999999999999716e+00 1.929749999999999979e-10
8.199999999999999289e+00 1.912629999999999939e-10
8.220000000000000639e+00 1.895159999999999999e-10
8.240000000000000213e+00 1.877360000000000070e-10
8.259999999999999787e+00 1.859250000000000068e-10
8.279999999999999361e+00 1.840859999999999990e-10
8.300000000000000711e+00 1.822190000000000094e-10
8.320000000000000284e+00 1.803279999999999950e-10
8.339999999999999858e+00 1.784130000000000073e-10
8.359999999999999432e+00 1.764769999999999945e-10
8.380000000000000782e+00 1.745209999999999912e-10
8.400000000000000355e+00 1.725469999999999885e-10
8.419999999999999929e+00 1.705559999999999950e-10
8.439999999999999503e+00 1.685510000000000107e-10
8.460000000000000853e+00 1.665320000000000097e-10
8.480000000000000426e+00 1.645010000000000092e-10
8.500000000000000000e+00 1.624600000000000004e-10
