# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 3.349569999999999885e-31
3.520000000000000018e+00 3.783369999999999695e-30
3.540000000000000036e+00 3.833940000000000122e-29
3.560000000000000053e+00 3.502849999999999853e-28
3.580000000000000071e+00 2.898960000000000033e-27
3.600000000000000089e+00 2.182949999999999938e-26
3.620000000000000107e+00 1.502039999999999990e-25
3.640000000000000124e+00 9.482509999999999811e-25
3.660000000000000142e+00 5.513959999999999706e-24
3.680000000000000160e+00 2.964209999999999992e-23
3.700000000000000178e+00 1.478449999999999908e-22
3.720000000000000195e+00 6.864729999999999594e-22
3.740000000000000213e+00 2.976889999999999840e-21
3.759999999999999787e+00 1.209399999999999957e-20
3.779999999999999805e+00 4.616590000000000023e-20
3.799999999999999822e+00 1.660479999999999888e-19
3.819999999999999840e+00 5.642790000000000001e-19
3.839999999999999858e+00 1.816309999999999852e-18
3.859999999999999876e+00 5.551539999999999813e-18
3.879999999999999893e+00 1.614930000000000080e-17
3.899999999999999911e+00 4.481270000000000191e-17
3.919999999999999929e+00 1.188699999999999969e-16
3.939999999999999947e+00 3.020349999999999864e-16
3.959999999999999964e+00 7.365369999999999813e-16
3.979999999999999982e+00 1.727000000000000058e-15
4.000000000000000000e+00 3.900530000000000294e-15
4.019999999999999574e+00 8.500089999999999642e-15
4.040000000000000036e+00 1.790130000000000080e-14
4.059999999999999609e+00 3.649139999999999812e-14
4.080000000000000071e+00 7.210529999999999569e-14
4.099999999999999645e+00 1.383039999999999881e-13
4.120000000000000107e+00 2.578570000000000088e-13
4.139999999999999680e+00 4.679010000000000275e-13
4.160000000000000142e+00 8.273409999999999580e-13
4.179999999999999716e+00 1.427200000000000018e-12
4.200000000000000178e+00 2.404589999999999955e-12
4.219999999999999751e+00 3.961120000000000392e-12
4.240000000000000213e+00 6.298890000000000033e-12
4.259999999999999787e+00 9.821009999999999569e-12
4.280000000000000249e+00 1.505180000000000095e-11
4.299999999999999822e+00 2.268180000000000136e-11
4.320000000000000284e+00 3.361969999999999739e-11
4.339999999999999858e+00 4.903390000000000011e-11
4.360000000000000320e+00 7.040310000000000321e-11
4.379999999999999893e+00 9.955790000000000576e-11
4.400000000000000355e+00 1.387290000000000128e-10
4.419999999999999929e+00 1.905800000000000026e-10
4.440000000000000391e+00 2.582479999999999958e-10
4.459999999999999964e+00 3.453560000000000014e-10
4.480000000000000426e+00 4.560299999999999752e-10
4.500000000000000000e+00 5.948810000000000264e-10
4.519999999999999574e+00 7.670159999999999702e-10
4.540000000000000036e+00 9.779550000000000624e-10
4.559999999999999609e+00 1.233630000000000009e-09
4.580000000000000071e+00 1.540299999999999944e-09
4.599999999999999645e+00 1.904449999999999974e-09
4.620000000000000107e+00 2.332730000000000071e-09
4.639999999999999680e+00 2.831860000000000186e-09
4.660000000000000142e+00 3.408520000000000137e-09
4.679999999999999716e+00 4.069219999999999727e-09
4.700000000000000178e+00 4.820179999999999789e-09
4.719999999999999751e+00 5.667300000000000065e-09
4.740000000000000213e+00 6.616020000000000072e-09
4.769999999999999574e+00 7.671159999999999388e-09
4.790000000000000036e+00 8.836899999999999542e-09
