# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 1.681559999999999945e-44
3.640000000000000124e+00 7.230699999999999586e-43
3.660000000000000142e+00 2.564940000000000102e-41
3.680000000000000160e+00 7.757900000000000539e-40
3.700000000000000178e+00 2.013530000000000005e-38
3.720000000000000195e+00 4.515760000000000189e-37
3.740000000000000213e+00 8.808850000000000033e-36
3.759999999999999787e+00 1.504070000000000067e-34
3.779999999999999805e+00 2.261459999999999854e-33
3.799999999999999822e+00 3.011349999999999930e-32
3.819999999999999840e+00 3.571150000000000085e-31
3.839999999999999858e+00 3.791019999999999980e-30
3.859999999999999876e+00 3.620969999999999754e-29
3.879999999999999893e+00 3.126369999999999808e-28
3.899999999999999911e+00 2.451420000000000171e-27
3.919999999999999929e+00 1.753230000000000089e-26
3.939999999999999947e+00 1.148440000000000027e-25
3.959999999999999964e+00 6.917469999999999617e-25
3.979999999999999982e+00 3.845960000000000021e-24
4.000000000000000000e+00 1.980839999999999865e-23
4.019999999999999574e+00 9.484010000000000009e-23
4.040000000000000036e+00 4.234899999999999827e-22
4.059999999999999609e+00 1.769290000000000147e-21
4.080000000000000071e+00 6.936419999999999880e-21
4.099999999999999645e+00 2.559280000000000079e-20
4.120000000000000107e+00 8.911440000000000371e-20
4.139999999999999680e+00 2.935959999999999995e-19
4.160000000000000142e+00 9.174800000000000669e-19
4.179999999999999716e+00 2.726079999999999826e-18
4.200000000000000178e+00 7.719249999999999967e-18
4.219999999999999751e+00 2.087570000000000055e-17
4.240000000000000213e+00 5.402900000000000117e-17
4.259999999999999787e+00 1.340930000000000029e-16
4.280000000000000249e+00 3.197520000000000039e-16
4.299999999999999822e+00 7.338549999999999705e-16
4.320000000000000284e+00 1.623929999999999943e-15
4.339999999999999858e+00 3.470440000000000044e-15
4.360000000000000320e+00 7.173949999999999752e-15
4.379999999999999893e+00 1.436579999999999847e-14
4.400000000000000355e+00 2.790849999999999980e-14
4.419999999999999929e+00 5.266929999999999778e-14
4.440000000000000391e+00 9.668889999999999860e-14
4.459999999999999964e+00 1.728709999999999962e-13
4.480000000000000426e+00 3.013879999999999977e-13
4.500000000000000000e+00 5.129440000000000204e-13
4.519999999999999574e+00 8.531760000000000190e-13
4.540000000000000036e+00 1.378430000000000014e-12
4.559999999999999609e+00 2.166150000000000014e-12
4.580000000000000071e+00 3.345329999999999842e-12
4.599999999999999645e+00 5.079019999999999900e-12
4.620000000000000107e+00 7.583109999999999987e-12
4.639999999999999680e+00 1.113830000000000071e-11
4.660000000000000142e+00 1.610250000000000010e-11
4.679999999999999716e+00 2.292220000000000021e-11
4.700000000000000178e+00 3.214569999999999943e-11
4.719999999999999751e+00 4.443440000000000219e-11
4.740000000000000213e+00 6.057110000000000552e-11
4.769999999999999574e+00 8.146769999999999465e-11
4.790000000000000036e+00 1.081679999999999955e-10
4.809999999999999609e+00 1.418530000000000064e-10
4.830000000000000071e+00 1.838310000000000086e-10
4.849999999999999645e+00 2.355339999999999954e-10
4.870000000000000107e+00 2.985060000000000030e-10
4.889999999999999680e+00 3.743860000000000036e-10
4.910000000000000142e+00 4.648930000000000096e-10
4.929999999999999716e+00 5.717959999999999970e-10
4.950000000000000178e+00 6.968880000000000444e-10
4.969999999999999751e+00 8.419780000000000056e-10
4.990000000000000213e+00 1.008829999999999917e-09
5.009999999999999787e+00 1.199169999999999903e-09
5.030000000000000249e+00 1.414629999999999901e-09
5.049999999999999822e+00 1.656720000000000044e-09
5.070000000000000284e+00 1.926820000000000177e-09
5.089999999999999858e+00 2.226149999999999804e-09
5.110000000000000320e+00 2.555740000000000110e-09
5.129999999999999893e+00 2.916409999999999858e-09
5.150000000000000355e+00 3.308790000000000110e-09
5.169999999999999929e+00 3.733239999999999818e-09
5.190000000000000391e+00 4.189929999999999820e-09
5.209999999999999964e+00 4.678749999999999792e-09
5.230000000000000426e+00 5.199369999999999593e-09
5.250000000000000000e+00 5.751199999999999744e-09
5.269999999999999574e+00 6.333459999999999758e-09
5.290000000000000036e+00 6.945119999999999691e-09
5.309999999999999609e+00 7.584940000000000486e-09
5.330000000000000071e+00 8.251469999999999838e-09
5.349999999999999645e+00 8.943099999999999857e-09
5.370000000000000107e+00 9.658080000000000215e-09
5.389999999999999680e+00 1.039449999999999921e-08
5.410000000000000142e+00 1.115019999999999981e-08
5.429999999999999716e+00 1.192310000000000073e-08
5.450000000000000178e+00 1.271090000000000002e-08
5.469999999999999751e+00 1.351139999999999948e-08
5.490000000000000213e+00 1.432220000000000003e-08
5.509999999999999787e+00 1.514090000000000093e-08
5.530000000000000249e+00 1.596509999999999980e-08
5.549999999999999822e+00 1.679249999999999966e-08
5.570000000000000284e+00 1.762060000000000096e-08
5.589999999999999858e+00 1.844729999999999936e-08
5.610000000000000320e+00 1.927029999999999952e-08
5.629999999999999893e+00 2.008729999999999949e-08
5.650000000000000355e+00 2.089630000000000031e-08
5.669999999999999929e+00 2.169529999999999972e-08
5.690000000000000391e+00 2.248240000000000086e-08
5.709999999999999964e+00 2.325590000000000114e-08
5.730000000000000426e+00 2.401390000000000038e-08
5.750000000000000000e+00 2.475490000000000020e-08
5.769999999999999574e+00 2.547759999999999978e-08
5.790000000000000036e+00 2.618039999999999864e-08
5.809999999999999609e+00 2.686240000000000104e-08
5.830000000000000071e+00 2.752229999999999956e-08
5.849999999999999645e+00 2.815919999999999846e-08
5.870000000000000107e+00 2.877209999999999994e-08
5.889999999999999680e+00 2.936050000000000010e-08
5.910000000000000142e+00 2.992360000000000201e-08
5.929999999999999716e+00 3.046099999999999728e-08
5.950000000000000178e+00 3.097209999999999978e-08
5.969999999999999751e+00 3.145659999999999992e-08
5.990000000000000213e+00 3.191439999999999890e-08
6.009999999999999787e+00 3.234529999999999914e-08
6.030000000000000249e+00 3.274910000000000306e-08
6.049999999999999822e+00 3.312600000000000162e-08
6.070000000000000284e+00 3.347600000000000145e-08
6.089999999999999858e+00 3.379910000000000253e-08
6.110000000000000320e+00 3.409579999999999883e-08
6.129999999999999893e+00 3.436609999999999696e-08
6.150000000000000355e+00 3.461039999999999869e-08
6.169999999999999929e+00 3.482919999999999797e-08
6.190000000000000391e+00 3.502269999999999901e-08
6.209999999999999964e+00 3.519140000000000237e-08
6.230000000000000426e+00 3.533590000000000078e-08
6.250000000000000000e+00 3.545670000000000144e-08
6.269999999999999574e+00 3.555419999999999950e-08
6.290000000000000036e+00 3.562900000000000094e-08
6.309999999999999609e+00 3.568190000000000269e-08
6.330000000000000071e+00 3.571320000000000112e-08
6.349999999999999645e+00 3.572369999999999979e-08
6.370000000000000107e+00 3.571409999999999685e-08
6.389999999999999680e+00 3.568489999999999947e-08
6.410000000000000142e+00 3.563679999999999920e-08
6.429999999999999716e+00 3.557059999999999957e-08
6.450000000000000178e+00 3.548670000000000237e-08
6.469999999999999751e+00 3.538599999999999671e-08
6.490000000000000213e+00 3.526920000000000059e-08
6.509999999999999787e+00 3.513670000000000255e-08
6.530000000000000249e+00 3.498949999999999710e-08
6.549999999999999822e+00 3.482799999999999926e-08
6.570000000000000284e+00 3.465290000000000056e-08
6.589999999999999858e+00 3.446499999999999793e-08
6.610000000000000320e+00 3.426489999999999735e-08
6.629999999999999893e+00 3.405300000000000059e-08
6.650000000000000355e+00 3.383019999999999677e-08
6.669999999999999929e+00 3.359699999999999968e-08
6.690000000000000391e+00 3.335400000000000207e-08
6.709999999999999964e+00 3.310169999999999789e-08
6.730000000000000426e+00 3.284079999999999851e-08
6.750000000000000000e+00 3.257179999999999789e-08
6.769999999999999574e+00 3.229509999999999780e-08
6.790000000000000036e+00 3.201140000000000301e-08
6.809999999999999609e+00 3.172110000000000206e-08
6.830000000000000071e+00 3.142470000000000213e-08
6.849999999999999645e+00 3.112269999999999717e-08
6.870000000000000107e+00 3.081539999999999680e-08
6.889999999999999680e+00 3.050340000000000036e-08
6.910000000000000142e+00 3.018710000000000301e-08
6.929999999999999716e+00 2.986670000000000234e-08
6.950000000000000178e+00 2.954280000000000101e-08
6.969999999999999751e+00 2.921559999999999990e-08
6.990000000000000213e+00 2.888550000000000081e-08
7.009999999999999787e+00 2.855280000000000008e-08
7.030000000000000249e+00 2.821789999999999951e-08
7.049999999999999822e+00 2.788090000000000119e-08
7.070000000000000284e+00 2.754220000000000028e-08
7.089999999999999858e+00 2.720209999999999977e-08
7.110000000000000320e+00 2.686080000000000055e-08
7.129999999999999893e+00 2.651850000000000019e-08
7.150000000000000355e+00 2.617539999999999959e-08
7.169999999999999929e+00 2.583179999999999842e-08
7.190000000000000391e+00 2.548790000000000088e-08
7.209999999999999964e+00 2.514379999999999914e-08
7.230000000000000426e+00 2.479979999999999950e-08
7.259999999999999787e+00 2.445589999999999865e-08
7.280000000000000249e+00 2.411249999999999837e-08
7.299999999999999822e+00 2.376949999999999986e-08
7.320000000000000284e+00 2.342730000000000160e-08
7.339999999999999858e+00 2.308580000000000149e-08
7.360000000000000320e+00 2.274529999999999920e-08
7.379999999999999893e+00 2.240590000000000014e-08
7.400000000000000355e+00 2.206769999999999980e-08
7.419999999999999929e+00 2.173089999999999906e-08
7.440000000000000391e+00 2.139560000000000002e-08
7.459999999999999964e+00 2.106179999999999938e-08
7.480000000000000426e+00 2.072970000000000132e-08
7.500000000000000000e+00 2.039950000000000012e-08
7.519999999999999574e+00 2.007110000000000031e-08
7.540000000000000036e+00 1.974480000000000155e-08
7.559999999999999609e+00 1.942060000000000054e-08
7.580000000000000071e+00 1.909859999999999937e-08
7.599999999999999645e+00 1.877890000000000016e-08
7.620000000000000107e+00 1.846170000000000047e-08
7.639999999999999680e+00 1.814700000000000030e-08
7.660000000000000142e+00 1.783479999999999966e-08
7.679999999999999716e+00 1.752529999999999944e-08
7.700000000000000178e+00 1.721859999999999842e-08
7.719999999999999751e+00 1.691469999999999992e-08
7.740000000000000213e+00 1.661380000000000150e-08
7.759999999999999787e+00 1.631580000000000108e-08
7.780000000000000249e+00 1.602080000000000076e-08
7.799999999999999822e+00 1.572900000000000142e-08
7.820000000000000284e+00 1.544039999999999974e-08
7.839999999999999858e+00 1.515499999999999905e-08
7.860000000000000320e+00 1.487289999999999979e-08
7.879999999999999893e+00 1.459420000000000074e-08
7.900000000000000355e+00 1.431879999999999981e-08
7.919999999999999929e+00 1.404689999999999954e-08
7.940000000000000391e+00 1.377849999999999993e-08
7.959999999999999964e+00 1.351359999999999933e-08
7.980000000000000426e+00 1.325219999999999938e-08
8.000000000000000000e+00 1.299440000000000054e-08
8.019999999999999574e+00 1.274019999999999949e-08
8.039999999999999147e+00 1.248970000000000000e-08
8.060000000000000497e+00 1.224269999999999951e-08
8.080000000000000071e+00 1.199940000000000056e-08
8.099999999999999645e+00 1.175979999999999986e-08
8.119999999999999218e+00 1.152390000000000071e-08
8.140000000000000568e+00 1.129159999999999935e-08
8.160000000000000142e+00 1.106290000000000075e-08
8.179999999999999716e+00 1.083799999999999918e-08
8.199999999999999289e+00 1.061670000000000036e-08
8.220000000000000639e+00 1.039899999999999935e-08
8.240000000000000213e+00 1.018499999999999988e-08
8.259999999999999787e+00 9.974560000000000347e-09
8.279999999999999361e+00 9.767759999999999779e-09
8.300000000000000711e+00 9.564520000000000799e-09
8.320000000000000284e+00 9.364840000000000099e-09
8.339999999999999858e+00 9.168689999999999696e-09
8.359999999999999432e+00 8.976039999999999953e-09
8.380000000000000782e+00 8.786869999999999457e-09
8.400000000000000355e+00 8.601150000000000227e-09
8.419999999999999929e+00 8.418829999999999558e-09
8.439999999999999503e+00 8.239889999999999346e-09
8.460000000000000853e+00 8.064290000000000077e-09
8.480000000000000426e+00 7.892000000000000458e-09
8.500000000000000000e+00 7.722969999999999440e-09
