# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 1.401299999999999954e-45
4.929999999999999716e+00 4.203900000000000237e-44
4.950000000000000178e+00 1.310209999999999999e-42
4.969999999999999751e+00 3.547529999999999807e-41
4.990000000000000213e+00 8.280809999999999271e-40
5.009999999999999787e+00 1.678120000000000123e-38
5.030000000000000249e+00 2.971770000000000122e-37
5.049999999999999822e+00 4.626269999999999791e-36
5.070000000000000284e+00 6.368790000000000037e-35
5.089999999999999858e+00 7.795720000000000686e-34
5.110000000000000320e+00 8.530670000000000276e-33
5.129999999999999893e+00 8.386650000000000439e-32
5.150000000000000355e+00 7.444190000000000359e-31
5.169999999999999929e+00 5.992890000000000062e-30
5.190000000000000391e+00 4.395420000000000154e-29
5.209999999999999964e+00 2.949159999999999886e-28
5.230000000000000426e+00 1.817660000000000159e-27
5.250000000000000000e+00 1.032950000000000037e-26
5.269999999999999574e+00 5.432539999999999882e-26
5.290000000000000036e+00 2.653519999999999889e-25
5.309999999999999609e+00 1.207740000000000089e-24
5.330000000000000071e+00 5.138340000000000164e-24
5.349999999999999645e+00 2.049810000000000083e-23
5.370000000000000107e+00 7.689910000000000295e-23
5.389999999999999680e+00 2.720419999999999839e-22
5.410000000000000142e+00 9.099140000000000440e-22
5.429999999999999716e+00 2.884860000000000071e-21
5.450000000000000178e+00 8.691020000000000339e-21
5.469999999999999751e+00 2.493620000000000061e-20
5.490000000000000213e+00 6.828890000000000184e-20
5.509999999999999787e+00 1.788770000000000026e-19
5.530000000000000249e+00 4.490830000000000008e-19
5.549999999999999822e+00 1.082649999999999975e-18
5.570000000000000284e+00 2.510880000000000001e-18
5.589999999999999858e+00 5.611930000000000151e-18
5.610000000000000320e+00 1.210809999999999954e-17
5.629999999999999893e+00 2.525830000000000064e-17
5.650000000000000355e+00 5.102120000000000089e-17
5.669999999999999929e+00 9.994350000000000133e-17
5.690000000000000391e+00 1.901180000000000110e-16
5.709999999999999964e+00 3.516650000000000158e-16
5.730000000000000426e+00 6.333030000000000082e-16
5.750000000000000000e+00 1.111749999999999971e-15
5.769999999999999574e+00 1.904649999999999898e-15
5.790000000000000036e+00 3.187930000000000114e-15
5.809999999999999609e+00 5.204299999999999784e-15
5.830000000000000071e+00 8.221369999999999720e-15
5.849999999999999645e+00 1.277719999999999944e-14
5.870000000000000107e+00 1.953650000000000023e-14
5.889999999999999680e+00 2.939460000000000003e-14
5.910000000000000142e+00 4.353020000000000040e-14
5.929999999999999716e+00 6.346589999999999971e-14
5.950000000000000178e+00 9.112909999999999688e-14
5.969999999999999751e+00 1.289209999999999916e-13
5.990000000000000213e+00 1.797750000000000090e-13
6.009999999999999787e+00 2.472159999999999939e-13
6.030000000000000249e+00 3.354000000000000148e-13
6.049999999999999822e+00 4.491730000000000087e-13
6.070000000000000284e+00 5.940760000000000427e-13
6.089999999999999858e+00 7.763570000000000209e-13
6.110000000000000320e+00 1.002969999999999916e-12
6.129999999999999893e+00 1.281510000000000060e-12
6.150000000000000355e+00 1.620260000000000005e-12
6.169999999999999929e+00 2.027960000000000176e-12
6.190000000000000391e+00 2.513889999999999904e-12
6.209999999999999964e+00 3.087669999999999908e-12
6.230000000000000426e+00 3.759180000000000144e-12
6.250000000000000000e+00 4.538400000000000130e-12
6.269999999999999574e+00 5.435309999999999788e-12
6.290000000000000036e+00 6.459730000000000385e-12
6.309999999999999609e+00 7.621299999999999443e-12
6.330000000000000071e+00 8.929060000000000325e-12
6.349999999999999645e+00 1.039160000000000027e-11
6.370000000000000107e+00 1.201680000000000025e-11
6.389999999999999680e+00 1.381190000000000015e-11
6.410000000000000142e+00 1.578280000000000016e-11
6.429999999999999716e+00 1.793500000000000062e-11
6.450000000000000178e+00 2.027250000000000030e-11
6.469999999999999751e+00 2.279819999999999953e-11
6.490000000000000213e+00 2.551399999999999973e-11
6.509999999999999787e+00 2.842050000000000153e-11
6.530000000000000249e+00 3.151709999999999785e-11
6.549999999999999822e+00 3.480189999999999694e-11
6.570000000000000284e+00 3.827169999999999978e-11
6.589999999999999858e+00 4.192239999999999835e-11
6.610000000000000320e+00 4.574849999999999717e-11
6.629999999999999893e+00 4.974349999999999862e-11
6.650000000000000355e+00 5.389969999999999741e-11
6.669999999999999929e+00 5.820880000000000376e-11
6.690000000000000391e+00 6.266150000000000639e-11
6.709999999999999964e+00 6.724739999999999879e-11
6.730000000000000426e+00 7.195559999999999603e-11
6.750000000000000000e+00 7.677469999999999597e-11
6.769999999999999574e+00 8.169289999999999817e-11
6.790000000000000036e+00 8.669760000000000572e-11
6.809999999999999609e+00 9.177599999999999668e-11
6.830000000000000071e+00 9.691539999999999395e-11
6.849999999999999645e+00 1.021030000000000014e-10
6.870000000000000107e+00 1.073250000000000016e-10
6.889999999999999680e+00 1.125680000000000010e-10
6.910000000000000142e+00 1.178209999999999957e-10
6.929999999999999716e+00 1.230699999999999948e-10
6.950000000000000178e+00 1.283020000000000032e-10
6.969999999999999751e+00 1.335060000000000041e-10
6.990000000000000213e+00 1.386699999999999978e-10
7.009999999999999787e+00 1.437829999999999935e-10
7.030000000000000249e+00 1.488340000000000001e-10
7.049999999999999822e+00 1.538120000000000009e-10
7.070000000000000284e+00 1.587079999999999962e-10
7.089999999999999858e+00 1.635130000000000122e-10
7.110000000000000320e+00 1.682169999999999889e-10
7.129999999999999893e+00 1.728140000000000042e-10
7.150000000000000355e+00 1.772950000000000066e-10
7.169999999999999929e+00 1.816529999999999878e-10
7.190000000000000391e+00 1.858830000000000084e-10
7.209999999999999964e+00 1.899780000000000082e-10
7.230000000000000426e+00 1.939329999999999961e-10
7.259999999999999787e+00 1.977439999999999894e-10
7.280000000000000249e+00 2.014070000000000056e-10
7.299999999999999822e+00 2.049180000000000104e-10
7.320000000000000284e+00 2.082740000000000037e-10
7.339999999999999858e+00 2.114729999999999944e-10
7.360000000000000320e+00 2.145120000000000085e-10
7.379999999999999893e+00 2.173909999999999941e-10
7.400000000000000355e+00 2.201070000000000031e-10
7.419999999999999929e+00 2.226609999999999924e-10
7.440000000000000391e+00 2.250509999999999966e-10
7.459999999999999964e+00 2.272790000000000069e-10
7.480000000000000426e+00 2.293439999999999889e-10
7.500000000000000000e+00 2.312480000000000115e-10
7.519999999999999574e+00 2.329909999999999971e-10
7.540000000000000036e+00 2.345759999999999973e-10
7.559999999999999609e+00 2.360029999999999863e-10
7.580000000000000071e+00 2.372749999999999897e-10
7.599999999999999645e+00 2.383940000000000248e-10
7.620000000000000107e+00 2.393630000000000139e-10
7.639999999999999680e+00 2.401839999999999742e-10
7.660000000000000142e+00 2.408609999999999916e-10
7.679999999999999716e+00 2.413959999999999799e-10
7.700000000000000178e+00 2.417930000000000252e-10
7.719999999999999751e+00 2.420549999999999980e-10
7.740000000000000213e+00 2.421859999999999844e-10
7.759999999999999787e+00 2.421900000000000188e-10
7.780000000000000249e+00 2.420709999999999802e-10
7.799999999999999822e+00 2.418309999999999893e-10
7.820000000000000284e+00 2.414759999999999941e-10
7.839999999999999858e+00 2.410090000000000205e-10
7.860000000000000320e+00 2.404339999999999992e-10
7.879999999999999893e+00 2.397550000000000163e-10
7.900000000000000355e+00 2.389770000000000113e-10
7.919999999999999929e+00 2.381030000000000100e-10
7.940000000000000391e+00 2.371369999999999950e-10
7.959999999999999964e+00 2.360830000000000005e-10
7.980000000000000426e+00 2.349460000000000177e-10
8.000000000000000000e+00 2.337280000000000122e-10
8.019999999999999574e+00 2.324340000000000010e-10
8.039999999999999147e+00 2.310679999999999924e-10
8.060000000000000497e+00 2.296330000000000124e-10
8.080000000000000071e+00 2.281320000000000090e-10
8.099999999999999645e+00 2.265699999999999993e-10
8.119999999999999218e+00 2.249490000000000004e-10
8.140000000000000568e+00 2.232720000000000123e-10
8.160000000000000142e+00 2.215429999999999917e-10
8.179999999999999716e+00 2.197640000000000075e-10
8.199999999999999289e+00 2.179389999999999905e-10
8.220000000000000639e+00 2.160700000000000097e-10
8.240000000000000213e+00 2.141609999999999959e-10
8.259999999999999787e+00 2.122120000000000009e-10
8.279999999999999361e+00 2.102270000000000072e-10
8.300000000000000711e+00 2.082089999999999890e-10
8.320000000000000284e+00 2.061579999999999978e-10
8.339999999999999858e+00 2.040789999999999991e-10
8.359999999999999432e+00 2.019710000000000101e-10
8.380000000000000782e+00 1.998389999999999962e-10
8.400000000000000355e+00 1.976820000000000004e-10
8.419999999999999929e+00 1.955029999999999969e-10
8.439999999999999503e+00 1.933050000000000113e-10
8.460000000000000853e+00 1.910870000000000092e-10
8.480000000000000426e+00 1.888529999999999991e-10
8.500000000000000000e+00 1.866030000000000069e-10
