# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.969999999999999751e+00 0.000000000000000000e+00
4.990000000000000213e+00 0.000000000000000000e+00
5.009999999999999787e+00 1.261170000000000021e-44
5.030000000000000249e+00 3.853569999999999778e-43
5.049999999999999822e+00 1.057699999999999961e-41
5.070000000000000284e+00 2.502510000000000064e-40
5.089999999999999858e+00 5.136989999999999735e-39
5.110000000000000320e+00 9.209359999999999598e-38
5.129999999999999893e+00 1.450550000000000055e-36
5.150000000000000355e+00 2.019400000000000026e-35
5.169999999999999929e+00 2.498389999999999886e-34
5.190000000000000391e+00 2.761950000000000127e-33
5.209999999999999964e+00 2.741899999999999787e-32
5.230000000000000426e+00 2.456509999999999995e-31
5.250000000000000000e+00 1.995230000000000117e-30
5.269999999999999574e+00 1.475769999999999990e-29
5.290000000000000036e+00 9.982760000000000517e-29
5.309999999999999609e+00 6.200459999999999661e-28
5.330000000000000071e+00 3.549730000000000140e-27
5.349999999999999645e+00 1.880079999999999948e-26
5.370000000000000107e+00 9.245259999999999565e-26
5.389999999999999680e+00 4.235060000000000113e-25
5.410000000000000142e+00 1.812900000000000102e-24
5.429999999999999716e+00 7.274579999999999919e-24
5.450000000000000178e+00 2.744369999999999733e-23
5.469999999999999751e+00 9.760620000000000043e-23
5.490000000000000213e+00 3.281369999999999983e-22
5.509999999999999787e+00 1.045429999999999924e-21
5.530000000000000249e+00 3.164170000000000182e-21
5.549999999999999822e+00 9.118990000000000003e-21
5.570000000000000284e+00 2.507869999999999872e-20
5.589999999999999858e+00 6.595800000000000516e-20
5.610000000000000320e+00 1.662329999999999998e-19
5.629999999999999893e+00 4.022339999999999795e-19
5.650000000000000355e+00 9.361559999999999820e-19
5.669999999999999929e+00 2.099390000000000043e-18
5.690000000000000391e+00 4.544149999999999814e-18
5.709999999999999964e+00 9.508509999999999643e-18
5.730000000000000426e+00 1.926320000000000085e-17
5.750000000000000000e+00 3.783949999999999961e-17
5.769999999999999574e+00 7.217299999999999953e-17
5.790000000000000036e+00 1.338380000000000115e-16
5.809999999999999609e+00 2.416129999999999977e-16
5.830000000000000071e+00 4.251360000000000218e-16
5.849999999999999645e+00 7.299629999999999853e-16
5.870000000000000107e+00 1.224379999999999988e-15
5.889999999999999680e+00 2.005440000000000102e-15
5.910000000000000142e+00 3.161809999999999997e-15
5.929999999999999716e+00 4.908250000000000032e-15
5.950000000000000178e+00 7.501650000000000718e-15
5.969999999999999751e+00 1.128809999999999976e-14
5.990000000000000213e+00 1.672469999999999979e-14
6.009999999999999787e+00 2.440320000000000021e-14
6.030000000000000249e+00 3.507439999999999896e-14
6.049999999999999822e+00 4.967520000000000224e-14
6.070000000000000284e+00 6.934930000000000218e-14
6.089999999999999858e+00 9.547259999999999498e-14
6.110000000000000320e+00 1.296720000000000103e-13
6.129999999999999893e+00 1.738409999999999910e-13
6.150000000000000355e+00 2.301459999999999970e-13
6.169999999999999929e+00 3.010229999999999786e-13
6.190000000000000391e+00 3.891870000000000157e-13
6.209999999999999964e+00 4.976059999999999499e-13
6.230000000000000426e+00 6.294929999999999916e-13
6.250000000000000000e+00 7.882600000000000158e-13
6.269999999999999574e+00 9.774879999999999643e-13
6.290000000000000036e+00 1.200920000000000097e-12
6.309999999999999609e+00 1.462349999999999923e-12
6.330000000000000071e+00 1.765659999999999971e-12
6.349999999999999645e+00 2.114650000000000082e-12
6.370000000000000107e+00 2.513109999999999982e-12
6.389999999999999680e+00 2.964689999999999962e-12
6.410000000000000142e+00 3.472859999999999805e-12
6.429999999999999716e+00 4.040850000000000094e-12
6.450000000000000178e+00 4.671679999999999739e-12
6.469999999999999751e+00 5.367980000000000317e-12
6.490000000000000213e+00 6.132049999999999907e-12
6.509999999999999787e+00 6.965820000000000302e-12
6.530000000000000249e+00 7.870780000000000517e-12
6.549999999999999822e+00 8.847990000000000147e-12
6.570000000000000284e+00 9.898040000000000504e-12
6.589999999999999858e+00 1.102109999999999956e-11
6.610000000000000320e+00 1.221680000000000021e-11
6.629999999999999893e+00 1.348430000000000061e-11
6.650000000000000355e+00 1.482229999999999996e-11
6.669999999999999929e+00 1.622909999999999918e-11
6.690000000000000391e+00 1.770259999999999931e-11
6.709999999999999964e+00 1.924019999999999874e-11
6.730000000000000426e+00 2.083880000000000123e-11
6.750000000000000000e+00 2.249509999999999853e-11
6.769999999999999574e+00 2.420549999999999980e-11
6.790000000000000036e+00 2.596599999999999982e-11
6.809999999999999609e+00 2.777220000000000156e-11
6.830000000000000071e+00 2.961979999999999785e-11
6.849999999999999645e+00 3.150420000000000222e-11
6.870000000000000107e+00 3.342039999999999763e-11
6.889999999999999680e+00 3.536349999999999891e-11
6.910000000000000142e+00 3.732860000000000151e-11
6.929999999999999716e+00 3.931070000000000131e-11
6.950000000000000178e+00 4.130460000000000153e-11
6.969999999999999751e+00 4.330529999999999805e-11
6.990000000000000213e+00 4.530789999999999923e-11
7.009999999999999787e+00 4.730740000000000096e-11
7.030000000000000249e+00 4.929919999999999738e-11
7.049999999999999822e+00 5.127850000000000289e-11
7.070000000000000284e+00 5.324099999999999740e-11
7.089999999999999858e+00 5.518230000000000005e-11
7.110000000000000320e+00 5.709820000000000322e-11
7.129999999999999893e+00 5.898480000000000449e-11
7.150000000000000355e+00 6.083849999999999366e-11
7.169999999999999929e+00 6.265570000000000574e-11
7.190000000000000391e+00 6.443320000000000297e-11
7.209999999999999964e+00 6.616790000000000526e-11
7.230000000000000426e+00 6.785710000000000497e-11
7.259999999999999787e+00 6.949820000000000047e-11
7.280000000000000249e+00 7.108869999999999616e-11
7.299999999999999822e+00 7.262660000000000075e-11
7.320000000000000284e+00 7.411000000000000309e-11
7.339999999999999858e+00 7.553729999999999722e-11
7.360000000000000320e+00 7.690670000000000389e-11
7.379999999999999893e+00 7.821729999999999469e-11
7.400000000000000355e+00 7.946790000000000069e-11
7.419999999999999929e+00 8.065760000000000641e-11
7.440000000000000391e+00 8.178569999999999552e-11
7.459999999999999964e+00 8.285179999999999559e-11
7.480000000000000426e+00 8.385529999999999631e-11
7.500000000000000000e+00 8.479619999999999768e-11
7.519999999999999574e+00 8.567439999999999368e-11
7.540000000000000036e+00 8.649009999999999635e-11
7.559999999999999609e+00 8.724339999999999881e-11
7.580000000000000071e+00 8.793469999999999931e-11
7.599999999999999645e+00 8.856459999999999524e-11
7.620000000000000107e+00 8.913360000000000382e-11
7.639999999999999680e+00 8.964249999999999572e-11
7.660000000000000142e+00 9.009200000000000022e-11
7.679999999999999716e+00 9.048320000000000607e-11
7.700000000000000178e+00 9.081689999999999686e-11
7.719999999999999751e+00 9.109430000000000616e-11
7.740000000000000213e+00 9.131660000000000290e-11
7.759999999999999787e+00 9.148490000000000169e-11
7.780000000000000249e+00 9.160050000000000334e-11
7.799999999999999822e+00 9.166480000000000176e-11
7.820000000000000284e+00 9.167920000000000380e-11
7.839999999999999858e+00 9.164510000000000337e-11
7.860000000000000320e+00 9.156389999999999438e-11
7.879999999999999893e+00 9.143710000000000264e-11
7.900000000000000355e+00 9.126629999999999533e-11
7.919999999999999929e+00 9.105299999999999825e-11
7.940000000000000391e+00 9.079869999999999841e-11
7.959999999999999964e+00 9.050500000000000179e-11
7.980000000000000426e+00 9.017350000000000144e-11
8.000000000000000000e+00 8.980560000000000419e-11
8.019999999999999574e+00 8.940299999999999619e-11
8.039999999999999147e+00 8.896720000000000324e-11
8.060000000000000497e+00 8.849960000000000632e-11
8.080000000000000071e+00 8.800190000000000451e-11
8.099999999999999645e+00 8.747539999999999863e-11
8.119999999999999218e+00 8.692160000000000153e-11
8.140000000000000568e+00 8.634189999999999422e-11
8.160000000000000142e+00 8.573760000000000335e-11
8.179999999999999716e+00 8.511020000000000301e-11
8.199999999999999289e+00 8.446099999999999402e-11
8.220000000000000639e+00 8.379110000000000392e-11
8.240000000000000213e+00 8.310190000000000075e-11
8.259999999999999787e+00 8.239449999999999914e-11
8.279999999999999361e+00 8.167000000000000077e-11
8.300000000000000711e+00 8.092960000000000041e-11
8.320000000000000284e+00 8.017429999999999372e-11
8.339999999999999858e+00 7.940510000000000221e-11
8.359999999999999432e+00 7.862290000000000257e-11
8.380000000000000782e+00 7.782879999999999649e-11
8.400000000000000355e+00 7.702369999999999945e-11
8.419999999999999929e+00 7.620819999999999591e-11
8.439999999999999503e+00 7.538340000000000047e-11
8.460000000000000853e+00 7.454989999999999761e-11
8.480000000000000426e+00 7.370849999999999677e-11
8.500000000000000000e+00 7.285979999999999535e-11
