# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 1.401300000000000079e-44
3.779999999999999805e+00 5.703280000000000212e-43
3.799999999999999822e+00 2.057529999999999925e-41
3.819999999999999840e+00 6.320949999999999883e-40
3.839999999999999858e+00 1.665040000000000010e-38
3.859999999999999876e+00 3.787569999999999828e-37
3.879999999999999893e+00 7.488739999999999905e-36
3.899999999999999911e+00 1.295279999999999961e-34
3.919999999999999929e+00 1.971679999999999887e-33
3.939999999999999947e+00 2.656680000000000024e-32
3.959999999999999964e+00 3.186069999999999931e-31
3.979999999999999982e+00 3.418820000000000168e-30
4.000000000000000000e+00 3.298999999999999967e-29
4.019999999999999574e+00 2.876540000000000059e-28
4.040000000000000036e+00 2.276640000000000096e-27
4.059999999999999609e+00 1.642850000000000044e-26
4.080000000000000071e+00 1.085310000000000077e-25
4.099999999999999645e+00 6.590469999999999624e-25
4.120000000000000107e+00 3.692780000000000326e-24
4.139999999999999680e+00 1.916139999999999920e-23
4.160000000000000142e+00 9.239089999999999564e-23
4.179999999999999716e+00 4.153509999999999773e-22
4.200000000000000178e+00 1.746510000000000059e-21
4.219999999999999751e+00 6.889709999999999444e-21
4.240000000000000213e+00 2.557039999999999937e-20
4.259999999999999787e+00 8.953539999999999650e-20
4.280000000000000249e+00 2.965689999999999913e-19
4.299999999999999822e+00 9.315300000000000037e-19
4.320000000000000284e+00 2.781470000000000192e-18
4.339999999999999858e+00 7.912749999999999746e-18
4.360000000000000320e+00 2.149459999999999963e-17
4.379999999999999893e+00 5.586819999999999982e-17
4.400000000000000355e+00 1.392260000000000017e-16
4.419999999999999929e+00 3.332729999999999922e-16
4.440000000000000391e+00 7.677419999999999628e-16
4.459999999999999964e+00 1.704909999999999930e-15
4.480000000000000426e+00 3.655879999999999760e-15
4.500000000000000000e+00 7.581590000000000199e-15
4.519999999999999574e+00 1.522920000000000063e-14
4.540000000000000036e+00 2.967239999999999835e-14
4.559999999999999609e+00 5.615650000000000285e-14
4.580000000000000071e+00 1.033660000000000061e-13
4.599999999999999645e+00 1.852850000000000026e-13
4.620000000000000107e+00 3.238170000000000125e-13
4.639999999999999680e+00 5.524050000000000075e-13
4.660000000000000142e+00 9.208590000000000044e-13
4.679999999999999716e+00 1.492940000000000099e-12
4.700000000000000178e+00 2.348690000000000163e-12
4.719999999999999751e+00 3.631769999999999983e-12
4.740000000000000213e+00 5.520990000000000288e-12
4.769999999999999574e+00 8.254039999999999835e-12
4.790000000000000036e+00 1.214029999999999988e-11
4.809999999999999609e+00 1.757469999999999942e-11
4.830000000000000071e+00 2.505169999999999917e-11
4.849999999999999645e+00 3.517809999999999689e-11
4.870000000000000107e+00 4.868749999999999989e-11
4.889999999999999680e+00 6.644949999999999630e-11
4.910000000000000142e+00 8.947869999999999677e-11
4.929999999999999716e+00 1.189379999999999878e-10
4.950000000000000178e+00 1.561409999999999988e-10
4.969999999999999751e+00 2.025469999999999883e-10
4.990000000000000213e+00 2.597570000000000161e-10
5.009999999999999787e+00 3.294919999999999826e-10
5.030000000000000249e+00 4.135879999999999991e-10
5.049999999999999822e+00 5.139590000000000447e-10
5.070000000000000284e+00 6.325889999999999752e-10
5.089999999999999858e+00 7.714840000000000420e-10
5.110000000000000320e+00 9.326639999999999962e-10
5.129999999999999893e+00 1.118100000000000099e-09
5.150000000000000355e+00 1.329729999999999915e-09
5.169999999999999929e+00 1.569360000000000048e-09
5.190000000000000391e+00 1.838700000000000072e-09
5.209999999999999964e+00 2.139270000000000203e-09
5.230000000000000426e+00 2.472450000000000080e-09
5.250000000000000000e+00 2.839360000000000005e-09
5.269999999999999574e+00 3.240940000000000184e-09
5.290000000000000036e+00 3.677869999999999832e-09
5.309999999999999609e+00 4.150569999999999658e-09
5.330000000000000071e+00 4.659170000000000156e-09
5.349999999999999645e+00 5.203550000000000296e-09
5.370000000000000107e+00 5.783370000000000058e-09
5.389999999999999680e+00 6.397940000000000346e-09
5.410000000000000142e+00 7.046359999999999643e-09
5.429999999999999716e+00 7.727439999999999942e-09
5.450000000000000178e+00 8.439840000000000088e-09
5.469999999999999751e+00 9.181900000000000315e-09
5.490000000000000213e+00 9.951789999999999607e-09
5.509999999999999787e+00 1.074750000000000078e-08
5.530000000000000249e+00 1.156700000000000028e-08
5.549999999999999822e+00 1.240780000000000010e-08
5.570000000000000284e+00 1.326749999999999952e-08
5.589999999999999858e+00 1.414369999999999946e-08
5.610000000000000320e+00 1.503379999999999993e-08
5.629999999999999893e+00 1.593500000000000008e-08
5.650000000000000355e+00 1.684479999999999874e-08
5.669999999999999929e+00 1.776049999999999879e-08
5.690000000000000391e+00 1.867939999999999983e-08
5.709999999999999964e+00 1.959899999999999901e-08
5.730000000000000426e+00 2.051650000000000044e-08
5.750000000000000000e+00 2.142950000000000008e-08
5.769999999999999574e+00 2.233569999999999929e-08
5.790000000000000036e+00 2.323259999999999854e-08
5.809999999999999609e+00 2.411810000000000008e-08
5.830000000000000071e+00 2.499000000000000076e-08
5.849999999999999645e+00 2.584630000000000162e-08
5.870000000000000107e+00 2.668509999999999918e-08
5.889999999999999680e+00 2.750479999999999957e-08
5.910000000000000142e+00 2.830360000000000140e-08
5.929999999999999716e+00 2.908020000000000056e-08
5.950000000000000178e+00 2.983309999999999865e-08
5.969999999999999751e+00 3.056120000000000237e-08
5.990000000000000213e+00 3.126340000000000187e-08
6.009999999999999787e+00 3.193870000000000263e-08
6.030000000000000249e+00 3.258639999999999989e-08
6.049999999999999822e+00 3.320569999999999670e-08
6.070000000000000284e+00 3.379609999999999913e-08
6.089999999999999858e+00 3.435709999999999998e-08
6.110000000000000320e+00 3.488829999999999749e-08
6.129999999999999893e+00 3.538950000000000068e-08
6.150000000000000355e+00 3.586059999999999753e-08
6.169999999999999929e+00 3.630139999999999709e-08
6.190000000000000391e+00 3.671189999999999934e-08
6.209999999999999964e+00 3.709240000000000066e-08
6.230000000000000426e+00 3.744280000000000226e-08
6.250000000000000000e+00 3.776349999999999931e-08
6.269999999999999574e+00 3.805480000000000139e-08
6.290000000000000036e+00 3.831699999999999827e-08
6.309999999999999609e+00 3.855059999999999714e-08
6.330000000000000071e+00 3.875590000000000097e-08
6.349999999999999645e+00 3.893350000000000250e-08
6.370000000000000107e+00 3.908400000000000110e-08
6.389999999999999680e+00 3.920789999999999734e-08
6.410000000000000142e+00 3.930579999999999718e-08
6.429999999999999716e+00 3.937829999999999997e-08
6.450000000000000178e+00 3.942620000000000267e-08
6.469999999999999751e+00 3.945009999999999801e-08
6.490000000000000213e+00 3.945069999999999737e-08
6.509999999999999787e+00 3.942879999999999768e-08
6.530000000000000249e+00 3.938499999999999831e-08
6.549999999999999822e+00 3.932010000000000280e-08
6.570000000000000284e+00 3.923490000000000148e-08
6.589999999999999858e+00 3.913009999999999912e-08
6.610000000000000320e+00 3.900640000000000046e-08
6.629999999999999893e+00 3.886470000000000125e-08
6.650000000000000355e+00 3.870569999999999963e-08
6.669999999999999929e+00 3.853019999999999915e-08
6.690000000000000391e+00 3.833889999999999796e-08
6.709999999999999964e+00 3.813259999999999961e-08
6.730000000000000426e+00 3.791189999999999685e-08
6.750000000000000000e+00 3.767769999999999863e-08
6.769999999999999574e+00 3.743059999999999769e-08
6.790000000000000036e+00 3.717139999999999760e-08
6.809999999999999609e+00 3.690069999999999769e-08
6.830000000000000071e+00 3.661930000000000154e-08
6.849999999999999645e+00 3.632770000000000309e-08
6.870000000000000107e+00 3.602660000000000048e-08
6.889999999999999680e+00 3.571669999999999847e-08
6.910000000000000142e+00 3.539860000000000306e-08
6.929999999999999716e+00 3.507280000000000156e-08
6.950000000000000178e+00 3.473999999999999873e-08
6.969999999999999751e+00 3.440060000000000299e-08
6.990000000000000213e+00 3.405520000000000044e-08
7.009999999999999787e+00 3.370429999999999827e-08
7.030000000000000249e+00 3.334839999999999705e-08
7.049999999999999822e+00 3.298799999999999734e-08
7.070000000000000284e+00 3.262350000000000093e-08
7.089999999999999858e+00 3.225530000000000296e-08
7.110000000000000320e+00 3.188379999999999861e-08
7.129999999999999893e+00 3.150950000000000167e-08
7.150000000000000355e+00 3.113270000000000190e-08
7.169999999999999929e+00 3.075370000000000227e-08
7.190000000000000391e+00 3.037279999999999917e-08
7.209999999999999964e+00 2.999040000000000099e-08
7.230000000000000426e+00 2.960689999999999958e-08
7.259999999999999787e+00 2.922230000000000155e-08
7.280000000000000249e+00 2.883710000000000085e-08
7.299999999999999822e+00 2.845149999999999838e-08
7.320000000000000284e+00 2.806559999999999953e-08
7.339999999999999858e+00 2.767979999999999948e-08
7.360000000000000320e+00 2.729429999999999910e-08
7.379999999999999893e+00 2.690920000000000051e-08
7.400000000000000355e+00 2.652470000000000127e-08
7.419999999999999929e+00 2.614099999999999896e-08
7.440000000000000391e+00 2.575830000000000110e-08
7.459999999999999964e+00 2.537679999999999864e-08
7.480000000000000426e+00 2.499650000000000152e-08
7.500000000000000000e+00 2.461769999999999948e-08
7.519999999999999574e+00 2.424060000000000002e-08
7.540000000000000036e+00 2.386510000000000106e-08
7.559999999999999609e+00 2.349149999999999896e-08
7.580000000000000071e+00 2.311989999999999913e-08
7.599999999999999645e+00 2.275040000000000035e-08
7.620000000000000107e+00 2.238310000000000142e-08
7.639999999999999680e+00 2.201819999999999992e-08
7.660000000000000142e+00 2.165569999999999916e-08
7.679999999999999716e+00 2.129580000000000002e-08
7.700000000000000178e+00 2.093849999999999919e-08
7.719999999999999751e+00 2.058400000000000088e-08
7.740000000000000213e+00 2.023229999999999847e-08
7.759999999999999787e+00 1.988359999999999946e-08
7.780000000000000249e+00 1.953790000000000054e-08
7.799999999999999822e+00 1.919530000000000050e-08
7.820000000000000284e+00 1.885590000000000144e-08
7.839999999999999858e+00 1.851979999999999885e-08
7.860000000000000320e+00 1.818710000000000144e-08
7.879999999999999893e+00 1.785779999999999928e-08
7.900000000000000355e+00 1.753189999999999898e-08
7.919999999999999929e+00 1.720970000000000024e-08
7.940000000000000391e+00 1.689099999999999885e-08
7.959999999999999964e+00 1.657599999999999901e-08
7.980000000000000426e+00 1.626479999999999950e-08
8.000000000000000000e+00 1.595740000000000034e-08
8.019999999999999574e+00 1.565369999999999941e-08
8.039999999999999147e+00 1.535399999999999971e-08
8.060000000000000497e+00 1.505810000000000035e-08
8.080000000000000071e+00 1.476620000000000056e-08
8.099999999999999645e+00 1.447830000000000035e-08
8.119999999999999218e+00 1.419439999999999970e-08
8.140000000000000568e+00 1.391450000000000029e-08
8.160000000000000142e+00 1.363869999999999923e-08
8.179999999999999716e+00 1.336689999999999941e-08
8.199999999999999289e+00 1.309919999999999960e-08
8.220000000000000639e+00 1.283549999999999936e-08
8.240000000000000213e+00 1.257599999999999959e-08
8.259999999999999787e+00 1.232059999999999983e-08
8.279999999999999361e+00 1.206919999999999964e-08
8.300000000000000711e+00 1.182189999999999947e-08
8.320000000000000284e+00 1.157860000000000053e-08
8.339999999999999858e+00 1.133950000000000039e-08
8.359999999999999432e+00 1.110429999999999938e-08
8.380000000000000782e+00 1.087320000000000005e-08
8.400000000000000355e+00 1.064610000000000028e-08
8.419999999999999929e+00 1.042289999999999965e-08
8.439999999999999503e+00 1.020380000000000068e-08
8.460000000000000853e+00 9.988470000000000767e-09
8.480000000000000426e+00 9.777079999999999494e-09
8.500000000000000000e+00 9.569549999999999488e-09
