# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 1.401299999999999954e-45
3.959999999999999964e+00 5.465059999999999630e-44
3.979999999999999982e+00 2.135580000000000047e-42
4.000000000000000000e+00 6.999770000000000381e-41
4.019999999999999574e+00 1.961919999999999890e-39
4.040000000000000036e+00 4.734619999999999800e-38
4.059999999999999609e+00 9.906090000000000730e-37
4.080000000000000071e+00 1.808309999999999908e-35
4.099999999999999645e+00 2.898049999999999947e-34
4.120000000000000107e+00 4.101830000000000330e-33
4.139999999999999680e+00 5.155899999999999483e-32
4.160000000000000142e+00 5.786120000000000114e-31
4.179999999999999716e+00 5.827400000000000273e-30
4.200000000000000178e+00 5.293180000000000054e-29
4.219999999999999751e+00 4.356289999999999628e-28
4.240000000000000213e+00 3.262760000000000002e-27
4.259999999999999787e+00 2.233560000000000098e-26
4.280000000000000249e+00 1.403249999999999930e-25
4.299999999999999822e+00 8.121639999999999890e-25
4.320000000000000284e+00 4.346809999999999934e-24
4.339999999999999858e+00 2.158830000000000050e-23
4.360000000000000320e+00 9.983530000000000064e-23
4.379999999999999893e+00 4.312589999999999741e-22
4.400000000000000355e+00 1.745610000000000002e-21
4.419999999999999929e+00 6.639889999999999958e-21
4.440000000000000391e+00 2.380260000000000109e-20
4.459999999999999964e+00 8.062640000000000216e-20
4.480000000000000426e+00 2.587339999999999824e-19
4.500000000000000000e+00 7.884839999999999946e-19
4.519999999999999574e+00 2.287330000000000139e-18
4.540000000000000036e+00 6.330090000000000188e-18
4.559999999999999609e+00 1.674870000000000087e-17
4.580000000000000071e+00 4.245229999999999712e-17
4.599999999999999645e+00 1.032840000000000060e-16
4.620000000000000107e+00 2.416379999999999833e-16
4.639999999999999680e+00 5.445890000000000225e-16
4.660000000000000142e+00 1.184379999999999930e-15
4.679999999999999716e+00 2.489539999999999823e-15
4.700000000000000178e+00 5.065429999999999955e-15
4.719999999999999751e+00 9.991449999999999484e-15
4.740000000000000213e+00 1.913250000000000077e-14
4.769999999999999574e+00 3.561380000000000295e-14
4.790000000000000036e+00 6.452399999999999850e-14
4.809999999999999609e+00 1.139239999999999950e-13
4.830000000000000071e+00 1.962519999999999901e-13
4.849999999999999645e+00 3.302109999999999851e-13
4.870000000000000107e+00 5.432610000000000214e-13
4.889999999999999680e+00 8.619569999999999793e-13
4.910000000000000142e+00 1.342390000000000099e-12
4.929999999999999716e+00 2.055059999999999929e-12
4.950000000000000178e+00 3.093500000000000097e-12
4.969999999999999751e+00 4.580470000000000171e-12
4.990000000000000213e+00 6.674119999999999838e-12
5.009999999999999787e+00 9.573520000000000186e-12
5.030000000000000249e+00 1.352570000000000001e-11
5.049999999999999822e+00 1.883059999999999854e-11
5.070000000000000284e+00 2.584690000000000046e-11
5.089999999999999858e+00 3.499540000000000253e-11
5.110000000000000320e+00 4.676259999999999706e-11
5.129999999999999893e+00 6.170060000000000146e-11
5.150000000000000355e+00 8.042830000000000132e-11
5.169999999999999929e+00 1.036259999999999997e-10
5.190000000000000391e+00 1.320349999999999995e-10
5.209999999999999964e+00 1.664429999999999959e-10
5.230000000000000426e+00 2.076849999999999916e-10
5.250000000000000000e+00 2.566249999999999798e-10
5.269999999999999574e+00 3.141470000000000216e-10
5.290000000000000036e+00 3.811449999999999799e-10
5.309999999999999609e+00 4.585009999999999762e-10
5.330000000000000071e+00 5.470749999999999952e-10
5.349999999999999645e+00 6.476939999999999970e-10
5.370000000000000107e+00 7.611380000000000035e-10
5.389999999999999680e+00 8.881170000000000052e-10
5.410000000000000142e+00 1.029260000000000021e-09
5.429999999999999716e+00 1.185119999999999936e-09
5.450000000000000178e+00 1.356159999999999999e-09
5.469999999999999751e+00 1.542709999999999939e-09
5.490000000000000213e+00 1.745009999999999954e-09
5.509999999999999787e+00 1.963179999999999832e-09
5.530000000000000249e+00 2.197229999999999866e-09
5.549999999999999822e+00 2.447029999999999976e-09
5.570000000000000284e+00 2.712340000000000169e-09
5.589999999999999858e+00 2.992810000000000132e-09
5.610000000000000320e+00 3.287989999999999934e-09
5.629999999999999893e+00 3.597290000000000096e-09
5.650000000000000355e+00 3.920040000000000041e-09
5.669999999999999929e+00 4.255479999999999867e-09
5.690000000000000391e+00 4.602760000000000347e-09
5.709999999999999964e+00 4.960950000000000327e-09
5.730000000000000426e+00 5.329050000000000328e-09
5.750000000000000000e+00 5.706009999999999820e-09
5.769999999999999574e+00 6.090760000000000172e-09
5.790000000000000036e+00 6.482150000000000410e-09
5.809999999999999609e+00 6.879019999999999681e-09
5.830000000000000071e+00 7.280209999999999616e-09
5.849999999999999645e+00 7.684539999999999604e-09
5.870000000000000107e+00 8.090819999999999984e-09
5.889999999999999680e+00 8.497890000000000730e-09
5.910000000000000142e+00 8.904610000000000748e-09
5.929999999999999716e+00 9.309850000000000478e-09
5.950000000000000178e+00 9.712519999999999874e-09
5.969999999999999751e+00 1.011159999999999970e-08
5.990000000000000213e+00 1.050599999999999991e-08
6.009999999999999787e+00 1.089490000000000050e-08
6.030000000000000249e+00 1.127719999999999989e-08
6.049999999999999822e+00 1.165219999999999994e-08
6.070000000000000284e+00 1.201910000000000040e-08
6.089999999999999858e+00 1.237709999999999937e-08
6.110000000000000320e+00 1.272560000000000081e-08
6.129999999999999893e+00 1.306379999999999949e-08
6.150000000000000355e+00 1.339140000000000072e-08
6.169999999999999929e+00 1.370769999999999972e-08
6.190000000000000391e+00 1.401229999999999968e-08
6.209999999999999964e+00 1.430489999999999927e-08
6.230000000000000426e+00 1.458510000000000002e-08
6.250000000000000000e+00 1.485260000000000060e-08
6.269999999999999574e+00 1.510719999999999845e-08
6.290000000000000036e+00 1.534870000000000098e-08
6.309999999999999609e+00 1.557700000000000111e-08
6.330000000000000071e+00 1.579200000000000006e-08
6.349999999999999645e+00 1.599370000000000113e-08
6.370000000000000107e+00 1.618210000000000102e-08
6.389999999999999680e+00 1.635710000000000093e-08
6.410000000000000142e+00 1.651889999999999845e-08
6.429999999999999716e+00 1.666750000000000019e-08
6.450000000000000178e+00 1.680300000000000164e-08
6.469999999999999751e+00 1.692569999999999915e-08
6.490000000000000213e+00 1.703559999999999936e-08
6.509999999999999787e+00 1.713310000000000073e-08
6.530000000000000249e+00 1.721819999999999995e-08
6.549999999999999822e+00 1.729120000000000001e-08
6.570000000000000284e+00 1.735240000000000059e-08
6.589999999999999858e+00 1.740210000000000136e-08
6.610000000000000320e+00 1.744040000000000111e-08
6.629999999999999893e+00 1.746780000000000042e-08
6.650000000000000355e+00 1.748450000000000016e-08
6.669999999999999929e+00 1.749080000000000003e-08
6.690000000000000391e+00 1.748699999999999969e-08
6.709999999999999964e+00 1.747350000000000092e-08
6.730000000000000426e+00 1.745050000000000131e-08
6.750000000000000000e+00 1.741839999999999932e-08
6.769999999999999574e+00 1.737750000000000125e-08
6.790000000000000036e+00 1.732819999999999895e-08
6.809999999999999609e+00 1.727079999999999872e-08
6.830000000000000071e+00 1.720569999999999901e-08
6.849999999999999645e+00 1.713310000000000073e-08
6.870000000000000107e+00 1.705330000000000024e-08
6.889999999999999680e+00 1.696680000000000142e-08
6.910000000000000142e+00 1.687390000000000064e-08
6.929999999999999716e+00 1.677469999999999999e-08
6.950000000000000178e+00 1.666979999999999883e-08
6.969999999999999751e+00 1.655929999999999926e-08
6.990000000000000213e+00 1.644369999999999854e-08
7.009999999999999787e+00 1.632309999999999877e-08
7.030000000000000249e+00 1.619789999999999842e-08
7.049999999999999822e+00 1.606840000000000047e-08
7.070000000000000284e+00 1.593479999999999920e-08
7.089999999999999858e+00 1.579740000000000089e-08
7.110000000000000320e+00 1.565649999999999862e-08
7.129999999999999893e+00 1.551229999999999988e-08
7.150000000000000355e+00 1.536499999999999895e-08
7.169999999999999929e+00 1.521500000000000092e-08
7.190000000000000391e+00 1.506240000000000126e-08
7.209999999999999964e+00 1.490740000000000086e-08
7.230000000000000426e+00 1.475029999999999941e-08
7.259999999999999787e+00 1.459120000000000065e-08
7.280000000000000249e+00 1.443030000000000051e-08
7.299999999999999822e+00 1.426790000000000033e-08
7.320000000000000284e+00 1.410410000000000054e-08
7.339999999999999858e+00 1.393899999999999995e-08
7.360000000000000320e+00 1.377279999999999942e-08
7.379999999999999893e+00 1.360569999999999987e-08
7.400000000000000355e+00 1.343780000000000006e-08
7.419999999999999929e+00 1.326920000000000046e-08
7.440000000000000391e+00 1.310010000000000029e-08
7.459999999999999964e+00 1.293049999999999955e-08
7.480000000000000426e+00 1.276069999999999958e-08
7.500000000000000000e+00 1.259070000000000037e-08
7.519999999999999574e+00 1.242050000000000028e-08
7.540000000000000036e+00 1.225040000000000063e-08
7.559999999999999609e+00 1.208029999999999932e-08
7.580000000000000071e+00 1.191049999999999935e-08
7.599999999999999645e+00 1.174079999999999982e-08
7.620000000000000107e+00 1.157159999999999921e-08
7.639999999999999680e+00 1.140269999999999993e-08
7.660000000000000142e+00 1.123429999999999956e-08
7.679999999999999716e+00 1.106650000000000020e-08
7.700000000000000178e+00 1.089930000000000020e-08
7.719999999999999751e+00 1.073279999999999999e-08
7.740000000000000213e+00 1.056699999999999960e-08
7.759999999999999787e+00 1.040199999999999944e-08
7.780000000000000249e+00 1.023789999999999998e-08
7.799999999999999822e+00 1.007469999999999955e-08
7.820000000000000284e+00 9.912449999999999204e-09
7.839999999999999858e+00 9.751209999999999872e-09
7.860000000000000320e+00 9.591039999999999173e-09
7.879999999999999893e+00 9.431979999999999931e-09
7.900000000000000355e+00 9.274070000000000008e-09
7.919999999999999929e+00 9.117370000000000332e-09
7.940000000000000391e+00 8.961910000000000540e-09
7.959999999999999964e+00 8.807730000000000148e-09
7.980000000000000426e+00 8.654890000000000084e-09
8.000000000000000000e+00 8.503410000000000107e-09
8.019999999999999574e+00 8.353339999999999611e-09
8.039999999999999147e+00 8.204700000000000009e-09
8.060000000000000497e+00 8.057540000000000695e-09
8.080000000000000071e+00 7.911879999999999773e-09
8.099999999999999645e+00 7.767769999999999947e-09
8.119999999999999218e+00 7.625219999999999441e-09
8.140000000000000568e+00 7.484269999999999426e-09
8.160000000000000142e+00 7.344939999999999660e-09
8.179999999999999716e+00 7.207249999999999901e-09
8.199999999999999289e+00 7.071239999999999665e-09
8.220000000000000639e+00 6.936919999999999657e-09
8.240000000000000213e+00 6.804309999999999636e-09
8.259999999999999787e+00 6.673420000000000308e-09
8.279999999999999361e+00 6.544290000000000363e-09
8.300000000000000711e+00 6.416909999999999919e-09
8.320000000000000284e+00 6.291289999999999685e-09
8.339999999999999858e+00 6.167460000000000124e-09
8.359999999999999432e+00 6.045420000000000409e-09
8.380000000000000782e+00 5.925169999999999713e-09
8.400000000000000355e+00 5.806720000000000396e-09
8.419999999999999929e+00 5.690079999999999856e-09
8.439999999999999503e+00 5.575249999999999747e-09
8.460000000000000853e+00 5.462210000000000311e-09
8.480000000000000426e+00 5.350990000000000358e-09
8.500000000000000000e+00 5.241560000000000251e-09
