# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 1.261170000000000021e-44
4.160000000000000142e+00 5.156780000000000378e-43
4.179999999999999716e+00 1.736209999999999967e-41
4.200000000000000178e+00 4.989550000000000324e-40
4.219999999999999751e+00 1.233360000000000077e-38
4.240000000000000213e+00 2.639939999999999848e-37
4.259999999999999787e+00 4.925389999999999956e-36
4.280000000000000249e+00 8.060149999999999594e-35
4.299999999999999822e+00 1.163660000000000007e-33
4.320000000000000284e+00 1.490720000000000001e-32
4.339999999999999858e+00 1.703549999999999900e-31
4.360000000000000320e+00 1.745750000000000026e-30
4.379999999999999893e+00 1.612050000000000122e-29
4.400000000000000355e+00 1.347820000000000023e-28
4.419999999999999929e+00 1.024810000000000004e-27
4.440000000000000391e+00 7.117450000000000373e-27
4.459999999999999964e+00 4.533220000000000169e-26
4.480000000000000426e+00 2.658470000000000196e-25
4.500000000000000000e+00 1.440719999999999925e-24
4.519999999999999574e+00 7.241609999999999452e-24
4.540000000000000036e+00 3.387220000000000052e-23
4.559999999999999609e+00 1.479269999999999998e-22
4.580000000000000071e+00 6.050100000000000359e-22
4.599999999999999645e+00 2.324380000000000183e-21
4.620000000000000107e+00 8.411589999999999618e-21
4.639999999999999680e+00 2.875179999999999985e-20
4.660000000000000142e+00 9.306760000000000264e-20
4.679999999999999716e+00 2.859809999999999923e-19
4.700000000000000178e+00 8.361570000000000259e-19
4.719999999999999751e+00 2.331529999999999873e-18
4.740000000000000213e+00 6.213449999999999860e-18
4.769999999999999574e+00 1.585779999999999893e-17
4.790000000000000036e+00 3.883420000000000249e-17
4.809999999999999609e+00 9.142459999999999961e-17
4.830000000000000071e+00 2.072870000000000095e-16
4.849999999999999645e+00 4.533899999999999579e-16
4.870000000000000107e+00 9.582049999999999577e-16
4.889999999999999680e+00 1.959819999999999964e-15
4.910000000000000142e+00 3.885010000000000389e-15
4.929999999999999716e+00 7.474689999999999980e-15
4.950000000000000178e+00 1.397660000000000075e-14
4.969999999999999751e+00 2.543209999999999924e-14
4.990000000000000213e+00 4.508950000000000189e-14
5.009999999999999787e+00 7.797920000000000462e-14
5.030000000000000249e+00 1.317020000000000027e-13
5.049999999999999822e+00 2.174550000000000059e-13
5.070000000000000284e+00 3.470910000000000101e-13
5.089999999999999858e+00 5.421650000000000430e-13
5.110000000000000320e+00 8.324160000000000146e-13
5.129999999999999893e+00 1.256590000000000000e-12
5.150000000000000355e+00 1.865759999999999918e-12
5.169999999999999929e+00 2.725770000000000007e-12
5.190000000000000391e+00 3.920029999999999807e-12
5.209999999999999964e+00 5.552120000000000378e-12
5.230000000000000426e+00 7.748390000000000268e-12
5.250000000000000000e+00 1.066009999999999978e-11
5.269999999999999574e+00 1.446549999999999970e-11
5.290000000000000036e+00 1.937120000000000131e-11
5.309999999999999609e+00 2.561239999999999858e-11
5.330000000000000071e+00 3.345289999999999855e-11
5.349999999999999645e+00 4.318449999999999961e-11
5.370000000000000107e+00 5.512439999999999966e-11
5.389999999999999680e+00 6.961340000000000385e-11
5.410000000000000142e+00 8.700959999999999389e-11
5.429999999999999716e+00 1.076889999999999964e-10
5.450000000000000178e+00 1.320339999999999909e-10
5.469999999999999751e+00 1.604339999999999911e-10
5.490000000000000213e+00 1.932720000000000125e-10
5.509999999999999787e+00 2.309289999999999891e-10
5.530000000000000249e+00 2.737670000000000018e-10
5.549999999999999822e+00 3.221289999999999947e-10
5.570000000000000284e+00 3.763290000000000247e-10
5.589999999999999858e+00 4.366520000000000034e-10
5.610000000000000320e+00 5.033449999999999818e-10
5.629999999999999893e+00 5.766139999999999694e-10
5.650000000000000355e+00 6.566170000000000291e-10
5.669999999999999929e+00 7.434659999999999843e-10
5.690000000000000391e+00 8.372300000000000133e-10
5.709999999999999964e+00 9.379139999999999522e-10
5.730000000000000426e+00 1.045479999999999992e-09
5.750000000000000000e+00 1.159829999999999913e-09
5.769999999999999574e+00 1.280830000000000012e-09
5.790000000000000036e+00 1.408269999999999936e-09
5.809999999999999609e+00 1.541930000000000072e-09
5.830000000000000071e+00 1.681520000000000000e-09
5.849999999999999645e+00 1.826720000000000078e-09
5.870000000000000107e+00 1.977149999999999940e-09
5.889999999999999680e+00 2.132429999999999842e-09
5.910000000000000142e+00 2.292130000000000025e-09
5.929999999999999716e+00 2.455789999999999850e-09
5.950000000000000178e+00 2.622949999999999922e-09
5.969999999999999751e+00 2.793110000000000088e-09
5.990000000000000213e+00 2.965780000000000071e-09
6.009999999999999787e+00 3.140439999999999962e-09
6.030000000000000249e+00 3.316580000000000142e-09
6.049999999999999822e+00 3.493690000000000164e-09
6.070000000000000284e+00 3.671269999999999876e-09
6.089999999999999858e+00 3.848810000000000071e-09
6.110000000000000320e+00 4.025809999999999770e-09
6.129999999999999893e+00 4.201800000000000111e-09
6.150000000000000355e+00 4.376329999999999920e-09
6.169999999999999929e+00 4.548949999999999682e-09
6.190000000000000391e+00 4.719229999999999636e-09
6.209999999999999964e+00 4.886790000000000244e-09
6.230000000000000426e+00 5.051239999999999609e-09
6.250000000000000000e+00 5.212240000000000191e-09
6.269999999999999574e+00 5.369450000000000313e-09
6.290000000000000036e+00 5.522580000000000176e-09
6.309999999999999609e+00 5.671359999999999738e-09
6.330000000000000071e+00 5.815550000000000251e-09
6.349999999999999645e+00 5.954909999999999654e-09
6.370000000000000107e+00 6.089250000000000246e-09
6.389999999999999680e+00 6.218419999999999708e-09
6.410000000000000142e+00 6.342240000000000218e-09
6.429999999999999716e+00 6.460609999999999675e-09
6.450000000000000178e+00 6.573430000000000119e-09
6.469999999999999751e+00 6.680610000000000156e-09
6.490000000000000213e+00 6.782100000000000392e-09
6.509999999999999787e+00 6.877849999999999777e-09
6.530000000000000249e+00 6.967840000000000208e-09
6.549999999999999822e+00 7.052070000000000030e-09
6.570000000000000284e+00 7.130549999999999949e-09
6.589999999999999858e+00 7.203309999999999603e-09
6.610000000000000320e+00 7.270380000000000282e-09
6.629999999999999893e+00 7.331799999999999849e-09
6.650000000000000355e+00 7.387659999999999695e-09
6.669999999999999929e+00 7.438010000000000043e-09
6.690000000000000391e+00 7.482940000000000631e-09
6.709999999999999964e+00 7.522529999999999664e-09
6.730000000000000426e+00 7.556900000000000653e-09
6.750000000000000000e+00 7.586139999999999200e-09
6.769999999999999574e+00 7.610360000000000591e-09
6.790000000000000036e+00 7.629670000000000186e-09
6.809999999999999609e+00 7.644209999999999600e-09
6.830000000000000071e+00 7.654100000000000690e-09
6.849999999999999645e+00 7.659450000000000470e-09
6.870000000000000107e+00 7.660420000000000312e-09
6.889999999999999680e+00 7.657120000000000541e-09
6.910000000000000142e+00 7.649709999999999219e-09
6.929999999999999716e+00 7.638299999999999979e-09
6.950000000000000178e+00 7.623060000000000764e-09
6.969999999999999751e+00 7.604100000000000242e-09
6.990000000000000213e+00 7.581579999999999786e-09
7.009999999999999787e+00 7.555639999999999357e-09
7.030000000000000249e+00 7.526420000000000568e-09
7.049999999999999822e+00 7.494050000000000193e-09
7.070000000000000284e+00 7.458669999999999846e-09
7.089999999999999858e+00 7.420430000000000193e-09
7.110000000000000320e+00 7.379459999999999661e-09
7.129999999999999893e+00 7.335880000000000107e-09
7.150000000000000355e+00 7.289849999999999595e-09
7.169999999999999929e+00 7.241480000000000103e-09
7.190000000000000391e+00 7.190900000000000056e-09
7.209999999999999964e+00 7.138240000000000364e-09
7.230000000000000426e+00 7.083620000000000402e-09
7.259999999999999787e+00 7.027149999999999665e-09
7.280000000000000249e+00 6.968959999999999890e-09
7.299999999999999822e+00 6.909159999999999745e-09
7.320000000000000284e+00 6.847860000000000380e-09
7.339999999999999858e+00 6.785149999999999880e-09
7.360000000000000320e+00 6.721140000000000222e-09
7.379999999999999893e+00 6.655940000000000075e-09
7.400000000000000355e+00 6.589640000000000004e-09
7.419999999999999929e+00 6.522309999999999990e-09
7.440000000000000391e+00 6.454070000000000234e-09
7.459999999999999964e+00 6.384980000000000010e-09
7.480000000000000426e+00 6.315120000000000005e-09
7.500000000000000000e+00 6.244579999999999957e-09
7.519999999999999574e+00 6.173419999999999967e-09
7.540000000000000036e+00 6.101710000000000015e-09
7.559999999999999609e+00 6.029529999999999960e-09
7.580000000000000071e+00 5.956930000000000025e-09
7.599999999999999645e+00 5.883959999999999604e-09
7.620000000000000107e+00 5.810700000000000211e-09
7.639999999999999680e+00 5.737179999999999827e-09
7.660000000000000142e+00 5.663470000000000089e-09
7.679999999999999716e+00 5.589609999999999685e-09
7.700000000000000178e+00 5.515639999999999784e-09
7.719999999999999751e+00 5.441609999999999782e-09
7.740000000000000213e+00 5.367560000000000022e-09
7.759999999999999787e+00 5.293530000000000021e-09
7.780000000000000249e+00 5.219560000000000120e-09
7.799999999999999822e+00 5.145679999999999957e-09
7.820000000000000284e+00 5.071929999999999876e-09
7.839999999999999858e+00 4.998329999999999634e-09
7.860000000000000320e+00 4.924930000000000280e-09
7.879999999999999893e+00 4.851749999999999919e-09
7.900000000000000355e+00 4.778819999999999841e-09
7.919999999999999929e+00 4.706169999999999683e-09
7.940000000000000391e+00 4.633820000000000031e-09
7.959999999999999964e+00 4.561810000000000401e-09
7.980000000000000426e+00 4.490149999999999844e-09
8.000000000000000000e+00 4.418869999999999652e-09
8.019999999999999574e+00 4.348000000000000288e-09
8.039999999999999147e+00 4.277559999999999857e-09
8.060000000000000497e+00 4.207569999999999771e-09
8.080000000000000071e+00 4.138049999999999788e-09
8.099999999999999645e+00 4.069019999999999665e-09
8.119999999999999218e+00 4.000519999999999747e-09
8.140000000000000568e+00 3.932540000000000153e-09
8.160000000000000142e+00 3.865109999999999694e-09
8.179999999999999716e+00 3.798259999999999662e-09
8.199999999999999289e+00 3.731999999999999934e-09
8.220000000000000639e+00 3.666349999999999856e-09
8.240000000000000213e+00 3.601320000000000133e-09
8.259999999999999787e+00 3.536919999999999818e-09
8.279999999999999361e+00 3.473190000000000080e-09
8.300000000000000711e+00 3.410119999999999800e-09
8.320000000000000284e+00 3.347729999999999978e-09
8.339999999999999858e+00 3.286039999999999956e-09
8.359999999999999432e+00 3.225060000000000028e-09
8.380000000000000782e+00 3.164790000000000194e-09
8.400000000000000355e+00 3.105249999999999798e-09
8.419999999999999929e+00 3.046449999999999959e-09
8.439999999999999503e+00 2.988400000000000144e-09
8.460000000000000853e+00 2.931099999999999939e-09
8.480000000000000426e+00 2.874560000000000049e-09
8.500000000000000000e+00 2.818780000000000062e-09
