# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 1.821690000000000003e-44
4.379999999999999893e+00 6.810309999999999861e-43
4.400000000000000355e+00 2.132079999999999885e-41
4.419999999999999929e+00 5.722030000000000310e-40
4.440000000000000391e+00 1.325009999999999872e-38
4.459999999999999964e+00 2.664719999999999792e-37
4.480000000000000426e+00 4.684580000000000253e-36
4.500000000000000000e+00 7.242019999999999836e-35
4.519999999999999574e+00 9.903720000000000103e-34
4.540000000000000036e+00 1.204579999999999975e-32
4.559999999999999609e+00 1.310170000000000030e-31
4.580000000000000071e+00 1.280609999999999977e-30
4.599999999999999645e+00 1.130439999999999938e-29
4.620000000000000107e+00 9.052570000000000532e-29
4.639999999999999680e+00 6.605800000000000433e-28
4.660000000000000142e+00 4.411139999999999777e-27
4.679999999999999716e+00 2.706269999999999969e-26
4.700000000000000178e+00 1.531190000000000091e-25
4.719999999999999751e+00 8.019249999999999565e-25
4.740000000000000213e+00 3.901360000000000048e-24
4.769999999999999574e+00 1.768910000000000125e-23
4.790000000000000036e+00 7.498460000000000497e-23
4.809999999999999609e+00 2.980919999999999869e-22
4.830000000000000071e+00 1.114590000000000088e-21
4.849999999999999645e+00 3.930510000000000235e-21
4.870000000000000107e+00 1.310680000000000048e-20
4.889999999999999680e+00 4.143470000000000172e-20
4.910000000000000142e+00 1.244830000000000101e-19
4.929999999999999716e+00 3.562240000000000121e-19
4.950000000000000178e+00 9.730790000000000898e-19
4.969999999999999751e+00 2.542770000000000068e-18
4.990000000000000213e+00 6.369149999999999732e-18
5.009999999999999787e+00 1.532079999999999940e-17
5.030000000000000249e+00 3.545839999999999923e-17
5.049999999999999822e+00 7.909250000000000034e-17
5.070000000000000284e+00 1.703220000000000094e-16
5.089999999999999858e+00 3.546500000000000041e-16
5.110000000000000320e+00 7.151499999999999949e-16
5.129999999999999893e+00 1.398550000000000016e-15
5.150000000000000355e+00 2.656189999999999879e-15
5.169999999999999929e+00 4.905679999999999676e-15
5.190000000000000391e+00 8.821860000000000136e-15
5.209999999999999964e+00 1.546510000000000117e-14
5.230000000000000426e+00 2.645999999999999845e-14
5.250000000000000000e+00 4.423209999999999865e-14
5.269999999999999574e+00 7.206970000000000592e-14
5.290000000000000036e+00 1.137600000000000121e-13
5.309999999999999609e+00 1.764400000000000035e-13
5.330000000000000071e+00 2.689779999999999874e-13
5.349999999999999645e+00 4.031879999999999780e-13
5.370000000000000107e+00 5.944870000000000093e-13
5.389999999999999680e+00 8.626079999999999530e-13
5.410000000000000142e+00 1.232310000000000027e-12
5.429999999999999716e+00 1.734080000000000019e-12
5.450000000000000178e+00 2.404910000000000099e-12
5.469999999999999751e+00 3.288690000000000197e-12
5.490000000000000213e+00 4.436820000000000072e-12
5.509999999999999787e+00 5.908369999999999794e-12
5.530000000000000249e+00 7.770369999999999736e-12
5.549999999999999822e+00 1.009750000000000054e-11
5.570000000000000284e+00 1.297159999999999937e-11
5.589999999999999858e+00 1.648150000000000081e-11
5.610000000000000320e+00 2.072189999999999877e-11
5.629999999999999893e+00 2.579229999999999866e-11
5.650000000000000355e+00 3.179550000000000280e-11
5.669999999999999929e+00 3.883679999999999947e-11
5.690000000000000391e+00 4.702210000000000014e-11
5.709999999999999964e+00 5.645590000000000302e-11
5.730000000000000426e+00 6.724000000000000510e-11
5.750000000000000000e+00 7.947169999999999710e-11
5.769999999999999574e+00 9.324300000000000568e-11
5.790000000000000036e+00 1.086369999999999993e-10
5.809999999999999609e+00 1.257269999999999888e-10
5.830000000000000071e+00 1.445800000000000063e-10
5.849999999999999645e+00 1.652469999999999982e-10
5.870000000000000107e+00 1.877679999999999972e-10
5.889999999999999680e+00 2.121700000000000025e-10
5.910000000000000142e+00 2.384669999999999790e-10
5.929999999999999716e+00 2.666580000000000215e-10
5.950000000000000178e+00 2.967269999999999929e-10
5.969999999999999751e+00 3.286460000000000147e-10
5.990000000000000213e+00 3.623739999999999938e-10
6.009999999999999787e+00 3.978540000000000098e-10
6.030000000000000249e+00 4.350169999999999878e-10
6.049999999999999822e+00 4.737840000000000257e-10
6.070000000000000284e+00 5.140640000000000148e-10
6.089999999999999858e+00 5.557560000000000193e-10
6.110000000000000320e+00 5.987500000000000262e-10
6.129999999999999893e+00 6.429279999999999536e-10
6.150000000000000355e+00 6.881679999999999959e-10
6.169999999999999929e+00 7.343389999999999599e-10
6.190000000000000391e+00 7.813070000000000400e-10
6.209999999999999964e+00 8.289380000000000175e-10
6.230000000000000426e+00 8.770949999999999578e-10
6.250000000000000000e+00 9.256369999999999955e-10
6.269999999999999574e+00 9.744249999999999722e-10
6.290000000000000036e+00 1.023330000000000022e-09
6.309999999999999609e+00 1.072209999999999961e-09
6.330000000000000071e+00 1.120929999999999975e-09
6.349999999999999645e+00 1.169379999999999947e-09
6.370000000000000107e+00 1.217430000000000003e-09
6.389999999999999680e+00 1.264959999999999941e-09
6.410000000000000142e+00 1.311860000000000059e-09
6.429999999999999716e+00 1.358039999999999996e-09
6.450000000000000178e+00 1.403379999999999966e-09
6.469999999999999751e+00 1.447809999999999987e-09
6.490000000000000213e+00 1.491230000000000030e-09
6.509999999999999787e+00 1.533569999999999906e-09
6.530000000000000249e+00 1.574769999999999929e-09
6.549999999999999822e+00 1.614750000000000033e-09
6.570000000000000284e+00 1.653459999999999996e-09
6.589999999999999858e+00 1.690850000000000008e-09
6.610000000000000320e+00 1.726879999999999934e-09
6.629999999999999893e+00 1.761510000000000052e-09
6.650000000000000355e+00 1.794710000000000102e-09
6.669999999999999929e+00 1.826450000000000036e-09
6.690000000000000391e+00 1.856719999999999974e-09
6.709999999999999964e+00 1.885489999999999865e-09
6.730000000000000426e+00 1.912759999999999917e-09
6.750000000000000000e+00 1.938510000000000164e-09
6.769999999999999574e+00 1.962759999999999951e-09
6.790000000000000036e+00 1.985489999999999934e-09
6.809999999999999609e+00 2.006709999999999991e-09
6.830000000000000071e+00 2.026430000000000001e-09
6.849999999999999645e+00 2.044659999999999844e-09
6.870000000000000107e+00 2.061420000000000105e-09
6.889999999999999680e+00 2.076719999999999835e-09
6.910000000000000142e+00 2.090570000000000154e-09
6.929999999999999716e+00 2.103010000000000165e-09
6.950000000000000178e+00 2.114039999999999867e-09
6.969999999999999751e+00 2.123700000000000018e-09
6.990000000000000213e+00 2.132009999999999961e-09
7.009999999999999787e+00 2.139000000000000162e-09
7.030000000000000249e+00 2.144699999999999842e-09
7.049999999999999822e+00 2.149130000000000001e-09
7.070000000000000284e+00 2.152330000000000156e-09
7.089999999999999858e+00 2.154329999999999942e-09
7.110000000000000320e+00 2.155149999999999946e-09
7.129999999999999893e+00 2.154839999999999975e-09
7.150000000000000355e+00 2.153430000000000080e-09
7.169999999999999929e+00 2.150949999999999898e-09
7.190000000000000391e+00 2.147429999999999894e-09
7.209999999999999964e+00 2.142909999999999996e-09
7.230000000000000426e+00 2.137430000000000135e-09
7.259999999999999787e+00 2.131019999999999947e-09
7.280000000000000249e+00 2.123709999999999897e-09
7.299999999999999822e+00 2.115550000000000206e-09
7.320000000000000284e+00 2.106559999999999806e-09
7.339999999999999858e+00 2.096779999999999867e-09
7.360000000000000320e+00 2.086249999999999904e-09
7.379999999999999893e+00 2.074990000000000090e-09
7.400000000000000355e+00 2.063049999999999819e-09
7.419999999999999929e+00 2.050459999999999969e-09
7.440000000000000391e+00 2.037250000000000177e-09
7.459999999999999964e+00 2.023450000000000080e-09
7.480000000000000426e+00 2.009090000000000142e-09
7.500000000000000000e+00 1.994209999999999879e-09
7.519999999999999574e+00 1.978829999999999876e-09
7.540000000000000036e+00 1.962990000000000063e-09
7.559999999999999609e+00 1.946710000000000198e-09
7.580000000000000071e+00 1.930019999999999917e-09
7.599999999999999645e+00 1.912939999999999807e-09
7.620000000000000107e+00 1.895499999999999917e-09
7.639999999999999680e+00 1.877729999999999884e-09
7.660000000000000142e+00 1.859659999999999966e-09
7.679999999999999716e+00 1.841289999999999956e-09
7.700000000000000178e+00 1.822659999999999990e-09
7.719999999999999751e+00 1.803779999999999948e-09
7.740000000000000213e+00 1.784689999999999965e-09
7.759999999999999787e+00 1.765379999999999957e-09
7.780000000000000249e+00 1.745899999999999937e-09
7.799999999999999822e+00 1.726240000000000028e-09
7.820000000000000284e+00 1.706430000000000072e-09
7.839999999999999858e+00 1.686490000000000036e-09
7.860000000000000320e+00 1.666430000000000004e-09
7.879999999999999893e+00 1.646260000000000062e-09
7.900000000000000355e+00 1.626010000000000054e-09
7.919999999999999929e+00 1.605670000000000102e-09
7.940000000000000391e+00 1.585270000000000048e-09
7.959999999999999964e+00 1.564819999999999979e-09
7.980000000000000426e+00 1.544340000000000066e-09
8.000000000000000000e+00 1.523820000000000017e-09
8.019999999999999574e+00 1.503280000000000004e-09
8.039999999999999147e+00 1.482739999999999990e-09
8.060000000000000497e+00 1.462199999999999976e-09
8.080000000000000071e+00 1.441679999999999927e-09
8.099999999999999645e+00 1.421180000000000049e-09
8.119999999999999218e+00 1.400720000000000101e-09
8.140000000000000568e+00 1.380289999999999997e-09
8.160000000000000142e+00 1.359919999999999994e-09
8.179999999999999716e+00 1.339600000000000006e-09
8.199999999999999289e+00 1.319360000000000084e-09
8.220000000000000639e+00 1.299189999999999936e-09
8.240000000000000213e+00 1.279109999999999939e-09
8.259999999999999787e+00 1.259110000000000008e-09
8.279999999999999361e+00 1.239219999999999987e-09
8.300000000000000711e+00 1.219440000000000082e-09
8.320000000000000284e+00 1.199770000000000087e-09
8.339999999999999858e+00 1.180220000000000087e-09
8.359999999999999432e+00 1.160790000000000083e-09
8.380000000000000782e+00 1.141509999999999918e-09
8.400000000000000355e+00 1.122360000000000041e-09
8.419999999999999929e+00 1.103360000000000003e-09
8.439999999999999503e+00 1.084520000000000097e-09
8.460000000000000853e+00 1.065830000000000030e-09
8.480000000000000426e+00 1.047309999999999974e-09
8.500000000000000000e+00 1.028950000000000050e-09
