# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 2.802599999999999909e-45
4.559999999999999609e+00 1.135050000000000079e-43
4.580000000000000071e+00 3.549489999999999760e-42
4.599999999999999645e+00 9.454840000000000007e-41
4.620000000000000107e+00 2.173870000000000122e-39
4.639999999999999680e+00 4.342529999999999775e-38
4.660000000000000142e+00 7.585280000000000522e-37
4.679999999999999716e+00 1.165539999999999972e-35
4.700000000000000178e+00 1.584519999999999929e-34
4.719999999999999751e+00 1.916500000000000039e-33
4.740000000000000213e+00 2.073389999999999999e-32
4.769999999999999574e+00 2.016409999999999868e-31
4.790000000000000036e+00 1.771220000000000168e-30
4.809999999999999609e+00 1.411820000000000085e-29
4.830000000000000071e+00 1.025709999999999979e-28
4.849999999999999645e+00 6.820449999999999614e-28
4.870000000000000107e+00 4.167310000000000219e-27
4.889999999999999680e+00 2.348749999999999951e-26
4.910000000000000142e+00 1.225620000000000075e-25
4.929999999999999716e+00 5.941659999999999689e-25
4.950000000000000178e+00 2.684869999999999846e-24
4.969999999999999751e+00 1.134479999999999947e-23
4.990000000000000213e+00 4.496309999999999933e-23
5.009999999999999787e+00 1.676230000000000116e-22
5.030000000000000249e+00 5.894649999999999548e-22
5.049999999999999822e+00 1.960410000000000055e-21
5.070000000000000284e+00 6.181859999999999971e-21
5.089999999999999858e+00 1.852669999999999932e-20
5.110000000000000320e+00 5.289340000000000208e-20
5.129999999999999893e+00 1.441660000000000077e-19
5.150000000000000355e+00 3.759350000000000145e-19
5.169999999999999929e+00 9.397210000000000474e-19
5.190000000000000391e+00 2.256159999999999865e-18
5.209999999999999964e+00 5.211939999999999709e-18
5.230000000000000426e+00 1.160539999999999989e-17
5.250000000000000000e+00 2.494919999999999972e-17
5.269999999999999574e+00 5.186680000000000199e-17
5.290000000000000036e+00 1.044289999999999980e-16
5.309999999999999609e+00 2.039269999999999904e-16
5.330000000000000071e+00 3.867599999999999974e-16
5.349999999999999645e+00 7.133490000000000274e-16
5.370000000000000107e+00 1.281180000000000044e-15
5.389999999999999680e+00 2.243269999999999866e-15
5.410000000000000142e+00 3.833620000000000159e-15
5.429999999999999716e+00 6.401400000000000244e-15
5.450000000000000178e+00 1.040720000000000077e-14
5.469999999999999751e+00 1.639639999999999956e-14
5.490000000000000213e+00 2.540009999999999872e-14
5.509999999999999787e+00 3.869730000000000188e-14
5.530000000000000249e+00 5.799600000000000602e-14
5.549999999999999822e+00 8.552919999999999517e-14
5.570000000000000284e+00 1.241570000000000080e-13
5.589999999999999858e+00 1.774850000000000005e-13
5.610000000000000320e+00 2.499629999999999922e-13
5.629999999999999893e+00 3.469850000000000104e-13
5.650000000000000355e+00 4.749820000000000051e-13
5.669999999999999929e+00 6.414989999999999709e-13
5.690000000000000391e+00 8.552350000000000409e-13
5.709999999999999964e+00 1.126059999999999950e-12
5.730000000000000426e+00 1.465019999999999951e-12
5.750000000000000000e+00 1.884280000000000126e-12
5.769999999999999574e+00 2.397050000000000171e-12
5.790000000000000036e+00 3.017440000000000116e-12
5.809999999999999609e+00 3.760379999999999775e-12
5.830000000000000071e+00 4.641399999999999994e-12
5.849999999999999645e+00 5.676419999999999758e-12
5.870000000000000107e+00 6.881530000000000062e-12
5.889999999999999680e+00 8.272770000000000503e-12
5.910000000000000142e+00 9.865959999999999696e-12
5.929999999999999716e+00 1.167630000000000024e-11
5.950000000000000178e+00 1.371810000000000069e-11
5.969999999999999751e+00 1.600490000000000100e-11
5.990000000000000213e+00 1.854890000000000147e-11
6.009999999999999787e+00 2.136090000000000039e-11
6.030000000000000249e+00 2.444990000000000066e-11
6.049999999999999822e+00 2.782360000000000112e-11
6.070000000000000284e+00 3.148749999999999725e-11
6.089999999999999858e+00 3.544519999999999926e-11
6.110000000000000320e+00 3.969829999999999696e-11
6.129999999999999893e+00 4.424649999999999812e-11
6.150000000000000355e+00 4.908759999999999937e-11
6.169999999999999929e+00 5.421700000000000132e-11
6.190000000000000391e+00 5.962830000000000594e-11
6.209999999999999964e+00 6.531360000000000232e-11
6.230000000000000426e+00 7.126329999999999988e-11
6.250000000000000000e+00 7.746559999999999820e-11
6.269999999999999574e+00 8.390770000000000122e-11
6.290000000000000036e+00 9.057560000000000515e-11
6.309999999999999609e+00 9.745440000000000367e-11
6.330000000000000071e+00 1.045279999999999957e-10
6.349999999999999645e+00 1.117790000000000051e-10
6.370000000000000107e+00 1.191900000000000041e-10
6.389999999999999680e+00 1.267429999999999934e-10
6.410000000000000142e+00 1.344220000000000038e-10
6.429999999999999716e+00 1.422060000000000102e-10
6.450000000000000178e+00 1.500790000000000046e-10
6.469999999999999751e+00 1.580229999999999877e-10
6.490000000000000213e+00 1.660190000000000033e-10
6.509999999999999787e+00 1.740509999999999917e-10
6.530000000000000249e+00 1.821029999999999966e-10
6.549999999999999822e+00 1.901580000000000014e-10
6.570000000000000284e+00 1.981999999999999980e-10
6.589999999999999858e+00 2.062149999999999956e-10
6.610000000000000320e+00 2.141900000000000121e-10
6.629999999999999893e+00 2.221089999999999875e-10
6.650000000000000355e+00 2.299600000000000000e-10
6.669999999999999929e+00 2.377319999999999810e-10
6.690000000000000391e+00 2.454120000000000000e-10
6.709999999999999964e+00 2.529900000000000228e-10
6.730000000000000426e+00 2.604560000000000154e-10
6.750000000000000000e+00 2.677999999999999955e-10
6.769999999999999574e+00 2.750139999999999976e-10
6.790000000000000036e+00 2.820879999999999879e-10
6.809999999999999609e+00 2.890140000000000010e-10
6.830000000000000071e+00 2.957859999999999855e-10
6.849999999999999645e+00 3.023969999999999847e-10
6.870000000000000107e+00 3.088399999999999902e-10
6.889999999999999680e+00 3.151079999999999938e-10
6.910000000000000142e+00 3.211970000000000128e-10
6.929999999999999716e+00 3.271009999999999957e-10
6.950000000000000178e+00 3.328150000000000031e-10
6.969999999999999751e+00 3.383350000000000006e-10
6.990000000000000213e+00 3.436559999999999970e-10
7.009999999999999787e+00 3.487759999999999752e-10
7.030000000000000249e+00 3.536889999999999870e-10
7.049999999999999822e+00 3.583940000000000240e-10
7.070000000000000284e+00 3.628880000000000087e-10
7.089999999999999858e+00 3.671680000000000188e-10
7.110000000000000320e+00 3.712329999999999939e-10
7.129999999999999893e+00 3.750800000000000117e-10
7.150000000000000355e+00 3.787090000000000206e-10
7.169999999999999929e+00 3.821180000000000033e-10
7.190000000000000391e+00 3.853070000000000116e-10
7.209999999999999964e+00 3.882759999999999938e-10
7.230000000000000426e+00 3.910250000000000016e-10
7.259999999999999787e+00 3.935549999999999919e-10
7.280000000000000249e+00 3.958660000000000162e-10
7.299999999999999822e+00 3.979599999999999885e-10
7.320000000000000284e+00 3.998380000000000207e-10
7.339999999999999858e+00 4.015019999999999749e-10
7.360000000000000320e+00 4.029549999999999801e-10
7.379999999999999893e+00 4.041990000000000018e-10
7.400000000000000355e+00 4.052360000000000056e-10
7.419999999999999929e+00 4.060709999999999825e-10
7.440000000000000391e+00 4.067060000000000015e-10
7.459999999999999964e+00 4.071449999999999935e-10
7.480000000000000426e+00 4.073909999999999842e-10
7.500000000000000000e+00 4.074490000000000165e-10
7.519999999999999574e+00 4.073230000000000212e-10
7.540000000000000036e+00 4.070179999999999897e-10
7.559999999999999609e+00 4.065369999999999993e-10
7.580000000000000071e+00 4.058859999999999982e-10
7.599999999999999645e+00 4.050690000000000205e-10
7.620000000000000107e+00 4.040910000000000059e-10
7.639999999999999680e+00 4.029559999999999886e-10
7.660000000000000142e+00 4.016709999999999771e-10
7.679999999999999716e+00 4.002389999999999969e-10
7.700000000000000178e+00 3.986649999999999876e-10
7.719999999999999751e+00 3.969550000000000008e-10
7.740000000000000213e+00 3.951139999999999758e-10
7.759999999999999787e+00 3.931459999999999987e-10
7.780000000000000249e+00 3.910560000000000091e-10
7.799999999999999822e+00 3.888489999999999980e-10
7.820000000000000284e+00 3.865289999999999998e-10
7.839999999999999858e+00 3.841020000000000143e-10
7.860000000000000320e+00 3.815720000000000240e-10
7.879999999999999893e+00 3.789440000000000203e-10
7.900000000000000355e+00 3.762209999999999771e-10
7.919999999999999929e+00 3.734079999999999889e-10
7.940000000000000391e+00 3.705110000000000040e-10
7.959999999999999964e+00 3.675319999999999877e-10
7.980000000000000426e+00 3.644749999999999744e-10
8.000000000000000000e+00 3.613460000000000155e-10
8.019999999999999574e+00 3.581479999999999817e-10
8.039999999999999147e+00 3.548840000000000020e-10
8.060000000000000497e+00 3.515580000000000075e-10
8.080000000000000071e+00 3.481749999999999893e-10
8.099999999999999645e+00 3.447370000000000163e-10
8.119999999999999218e+00 3.412480000000000193e-10
8.140000000000000568e+00 3.377119999999999811e-10
8.160000000000000142e+00 3.341319999999999790e-10
8.179999999999999716e+00 3.305109999999999870e-10
8.199999999999999289e+00 3.268519999999999793e-10
8.220000000000000639e+00 3.231589999999999901e-10
8.240000000000000213e+00 3.194349999999999934e-10
8.259999999999999787e+00 3.156820000000000065e-10
8.279999999999999361e+00 3.119040000000000119e-10
8.300000000000000711e+00 3.081039999999999837e-10
8.320000000000000284e+00 3.042829999999999821e-10
8.339999999999999858e+00 3.004459999999999983e-10
8.359999999999999432e+00 2.965939999999999893e-10
8.380000000000000782e+00 2.927309999999999893e-10
8.400000000000000355e+00 2.888590000000000155e-10
8.419999999999999929e+00 2.849790000000000248e-10
8.439999999999999503e+00 2.810960000000000083e-10
8.460000000000000853e+00 2.772109999999999746e-10
8.480000000000000426e+00 2.733259999999999927e-10
8.500000000000000000e+00 2.694429999999999762e-10
