# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 1.401299999999999954e-45
3.700000000000000178e+00 5.605189999999999936e-44
3.720000000000000195e+00 2.244880000000000014e-42
3.740000000000000213e+00 7.574019999999999898e-41
3.759999999999999787e+00 2.181680000000000062e-39
3.779999999999999805e+00 5.404649999999999597e-38
3.799999999999999822e+00 1.159290000000000058e-36
3.819999999999999840e+00 2.167439999999999977e-35
3.839999999999999858e+00 3.553530000000000207e-34
3.859999999999999876e+00 5.140069999999999889e-33
3.879999999999999893e+00 6.595980000000000390e-32
3.899999999999999911e+00 7.550529999999999992e-31
3.919999999999999929e+00 7.749819999999999996e-30
3.939999999999999947e+00 7.167480000000000190e-29
3.959999999999999964e+00 6.001289999999999850e-28
3.979999999999999982e+00 4.569570000000000198e-27
4.000000000000000000e+00 3.177769999999999897e-26
4.019999999999999574e+00 2.026649999999999956e-25
4.040000000000000036e+00 1.189900000000000029e-24
4.059999999999999609e+00 6.456250000000000133e-24
4.080000000000000071e+00 3.248640000000000206e-23
4.099999999999999645e+00 1.521139999999999958e-22
4.120000000000000107e+00 6.649840000000000024e-22
4.139999999999999680e+00 2.722459999999999949e-21
4.160000000000000142e+00 1.046869999999999940e-20
4.179999999999999716e+00 3.791790000000000182e-20
4.200000000000000178e+00 1.297210000000000000e-19
4.219999999999999751e+00 4.202349999999999926e-19
4.240000000000000213e+00 1.292259999999999932e-18
4.259999999999999787e+00 3.781110000000000367e-18
4.280000000000000249e+00 1.055079999999999936e-17
4.299999999999999822e+00 2.813560000000000304e-17
4.320000000000000284e+00 7.185300000000000123e-17
4.339999999999999858e+00 1.760669999999999923e-16
4.360000000000000320e+00 4.147520000000000191e-16
4.379999999999999893e+00 9.408700000000000418e-16
4.400000000000000355e+00 2.059020000000000077e-15
4.419999999999999929e+00 4.353769999999999746e-15
4.440000000000000391e+00 8.909220000000000041e-15
4.459999999999999964e+00 1.766880000000000028e-14
4.480000000000000426e+00 3.400960000000000106e-14
4.500000000000000000e+00 6.361979999999999615e-14
4.519999999999999574e+00 1.158120000000000067e-13
4.540000000000000036e+00 2.054020000000000067e-13
4.559999999999999609e+00 3.553639999999999992e-13
4.580000000000000071e+00 6.003910000000000011e-13
4.599999999999999645e+00 9.916569999999999214e-13
4.620000000000000107e+00 1.583670000000000057e-12
4.639999999999999680e+00 2.474370000000000088e-12
4.660000000000000142e+00 3.800010000000000082e-12
4.679999999999999716e+00 5.737909999999999731e-12
4.700000000000000178e+00 8.521540000000000462e-12
4.719999999999999751e+00 1.245250000000000010e-11
4.740000000000000213e+00 1.791270000000000061e-11
4.769999999999999574e+00 2.537630000000000043e-11
4.790000000000000036e+00 3.542200000000000315e-11
4.809999999999999609e+00 4.874319999999999692e-11
4.830000000000000071e+00 6.615749999999999876e-11
4.849999999999999645e+00 8.861089999999999434e-11
4.870000000000000107e+00 1.171819999999999940e-10
4.889999999999999680e+00 1.530810000000000114e-10
4.910000000000000142e+00 1.976479999999999931e-10
4.929999999999999716e+00 2.523380000000000131e-10
4.950000000000000178e+00 3.187099999999999779e-10
4.969999999999999751e+00 3.984179999999999884e-10
4.990000000000000213e+00 4.931780000000000313e-10
5.009999999999999787e+00 6.047520000000000226e-10
5.030000000000000249e+00 7.349280000000000495e-10
5.049999999999999822e+00 8.854719999999999590e-10
5.070000000000000284e+00 1.058129999999999943e-09
5.089999999999999858e+00 1.254560000000000060e-09
5.110000000000000320e+00 1.476340000000000094e-09
5.129999999999999893e+00 1.724920000000000078e-09
5.150000000000000355e+00 2.001619999999999960e-09
5.169999999999999929e+00 2.307559999999999836e-09
5.190000000000000391e+00 2.643699999999999877e-09
5.209999999999999964e+00 3.010769999999999934e-09
5.230000000000000426e+00 3.409299999999999797e-09
5.250000000000000000e+00 3.839560000000000336e-09
5.269999999999999574e+00 4.301619999999999876e-09
5.290000000000000036e+00 4.795309999999999646e-09
5.309999999999999609e+00 5.320190000000000009e-09
5.330000000000000071e+00 5.875589999999999973e-09
5.349999999999999645e+00 6.460650000000000019e-09
5.370000000000000107e+00 7.074289999999999980e-09
5.389999999999999680e+00 7.715179999999999408e-09
5.410000000000000142e+00 8.381830000000000616e-09
5.429999999999999716e+00 9.072579999999999704e-09
5.450000000000000178e+00 9.785620000000000377e-09
5.469999999999999751e+00 1.051899999999999976e-08
5.490000000000000213e+00 1.127060000000000035e-08
5.509999999999999787e+00 1.203829999999999967e-08
5.530000000000000249e+00 1.281989999999999954e-08
5.549999999999999822e+00 1.361299999999999921e-08
5.570000000000000284e+00 1.441519999999999960e-08
5.589999999999999858e+00 1.522439999999999966e-08
5.610000000000000320e+00 1.603800000000000107e-08
5.629999999999999893e+00 1.685370000000000023e-08
5.650000000000000355e+00 1.766930000000000060e-08
5.669999999999999929e+00 1.848250000000000023e-08
5.690000000000000391e+00 1.929109999999999928e-08
5.709999999999999964e+00 2.009299999999999999e-08
5.730000000000000426e+00 2.088610000000000132e-08
5.750000000000000000e+00 2.166849999999999977e-08
5.769999999999999574e+00 2.243840000000000060e-08
5.790000000000000036e+00 2.319399999999999911e-08
5.809999999999999609e+00 2.393370000000000142e-08
5.830000000000000071e+00 2.465599999999999923e-08
5.849999999999999645e+00 2.535949999999999954e-08
5.870000000000000107e+00 2.604300000000000033e-08
5.889999999999999680e+00 2.670529999999999959e-08
5.910000000000000142e+00 2.734530000000000069e-08
5.929999999999999716e+00 2.796220000000000008e-08
5.950000000000000178e+00 2.855520000000000082e-08
5.969999999999999751e+00 2.912349999999999936e-08
5.990000000000000213e+00 2.966659999999999845e-08
6.009999999999999787e+00 3.018400000000000082e-08
6.030000000000000249e+00 3.067529999999999808e-08
6.049999999999999822e+00 3.114019999999999717e-08
6.070000000000000284e+00 3.157859999999999929e-08
6.089999999999999858e+00 3.199030000000000026e-08
6.110000000000000320e+00 3.237520000000000128e-08
6.129999999999999893e+00 3.273349999999999993e-08
6.150000000000000355e+00 3.306509999999999742e-08
6.169999999999999929e+00 3.337040000000000214e-08
6.190000000000000391e+00 3.364940000000000087e-08
6.209999999999999964e+00 3.390260000000000078e-08
6.230000000000000426e+00 3.413019999999999946e-08
6.250000000000000000e+00 3.433259999999999867e-08
6.269999999999999574e+00 3.451010000000000142e-08
6.290000000000000036e+00 3.466339999999999923e-08
6.309999999999999609e+00 3.479290000000000049e-08
6.330000000000000071e+00 3.489909999999999915e-08
6.349999999999999645e+00 3.498250000000000240e-08
6.370000000000000107e+00 3.504370000000000297e-08
6.389999999999999680e+00 3.508330000000000023e-08
6.410000000000000142e+00 3.510190000000000014e-08
6.429999999999999716e+00 3.510020000000000086e-08
6.450000000000000178e+00 3.507880000000000174e-08
6.469999999999999751e+00 3.503830000000000214e-08
6.490000000000000213e+00 3.497940000000000020e-08
6.509999999999999787e+00 3.490280000000000070e-08
6.530000000000000249e+00 3.480910000000000297e-08
6.549999999999999822e+00 3.469889999999999978e-08
6.570000000000000284e+00 3.457310000000000007e-08
6.589999999999999858e+00 3.443219999999999779e-08
6.610000000000000320e+00 3.427679999999999893e-08
6.629999999999999893e+00 3.410770000000000041e-08
6.650000000000000355e+00 3.392550000000000160e-08
6.669999999999999929e+00 3.373090000000000064e-08
6.690000000000000391e+00 3.352449999999999688e-08
6.709999999999999964e+00 3.330679999999999752e-08
6.730000000000000426e+00 3.307859999999999949e-08
6.750000000000000000e+00 3.284039999999999673e-08
6.769999999999999574e+00 3.259270000000000306e-08
6.790000000000000036e+00 3.233630000000000217e-08
6.809999999999999609e+00 3.207160000000000245e-08
6.830000000000000071e+00 3.179920000000000327e-08
6.849999999999999645e+00 3.151949999999999977e-08
6.870000000000000107e+00 3.123319999999999674e-08
6.889999999999999680e+00 3.094070000000000256e-08
6.910000000000000142e+00 3.064239999999999915e-08
6.929999999999999716e+00 3.033880000000000033e-08
6.950000000000000178e+00 3.003040000000000003e-08
6.969999999999999751e+00 2.971760000000000003e-08
6.990000000000000213e+00 2.940079999999999881e-08
7.009999999999999787e+00 2.908029999999999935e-08
7.030000000000000249e+00 2.875650000000000011e-08
7.049999999999999822e+00 2.842979999999999958e-08
7.070000000000000284e+00 2.810050000000000072e-08
7.089999999999999858e+00 2.776889999999999993e-08
7.110000000000000320e+00 2.743539999999999896e-08
7.129999999999999893e+00 2.710009999999999992e-08
7.150000000000000355e+00 2.676340000000000128e-08
7.169999999999999929e+00 2.642550000000000062e-08
7.190000000000000391e+00 2.608670000000000092e-08
7.209999999999999964e+00 2.574719999999999976e-08
7.230000000000000426e+00 2.540720000000000135e-08
7.259999999999999787e+00 2.506689999999999995e-08
7.280000000000000249e+00 2.472640000000000097e-08
7.299999999999999822e+00 2.438609999999999957e-08
7.320000000000000284e+00 2.404610000000000116e-08
7.339999999999999858e+00 2.370639999999999912e-08
7.360000000000000320e+00 2.336739999999999853e-08
7.379999999999999893e+00 2.302909999999999940e-08
7.400000000000000355e+00 2.269169999999999930e-08
7.419999999999999929e+00 2.235530000000000034e-08
7.440000000000000391e+00 2.202000000000000130e-08
7.459999999999999964e+00 2.168599999999999977e-08
7.480000000000000426e+00 2.135349999999999993e-08
7.500000000000000000e+00 2.102239999999999970e-08
7.519999999999999574e+00 2.069299999999999875e-08
7.540000000000000036e+00 2.036539999999999918e-08
7.559999999999999609e+00 2.003949999999999889e-08
7.580000000000000071e+00 1.971569999999999965e-08
7.599999999999999645e+00 1.939389999999999938e-08
7.620000000000000107e+00 1.907420000000000016e-08
7.639999999999999680e+00 1.875679999999999958e-08
7.660000000000000142e+00 1.844179999999999974e-08
7.679999999999999716e+00 1.812909999999999853e-08
7.700000000000000178e+00 1.781899999999999895e-08
7.719999999999999751e+00 1.751150000000000100e-08
7.740000000000000213e+00 1.720670000000000015e-08
7.759999999999999787e+00 1.690459999999999971e-08
7.780000000000000249e+00 1.660529999999999848e-08
7.799999999999999822e+00 1.630900000000000065e-08
7.820000000000000284e+00 1.601560000000000082e-08
7.839999999999999858e+00 1.572529999999999987e-08
7.860000000000000320e+00 1.543810000000000111e-08
7.879999999999999893e+00 1.515400000000000123e-08
7.900000000000000355e+00 1.487310000000000068e-08
7.919999999999999929e+00 1.459549999999999990e-08
7.940000000000000391e+00 1.432120000000000055e-08
7.959999999999999964e+00 1.405029999999999976e-08
7.980000000000000426e+00 1.378279999999999918e-08
8.000000000000000000e+00 1.351870000000000048e-08
8.019999999999999574e+00 1.325810000000000078e-08
8.039999999999999147e+00 1.300100000000000008e-08
8.060000000000000497e+00 1.274740000000000005e-08
8.080000000000000071e+00 1.249739999999999946e-08
8.099999999999999645e+00 1.225089999999999954e-08
8.119999999999999218e+00 1.200809999999999951e-08
8.140000000000000568e+00 1.176880000000000014e-08
8.160000000000000142e+00 1.153320000000000066e-08
8.179999999999999716e+00 1.130110000000000019e-08
8.199999999999999289e+00 1.107269999999999962e-08
8.220000000000000639e+00 1.084790000000000015e-08
8.240000000000000213e+00 1.062670000000000012e-08
8.259999999999999787e+00 1.040909999999999955e-08
8.279999999999999361e+00 1.019520000000000053e-08
8.300000000000000711e+00 9.984769999999999219e-09
8.320000000000000284e+00 9.777930000000000789e-09
8.339999999999999858e+00 9.574640000000000760e-09
8.359999999999999432e+00 9.374879999999999374e-09
8.380000000000000782e+00 9.178630000000000180e-09
8.400000000000000355e+00 8.985870000000000114e-09
8.419999999999999929e+00 8.796549999999999779e-09
8.439999999999999503e+00 8.610669999999999176e-09
8.460000000000000853e+00 8.428180000000000564e-09
8.480000000000000426e+00 8.249049999999999344e-09
8.500000000000000000e+00 8.073260000000000719e-09
