# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 1.401299999999999954e-45
3.899999999999999911e+00 7.567010000000000246e-44
3.919999999999999929e+00 2.858649999999999846e-42
3.939999999999999947e+00 9.152439999999999667e-41
3.959999999999999964e+00 2.508119999999999893e-39
3.979999999999999982e+00 5.924409999999999601e-38
4.000000000000000000e+00 1.214350000000000016e-36
4.019999999999999574e+00 2.173920000000000009e-35
4.040000000000000036e+00 3.419479999999999804e-34
4.059999999999999609e+00 4.754240000000000075e-33
4.080000000000000071e+00 5.874629999999999582e-32
4.099999999999999645e+00 6.486340000000000305e-31
4.120000000000000107e+00 6.432289999999999521e-30
4.139999999999999680e+00 5.756610000000000203e-29
4.160000000000000142e+00 4.670819999999999768e-28
4.179999999999999716e+00 3.451350000000000261e-27
4.200000000000000178e+00 2.332459999999999944e-26
4.219999999999999751e+00 1.447430000000000071e-25
4.240000000000000213e+00 8.279309999999999912e-25
4.259999999999999787e+00 4.381509999999999744e-24
4.280000000000000249e+00 2.152909999999999920e-23
4.299999999999999822e+00 9.854290000000000320e-23
4.320000000000000284e+00 4.215479999999999783e-22
4.339999999999999858e+00 1.690390000000000043e-21
4.360000000000000320e+00 6.372919999999999951e-21
4.379999999999999893e+00 2.265120000000000119e-20
4.400000000000000355e+00 7.610699999999999974e-20
4.419999999999999929e+00 2.423350000000000090e-19
4.440000000000000391e+00 7.330739999999999559e-19
4.459999999999999964e+00 2.111550000000000139e-18
4.480000000000000426e+00 5.804399999999999714e-18
4.500000000000000000e+00 1.525859999999999984e-17
4.519999999999999574e+00 3.843870000000000178e-17
4.540000000000000036e+00 9.296860000000000311e-17
4.559999999999999609e+00 2.162900000000000101e-16
4.580000000000000071e+00 4.848549999999999673e-16
4.599999999999999645e+00 1.049080000000000078e-15
4.620000000000000107e+00 2.194360000000000024e-15
4.639999999999999680e+00 4.444029999999999758e-15
4.660000000000000142e+00 8.726900000000000660e-15
4.679999999999999716e+00 1.663999999999999902e-14
4.700000000000000178e+00 3.084829999999999917e-14
4.719999999999999751e+00 5.567349999999999875e-14
4.740000000000000213e+00 9.793520000000000309e-14
4.769999999999999574e+00 1.681129999999999926e-13
4.790000000000000036e+00 2.819080000000000141e-13
4.809999999999999609e+00 4.616900000000000249e-13
4.830000000000000071e+00 7.301310000000000117e-13
4.849999999999999645e+00 1.134650000000000017e-12
4.870000000000000107e+00 1.733219999999999960e-12
4.889999999999999680e+00 2.603249999999999838e-12
4.910000000000000142e+00 3.846219999999999741e-12
4.929999999999999716e+00 5.592060000000000307e-12
4.950000000000000178e+00 8.004309999999999848e-12
4.969999999999999751e+00 1.128520000000000042e-11
4.990000000000000213e+00 1.567979999999999868e-11
5.009999999999999787e+00 2.148040000000000125e-11
5.030000000000000249e+00 2.902909999999999957e-11
5.049999999999999822e+00 3.872040000000000130e-11
5.070000000000000284e+00 5.100299999999999825e-11
5.089999999999999858e+00 6.637540000000000170e-11
5.110000000000000320e+00 8.538879999999999417e-11
5.129999999999999893e+00 1.086379999999999949e-10
5.150000000000000355e+00 1.367610000000000099e-10
5.169999999999999929e+00 1.704250000000000086e-10
5.190000000000000391e+00 2.103249999999999949e-10
5.209999999999999964e+00 2.571710000000000108e-10
5.230000000000000426e+00 3.116779999999999860e-10
5.250000000000000000e+00 3.745490000000000060e-10
5.269999999999999574e+00 4.464760000000000100e-10
5.290000000000000036e+00 5.281200000000000333e-10
5.309999999999999609e+00 6.200980000000000439e-10
5.330000000000000071e+00 7.229710000000000463e-10
5.349999999999999645e+00 8.372519999999999952e-10
5.370000000000000107e+00 9.633760000000000035e-10
5.389999999999999680e+00 1.101700000000000032e-09
5.410000000000000142e+00 1.252490000000000087e-09
5.429999999999999716e+00 1.415939999999999972e-09
5.450000000000000178e+00 1.592140000000000046e-09
5.469999999999999751e+00 1.781090000000000102e-09
5.490000000000000213e+00 1.982680000000000023e-09
5.509999999999999787e+00 2.196730000000000127e-09
5.530000000000000249e+00 2.422950000000000199e-09
5.549999999999999822e+00 2.660959999999999877e-09
5.570000000000000284e+00 2.910300000000000176e-09
5.589999999999999858e+00 3.170430000000000187e-09
5.610000000000000320e+00 3.440750000000000138e-09
5.629999999999999893e+00 3.720559999999999816e-09
5.650000000000000355e+00 4.009119999999999903e-09
5.669999999999999929e+00 4.305630000000000154e-09
5.690000000000000391e+00 4.609270000000000152e-09
5.709999999999999964e+00 4.919149999999999913e-09
5.730000000000000426e+00 5.234359999999999696e-09
5.750000000000000000e+00 5.553979999999999881e-09
5.769999999999999574e+00 5.877080000000000141e-09
5.790000000000000036e+00 6.202699999999999684e-09
5.809999999999999609e+00 6.529899999999999960e-09
5.830000000000000071e+00 6.857770000000000401e-09
5.849999999999999645e+00 7.185369999999999973e-09
5.870000000000000107e+00 7.511810000000000347e-09
5.889999999999999680e+00 7.836210000000000591e-09
5.910000000000000142e+00 8.157750000000000703e-09
5.929999999999999716e+00 8.475610000000000679e-09
5.950000000000000178e+00 8.789019999999999910e-09
5.969999999999999751e+00 9.097270000000000370e-09
5.990000000000000213e+00 9.399670000000000484e-09
6.009999999999999787e+00 9.695599999999999482e-09
6.030000000000000249e+00 9.984439999999999903e-09
6.049999999999999822e+00 1.026569999999999941e-08
6.070000000000000284e+00 1.053880000000000004e-08
6.089999999999999858e+00 1.080339999999999932e-08
6.110000000000000320e+00 1.105899999999999996e-08
6.129999999999999893e+00 1.130530000000000065e-08
6.150000000000000355e+00 1.154210000000000050e-08
6.169999999999999929e+00 1.176890000000000058e-08
6.190000000000000391e+00 1.198569999999999926e-08
6.209999999999999964e+00 1.219220000000000015e-08
6.230000000000000426e+00 1.238829999999999950e-08
6.250000000000000000e+00 1.257390000000000018e-08
6.269999999999999574e+00 1.274900000000000054e-08
6.290000000000000036e+00 1.291339999999999968e-08
6.309999999999999609e+00 1.306719999999999971e-08
6.330000000000000071e+00 1.321049999999999941e-08
6.349999999999999645e+00 1.334320000000000000e-08
6.370000000000000107e+00 1.346550000000000070e-08
6.389999999999999680e+00 1.357739999999999987e-08
6.410000000000000142e+00 1.367910000000000005e-08
6.429999999999999716e+00 1.377059999999999958e-08
6.450000000000000178e+00 1.385230000000000023e-08
6.469999999999999751e+00 1.392409999999999992e-08
6.490000000000000213e+00 1.398629999999999998e-08
6.509999999999999787e+00 1.403920000000000007e-08
6.530000000000000249e+00 1.408290000000000066e-08
6.549999999999999822e+00 1.411750000000000052e-08
6.570000000000000284e+00 1.414350000000000022e-08
6.589999999999999858e+00 1.416089999999999977e-08
6.610000000000000320e+00 1.417000000000000049e-08
6.629999999999999893e+00 1.417110000000000042e-08
6.650000000000000355e+00 1.416449999999999922e-08
6.669999999999999929e+00 1.415030000000000065e-08
6.690000000000000391e+00 1.412879999999999943e-08
6.709999999999999964e+00 1.410030000000000021e-08
6.730000000000000426e+00 1.406500000000000054e-08
6.750000000000000000e+00 1.402320000000000013e-08
6.769999999999999574e+00 1.397520000000000030e-08
6.790000000000000036e+00 1.392120000000000028e-08
6.809999999999999609e+00 1.386139999999999930e-08
6.830000000000000071e+00 1.379620000000000081e-08
6.849999999999999645e+00 1.372570000000000028e-08
6.870000000000000107e+00 1.365029999999999948e-08
6.889999999999999680e+00 1.357010000000000053e-08
6.910000000000000142e+00 1.348550000000000022e-08
6.929999999999999716e+00 1.339660000000000066e-08
6.950000000000000178e+00 1.330359999999999943e-08
6.969999999999999751e+00 1.320689999999999996e-08
6.990000000000000213e+00 1.310659999999999939e-08
7.009999999999999787e+00 1.300290000000000025e-08
7.030000000000000249e+00 1.289610000000000058e-08
7.049999999999999822e+00 1.278639999999999960e-08
7.070000000000000284e+00 1.267389999999999942e-08
7.089999999999999858e+00 1.255879999999999927e-08
7.110000000000000320e+00 1.244140000000000048e-08
7.129999999999999893e+00 1.232169999999999975e-08
7.150000000000000355e+00 1.220010000000000050e-08
7.169999999999999929e+00 1.207659999999999943e-08
7.190000000000000391e+00 1.195130000000000028e-08
7.209999999999999964e+00 1.182459999999999988e-08
7.230000000000000426e+00 1.169639999999999944e-08
7.259999999999999787e+00 1.156689999999999983e-08
7.280000000000000249e+00 1.143630000000000031e-08
7.299999999999999822e+00 1.130469999999999964e-08
7.320000000000000284e+00 1.117219999999999995e-08
7.339999999999999858e+00 1.103890000000000000e-08
7.360000000000000320e+00 1.090490000000000026e-08
7.379999999999999893e+00 1.077029999999999950e-08
7.400000000000000355e+00 1.063519999999999984e-08
7.419999999999999929e+00 1.049980000000000049e-08
7.440000000000000391e+00 1.036399999999999937e-08
7.459999999999999964e+00 1.022800000000000066e-08
7.480000000000000426e+00 1.009189999999999986e-08
7.500000000000000000e+00 9.955720000000000027e-09
7.519999999999999574e+00 9.819520000000000435e-09
7.540000000000000036e+00 9.683399999999999876e-09
7.559999999999999609e+00 9.547399999999999518e-09
7.580000000000000071e+00 9.411609999999999928e-09
7.599999999999999645e+00 9.276070000000000622e-09
7.620000000000000107e+00 9.140850000000000751e-09
7.639999999999999680e+00 9.005999999999999713e-09
7.660000000000000142e+00 8.871570000000000209e-09
7.679999999999999716e+00 8.737619999999999860e-09
7.700000000000000178e+00 8.604199999999999715e-09
7.719999999999999751e+00 8.471349999999999289e-09
7.740000000000000213e+00 8.339129999999999512e-09
7.759999999999999787e+00 8.207570000000000020e-09
7.780000000000000249e+00 8.076730000000000087e-09
7.799999999999999822e+00 7.946649999999999230e-09
7.820000000000000284e+00 7.817370000000000272e-09
7.839999999999999858e+00 7.688919999999999542e-09
7.860000000000000320e+00 7.561369999999999501e-09
7.879999999999999893e+00 7.434730000000000030e-09
7.900000000000000355e+00 7.309049999999999694e-09
7.919999999999999929e+00 7.184369999999999666e-09
7.940000000000000391e+00 7.060709999999999702e-09
7.959999999999999964e+00 6.938129999999999904e-09
7.980000000000000426e+00 6.816640000000000151e-09
8.000000000000000000e+00 6.696279999999999959e-09
8.019999999999999574e+00 6.577089999999999670e-09
8.039999999999999147e+00 6.459079999999999992e-09
8.060000000000000497e+00 6.342289999999999613e-09
8.080000000000000071e+00 6.226749999999999823e-09
8.099999999999999645e+00 6.112469999999999676e-09
8.119999999999999218e+00 5.999490000000000341e-09
8.140000000000000568e+00 5.887810000000000165e-09
8.160000000000000142e+00 5.777470000000000316e-09
8.179999999999999716e+00 5.668479999999999848e-09
8.199999999999999289e+00 5.560860000000000172e-09
8.220000000000000639e+00 5.454620000000000340e-09
8.240000000000000213e+00 5.349789999999999990e-09
8.259999999999999787e+00 5.246360000000000069e-09
8.279999999999999361e+00 5.144360000000000214e-09
8.300000000000000711e+00 5.043769999999999841e-09
8.320000000000000284e+00 4.944630000000000119e-09
8.339999999999999858e+00 4.846930000000000343e-09
8.359999999999999432e+00 4.750680000000000391e-09
8.380000000000000782e+00 4.655880000000000263e-09
8.400000000000000355e+00 4.562529999999999960e-09
8.419999999999999929e+00 4.470640000000000187e-09
8.439999999999999503e+00 4.380200000000000239e-09
8.460000000000000853e+00 4.291200000000000236e-09
8.480000000000000426e+00 4.203650000000000058e-09
8.500000000000000000e+00 4.117549999999999704e-09
