# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 2.382210000000000234e-44
4.240000000000000213e+00 8.646010000000000677e-43
4.259999999999999787e+00 2.683070000000000134e-41
4.280000000000000249e+00 7.136900000000000200e-40
4.299999999999999822e+00 1.638409999999999893e-38
4.320000000000000284e+00 3.268340000000000006e-37
4.339999999999999858e+00 5.700540000000000235e-36
4.360000000000000320e+00 8.747469999999999846e-35
4.379999999999999893e+00 1.187630000000000012e-33
4.400000000000000355e+00 1.434709999999999914e-32
4.419999999999999929e+00 1.550159999999999899e-31
4.440000000000000391e+00 1.505749999999999936e-30
4.459999999999999964e+00 1.321110000000000099e-29
4.480000000000000426e+00 1.051879999999999916e-28
4.500000000000000000e+00 7.633170000000000150e-28
4.519999999999999574e+00 5.070009999999999792e-27
4.540000000000000036e+00 3.094399999999999917e-26
4.559999999999999609e+00 1.742240000000000090e-25
4.580000000000000071e+00 9.081199999999999634e-25
4.599999999999999645e+00 4.397769999999999863e-24
4.620000000000000107e+00 1.985120000000000110e-23
4.639999999999999680e+00 8.379120000000000300e-23
4.660000000000000142e+00 3.317409999999999800e-22
4.679999999999999716e+00 1.235469999999999990e-21
4.700000000000000178e+00 4.339930000000000042e-21
4.719999999999999751e+00 1.441810000000000034e-20
4.740000000000000213e+00 4.541719999999999911e-20
4.769999999999999574e+00 1.359720000000000082e-19
4.790000000000000036e+00 3.877749999999999935e-19
4.809999999999999609e+00 1.055790000000000065e-18
4.830000000000000071e+00 2.750199999999999818e-18
4.849999999999999645e+00 6.867449999999999615e-18
4.870000000000000107e+00 1.646999999999999941e-17
4.889999999999999680e+00 3.800660000000000236e-17
4.910000000000000142e+00 8.453939999999999869e-17
4.929999999999999716e+00 1.815540000000000063e-16
4.950000000000000178e+00 3.770340000000000046e-16
4.969999999999999751e+00 7.583190000000000461e-16
4.990000000000000213e+00 1.479299999999999997e-15
5.009999999999999787e+00 2.802690000000000188e-15
5.030000000000000249e+00 5.164180000000000228e-15
5.049999999999999822e+00 9.265459999999999692e-15
5.070000000000000284e+00 1.620720000000000035e-14
5.089999999999999858e+00 2.766439999999999885e-14
5.110000000000000320e+00 4.612330000000000225e-14
5.129999999999999893e+00 7.493969999999999773e-14
5.150000000000000355e+00 1.182500000000000010e-13
5.169999999999999929e+00 1.832889999999999978e-13
5.190000000000000391e+00 2.791919999999999881e-13
5.209999999999999964e+00 4.180829999999999867e-13
5.230000000000000426e+00 6.157709999999999820e-13
5.250000000000000000e+00 8.924310000000000371e-13
5.269999999999999574e+00 1.273370000000000056e-12
5.290000000000000036e+00 1.789690000000000021e-12
5.309999999999999609e+00 2.479009999999999955e-12
5.330000000000000071e+00 3.385990000000000196e-12
5.349999999999999645e+00 4.562840000000000377e-12
5.370000000000000107e+00 6.069599999999999906e-12
5.389999999999999680e+00 7.974169999999999332e-12
5.410000000000000142e+00 1.035220000000000026e-11
5.429999999999999716e+00 1.328669999999999992e-11
5.450000000000000178e+00 1.686789999999999843e-11
5.469999999999999751e+00 2.119149999999999992e-11
5.490000000000000213e+00 2.635820000000000132e-11
5.509999999999999787e+00 3.247250000000000083e-11
5.530000000000000249e+00 3.964139999999999868e-11
5.549999999999999822e+00 4.797190000000000161e-11
5.570000000000000284e+00 5.757020000000000040e-11
5.589999999999999858e+00 6.854040000000000146e-11
5.610000000000000320e+00 8.098200000000000531e-11
5.629999999999999893e+00 9.498790000000000241e-11
5.650000000000000355e+00 1.106440000000000007e-10
5.669999999999999929e+00 1.280259999999999878e-10
5.690000000000000391e+00 1.472020000000000103e-10
5.709999999999999964e+00 1.682259999999999886e-10
5.730000000000000426e+00 1.911389999999999900e-10
5.750000000000000000e+00 2.159709999999999876e-10
5.769999999999999574e+00 2.427380000000000152e-10
5.790000000000000036e+00 2.714399999999999953e-10
5.809999999999999609e+00 3.020640000000000231e-10
5.830000000000000071e+00 3.345849999999999877e-10
5.849999999999999645e+00 3.689599999999999853e-10
5.870000000000000107e+00 4.051340000000000095e-10
5.889999999999999680e+00 4.430410000000000110e-10
5.910000000000000142e+00 4.826040000000000015e-10
5.929999999999999716e+00 5.237290000000000016e-10
5.950000000000000178e+00 5.663180000000000497e-10
5.969999999999999751e+00 6.102610000000000291e-10
5.990000000000000213e+00 6.554429999999999875e-10
6.009999999999999787e+00 7.017379999999999811e-10
6.030000000000000249e+00 7.490180000000000495e-10
6.049999999999999822e+00 7.971509999999999907e-10
6.070000000000000284e+00 8.460019999999999909e-10
6.089999999999999858e+00 8.954319999999999949e-10
6.110000000000000320e+00 9.453040000000000684e-10
6.129999999999999893e+00 9.954799999999999579e-10
6.150000000000000355e+00 1.045830000000000099e-09
6.169999999999999929e+00 1.096210000000000085e-09
6.190000000000000391e+00 1.146499999999999918e-09
6.209999999999999964e+00 1.196569999999999933e-09
6.230000000000000426e+00 1.246310000000000011e-09
6.250000000000000000e+00 1.295590000000000072e-09
6.269999999999999574e+00 1.344310000000000086e-09
6.290000000000000036e+00 1.392359999999999936e-09
6.309999999999999609e+00 1.439659999999999969e-09
6.330000000000000071e+00 1.486100000000000069e-09
6.349999999999999645e+00 1.531599999999999964e-09
6.370000000000000107e+00 1.576090000000000086e-09
6.389999999999999680e+00 1.619509999999999922e-09
6.410000000000000142e+00 1.661780000000000025e-09
6.429999999999999716e+00 1.702840000000000088e-09
6.450000000000000178e+00 1.742649999999999974e-09
6.469999999999999751e+00 1.781169999999999961e-09
6.490000000000000213e+00 1.818350000000000033e-09
6.509999999999999787e+00 1.854159999999999933e-09
6.530000000000000249e+00 1.888569999999999818e-09
6.549999999999999822e+00 1.921549999999999842e-09
6.570000000000000284e+00 1.953099999999999801e-09
6.589999999999999858e+00 1.983190000000000055e-09
6.610000000000000320e+00 2.011809999999999901e-09
6.629999999999999893e+00 2.038949999999999871e-09
6.650000000000000355e+00 2.064619999999999846e-09
6.669999999999999929e+00 2.088800000000000066e-09
6.690000000000000391e+00 2.111520000000000170e-09
6.709999999999999964e+00 2.132750000000000106e-09
6.730000000000000426e+00 2.152529999999999804e-09
6.750000000000000000e+00 2.170849999999999798e-09
6.769999999999999574e+00 2.187729999999999847e-09
6.790000000000000036e+00 2.203179999999999830e-09
6.809999999999999609e+00 2.217229999999999797e-09
6.830000000000000071e+00 2.229880000000000162e-09
6.849999999999999645e+00 2.241160000000000148e-09
6.870000000000000107e+00 2.251089999999999926e-09
6.889999999999999680e+00 2.259690000000000083e-09
6.910000000000000142e+00 2.266989999999999841e-09
6.929999999999999716e+00 2.273010000000000198e-09
6.950000000000000178e+00 2.277779999999999966e-09
6.969999999999999751e+00 2.281320000000000142e-09
6.990000000000000213e+00 2.283669999999999828e-09
7.009999999999999787e+00 2.284859999999999904e-09
7.030000000000000249e+00 2.284910000000000126e-09
7.049999999999999822e+00 2.283850000000000132e-09
7.070000000000000284e+00 2.281730000000000143e-09
7.089999999999999858e+00 2.278560000000000039e-09
7.110000000000000320e+00 2.274390000000000042e-09
7.129999999999999893e+00 2.269239999999999910e-09
7.150000000000000355e+00 2.263149999999999986e-09
7.169999999999999929e+00 2.256160000000000200e-09
7.190000000000000391e+00 2.248289999999999895e-09
7.209999999999999964e+00 2.239569999999999950e-09
7.230000000000000426e+00 2.230050000000000173e-09
7.259999999999999787e+00 2.219760000000000201e-09
7.280000000000000249e+00 2.208720000000000206e-09
7.299999999999999822e+00 2.196970000000000117e-09
7.320000000000000284e+00 2.184549999999999865e-09
7.339999999999999858e+00 2.171470000000000154e-09
7.360000000000000320e+00 2.157779999999999966e-09
7.379999999999999893e+00 2.143510000000000180e-09
7.400000000000000355e+00 2.128669999999999847e-09
7.419999999999999929e+00 2.113310000000000016e-09
7.440000000000000391e+00 2.097450000000000031e-09
7.459999999999999964e+00 2.081110000000000065e-09
7.480000000000000426e+00 2.064330000000000046e-09
7.500000000000000000e+00 2.047130000000000147e-09
7.519999999999999574e+00 2.029530000000000125e-09
7.540000000000000036e+00 2.011560000000000031e-09
7.559999999999999609e+00 1.993240000000000036e-09
7.580000000000000071e+00 1.974589999999999899e-09
7.599999999999999645e+00 1.955640000000000083e-09
7.620000000000000107e+00 1.936400000000000055e-09
7.639999999999999680e+00 1.916889999999999985e-09
7.660000000000000142e+00 1.897139999999999923e-09
7.679999999999999716e+00 1.877160000000000164e-09
7.700000000000000178e+00 1.856970000000000051e-09
7.719999999999999751e+00 1.836589999999999962e-09
7.740000000000000213e+00 1.816029999999999983e-09
7.759999999999999787e+00 1.795310000000000080e-09
7.780000000000000249e+00 1.774439999999999923e-09
7.799999999999999822e+00 1.753449999999999978e-09
7.820000000000000284e+00 1.732329999999999952e-09
7.839999999999999858e+00 1.711119999999999981e-09
7.860000000000000320e+00 1.689809999999999979e-09
7.879999999999999893e+00 1.668429999999999997e-09
7.900000000000000355e+00 1.646989999999999914e-09
7.919999999999999929e+00 1.625489999999999936e-09
7.940000000000000391e+00 1.603959999999999908e-09
7.959999999999999964e+00 1.582400000000000036e-09
7.980000000000000426e+00 1.560819999999999993e-09
8.000000000000000000e+00 1.539239999999999950e-09
8.019999999999999574e+00 1.517659999999999906e-09
8.039999999999999147e+00 1.496109999999999914e-09
8.060000000000000497e+00 1.474580000000000092e-09
8.080000000000000071e+00 1.453089999999999994e-09
8.099999999999999645e+00 1.431640000000000032e-09
8.119999999999999218e+00 1.410260000000000050e-09
8.140000000000000568e+00 1.388939999999999962e-09
8.160000000000000142e+00 1.367710000000000026e-09
8.179999999999999716e+00 1.346550000000000070e-09
8.199999999999999289e+00 1.325489999999999938e-09
8.220000000000000639e+00 1.304539999999999923e-09
8.240000000000000213e+00 1.283700000000000024e-09
8.259999999999999787e+00 1.262979999999999913e-09
8.279999999999999361e+00 1.242390000000000091e-09
8.300000000000000711e+00 1.221929999999999936e-09
8.320000000000000284e+00 1.201620000000000034e-09
8.339999999999999858e+00 1.181450000000000092e-09
8.359999999999999432e+00 1.161449999999999955e-09
8.380000000000000782e+00 1.141600000000000070e-09
8.400000000000000355e+00 1.121930000000000074e-09
8.419999999999999929e+00 1.102430000000000090e-09
8.439999999999999503e+00 1.083109999999999996e-09
8.460000000000000853e+00 1.063980000000000083e-09
8.480000000000000426e+00 1.045039999999999940e-09
8.500000000000000000e+00 1.026289999999999979e-09
