# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 4.203899999999999863e-45
4.320000000000000284e+00 1.555440000000000004e-43
4.339999999999999858e+00 4.924159999999999689e-42
4.360000000000000320e+00 1.336120000000000092e-40
4.379999999999999893e+00 3.126479999999999871e-39
4.400000000000000355e+00 6.351569999999999937e-38
4.419999999999999929e+00 1.127290000000000076e-36
4.440000000000000391e+00 1.758869999999999906e-35
4.459999999999999964e+00 2.426300000000000171e-34
4.480000000000000426e+00 2.976040000000000123e-33
4.500000000000000000e+00 3.262639999999999797e-32
4.519999999999999574e+00 3.213569999999999828e-31
4.540000000000000036e+00 2.857260000000000049e-30
4.559999999999999609e+00 2.304159999999999916e-29
4.580000000000000071e+00 1.692559999999999933e-28
4.599999999999999645e+00 1.137419999999999938e-27
4.620000000000000107e+00 7.020129999999999308e-27
4.639999999999999680e+00 3.994920000000000063e-26
4.660000000000000142e+00 2.103890000000000169e-25
4.679999999999999716e+00 1.028940000000000044e-24
4.700000000000000178e+00 4.688640000000000243e-24
4.719999999999999751e+00 1.997080000000000039e-23
4.740000000000000213e+00 7.975810000000000569e-23
4.769999999999999574e+00 2.995280000000000233e-22
4.790000000000000036e+00 1.060649999999999985e-21
4.809999999999999609e+00 3.550999999999999801e-21
4.830000000000000071e+00 1.126889999999999964e-20
4.849999999999999645e+00 3.397879999999999740e-20
4.870000000000000107e+00 9.757010000000000285e-20
4.889999999999999680e+00 2.674119999999999854e-19
4.910000000000000142e+00 7.010099999999999969e-19
4.929999999999999716e+00 1.761199999999999919e-18
4.950000000000000178e+00 4.248749999999999829e-18
4.969999999999999751e+00 9.860220000000000370e-18
4.990000000000000213e+00 2.205220000000000042e-17
5.009999999999999787e+00 4.760690000000000204e-17
5.030000000000000249e+00 9.936849999999999938e-17
5.049999999999999822e+00 2.008320000000000111e-16
5.070000000000000284e+00 3.936130000000000024e-16
5.089999999999999858e+00 7.491159999999999635e-16
5.110000000000000320e+00 1.386310000000000038e-15
5.129999999999999893e+00 2.497710000000000112e-15
5.150000000000000355e+00 4.386620000000000270e-15
5.169999999999999929e+00 7.518209999999999551e-15
5.190000000000000391e+00 1.258879999999999977e-14
5.209999999999999964e+00 2.055780000000000127e-14
5.230000000000000426e+00 3.240630000000000122e-14
5.250000000000000000e+00 5.026020000000000050e-14
5.269999999999999574e+00 7.669969999999999477e-14
5.290000000000000036e+00 1.151840000000000068e-13
5.309999999999999609e+00 1.702539999999999933e-13
5.330000000000000071e+00 2.477659999999999764e-13
5.349999999999999645e+00 3.551099999999999884e-13
5.370000000000000107e+00 5.014639999999999522e-13
5.389999999999999680e+00 6.979870000000000227e-13
5.410000000000000142e+00 9.580209999999999626e-13
5.429999999999999716e+00 1.297290000000000019e-12
5.450000000000000178e+00 1.734000000000000083e-12
5.469999999999999751e+00 2.288849999999999885e-12
5.490000000000000213e+00 2.985069999999999921e-12
5.509999999999999787e+00 3.848399999999999637e-12
5.530000000000000249e+00 4.906789999999999936e-12
5.549999999999999822e+00 6.190319999999999820e-12
5.570000000000000284e+00 7.730759999999999666e-12
5.589999999999999858e+00 9.561419999999999460e-12
5.610000000000000320e+00 1.171659999999999957e-11
5.629999999999999893e+00 1.423089999999999988e-11
5.650000000000000355e+00 1.713930000000000150e-11
5.669999999999999929e+00 2.047629999999999990e-11
5.690000000000000391e+00 2.427510000000000104e-11
5.709999999999999964e+00 2.856790000000000068e-11
5.730000000000000426e+00 3.338439999999999899e-11
5.750000000000000000e+00 3.875219999999999880e-11
5.769999999999999574e+00 4.469620000000000174e-11
5.790000000000000036e+00 5.123759999999999970e-11
5.809999999999999609e+00 5.839419999999999931e-11
5.830000000000000071e+00 6.618039999999999617e-11
5.849999999999999645e+00 7.460600000000000582e-11
5.870000000000000107e+00 8.367629999999999879e-11
5.889999999999999680e+00 9.339330000000000515e-11
5.910000000000000142e+00 1.037539999999999992e-10
5.929999999999999716e+00 1.147510000000000001e-10
5.950000000000000178e+00 1.263740000000000074e-10
5.969999999999999751e+00 1.386050000000000089e-10
5.990000000000000213e+00 1.514279999999999966e-10
6.009999999999999787e+00 1.648189999999999971e-10
6.030000000000000249e+00 1.787510000000000117e-10
6.049999999999999822e+00 1.931969999999999895e-10
6.070000000000000284e+00 2.081230000000000008e-10
6.089999999999999858e+00 2.234970000000000038e-10
6.110000000000000320e+00 2.392819999999999912e-10
6.129999999999999893e+00 2.554420000000000160e-10
6.150000000000000355e+00 2.719379999999999764e-10
6.169999999999999929e+00 2.887299999999999945e-10
6.190000000000000391e+00 3.057800000000000029e-10
6.209999999999999964e+00 3.230480000000000202e-10
6.230000000000000426e+00 3.404950000000000221e-10
6.250000000000000000e+00 3.580809999999999756e-10
6.269999999999999574e+00 3.757680000000000201e-10
6.290000000000000036e+00 3.935189999999999932e-10
6.309999999999999609e+00 4.112979999999999998e-10
6.330000000000000071e+00 4.290710000000000065e-10
6.349999999999999645e+00 4.468030000000000235e-10
6.370000000000000107e+00 4.644619999999999828e-10
6.389999999999999680e+00 4.820190000000000495e-10
6.410000000000000142e+00 4.994420000000000006e-10
6.429999999999999716e+00 5.167060000000000353e-10
6.450000000000000178e+00 5.337840000000000253e-10
6.469999999999999751e+00 5.506499999999999545e-10
6.490000000000000213e+00 5.672829999999999528e-10
6.509999999999999787e+00 5.836590000000000211e-10
6.530000000000000249e+00 5.997589999999999965e-10
6.549999999999999822e+00 6.155630000000000176e-10
6.570000000000000284e+00 6.310540000000000420e-10
6.589999999999999858e+00 6.462130000000000100e-10
6.610000000000000320e+00 6.610260000000000084e-10
6.629999999999999893e+00 6.754780000000000119e-10
6.650000000000000355e+00 6.895550000000000037e-10
6.669999999999999929e+00 7.032439999999999757e-10
6.690000000000000391e+00 7.165330000000000319e-10
6.709999999999999964e+00 7.294109999999999744e-10
6.730000000000000426e+00 7.418680000000000276e-10
6.750000000000000000e+00 7.538929999999999939e-10
6.769999999999999574e+00 7.654800000000000284e-10
6.790000000000000036e+00 7.766190000000000455e-10
6.809999999999999609e+00 7.873039999999999936e-10
6.830000000000000071e+00 7.975280000000000195e-10
6.849999999999999645e+00 8.072849999999999683e-10
6.870000000000000107e+00 8.165710000000000126e-10
6.889999999999999680e+00 8.253820000000000145e-10
6.910000000000000142e+00 8.337130000000000346e-10
6.929999999999999716e+00 8.415639999999999696e-10
6.950000000000000178e+00 8.489309999999999918e-10
6.969999999999999751e+00 8.558139999999999979e-10
6.990000000000000213e+00 8.622129999999999879e-10
7.009999999999999787e+00 8.681289999999999704e-10
7.030000000000000249e+00 8.735620000000000487e-10
7.049999999999999822e+00 8.785150000000000418e-10
7.070000000000000284e+00 8.829909999999999755e-10
7.089999999999999858e+00 8.869929999999999789e-10
7.110000000000000320e+00 8.905259999999999914e-10
7.129999999999999893e+00 8.935949999999999525e-10
7.150000000000000355e+00 8.962050000000000087e-10
7.169999999999999929e+00 8.983640000000000216e-10
7.190000000000000391e+00 9.000760000000000256e-10
7.209999999999999964e+00 9.013510000000000031e-10
7.230000000000000426e+00 9.021970000000000227e-10
7.259999999999999787e+00 9.026200000000000325e-10
7.280000000000000249e+00 9.026310000000000235e-10
7.299999999999999822e+00 9.022389999999999694e-10
7.320000000000000284e+00 9.014530000000000509e-10
7.339999999999999858e+00 9.002839999999999488e-10
7.360000000000000320e+00 8.987400000000000418e-10
7.379999999999999893e+00 8.968340000000000279e-10
7.400000000000000355e+00 8.945739999999999757e-10
7.419999999999999929e+00 8.919729999999999968e-10
7.440000000000000391e+00 8.890399999999999616e-10
7.459999999999999964e+00 8.857859999999999643e-10
7.480000000000000426e+00 8.822230000000000046e-10
7.500000000000000000e+00 8.783599999999999529e-10
7.519999999999999574e+00 8.742100000000000241e-10
7.540000000000000036e+00 8.697809999999999767e-10
7.559999999999999609e+00 8.650860000000000255e-10
7.580000000000000071e+00 8.601340000000000409e-10
7.599999999999999645e+00 8.549360000000000140e-10
7.620000000000000107e+00 8.495020000000000305e-10
7.639999999999999680e+00 8.438409999999999608e-10
7.660000000000000142e+00 8.379650000000000113e-10
7.679999999999999716e+00 8.318829999999999489e-10
7.700000000000000178e+00 8.256030000000000492e-10
7.719999999999999751e+00 8.191370000000000014e-10
7.740000000000000213e+00 8.124909999999999605e-10
7.759999999999999787e+00 8.056770000000000293e-10
7.780000000000000249e+00 7.987019999999999577e-10
7.799999999999999822e+00 7.915750000000000298e-10
7.820000000000000284e+00 7.843050000000000125e-10
7.839999999999999858e+00 7.768989999999999659e-10
7.860000000000000320e+00 7.693669999999999758e-10
7.879999999999999893e+00 7.617149999999999902e-10
7.900000000000000355e+00 7.539509999999999744e-10
7.919999999999999929e+00 7.460840000000000056e-10
7.940000000000000391e+00 7.381200000000000319e-10
7.959999999999999964e+00 7.300660000000000099e-10
7.980000000000000426e+00 7.219310000000000168e-10
8.000000000000000000e+00 7.137199999999999921e-10
8.019999999999999574e+00 7.054410000000000044e-10
8.039999999999999147e+00 6.971010000000000105e-10
8.060000000000000497e+00 6.887040000000000446e-10
8.080000000000000071e+00 6.802599999999999856e-10
8.099999999999999645e+00 6.717719999999999628e-10
8.119999999999999218e+00 6.632480000000000448e-10
8.140000000000000568e+00 6.546939999999999728e-10
8.160000000000000142e+00 6.461149999999999965e-10
8.179999999999999716e+00 6.375159999999999521e-10
8.199999999999999289e+00 6.289040000000000029e-10
8.220000000000000639e+00 6.202839999999999851e-10
8.240000000000000213e+00 6.116610000000000450e-10
8.259999999999999787e+00 6.030400000000000186e-10
8.279999999999999361e+00 5.944269999999999575e-10
8.300000000000000711e+00 5.858249999999999907e-10
8.320000000000000284e+00 5.772389999999999544e-10
8.339999999999999858e+00 5.686739999999999948e-10
8.359999999999999432e+00 5.601350000000000515e-10
8.380000000000000782e+00 5.516250000000000467e-10
8.400000000000000355e+00 5.431490000000000235e-10
8.419999999999999929e+00 5.347089999999999989e-10
8.439999999999999503e+00 5.263110000000000243e-10
8.460000000000000853e+00 5.179570000000000137e-10
8.480000000000000426e+00 5.096510000000000012e-10
8.500000000000000000e+00 5.013960000000000127e-10
