# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 1.401299999999999954e-45
3.700000000000000178e+00 5.324930000000000319e-44
3.720000000000000195e+00 2.093540000000000056e-42
3.740000000000000213e+00 6.993880000000000436e-41
3.759999999999999787e+00 1.995480000000000066e-39
3.779999999999999805e+00 4.898699999999999902e-38
3.799999999999999822e+00 1.041699999999999995e-36
3.819999999999999840e+00 1.931530000000000048e-35
3.839999999999999858e+00 3.141839999999999812e-34
3.859999999999999876e+00 4.510400000000000327e-33
3.879999999999999893e+00 5.746430000000000235e-32
3.899999999999999911e+00 6.532890000000000352e-31
3.919999999999999929e+00 6.661469999999999601e-30
3.939999999999999947e+00 6.122399999999999456e-29
3.959999999999999964e+00 5.095620000000000274e-28
3.979999999999999982e+00 3.857839999999999857e-27
4.000000000000000000e+00 2.668209999999999912e-26
4.019999999999999574e+00 1.692830000000000019e-25
4.040000000000000036e+00 9.889760000000000725e-25
4.059999999999999609e+00 5.340610000000000243e-24
4.080000000000000071e+00 2.675109999999999727e-23
4.099999999999999645e+00 1.247169999999999931e-22
4.120000000000000107e+00 5.429680000000000364e-22
4.139999999999999680e+00 2.214150000000000015e-21
4.160000000000000142e+00 8.482040000000000127e-21
4.179999999999999716e+00 3.061189999999999834e-20
4.200000000000000178e+00 1.043659999999999985e-19
4.219999999999999751e+00 3.369909999999999812e-19
4.240000000000000213e+00 1.033030000000000003e-18
4.259999999999999787e+00 3.013580000000000030e-18
4.280000000000000249e+00 8.385100000000000164e-18
4.299999999999999822e+00 2.229950000000000064e-17
4.320000000000000284e+00 5.680050000000000217e-17
4.339999999999999858e+00 1.388370000000000016e-16
4.360000000000000320e+00 3.262750000000000115e-16
4.379999999999999893e+00 7.384819999999999567e-16
4.400000000000000355e+00 1.612609999999999988e-15
4.419999999999999929e+00 3.402799999999999994e-15
4.440000000000000391e+00 6.949510000000000388e-15
4.459999999999999964e+00 1.375639999999999926e-14
4.480000000000000426e+00 2.643119999999999925e-14
4.500000000000000000e+00 4.935830000000000058e-14
4.519999999999999574e+00 8.970329999999999805e-14
4.540000000000000036e+00 1.588480000000000063e-13
4.559999999999999609e+00 2.744099999999999889e-13
4.580000000000000071e+00 4.629559999999999915e-13
4.599999999999999645e+00 7.636149999999999728e-13
4.620000000000000107e+00 1.213249999999999904e-12
4.639999999999999680e+00 1.888429999999999861e-12
4.660000000000000142e+00 2.891620000000000153e-12
4.679999999999999716e+00 4.356369999999999945e-12
4.700000000000000178e+00 6.458709999999999648e-12
4.719999999999999751e+00 9.426010000000000545e-12
4.740000000000000213e+00 1.354629999999999934e-11
4.769999999999999574e+00 1.917710000000000156e-11
4.790000000000000036e+00 2.675450000000000116e-11
4.809999999999999609e+00 3.680129999999999910e-11
4.830000000000000071e+00 4.993219999999999922e-11
4.849999999999999645e+00 6.685909999999999973e-11
4.870000000000000107e+00 8.839300000000000433e-11
4.889999999999999680e+00 1.154419999999999954e-10
4.910000000000000142e+00 1.490090000000000021e-10
4.929999999999999716e+00 1.901850000000000003e-10
4.950000000000000178e+00 2.401319999999999934e-10
4.969999999999999751e+00 3.000819999999999777e-10
4.990000000000000213e+00 3.713159999999999821e-10
5.009999999999999787e+00 4.551379999999999745e-10
5.030000000000000249e+00 5.528709999999999823e-10
5.049999999999999822e+00 6.658230000000000075e-10
5.070000000000000284e+00 7.952760000000000359e-10
5.089999999999999858e+00 9.424529999999999093e-10
5.110000000000000320e+00 1.108509999999999928e-09
5.129999999999999893e+00 1.294509999999999907e-09
5.150000000000000355e+00 1.501419999999999971e-09
5.169999999999999929e+00 1.730030000000000074e-09
5.190000000000000391e+00 1.981060000000000188e-09
5.209999999999999964e+00 2.255029999999999812e-09
5.230000000000000426e+00 2.552309999999999844e-09
5.250000000000000000e+00 2.873099999999999932e-09
5.269999999999999574e+00 3.217430000000000128e-09
5.290000000000000036e+00 3.585199999999999986e-09
5.309999999999999609e+00 3.976070000000000312e-09
5.330000000000000071e+00 4.389560000000000298e-09
5.349999999999999645e+00 4.825049999999999587e-09
5.370000000000000107e+00 5.281760000000000174e-09
5.389999999999999680e+00 5.758750000000000199e-09
5.410000000000000142e+00 6.254960000000000081e-09
5.429999999999999716e+00 6.769210000000000037e-09
5.450000000000000178e+00 7.300250000000000304e-09
5.469999999999999751e+00 7.846709999999999263e-09
5.490000000000000213e+00 8.407120000000000639e-09
5.509999999999999787e+00 8.980009999999999888e-09
5.530000000000000249e+00 9.563870000000000393e-09
5.549999999999999822e+00 1.015710000000000001e-08
5.570000000000000284e+00 1.075820000000000034e-08
5.589999999999999858e+00 1.136550000000000010e-08
5.610000000000000320e+00 1.197749999999999922e-08
5.629999999999999893e+00 1.259269999999999933e-08
5.650000000000000355e+00 1.320960000000000038e-08
5.669999999999999929e+00 1.382679999999999944e-08
5.690000000000000391e+00 1.444279999999999980e-08
5.709999999999999964e+00 1.505649999999999986e-08
5.730000000000000426e+00 1.566629999999999914e-08
5.750000000000000000e+00 1.627130000000000026e-08
5.769999999999999574e+00 1.687030000000000119e-08
5.790000000000000036e+00 1.746219999999999870e-08
5.809999999999999609e+00 1.804600000000000158e-08
5.830000000000000071e+00 1.862089999999999967e-08
5.849999999999999645e+00 1.918589999999999844e-08
5.870000000000000107e+00 1.974029999999999975e-08
5.889999999999999680e+00 2.028339999999999884e-08
5.910000000000000142e+00 2.081439999999999876e-08
5.929999999999999716e+00 2.133279999999999896e-08
5.950000000000000178e+00 2.183800000000000007e-08
5.969999999999999751e+00 2.232950000000000152e-08
5.990000000000000213e+00 2.280690000000000155e-08
6.009999999999999787e+00 2.326960000000000079e-08
6.030000000000000249e+00 2.371739999999999836e-08
6.049999999999999822e+00 2.414980000000000030e-08
6.070000000000000284e+00 2.456670000000000120e-08
6.089999999999999858e+00 2.496760000000000051e-08
6.110000000000000320e+00 2.535239999999999943e-08
6.129999999999999893e+00 2.572080000000000159e-08
6.150000000000000355e+00 2.607259999999999949e-08
6.169999999999999929e+00 2.640770000000000095e-08
6.190000000000000391e+00 2.672600000000000056e-08
6.209999999999999964e+00 2.702730000000000075e-08
6.230000000000000426e+00 2.731170000000000031e-08
6.250000000000000000e+00 2.757889999999999955e-08
6.269999999999999574e+00 2.782900000000000058e-08
6.290000000000000036e+00 2.806200000000000008e-08
6.309999999999999609e+00 2.827790000000000137e-08
6.330000000000000071e+00 2.847679999999999993e-08
6.349999999999999645e+00 2.865869999999999907e-08
6.370000000000000107e+00 2.882379999999999966e-08
6.389999999999999680e+00 2.897209999999999842e-08
6.410000000000000142e+00 2.910370000000000073e-08
6.429999999999999716e+00 2.921899999999999846e-08
6.450000000000000178e+00 2.931800000000000154e-08
6.469999999999999751e+00 2.940090000000000091e-08
6.490000000000000213e+00 2.946799999999999957e-08
6.509999999999999787e+00 2.951960000000000051e-08
6.530000000000000249e+00 2.955590000000000130e-08
6.549999999999999822e+00 2.957720000000000163e-08
6.570000000000000284e+00 2.958389999999999997e-08
6.589999999999999858e+00 2.957620000000000050e-08
6.610000000000000320e+00 2.955449999999999839e-08
6.629999999999999893e+00 2.951909999999999994e-08
6.650000000000000355e+00 2.947040000000000031e-08
6.669999999999999929e+00 2.940890000000000005e-08
6.690000000000000391e+00 2.933480000000000007e-08
6.709999999999999964e+00 2.924849999999999883e-08
6.730000000000000426e+00 2.915059999999999899e-08
6.750000000000000000e+00 2.904130000000000145e-08
6.769999999999999574e+00 2.892110000000000015e-08
6.790000000000000036e+00 2.879030000000000138e-08
6.809999999999999609e+00 2.864950000000000121e-08
6.830000000000000071e+00 2.849899999999999930e-08
6.849999999999999645e+00 2.833920000000000074e-08
6.870000000000000107e+00 2.817050000000000069e-08
6.889999999999999680e+00 2.799330000000000093e-08
6.910000000000000142e+00 2.780799999999999993e-08
6.929999999999999716e+00 2.761510000000000155e-08
6.950000000000000178e+00 2.741480000000000008e-08
6.969999999999999751e+00 2.720750000000000060e-08
6.990000000000000213e+00 2.699360000000000158e-08
7.009999999999999787e+00 2.677350000000000148e-08
7.030000000000000249e+00 2.654759999999999878e-08
7.049999999999999822e+00 2.631599999999999887e-08
7.070000000000000284e+00 2.607930000000000113e-08
7.089999999999999858e+00 2.583760000000000102e-08
7.110000000000000320e+00 2.559130000000000033e-08
7.129999999999999893e+00 2.534069999999999874e-08
7.150000000000000355e+00 2.508620000000000132e-08
7.169999999999999929e+00 2.482780000000000147e-08
7.190000000000000391e+00 2.456609999999999854e-08
7.209999999999999964e+00 2.430109999999999914e-08
7.230000000000000426e+00 2.403319999999999844e-08
7.259999999999999787e+00 2.376260000000000064e-08
7.280000000000000249e+00 2.348959999999999879e-08
7.299999999999999822e+00 2.321430000000000161e-08
7.320000000000000284e+00 2.293699999999999886e-08
7.339999999999999858e+00 2.265800000000000013e-08
7.360000000000000320e+00 2.237740000000000091e-08
7.379999999999999893e+00 2.209539999999999879e-08
7.400000000000000355e+00 2.181230000000000004e-08
7.419999999999999929e+00 2.152810000000000138e-08
7.440000000000000391e+00 2.124330000000000004e-08
7.459999999999999964e+00 2.095780000000000056e-08
7.480000000000000426e+00 2.067189999999999931e-08
7.500000000000000000e+00 2.038569999999999837e-08
7.519999999999999574e+00 2.009950000000000075e-08
7.540000000000000036e+00 1.981329999999999981e-08
7.559999999999999609e+00 1.952739999999999856e-08
7.580000000000000071e+00 1.924189999999999908e-08
7.599999999999999645e+00 1.895699999999999895e-08
7.620000000000000107e+00 1.867280000000000029e-08
7.639999999999999680e+00 1.838939999999999856e-08
7.660000000000000142e+00 1.810700000000000127e-08
7.679999999999999716e+00 1.782570000000000060e-08
7.700000000000000178e+00 1.754559999999999864e-08
7.719999999999999751e+00 1.726699999999999838e-08
7.740000000000000213e+00 1.698980000000000103e-08
7.759999999999999787e+00 1.671420000000000087e-08
7.780000000000000249e+00 1.644039999999999877e-08
7.799999999999999822e+00 1.616829999999999927e-08
7.820000000000000284e+00 1.589830000000000082e-08
7.839999999999999858e+00 1.563019999999999923e-08
7.860000000000000320e+00 1.536430000000000080e-08
7.879999999999999893e+00 1.510050000000000012e-08
7.900000000000000355e+00 1.483910000000000018e-08
7.919999999999999929e+00 1.458000000000000052e-08
7.940000000000000391e+00 1.432340000000000040e-08
7.959999999999999964e+00 1.406929999999999980e-08
7.980000000000000426e+00 1.381780000000000082e-08
8.000000000000000000e+00 1.356890000000000016e-08
8.019999999999999574e+00 1.332269999999999991e-08
8.039999999999999147e+00 1.307930000000000053e-08
8.060000000000000497e+00 1.283859999999999990e-08
8.080000000000000071e+00 1.260080000000000058e-08
8.099999999999999645e+00 1.236589999999999925e-08
8.119999999999999218e+00 1.213389999999999922e-08
8.140000000000000568e+00 1.190480000000000050e-08
8.160000000000000142e+00 1.167870000000000021e-08
8.179999999999999716e+00 1.145560000000000002e-08
8.199999999999999289e+00 1.123560000000000037e-08
8.220000000000000639e+00 1.101850000000000036e-08
8.240000000000000213e+00 1.080449999999999924e-08
8.259999999999999787e+00 1.059349999999999987e-08
8.279999999999999361e+00 1.038559999999999937e-08
8.300000000000000711e+00 1.018079999999999942e-08
8.320000000000000284e+00 9.979040000000000728e-09
8.339999999999999858e+00 9.780349999999999629e-09
8.359999999999999432e+00 9.584719999999999551e-09
8.380000000000000782e+00 9.392150000000000494e-09
8.400000000000000355e+00 9.202640000000000804e-09
8.419999999999999929e+00 9.016170000000000723e-09
8.439999999999999503e+00 8.832730000000000372e-09
8.460000000000000853e+00 8.652309999999999872e-09
8.480000000000000426e+00 8.474889999999999465e-09
8.500000000000000000e+00 8.300449999999999394e-09
