# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 4.203899999999999863e-45
4.620000000000000107e+00 1.709579999999999928e-43
4.639999999999999680e+00 5.777550000000000407e-42
4.660000000000000142e+00 1.661600000000000007e-40
4.679999999999999716e+00 4.109930000000000264e-39
4.700000000000000178e+00 8.802459999999999974e-38
4.719999999999999751e+00 1.643250000000000087e-36
4.740000000000000213e+00 2.690610000000000055e-35
4.769999999999999574e+00 3.886789999999999895e-34
4.790000000000000036e+00 4.981439999999999978e-33
4.809999999999999609e+00 5.695350000000000318e-32
4.830000000000000071e+00 5.839219999999999960e-31
4.849999999999999645e+00 5.394680000000000244e-30
4.870000000000000107e+00 4.512089999999999916e-29
4.889999999999999680e+00 3.432139999999999870e-28
4.910000000000000142e+00 2.384579999999999940e-27
4.929999999999999716e+00 1.519409999999999870e-26
4.950000000000000178e+00 8.913139999999999715e-26
4.969999999999999751e+00 4.831989999999999607e-25
4.990000000000000213e+00 2.429519999999999880e-24
5.009999999999999787e+00 1.136740000000000032e-23
5.030000000000000249e+00 4.965829999999999853e-23
5.049999999999999822e+00 2.031550000000000072e-22
5.070000000000000284e+00 7.807050000000000026e-22
5.089999999999999858e+00 2.825979999999999956e-21
5.110000000000000320e+00 9.662140000000000713e-21
5.129999999999999893e+00 3.128210000000000239e-20
5.150000000000000355e+00 9.614549999999999619e-20
5.169999999999999929e+00 2.811719999999999896e-19
5.190000000000000391e+00 7.841900000000000042e-19
5.209999999999999964e+00 2.090199999999999863e-18
5.230000000000000426e+00 5.335540000000000346e-18
5.250000000000000000e+00 1.306849999999999945e-17
5.269999999999999574e+00 3.077129999999999896e-17
5.290000000000000036e+00 6.977900000000000441e-17
5.309999999999999609e+00 1.526479999999999908e-16
5.330000000000000071e+00 3.226569999999999988e-16
5.349999999999999645e+00 6.600219999999999597e-16
5.370000000000000107e+00 1.308559999999999909e-15
5.389999999999999680e+00 2.517959999999999997e-15
5.410000000000000142e+00 4.708800000000000311e-15
5.429999999999999716e+00 8.569200000000000483e-15
5.450000000000000178e+00 1.519429999999999843e-14
5.469999999999999751e+00 2.628069999999999966e-14
5.490000000000000213e+00 4.439029999999999716e-14
5.509999999999999787e+00 7.330070000000000088e-14
5.530000000000000249e+00 1.169780000000000040e-13
5.549999999999999822e+00 1.826699999999999931e-13
5.570000000000000284e+00 2.803989999999999748e-13
5.589999999999999858e+00 4.232149999999999794e-13
5.610000000000000320e+00 6.283090000000000039e-13
5.629999999999999893e+00 9.178540000000000591e-13
5.650000000000000355e+00 1.319909999999999977e-12
5.669999999999999929e+00 1.869389999999999974e-12
5.690000000000000391e+00 2.608759999999999882e-12
5.709999999999999964e+00 3.588990000000000038e-12
5.730000000000000426e+00 4.870020000000000286e-12
5.750000000000000000e+00 6.521319999999999924e-12
5.769999999999999574e+00 8.622039999999999883e-12
5.790000000000000036e+00 1.126079999999999984e-11
5.809999999999999609e+00 1.453579999999999952e-11
5.830000000000000071e+00 1.855340000000000130e-11
5.849999999999999645e+00 2.342799999999999913e-11
5.870000000000000107e+00 2.928000000000000125e-11
5.889999999999999680e+00 3.623489999999999861e-11
5.910000000000000142e+00 4.442150000000000010e-11
5.929999999999999716e+00 5.396959999999999735e-11
5.950000000000000178e+00 6.500780000000000013e-11
5.969999999999999751e+00 7.766259999999999504e-11
5.990000000000000213e+00 9.205539999999999729e-11
6.009999999999999787e+00 1.083000000000000034e-10
6.030000000000000249e+00 1.265010000000000112e-10
6.049999999999999822e+00 1.467520000000000015e-10
6.070000000000000284e+00 1.691369999999999971e-10
6.089999999999999858e+00 1.937210000000000127e-10
6.110000000000000320e+00 2.205579999999999946e-10
6.129999999999999893e+00 2.496819999999999759e-10
6.150000000000000355e+00 2.811160000000000248e-10
6.169999999999999929e+00 3.148589999999999774e-10
6.190000000000000391e+00 3.508970000000000240e-10
6.209999999999999964e+00 3.891959999999999762e-10
6.230000000000000426e+00 4.297100000000000081e-10
6.250000000000000000e+00 4.723710000000000017e-10
6.269999999999999574e+00 5.170949999999999602e-10
6.290000000000000036e+00 5.637870000000000509e-10
6.309999999999999609e+00 6.123389999999999676e-10
6.330000000000000071e+00 6.626269999999999908e-10
6.349999999999999645e+00 7.145159999999999964e-10
6.370000000000000107e+00 7.678619999999999898e-10
6.389999999999999680e+00 8.225160000000000370e-10
6.410000000000000142e+00 8.783149999999999805e-10
6.429999999999999716e+00 9.350970000000000849e-10
6.450000000000000178e+00 9.926949999999999515e-10
6.469999999999999751e+00 1.050940000000000095e-09
6.490000000000000213e+00 1.109649999999999989e-09
6.509999999999999787e+00 1.168659999999999974e-09
6.530000000000000249e+00 1.227809999999999920e-09
6.549999999999999822e+00 1.286919999999999936e-09
6.570000000000000284e+00 1.345820000000000012e-09
6.589999999999999858e+00 1.404369999999999980e-09
6.610000000000000320e+00 1.462400000000000037e-09
6.629999999999999893e+00 1.519770000000000016e-09
6.650000000000000355e+00 1.576339999999999956e-09
6.669999999999999929e+00 1.631979999999999983e-09
6.690000000000000391e+00 1.686560000000000016e-09
6.709999999999999964e+00 1.739960000000000059e-09
6.730000000000000426e+00 1.792080000000000082e-09
6.750000000000000000e+00 1.842820000000000053e-09
6.769999999999999574e+00 1.892089999999999822e-09
6.790000000000000036e+00 1.939799999999999857e-09
6.809999999999999609e+00 1.985890000000000056e-09
6.830000000000000071e+00 2.030290000000000027e-09
6.849999999999999645e+00 2.072940000000000082e-09
6.870000000000000107e+00 2.113789999999999997e-09
6.889999999999999680e+00 2.152810000000000138e-09
6.910000000000000142e+00 2.189970000000000038e-09
6.929999999999999716e+00 2.225219999999999891e-09
6.950000000000000178e+00 2.258569999999999987e-09
6.969999999999999751e+00 2.289989999999999865e-09
6.990000000000000213e+00 2.319479999999999935e-09
7.009999999999999787e+00 2.347040000000000200e-09
7.030000000000000249e+00 2.372669999999999831e-09
7.049999999999999822e+00 2.396370000000000070e-09
7.070000000000000284e+00 2.418180000000000018e-09
7.089999999999999858e+00 2.438089999999999798e-09
7.110000000000000320e+00 2.456140000000000164e-09
7.129999999999999893e+00 2.472340000000000171e-09
7.150000000000000355e+00 2.486730000000000159e-09
7.169999999999999929e+00 2.499340000000000181e-09
7.190000000000000391e+00 2.510199999999999872e-09
7.209999999999999964e+00 2.519340000000000112e-09
7.230000000000000426e+00 2.526800000000000001e-09
7.259999999999999787e+00 2.532630000000000176e-09
7.280000000000000249e+00 2.536859999999999861e-09
7.299999999999999822e+00 2.539540000000000104e-09
7.320000000000000284e+00 2.540710000000000008e-09
7.339999999999999858e+00 2.540409999999999916e-09
7.360000000000000320e+00 2.538690000000000050e-09
7.379999999999999893e+00 2.535599999999999805e-09
7.400000000000000355e+00 2.531179999999999938e-09
7.419999999999999929e+00 2.525479999999999844e-09
7.440000000000000391e+00 2.518560000000000038e-09
7.459999999999999964e+00 2.510439999999999863e-09
7.480000000000000426e+00 2.501190000000000128e-09
7.500000000000000000e+00 2.490849999999999934e-09
7.519999999999999574e+00 2.479469999999999917e-09
7.540000000000000036e+00 2.467090000000000008e-09
7.559999999999999609e+00 2.453769999999999892e-09
7.580000000000000071e+00 2.439540000000000036e-09
7.599999999999999645e+00 2.424449999999999832e-09
7.620000000000000107e+00 2.408559999999999797e-09
7.639999999999999680e+00 2.391890000000000102e-09
7.660000000000000142e+00 2.374500000000000020e-09
7.679999999999999716e+00 2.356429999999999896e-09
7.700000000000000178e+00 2.337710000000000192e-09
7.719999999999999751e+00 2.318400000000000183e-09
7.740000000000000213e+00 2.298520000000000041e-09
7.759999999999999787e+00 2.278119999999999987e-09
7.780000000000000249e+00 2.257220000000000194e-09
7.799999999999999822e+00 2.235879999999999935e-09
7.820000000000000284e+00 2.214119999999999795e-09
7.839999999999999858e+00 2.191980000000000117e-09
7.860000000000000320e+00 2.169479999999999833e-09
7.879999999999999893e+00 2.146660000000000112e-09
7.900000000000000355e+00 2.123550000000000179e-09
7.919999999999999929e+00 2.100180000000000083e-09
7.940000000000000391e+00 2.076560000000000117e-09
7.959999999999999964e+00 2.052740000000000089e-09
7.980000000000000426e+00 2.028729999999999880e-09
8.000000000000000000e+00 2.004550000000000073e-09
8.019999999999999574e+00 1.980229999999999892e-09
8.039999999999999147e+00 1.955789999999999923e-09
8.060000000000000497e+00 1.931249999999999923e-09
8.080000000000000071e+00 1.906620000000000184e-09
8.099999999999999645e+00 1.881939999999999811e-09
8.119999999999999218e+00 1.857199999999999956e-09
8.140000000000000568e+00 1.832430000000000051e-09
8.160000000000000142e+00 1.807650000000000060e-09
8.179999999999999716e+00 1.782859999999999983e-09
8.199999999999999289e+00 1.758079999999999992e-09
8.220000000000000639e+00 1.733330000000000052e-09
8.240000000000000213e+00 1.708620000000000041e-09
8.259999999999999787e+00 1.683949999999999960e-09
8.279999999999999361e+00 1.659350000000000065e-09
8.300000000000000711e+00 1.634810000000000065e-09
8.320000000000000284e+00 1.610360000000000010e-09
8.339999999999999858e+00 1.585990000000000021e-09
8.359999999999999432e+00 1.561729999999999941e-09
8.380000000000000782e+00 1.537570000000000099e-09
8.400000000000000355e+00 1.513530000000000046e-09
8.419999999999999929e+00 1.489620000000000073e-09
8.439999999999999503e+00 1.465839999999999976e-09
8.460000000000000853e+00 1.442200000000000045e-09
8.480000000000000426e+00 1.418709999999999953e-09
8.500000000000000000e+00 1.395379999999999994e-09
