# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 2.802599999999999909e-45
4.889999999999999680e+00 1.050970000000000019e-43
4.910000000000000142e+00 3.357510000000000234e-42
4.929999999999999716e+00 9.190280000000000941e-41
4.950000000000000178e+00 2.168639999999999860e-39
4.969999999999999751e+00 4.440810000000000065e-38
4.990000000000000213e+00 7.942799999999999201e-37
5.009999999999999787e+00 1.248280000000000025e-35
5.030000000000000249e+00 1.734130000000000050e-34
5.049999999999999822e+00 2.141129999999999887e-33
5.070000000000000284e+00 2.362429999999999876e-32
5.089999999999999858e+00 2.340950000000000064e-31
5.110000000000000320e+00 2.093609999999999883e-30
5.129999999999999893e+00 1.697619999999999991e-29
5.150000000000000355e+00 1.253689999999999914e-28
5.169999999999999929e+00 8.467149999999999743e-28
5.190000000000000391e+00 5.251389999999999953e-27
5.209999999999999964e+00 3.002180000000000261e-26
5.230000000000000426e+00 1.588029999999999949e-25
5.250000000000000000e+00 7.798859999999999573e-25
5.269999999999999574e+00 3.568029999999999807e-24
5.290000000000000036e+00 1.525640000000000125e-23
5.309999999999999609e+00 6.115330000000000547e-23
5.330000000000000071e+00 2.304529999999999773e-22
5.349999999999999645e+00 8.187740000000000309e-22
5.370000000000000107e+00 2.750020000000000114e-21
5.389999999999999680e+00 8.753580000000000085e-21
5.410000000000000142e+00 2.647019999999999990e-20
5.429999999999999716e+00 7.621989999999999598e-20
5.450000000000000178e+00 2.094550000000000104e-19
5.469999999999999751e+00 5.504630000000000345e-19
5.490000000000000213e+00 1.386280000000000030e-18
5.509999999999999787e+00 3.351989999999999834e-18
5.530000000000000249e+00 7.796320000000000128e-18
5.549999999999999822e+00 1.747299999999999939e-17
5.570000000000000284e+00 3.779670000000000165e-17
5.589999999999999858e+00 7.904129999999999865e-17
5.610000000000000320e+00 1.600440000000000029e-16
5.629999999999999893e+00 3.142189999999999887e-16
5.650000000000000355e+00 5.990109999999999629e-16
5.669999999999999929e+00 1.110269999999999994e-15
5.690000000000000391e+00 2.003440000000000069e-15
5.709999999999999964e+00 3.523660000000000148e-15
5.730000000000000426e+00 6.047529999999999880e-15
5.750000000000000000e+00 1.013949999999999999e-14
5.769999999999999574e+00 1.660159999999999903e-14
5.790000000000000036e+00 2.625079999999999971e-14
5.809999999999999609e+00 4.078959999999999843e-14
5.830000000000000071e+00 6.230110000000000097e-14
5.849999999999999645e+00 9.356679999999999466e-14
5.870000000000000107e+00 1.382230000000000059e-13
5.889999999999999680e+00 2.009400000000000000e-13
5.910000000000000142e+00 2.875949999999999979e-13
5.929999999999999716e+00 4.054379999999999936e-13
5.950000000000000178e+00 5.632620000000000086e-13
5.969999999999999751e+00 7.715599999999999960e-13
5.990000000000000213e+00 1.042609999999999937e-12
6.009999999999999787e+00 1.390579999999999917e-12
6.030000000000000249e+00 1.831510000000000140e-12
6.049999999999999822e+00 2.383360000000000055e-12
6.070000000000000284e+00 3.065830000000000074e-12
6.089999999999999858e+00 3.900300000000000253e-12
6.110000000000000320e+00 4.909589999999999884e-12
6.129999999999999893e+00 6.117689999999999956e-12
6.150000000000000355e+00 7.549529999999999235e-12
6.169999999999999929e+00 9.230510000000000419e-12
6.190000000000000391e+00 1.118619999999999933e-11
6.209999999999999964e+00 1.344190000000000071e-11
6.230000000000000426e+00 1.602239999999999926e-11
6.250000000000000000e+00 1.895130000000000064e-11
6.269999999999999574e+00 2.225070000000000090e-11
6.290000000000000036e+00 2.594089999999999905e-11
6.309999999999999609e+00 3.004010000000000000e-11
6.330000000000000071e+00 3.456389999999999735e-11
6.349999999999999645e+00 3.952500000000000051e-11
6.370000000000000107e+00 4.493309999999999965e-11
6.389999999999999680e+00 5.079509999999999709e-11
6.410000000000000142e+00 5.711389999999999961e-11
6.429999999999999716e+00 6.388960000000000031e-11
6.450000000000000178e+00 7.111869999999999503e-11
6.469999999999999751e+00 7.879429999999999435e-11
6.490000000000000213e+00 8.690580000000000558e-11
6.509999999999999787e+00 9.543999999999999561e-11
6.530000000000000249e+00 1.043810000000000012e-10
6.549999999999999822e+00 1.137079999999999965e-10
6.570000000000000284e+00 1.234000000000000081e-10
6.589999999999999858e+00 1.334329999999999982e-10
6.610000000000000320e+00 1.437790000000000109e-10
6.629999999999999893e+00 1.544120000000000040e-10
6.650000000000000355e+00 1.652990000000000048e-10
6.669999999999999929e+00 1.764109999999999970e-10
6.690000000000000391e+00 1.877159999999999906e-10
6.709999999999999964e+00 1.991800000000000039e-10
6.730000000000000426e+00 2.107690000000000039e-10
6.750000000000000000e+00 2.224510000000000004e-10
6.769999999999999574e+00 2.341930000000000204e-10
6.790000000000000036e+00 2.459620000000000136e-10
6.809999999999999609e+00 2.577250000000000070e-10
6.830000000000000071e+00 2.694499999999999846e-10
6.849999999999999645e+00 2.811080000000000078e-10
6.870000000000000107e+00 2.926689999999999744e-10
6.889999999999999680e+00 3.041060000000000146e-10
6.910000000000000142e+00 3.153899999999999831e-10
6.929999999999999716e+00 3.264979999999999927e-10
6.950000000000000178e+00 3.374049999999999841e-10
6.969999999999999751e+00 3.480899999999999839e-10
6.990000000000000213e+00 3.585329999999999757e-10
7.009999999999999787e+00 3.687139999999999946e-10
7.030000000000000249e+00 3.786170000000000068e-10
7.049999999999999822e+00 3.882259999999999785e-10
7.070000000000000284e+00 3.975269999999999963e-10
7.089999999999999858e+00 4.065099999999999745e-10
7.110000000000000320e+00 4.151620000000000083e-10
7.129999999999999893e+00 4.234740000000000206e-10
7.150000000000000355e+00 4.314390000000000029e-10
7.169999999999999929e+00 4.390510000000000072e-10
7.190000000000000391e+00 4.463030000000000252e-10
7.209999999999999964e+00 4.531929999999999879e-10
7.230000000000000426e+00 4.597170000000000163e-10
7.259999999999999787e+00 4.658729999999999897e-10
7.280000000000000249e+00 4.716610000000000114e-10
7.299999999999999822e+00 4.770809999999999782e-10
7.320000000000000284e+00 4.821350000000000106e-10
7.339999999999999858e+00 4.868219999999999966e-10
7.360000000000000320e+00 4.911479999999999877e-10
7.379999999999999893e+00 4.951129999999999838e-10
7.400000000000000355e+00 4.987230000000000365e-10
7.419999999999999929e+00 5.019819999999999732e-10
7.440000000000000391e+00 5.048940000000000351e-10
7.459999999999999964e+00 5.074659999999999721e-10
7.480000000000000426e+00 5.097020000000000251e-10
7.500000000000000000e+00 5.116099999999999528e-10
7.519999999999999574e+00 5.131960000000000133e-10
7.540000000000000036e+00 5.144669999999999565e-10
7.559999999999999609e+00 5.154300000000000492e-10
7.580000000000000071e+00 5.160930000000000499e-10
7.599999999999999645e+00 5.164630000000000186e-10
7.620000000000000107e+00 5.165490000000000326e-10
7.639999999999999680e+00 5.163589999999999537e-10
7.660000000000000142e+00 5.159000000000000486e-10
7.679999999999999716e+00 5.151829999999999983e-10
7.700000000000000178e+00 5.142139999999999574e-10
7.719999999999999751e+00 5.130030000000000120e-10
7.740000000000000213e+00 5.115590000000000323e-10
7.759999999999999787e+00 5.098889999999999750e-10
7.780000000000000249e+00 5.080040000000000378e-10
7.799999999999999822e+00 5.059119999999999793e-10
7.820000000000000284e+00 5.036209999999999714e-10
7.839999999999999858e+00 5.011399999999999879e-10
7.860000000000000320e+00 4.984769999999999941e-10
7.879999999999999893e+00 4.956419999999999724e-10
7.900000000000000355e+00 4.926429999999999913e-10
7.919999999999999929e+00 4.894870000000000076e-10
7.940000000000000391e+00 4.861829999999999950e-10
7.959999999999999964e+00 4.827400000000000308e-10
7.980000000000000426e+00 4.791639999999999596e-10
8.000000000000000000e+00 4.754629999999999534e-10
8.019999999999999574e+00 4.716459999999999862e-10
8.039999999999999147e+00 4.677179999999999972e-10
8.060000000000000497e+00 4.636870000000000036e-10
8.080000000000000071e+00 4.595610000000000222e-10
8.099999999999999645e+00 4.553449999999999925e-10
8.119999999999999218e+00 4.510450000000000177e-10
8.140000000000000568e+00 4.466690000000000113e-10
8.160000000000000142e+00 4.422210000000000076e-10
8.179999999999999716e+00 4.377070000000000065e-10
8.199999999999999289e+00 4.331330000000000076e-10
8.220000000000000639e+00 4.285050000000000107e-10
8.240000000000000213e+00 4.238259999999999900e-10
8.259999999999999787e+00 4.191019999999999968e-10
8.279999999999999361e+00 4.143380000000000223e-10
8.300000000000000711e+00 4.095369999999999890e-10
8.320000000000000284e+00 4.047039999999999913e-10
8.339999999999999858e+00 3.998420000000000033e-10
8.359999999999999432e+00 3.949560000000000163e-10
8.380000000000000782e+00 3.900490000000000042e-10
8.400000000000000355e+00 3.851239999999999927e-10
8.419999999999999929e+00 3.801860000000000249e-10
8.439999999999999503e+00 3.752360000000000058e-10
8.460000000000000853e+00 3.702780000000000215e-10
8.480000000000000426e+00 3.653149999999999942e-10
8.500000000000000000e+00 3.603489999999999930e-10
