# log10(T) rate(cm^3/s)
# ColRates
3.500000000000000000e+00 0.000000000000000000e+00
3.520000000000000018e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.560000000000000053e+00 0.000000000000000000e+00
3.580000000000000071e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.620000000000000107e+00 0.000000000000000000e+00
3.640000000000000124e+00 0.000000000000000000e+00
3.660000000000000142e+00 0.000000000000000000e+00
3.680000000000000160e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.720000000000000195e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.759999999999999787e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.799999999999999822e+00 0.000000000000000000e+00
3.819999999999999840e+00 0.000000000000000000e+00
3.839999999999999858e+00 0.000000000000000000e+00
3.859999999999999876e+00 0.000000000000000000e+00
3.879999999999999893e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
3.919999999999999929e+00 0.000000000000000000e+00
3.939999999999999947e+00 0.000000000000000000e+00
3.959999999999999964e+00 0.000000000000000000e+00
3.979999999999999982e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.040000000000000036e+00 0.000000000000000000e+00
4.059999999999999609e+00 0.000000000000000000e+00
4.080000000000000071e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.120000000000000107e+00 0.000000000000000000e+00
4.139999999999999680e+00 0.000000000000000000e+00
4.160000000000000142e+00 0.000000000000000000e+00
4.179999999999999716e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.219999999999999751e+00 0.000000000000000000e+00
4.240000000000000213e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.280000000000000249e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.320000000000000284e+00 0.000000000000000000e+00
4.339999999999999858e+00 0.000000000000000000e+00
4.360000000000000320e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.419999999999999929e+00 0.000000000000000000e+00
4.440000000000000391e+00 0.000000000000000000e+00
4.459999999999999964e+00 0.000000000000000000e+00
4.480000000000000426e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.519999999999999574e+00 0.000000000000000000e+00
4.540000000000000036e+00 0.000000000000000000e+00
4.559999999999999609e+00 0.000000000000000000e+00
4.580000000000000071e+00 0.000000000000000000e+00
4.599999999999999645e+00 0.000000000000000000e+00
4.620000000000000107e+00 0.000000000000000000e+00
4.639999999999999680e+00 0.000000000000000000e+00
4.660000000000000142e+00 0.000000000000000000e+00
4.679999999999999716e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.719999999999999751e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.769999999999999574e+00 0.000000000000000000e+00
4.790000000000000036e+00 0.000000000000000000e+00
4.809999999999999609e+00 0.000000000000000000e+00
4.830000000000000071e+00 0.000000000000000000e+00
4.849999999999999645e+00 0.000000000000000000e+00
4.870000000000000107e+00 0.000000000000000000e+00
4.889999999999999680e+00 0.000000000000000000e+00
4.910000000000000142e+00 0.000000000000000000e+00
4.929999999999999716e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.969999999999999751e+00 0.000000000000000000e+00
4.990000000000000213e+00 0.000000000000000000e+00
5.009999999999999787e+00 0.000000000000000000e+00
5.030000000000000249e+00 4.203899999999999863e-45
5.049999999999999822e+00 1.625510000000000048e-43
5.070000000000000284e+00 4.652309999999999875e-42
5.089999999999999858e+00 1.143110000000000024e-40
5.110000000000000320e+00 2.433200000000000150e-39
5.129999999999999893e+00 4.515279999999999841e-38
5.150000000000000355e+00 7.351160000000000091e-37
5.169999999999999929e+00 1.056100000000000020e-35
5.190000000000000391e+00 1.346599999999999918e-34
5.209999999999999964e+00 1.531980000000000067e-33
5.230000000000000426e+00 1.563240000000000084e-32
5.250000000000000000e+00 1.437649999999999931e-31
5.269999999999999574e+00 1.197269999999999939e-30
5.290000000000000036e+00 9.070070000000000323e-30
5.309999999999999609e+00 6.276939999999999569e-29
5.330000000000000071e+00 3.984370000000000048e-28
5.349999999999999645e+00 2.328950000000000055e-27
5.370000000000000107e+00 1.258299999999999933e-26
5.389999999999999680e+00 6.306030000000000365e-26
5.410000000000000142e+00 2.941319999999999901e-25
5.429999999999999716e+00 1.281030000000000037e-24
5.450000000000000178e+00 5.226060000000000246e-24
5.469999999999999751e+00 2.002869999999999940e-23
5.490000000000000213e+00 7.231139999999999528e-23
5.509999999999999787e+00 2.466170000000000204e-22
5.530000000000000249e+00 7.965810000000000407e-22
5.549999999999999822e+00 2.442770000000000040e-21
5.570000000000000284e+00 7.128340000000000592e-21
5.589999999999999858e+00 1.983959999999999928e-20
5.610000000000000320e+00 5.277810000000000268e-20
5.629999999999999893e+00 1.344709999999999892e-19
5.650000000000000355e+00 3.287730000000000224e-19
5.669999999999999929e+00 7.728129999999999530e-19
5.690000000000000391e+00 1.749620000000000170e-18
5.709999999999999964e+00 3.821470000000000051e-18
5.730000000000000426e+00 8.065539999999999686e-18
5.750000000000000000e+00 1.647530000000000046e-17
5.769999999999999574e+00 3.261939999999999762e-17
5.790000000000000036e+00 6.268500000000000195e-17
5.809999999999999609e+00 1.170809999999999889e-16
5.830000000000000071e+00 2.128179999999999903e-16
5.849999999999999645e+00 3.769289999999999763e-16
5.870000000000000107e+00 6.512400000000000075e-16
5.889999999999999680e+00 1.098870000000000045e-15
5.910000000000000142e+00 1.812770000000000069e-15
5.929999999999999716e+00 2.892359999999999928e-15
5.950000000000000178e+00 4.520079999999999879e-15
5.969999999999999751e+00 6.942540000000000198e-15
5.990000000000000213e+00 1.048369999999999955e-14
6.009999999999999787e+00 1.557010000000000110e-14
6.030000000000000249e+00 2.275249999999999885e-14
6.049999999999999822e+00 3.272869999999999715e-14
6.070000000000000284e+00 4.636619999999999836e-14
6.089999999999999858e+00 6.472320000000000537e-14
6.110000000000000320e+00 8.906949999999999473e-14
6.129999999999999893e+00 1.209019999999999881e-13
6.150000000000000355e+00 1.619599999999999985e-13
6.169999999999999929e+00 2.142250000000000035e-13
6.190000000000000391e+00 2.799240000000000197e-13
6.209999999999999964e+00 3.615279999999999818e-13
6.230000000000000426e+00 4.617320000000000363e-13
6.250000000000000000e+00 5.834299999999999687e-13
6.269999999999999574e+00 7.296860000000000071e-13
6.290000000000000036e+00 9.037099999999999934e-13
6.309999999999999609e+00 1.108809999999999998e-12
6.330000000000000071e+00 1.348340000000000089e-12
6.349999999999999645e+00 1.625650000000000045e-12
6.370000000000000107e+00 1.944039999999999863e-12
6.389999999999999680e+00 2.306729999999999805e-12
6.410000000000000142e+00 2.716750000000000112e-12
6.429999999999999716e+00 3.176929999999999873e-12
6.450000000000000178e+00 3.689880000000000025e-12
6.469999999999999751e+00 4.257890000000000146e-12
6.490000000000000213e+00 4.882889999999999604e-12
6.509999999999999787e+00 5.566489999999999639e-12
6.530000000000000249e+00 6.309920000000000239e-12
6.549999999999999822e+00 7.113960000000000113e-12
6.570000000000000284e+00 7.978930000000000617e-12
6.589999999999999858e+00 8.904810000000000706e-12
6.610000000000000320e+00 9.891139999999999796e-12
6.629999999999999893e+00 1.093699999999999995e-11
6.650000000000000355e+00 1.204100000000000009e-11
6.669999999999999929e+00 1.320159999999999981e-11
6.690000000000000391e+00 1.441670000000000015e-11
6.709999999999999964e+00 1.568390000000000025e-11
6.730000000000000426e+00 1.700060000000000008e-11
6.750000000000000000e+00 1.836369999999999858e-11
6.769999999999999574e+00 1.977029999999999867e-11
6.790000000000000036e+00 2.121689999999999939e-11
6.809999999999999609e+00 2.269999999999999981e-11
6.830000000000000071e+00 2.421619999999999854e-11
6.849999999999999645e+00 2.576159999999999960e-11
6.870000000000000107e+00 2.733269999999999884e-11
6.889999999999999680e+00 2.892560000000000026e-11
6.910000000000000142e+00 3.053670000000000013e-11
6.929999999999999716e+00 3.216239999999999794e-11
6.950000000000000178e+00 3.379909999999999964e-11
6.969999999999999751e+00 3.544320000000000149e-11
6.990000000000000213e+00 3.709139999999999844e-11
7.009999999999999787e+00 3.874029999999999882e-11
7.030000000000000249e+00 4.038690000000000273e-11
7.049999999999999822e+00 4.202799999999999823e-11
7.070000000000000284e+00 4.366079999999999749e-11
7.089999999999999858e+00 4.528259999999999932e-11
7.110000000000000320e+00 4.689049999999999695e-11
7.129999999999999893e+00 4.848229999999999992e-11
7.150000000000000355e+00 5.005549999999999972e-11
7.169999999999999929e+00 5.160789999999999944e-11
7.190000000000000391e+00 5.313730000000000220e-11
7.209999999999999964e+00 5.464179999999999685e-11
7.230000000000000426e+00 5.611959999999999768e-11
7.259999999999999787e+00 5.756880000000000002e-11
7.280000000000000249e+00 5.898780000000000438e-11
7.299999999999999822e+00 6.037510000000000433e-11
7.320000000000000284e+00 6.172920000000000641e-11
7.339999999999999858e+00 6.304879999999999687e-11
7.360000000000000320e+00 6.433249999999999472e-11
7.379999999999999893e+00 6.557919999999999828e-11
7.400000000000000355e+00 6.678780000000000588e-11
7.419999999999999929e+00 6.795729999999999600e-11
7.440000000000000391e+00 6.908669999999999884e-11
7.459999999999999964e+00 7.017509999999999893e-11
7.480000000000000426e+00 7.122180000000000577e-11
7.500000000000000000e+00 7.222599999999999698e-11
7.519999999999999574e+00 7.318710000000000104e-11
7.540000000000000036e+00 7.410449999999999468e-11
7.559999999999999609e+00 7.497780000000000551e-11
7.580000000000000071e+00 7.580650000000000339e-11
7.599999999999999645e+00 7.659029999999999607e-11
7.620000000000000107e+00 7.732899999999999735e-11
7.639999999999999680e+00 7.802230000000000208e-11
7.660000000000000142e+00 7.867019999999999733e-11
7.679999999999999716e+00 7.927260000000000292e-11
7.700000000000000178e+00 7.982970000000000506e-11
7.719999999999999751e+00 8.034150000000000375e-11
7.740000000000000213e+00 8.080819999999999812e-11
7.759999999999999787e+00 8.123010000000000625e-11
7.780000000000000249e+00 8.160760000000000055e-11
7.799999999999999822e+00 8.194110000000000513e-11
7.820000000000000284e+00 8.223109999999999845e-11
7.839999999999999858e+00 8.247809999999999770e-11
7.860000000000000320e+00 8.268270000000000028e-11
7.879999999999999893e+00 8.284559999999999669e-11
7.900000000000000355e+00 8.296759999999999637e-11
7.919999999999999929e+00 8.304940000000000274e-11
7.940000000000000391e+00 8.309170000000000631e-11
7.959999999999999964e+00 8.309550000000000272e-11
7.980000000000000426e+00 8.306169999999999452e-11
8.000000000000000000e+00 8.299110000000000409e-11
8.019999999999999574e+00 8.288479999999999434e-11
8.039999999999999147e+00 8.274360000000000055e-11
8.060000000000000497e+00 8.256859999999999857e-11
8.080000000000000071e+00 8.236070000000000387e-11
8.099999999999999645e+00 8.212109999999999831e-11
8.119999999999999218e+00 8.185060000000000426e-11
8.140000000000000568e+00 8.155040000000000358e-11
8.160000000000000142e+00 8.122150000000000485e-11
8.179999999999999716e+00 8.086490000000000372e-11
8.199999999999999289e+00 8.048159999999999585e-11
8.220000000000000639e+00 8.007260000000000275e-11
8.240000000000000213e+00 7.963889999999999420e-11
8.259999999999999787e+00 7.918159999999999776e-11
8.279999999999999361e+00 7.870160000000000303e-11
8.300000000000000711e+00 7.819979999999999966e-11
8.320000000000000284e+00 7.767730000000000224e-11
8.339999999999999858e+00 7.713489999999999437e-11
8.359999999999999432e+00 7.657350000000000446e-11
8.380000000000000782e+00 7.599419999999999541e-11
8.400000000000000355e+00 7.539769999999999648e-11
8.419999999999999929e+00 7.478489999999999732e-11
8.439999999999999503e+00 7.415670000000000046e-11
8.460000000000000853e+00 7.351379999999999640e-11
8.480000000000000426e+00 7.285710000000000062e-11
8.500000000000000000e+00 7.218730000000000362e-11
